"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","RB","A","DD","GS","SG","CV","FT","GC","PP","DP"
"193","Lucas Ribeiro De Oliveira","macula","Macula",NA,102384,16,"FLU","ata","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2018/04/25/9c24eef6db7bc6f134fefb1a2342e6f6_FORMATO.png",91203,16,"ATL","zag","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2018/07/31/3b42bd79d3fb5b89be8faaec32e61168_FORMATO.png",102352,16,"COR","mei","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Leonardo Xavier da Silva","leo-xavier","Léo Xavier","https://s.glbimg.com/es/sde/f/2018/04/13/0e1b28895cd742c8eeb558bbec613ed4_FORMATO.png",102553,16,"VIT","zag","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Luis David da Conceição Martins","luis-david","Luis David",NA,102413,16,"CEA","ata","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Thiago Beserra dos Santos","thiaguinho","Thiaguinho","https://s.glbimg.com/es/sde/f/2018/05/01/626ee3be32932606c827bac556a75b1e_FORMATO.png",102599,16,"COR","mei","Nulo",0,3,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Raphael Schorr Utzig","raphael-alemao","Raphael Alemão","https://s.glbimg.com/es/sde/f/2018/04/24/e72a3c4a24b0c21be12ae1fc78ee1755_FORMATO.jpeg",91206,16,"PAR","ata","Nulo",0,3.54,0,2.3,"Paraná",NA,4,4,2,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Kevin Kesley De Souza","kevin","Kevin","https://s.glbimg.com/es/sde/f/2018/06/05/0dfbab426db713cedfdf9597abbc9791_FORMATO.png",102594,16,"ATL","lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,16,"SAO","gol","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Matheus Gonçalves Savio","matheus-savio","Matheus Savio","https://s.glbimg.com/es/sde/f/2018/07/28/3a3a8b95d0a4f15553e2ab71957c0c0c_FORMATO.png",91264,16,"FLA","mei","Nulo",0,5.3,0,3.67,"Flamengo",NA,1,1,NA,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Bruno Bispo dos Anjos","bruno-bispo","Bruno Bispo","https://s.glbimg.com/es/sde/f/2018/03/21/99884c41754fc82c033d202d4decfad3_FORMATO.png",91359,16,"VIT","zag","Nulo",0,4.18,0,2.95,"Vitória",1,3,NA,NA,1,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"204","Diego Washington Ferreira Lopes","diego","Diego",NA,102655,16,"VIT","gol","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2018/05/08/0f86aca3ef3d3207a6f1fa03c4f08be7_FORMATO.png",102609,16,"BAH","gol","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Leonardo Felipe Valencia Rossel","leonardo-valencia","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2018/05/17/fdfb5b9c1f58d363c8597c844f7302ba_FORMATO.png",91508,16,"BOT","mei","Nulo",-1.4,8.93,-0.63,5.05,"Botafogo",1,10,9,14,20,2,NA,36,15,3,NA,NA,NA,NA,1,NA,NA,NA
"207","Rodrigo Fernandes Nóbrega","rodrigo-fernandes","Rodrigo Fernandes","https://s.glbimg.com/es/sde/f/2018/05/30/b215792fd60b00daf1655f057defed68_FORMATO.png",102771,16,"VAS","mei","Nulo",0,1,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Carlos Gabriel Moreira de Oliviera","carlos-gabriel","Carlos Gabriel","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,16,"ATL","lat","Dúvida",0,3.74,0,4.7,"Atlético-MG",NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"209","Bruno Amorim Lazaroni","bruno-lazaroni","Bruno Lazaroni",NA,102887,16,"BOT","tec","Nulo",0,10.24,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210"," Eduardo Feitoza Sampaio","dudu","Dudu","https://s.glbimg.com/es/sde/f/2018/07/10/e5bc3fe6bde3fb90e385b1fd98ca0737_FORMATO.png",102852,16,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Matheus Celestino Moresche Rodrigues","moresche","Moresche","https://s.glbimg.com/es/sde/f/2018/05/29/1062a53533bc3381effc250b52595038_FORMATO.png",102719,16,"VAS","mei","Nulo",0,0.74,0,-2.9,"Vasco",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"212","Miguel David Terans Pérez  ","terans","Terans","https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png",102878,16,"ATL","mei","Dúvida",0.5,4.24,-1.44,2.2,"Atlético-MG",1,6,1,1,4,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"213","Jown Anderson Cardona Agudelo","cardona","Cardona","https://s.glbimg.com/es/sde/f/2018/07/03/d51a3a19a638632da422b8c043a3d8c7_FORMATO.png",102849,16,"CEA","mei","Provável",4.9,3.62,0.62,4.9,"Ceará",1,4,1,NA,1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Agustín Doffo","doffo","Doffo","https://s.glbimg.com/es/sde/f/2018/07/10/86427844238732adfbec7b1ad78fa4bf_FORMATO.png",102894,16,"CHA","mei","Nulo",0,0.83,0,-2.3,"Chapecoense",1,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Nicolás Omar Freire","nicolas-freire","Nicolás Freire","https://s.glbimg.com/es/sde/f/2018/07/20/90be1b2bb54dcc788164bc8c6ec83fdf_FORMATO.png",102889,16,"PAL","zag","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Gabriel Barbosa Avelino","gabriel-barbosa","Gabriel Barbosa","https://s.glbimg.com/es/sde/f/2018/07/13/66b3a5d8aeae0fca09f00f1ea7dc8a34_FORMATO.png",102902,16,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Mateus William Sabino Silva","sabino","Sabino","https://s.glbimg.com/es/sde/f/2018/07/19/a9beadabcf13c6fbb9e50629b154ed1d_FORMATO.png",102905,16,"AME","zag","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Yann Del Pino Rolim","yann-rolim","Yann Rolim","https://s.glbimg.com/es/sde/f/2018/08/01/42e8f3434bff7d6238a0dca11f2239f8_FORMATO.png",102892,16,"CHA","mei","Provável",1.2,1.85,-0.15,1.2,"Chapecoense",NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Matheus Felipe Camargo Iacovelli","iacovelli","Iacovelli","https://s.glbimg.com/es/sde/f/2018/07/16/2fce91a60b69631682b1584fc429beab_FORMATO.png",102903,16,"PAR","ata","Dúvida",0.5,2.48,-0.38,0.85,"Paraná",NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Luan Vinicius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2018/07/24/b1f7ec464a6517479b3b07dbae09cbea_FORMATO.png",102909,16,"SAO","mei","Nulo",0,0.76,-0.01,-1.25,"São Paulo",1,1,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","César Nunes da Costa","cesar","César",NA,102912,16,"FLU","lat","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Ruan Marvyn Vital Ferreira","ruan-marvyn","Ruan Marvyn",NA,102915,16,"ATL","zag","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2018/05/25/d1aa684a9cd6db81f6b731e89f9ae993_FORMATO.png",78577,16,"CEA","mei","Nulo",0,4.65,0,1.72,"Ceará",NA,11,3,3,8,NA,2,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","José Ricardo Araújo Fernandes","ze-ricardo","Zé Ricardo",NA,102911,16,"FLU","mei","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,16,"PAL","mei","Provável",16.8,13.54,2.33,6.94,"Palmeiras",3,38,1,8,25,5,NA,32,39,2,NA,NA,NA,NA,1,NA,NA,NA
"226","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2018/05/25/e26f5033484f9b036cf9109ee7829470_FORMATO.png",70925,16,"CEA","mei","Contundido",0,4.23,0,1.94,"Ceará",1,13,2,5,4,2,1,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2018/03/21/e56086be050e46bbe8c085917b5255c1_FORMATO.png",70934,16,"BAH","zag","Nulo",0,4,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,16,"BAH","gol","Contundido",0,3.4,0,0.87,"Bahia",2,1,NA,NA,2,NA,NA,6,NA,NA,9,15,3,NA,NA,1,NA,1
"229","Mateus Rodrigues Dos Santos ","mateus","Mateus",NA,102957,16,"VIT","lat","Nulo",0,3.57,0,6.1,"Vitória",NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"230","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,16,"COR","mei","Dúvida",7.9,12.81,0.72,4.93,"Corinthians",5,30,1,4,21,1,NA,28,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Bryan Silva Garcia","bryan","Bryan","https://s.glbimg.com/es/sde/f/2018/03/21/a8f3ed5f7b584d647a494bae8c83e9f0_FORMATO.png",78632,16,"VIT","lat","Provável",-2.7,4.81,-0.56,0.7,"Vitória",1,6,NA,1,8,NA,NA,14,1,1,NA,NA,1,1,NA,NA,NA,NA
"232","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2018/07/09/c423c8ca4d7c6cdc1082532652fa4d73_FORMATO.png",78654,16,"CEA","zag","Provável",4.2,4.96,0.35,4.6,"Ceará",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"233","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,16,"SAN","mei","Nulo",0,15,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,16,"GRE","mei","Nulo",0,3.94,0,0.27,"Grêmio",6,15,1,5,16,NA,2,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2018/05/23/94f8a60d067a1f1b2253bc082aaa653e_FORMATO.png",70986,16,"SAN","mei","Nulo",0,8.14,0,2.29,"Santos",2,9,2,4,10,NA,1,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"236","Federico Mancuello","mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2018/05/07/0f1aad8b26fa5e7442bde1e17cfc4dfb_FORMATO.png",71066,16,"CRU","mei","Nulo",-1.9,2.16,-0.51,0.17,"Cruzeiro",NA,10,4,2,3,NA,NA,13,5,NA,NA,NA,NA,1,NA,NA,NA,NA
"237","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/05/26/c262791e94df94c4a25cc800029ae88e_FORMATO.png",78850,16,"SAO","lat","Provável",12.1,12.46,1.93,6.05,"São Paulo",2,20,5,9,11,2,1,36,18,1,NA,NA,5,NA,NA,NA,NA,NA
"238","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,16,"BAH","mei","Provável",-1.2,4.66,-1.97,1.91,"Bahia",2,10,8,14,7,2,1,35,7,NA,NA,NA,NA,NA,NA,NA,1,NA
"239","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,16,"INT","mei","Provável",0.8,9.82,-0.12,2.94,"Internacional",7,43,3,1,17,NA,1,21,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,16,"PAL","mei","Nulo",-0.5,7.11,-1.91,4.13,"Palmeiras",1,12,1,NA,9,1,NA,5,20,NA,NA,NA,NA,NA,1,NA,NA,NA
"241","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png",71549,16,"VAS","ata","Nulo",-0.6,5.45,-0.14,2.23,"Vasco",1,4,NA,1,4,1,NA,9,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"242","Alexander Baumjohann","alex-baumjohann","Alex Baumjohann","https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png",71389,16,"VIT","mei","Nulo",0,1.65,0,-0.1,"Vitória",NA,5,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,16,"PAR","gol","Dúvida",0,4.18,0,0.25,"Paraná",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"244","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2018/03/21/bb96e12d42dead8632e9cf0a06183eec_FORMATO.png",78866,16,"PAR","ata","Nulo",0,1.64,0,2.43,"Paraná",2,11,NA,6,8,1,5,9,1,1,NA,NA,NA,NA,2,NA,NA,NA
"245","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,16,"SAN","zag","Provável",0,2.71,0,-1.8,"Santos",1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2018/05/08/8c609625e5588e4ad1fdcd2a6c478284_FORMATO.png",71479,16,"ATL","mei","Dúvida",0,3.72,0,0.5,"Atlético-PR",2,11,1,2,3,NA,1,26,16,NA,NA,NA,NA,1,NA,NA,NA,NA
"247","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,16,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,16,"VIT","gol","Nulo",0,2,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,16,"PAL","gol","Provável",5,7.48,1.09,1.04,"Palmeiras",NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,4,2,NA,NA,NA,NA,NA
"250","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,16,"FLA","mei","Nulo",5.2,10.74,0.17,4.78,"Flamengo",2,25,3,2,5,NA,NA,18,51,1,NA,NA,NA,2,NA,NA,NA,NA
"251","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,16,"CHA","ata","Nulo",1.3,6.14,-0.38,2.31,"Chapecoense",1,23,5,9,18,2,9,8,11,NA,NA,NA,NA,1,1,NA,NA,NA
"252","Gabriel Rybar Blos","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/18/d0b143443c7fe342de877afaff95bb91_FORMATO.png",71572,16,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,16,"BAH","zag","Provável",2.4,7.71,-0.69,3.64,"Bahia",2,21,4,7,12,1,2,21,15,NA,NA,NA,3,NA,NA,NA,NA,NA
"254","Marcelo Hermes","marcelo-hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2018/05/07/bedbd7a85b9260c4086c631ade9244cd_FORMATO.png",82639,16,"CRU","lat","Nulo",0,4.18,0,2.68,"Cruzeiro",1,4,NA,4,4,NA,NA,21,9,NA,NA,NA,1,NA,NA,NA,NA,NA
"255","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,16,"BAH","mei","Provável",1.5,8.8,-0.85,3.65,"Bahia",1,42,2,6,6,NA,NA,25,41,2,NA,NA,NA,NA,NA,NA,NA,NA
"256","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,16,"PAR","mei","Nulo",0,4.68,0,1.57,"Paraná",2,NA,NA,NA,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,16,"CHA","zag","Nulo",0,3.8,-1.2,0,"Chapecoense",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,16,"VAS","mei","Provável",0,7.19,0,2.8,"Vasco",3,7,2,3,8,NA,NA,10,5,2,NA,NA,NA,NA,1,NA,NA,NA
"259","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,16,"CEA","ata","Provável",7,4.41,1.41,7,"Ceará",1,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA
"260","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,16,"PAR","ata","Provável",6.3,9.13,0.71,4.41,"Paraná",1,19,10,12,32,3,1,39,17,NA,NA,NA,NA,NA,1,NA,NA,NA
"261","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/05/08/b49a52f81f691127e1693a8fc8a73d1b_FORMATO.png",71571,16,"VAS","gol","Nulo",0,6.38,0,1.12,"Vasco",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,11,1,NA,NA,NA,NA,NA
"262","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,16,"CEA","ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,16,"INT","zag","Provável",12.5,19.06,1.52,8.16,"Internacional",5,18,NA,1,13,2,1,25,52,1,NA,NA,7,NA,NA,NA,NA,NA
"264","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,16,"AME","zag","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,16,"GRE","gol","Nulo",0,4,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,16,"GRE","lat","Nulo",0,16.19,0,6.61,"Grêmio",1,18,1,NA,19,NA,NA,31,26,NA,NA,NA,10,NA,NA,NA,NA,NA
"267","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,16,"CRU","ata","Contundido",0,2.31,0,0.83,"Cruzeiro",3,19,1,6,17,1,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,16,"CEA","mei","Nulo",0,6.22,0,3.67,"Ceará",NA,14,4,7,7,NA,NA,33,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,16,"AME","lat","Provável",6.2,8.4,-0.21,4.58,"América-MG",3,7,1,4,10,3,1,13,14,NA,NA,NA,2,NA,NA,NA,NA,NA
"270","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,16,"CRU","mei","Nulo",0,4.69,0,1.98,"Cruzeiro",3,22,NA,6,12,NA,NA,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,16,"GRE","mei","Contundido",0,4.7,0,1.9,"Grêmio",NA,NA,NA,NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2018/06/01/b5bd22d1ec76e9e69427e3be73aadced_FORMATO.png",80393,16,"CEA","mei","Provável",1.4,3.49,-0.09,1.89,"Ceará",1,9,NA,2,11,NA,NA,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Joeliton Lima Santos","mansur","Mansur","https://s.glbimg.com/es/sde/f/2018/03/21/58740180fa39ea528e64aa42ba67215c_FORMATO.png",79553,16,"PAR","lat","Dúvida",-4.2,3.68,-1.25,1.77,"Paraná",2,18,3,3,8,NA,NA,20,8,NA,NA,NA,3,1,1,NA,NA,NA
"274","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,16,"COR","lat","Provável",0.3,6.5,-1.46,3.77,"Corinthians",NA,9,3,NA,4,NA,1,15,4,NA,NA,NA,2,NA,1,NA,NA,NA
