"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","FT","SG","G","I","GC","CV","DD","GS","DP","PP"
"223","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,37,"GRE","mei","Nulo",0,7.51,0,3.01,"Grêmio",3,21,3,16,59,33,2,4,NA,NA,3,NA,NA,NA,NA,NA,NA,1
"224","Jonathan Silva Vieira","jonathan","Jonathan",NA,102597,37,"BOT","lat","Nulo",0,2,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,37,"ATL","lat","Provável",0.9,6.47,-0.19,3.25,"Atlético-MG",6,38,2,45,76,33,1,6,NA,10,4,5,NA,1,NA,NA,NA,1
"226","Mateus Rodrigues Dos Santos ","mateus","Mateus",NA,102957,37,"VIT","lat","Nulo",0,3.57,0,6.1,"Vitória",NA,NA,NA,NA,4,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,37,"AME","lat","Provável",4.2,11.94,1.13,4.34,"América-MG",8,48,10,30,77,53,2,10,1,7,2,4,NA,NA,NA,NA,NA,NA
"228","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,37,"CHA","ata","Provável",2.9,9.12,-0.03,2.6,"Chapecoense",7,54,6,39,54,13,2,32,NA,NA,5,9,NA,NA,NA,NA,NA,NA
"229","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,37,"CRU","mei","Provável",0,7.43,0,2.56,"Cruzeiro",NA,13,5,41,31,20,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"230","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,37,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"231","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,37,"ATL","zag","Nulo",0,8.98,0,3.47,"Atlético-PR",2,25,1,17,18,13,NA,6,1,8,2,NA,1,NA,NA,NA,NA,NA
"232","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,37,"CEA","ata","Nulo",0,3.17,0,0.64,"Ceará",NA,6,3,10,10,4,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"233","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,37,"CRU","lat","Provável",-0.4,6.4,-0.3,1.97,"Cruzeiro",11,22,3,12,48,19,1,6,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"234","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,37,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,37,"CHA","mei","Provável",10,5.52,1.81,2.25,"Chapecoense",3,28,2,29,51,52,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,37,"COR","mei","Provável",0.8,6.95,0.46,2.28,"Corinthians",1,14,7,11,82,5,5,11,1,NA,4,4,NA,NA,NA,NA,NA,NA
"237","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,37,"PAL","mei","Provável",2.4,3.95,0.21,2.23,"Palmeiras",13,40,1,25,55,53,1,10,1,NA,2,1,NA,NA,NA,NA,NA,NA
"238","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,37,"BAH","mei","Provável",0,4.88,0,1.9,"Bahia",3,16,2,6,11,8,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"239","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,37,"VAS","zag","Provável",1.2,6.26,-1.41,1.9,"Vasco",5,16,1,11,16,20,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"240","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,37,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",2,NA,NA,7,28,NA,NA,NA,NA,11,NA,NA,NA,NA,29,16,1,NA
"241","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,37,"GRE","mei","Nulo",0,4.72,0,1.04,"Grêmio",1,9,4,13,54,1,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"242","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,37,"SAN","mei","Nulo",1.7,5.84,0,1.15,"Santos",1,5,3,12,20,8,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"243","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,37,"AME","zag","Provável",6.2,6.88,1.32,2.57,"América-MG",4,34,3,16,34,40,NA,3,NA,9,NA,2,NA,NA,NA,NA,NA,NA
"244","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,37,"CRU","mei","Provável",2.1,8.85,0.4,2.62,"Cruzeiro",2,17,20,25,65,16,NA,15,NA,NA,3,9,NA,NA,NA,NA,NA,NA
"245","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,37,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",NA,5,NA,1,14,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,37,"FLA","mei","Nulo",-0.7,9.08,-1.52,3.96,"Flamengo",10,35,8,80,90,30,2,21,1,NA,6,8,NA,1,NA,NA,NA,NA
"247","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,37,"BOT","mei","Nulo",0,2.92,0,0.33,"Botafogo",1,2,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,37,"SAO","mei","Provável",-1.6,9.58,-0.86,3.85,"São Paulo",8,28,14,70,106,23,5,22,3,NA,8,10,NA,NA,NA,NA,NA,1
"249","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,37,"ATL","ata","Provável",18.3,14.35,3.21,5.36,"Atlético-MG",3,49,27,36,42,12,7,29,2,NA,13,23,NA,NA,NA,NA,NA,NA
"250","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,37,"GRE","tec","Provável",4.55,15.32,0.43,4.75,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,37,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",4,1,NA,3,14,NA,NA,NA,NA,4,NA,NA,NA,NA,38,42,2,NA
"252","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,37,"CRU","lat","Provável",6.8,10.73,0.85,4.65,"Cruzeiro",4,30,3,27,91,64,1,10,NA,9,NA,8,1,NA,NA,NA,NA,NA
"253","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,37,"SPO","ata","Nulo",0,2.82,0,1.52,"Sport",2,16,10,16,25,11,1,8,NA,NA,1,6,NA,NA,NA,NA,NA,NA
"254","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,37,"ATL","tec","Provável",5.03,10.32,0.34,3.52,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Givanildo José de Oliveira","givanildo-oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2018/11/13/0060adc224a8a007641085c7f316e46c_FORMATO.png",39431,37,"AME","tec","Provável",6.23,8.57,1.43,2.77,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,37,"PAL","ata","Contundido",3.9,12.02,-1.09,5.17,"Palmeiras",2,46,19,36,32,28,4,18,3,NA,10,8,NA,NA,NA,NA,NA,NA
"257","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,37,"CHA","mei","Provável",4,4.55,0.1,1.8,"Chapecoense",3,36,4,11,19,38,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,37,"SAN","tec","Provável",4.91,11.26,0.36,4.07,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,37,"FLA","tec","Provável",7.11,16.16,0.21,6.08,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,37,"COR","gol","Provável",5,10.48,-0.38,3.61,"Corinthians",4,1,NA,2,14,1,NA,NA,NA,9,NA,NA,NA,NA,35,23,NA,NA
"261","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,37,"COR","lat","Provável",7.5,11.01,1.39,4.12,"Corinthians",5,19,2,23,83,37,4,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"262","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,37,"PAL","tec","Provável",5.48,14.97,-0.69,5.45,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,37,"BAH","lat","Provável",-0.7,3.4,-0.45,2.3,"Bahia",1,28,1,14,45,20,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"264","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,37,"FLA","zag","Provável",6.5,7.85,-0.17,4.22,"Flamengo",NA,2,NA,3,8,12,NA,1,NA,7,NA,1,NA,1,NA,NA,NA,NA
"265","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,37,"ATL","lat","Provável",4.2,4.9,0.36,1.52,"Atlético-PR",2,6,NA,13,12,8,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"266","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,37,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,8,2,4,8,4,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"267","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,37,"FLU","gol","Nulo",0,7.43,0,3.25,"Fluminense",2,1,NA,9,17,1,NA,NA,NA,12,NA,NA,NA,NA,44,39,NA,NA
"268","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,37,"SPO","zag","Provável",6.4,5.72,1.14,2.49,"Sport",4,17,3,16,33,30,NA,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"269","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,37,"VAS","lat","Nulo",0,4.72,0,3.41,"Vasco",2,8,5,10,26,6,1,5,NA,2,1,1,NA,NA,NA,NA,NA,NA
"270","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,37,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",3,5,NA,4,9,6,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"271","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,37,"SAO","mei","Nulo",0,8.65,0,3.72,"São Paulo",10,61,7,37,39,83,NA,21,NA,NA,1,4,NA,NA,NA,NA,NA,NA
"272","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,37,"FLU","ata","Nulo",0,3.13,0,0.27,"Fluminense",2,18,7,1,10,6,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"273","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,37,"ATL","mei","Nulo",0,5.73,0,2.55,"Atlético-MG",8,34,NA,29,38,53,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,37,"CHA","mei","Nulo",2,6.09,-0.03,3.2,"Chapecoense",3,35,6,43,34,42,NA,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"275","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,37,"AME","mei","Nulo",0,1.14,0,0.09,"América-MG",3,19,2,15,23,9,1,4,1,NA,NA,1,NA,2,NA,NA,NA,NA
"276","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,37,"GRE","lat","Provável",0,2.96,0,2.07,"Grêmio",5,23,NA,9,21,18,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA
"277","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,37,"VIT","lat","Provável",0,5.45,0,2.57,"Vitória",NA,5,NA,8,13,7,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"278","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,37,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,37,"AME","mei","Nulo",0,3.34,0,1.69,"América-MG",4,25,11,15,49,25,NA,5,NA,NA,2,5,NA,NA,NA,NA,NA,NA
"280","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,37,"SAO","mei","Provável",2.2,9.87,0.92,3.29,"São Paulo",5,35,7,50,69,18,6,9,NA,NA,5,14,NA,NA,NA,NA,NA,NA
"281","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,37,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,37,"COR","gol","Nulo",0,7.17,0,4.59,"Corinthians",1,NA,NA,2,2,1,NA,NA,NA,3,NA,NA,NA,NA,23,11,NA,NA
"283","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,37,"ATL","ata","Provável",3.8,14.51,0.4,4.42,"Atlético-MG",6,62,9,43,109,85,5,25,1,NA,3,4,NA,NA,NA,NA,NA,NA
"284","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,37,"COR","zag","Provável",6.8,10.05,0.58,2.84,"Corinthians",4,21,1,17,21,23,NA,9,NA,11,2,1,NA,NA,NA,NA,NA,NA
"285","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,37,"ATL","mei","Contundido",0,6.8,0,1.68,"Atlético-PR",4,18,3,19,35,7,1,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"286","Éverton Augusto de Barros Ribeiro","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png",51772,37,"FLA","mei","Provável",18.3,10.09,3.22,4.28,"Flamengo",5,45,17,63,132,53,5,24,NA,NA,6,1,NA,1,NA,NA,NA,NA
"287","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,37,"CHA","lat","Provável",9.5,7.9,0.55,3.68,"Chapecoense",3,39,2,27,79,51,4,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"288","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,37,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",2,3,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"289","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,37,"CRU","zag","Nulo",0,7.52,-0.81,2.58,"Cruzeiro",2,29,1,5,16,29,NA,6,NA,10,NA,2,NA,NA,NA,NA,NA,NA
"290","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,37,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,2,NA,6,8,7,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"291","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,37,"CEA","zag","Dúvida",0,5.58,-1.08,3.34,"Ceará",4,25,2,6,32,26,NA,2,NA,12,1,1,NA,NA,NA,NA,NA,NA
"292","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,37,"CEA","mei","Nulo",0,3.59,0,0.54,"Ceará",1,6,NA,8,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,37,"FLA","zag","Nulo",0,16.07,0,5.38,"Flamengo",1,11,4,26,29,29,NA,11,NA,14,2,NA,NA,NA,NA,NA,NA,NA
"294","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,37,"COR","mei","Suspenso",1.2,7.28,-0.53,2.67,"Corinthians",6,18,NA,23,17,35,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"295","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,37,"SAO","zag","Nulo",0,7.21,0,2.88,"São Paulo",5,30,3,10,34,38,NA,6,NA,7,1,NA,1,2,NA,NA,NA,NA
"296","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,37,"BOT","lat","Nulo",0,3.88,0,2.27,"Botafogo",NA,3,NA,1,21,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"297","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,37,"ATL","mei","Provável",-0.1,6.45,-0.89,3.32,"Atlético-MG",9,35,6,35,67,44,4,17,NA,NA,5,5,NA,NA,NA,NA,NA,NA
"298","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,37,"BOT","lat","Contundido",0,7.21,0,3.94,"Botafogo",5,24,2,35,40,34,NA,4,NA,4,1,NA,NA,1,NA,NA,NA,NA
"299","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,37,"CRU","zag","Suspenso",-2.8,9.64,-1.25,5.2,"Cruzeiro",6,19,5,16,35,39,NA,6,NA,7,3,1,NA,NA,NA,NA,NA,NA
"300","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,37,"ATL","gol","Provável",6,11.74,1.25,3.81,"Atlético-MG",2,NA,NA,4,24,NA,NA,NA,NA,10,NA,NA,NA,NA,62,43,NA,NA
"301","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,37,"AME","ata","Dúvida",0.9,5.23,-0.1,1.3,"América-MG",1,6,3,13,36,6,1,3,1,NA,1,2,NA,NA,NA,NA,NA,NA
"302","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2018/05/18/528786142cfbdf2221caa974ac75720e_FORMATO.png",60859,37,"GRE","ata","Nulo",-0.3,3.49,0.13,2.7,"Grêmio",2,24,5,22,45,7,2,7,1,NA,5,2,NA,NA,NA,NA,NA,1
"303","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,37,"INT","lat","Nulo",0,5.09,0,3.55,"Internacional",NA,1,NA,NA,8,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"304","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,37,"CEA","ata","Nulo",0.7,4.98,-0.41,2.1,"Ceará",1,23,10,28,46,19,3,11,NA,NA,1,1,NA,NA,NA,NA,NA,NA
