"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FS","I","PI","SG","CV","DD","GS","A","FD","FF","FT","G","DP","GC","PP"
"207","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png",81682,27,264,"mei","Nulo",9.7,10.66,-0.72,3.9,9,"264",1,7,5,4,NA,45,NA,NA,NA,NA,3,1,6,2,1,NA,NA,NA
"208","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,27,293,"lat","Provável",4.5,9.18,-0.46,3.23,9,"293",2,8,4,4,NA,50,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"209","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,27,282,"tec","Nulo",8.18,14.73,0.51,4.49,24,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,27,282,"zag","Nulo",7.7,8.54,0.87,3.32,17,"282",3,23,15,14,NA,81,6,NA,NA,NA,1,1,5,NA,1,NA,NA,NA
"211","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,27,293,"tec","Provável",7.87,9.29,0.82,3.24,21,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,27,282,"gol","Nulo",0,5.4,0,-9.2,1,"282",1,NA,NA,NA,NA,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"213","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,27,284,"mei","Provável",0.9,4.83,-0.05,1.67,15,"284",1,16,11,8,1,27,NA,NA,NA,NA,NA,3,5,NA,1,NA,NA,NA
"214","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,27,264,"mei","Nulo",3.4,10.96,-0.61,3.79,13,"264",5,19,18,38,2,82,NA,1,NA,NA,1,10,13,3,1,NA,NA,NA
"215","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,27,263,"ata","Nulo",0,1.85,0,1.5,1,"263",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2020/08/31/4322e71a5ba13c6f911158707a657254_FORMATO.png",81091,27,282,"mei","Contundido",0,7.29,0,2.93,18,"282",5,44,41,41,NA,63,NA,NA,NA,NA,2,1,7,NA,1,NA,NA,NA
"217","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,27,263,"mei","Provável",3.6,5.03,-0.18,2.1,5,"263",NA,3,NA,3,NA,6,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"218","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,27,263,"ata","Provável",0.1,2.42,-0.25,1.18,8,"263",1,2,10,9,NA,9,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA
"219","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,27,354,"mei","Nulo",0,3.4,0,1.48,13,"354",1,3,11,3,NA,24,NA,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA
"220","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,27,263,"mei","Provável",-0.5,6.03,-1.25,2.85,23,"263",5,39,35,36,3,118,NA,NA,NA,NA,NA,5,14,NA,4,NA,NA,NA
"221","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,27,354,"mei","Nulo",0,3.18,0,0.33,7,"354",NA,2,5,2,3,25,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"222","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,27,354,"zag","Nulo",0,5.45,0,2.36,19,"354",7,37,25,4,NA,57,6,1,NA,NA,NA,1,1,1,1,NA,NA,NA
"223","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,27,354,"mei","Provável",0,10.17,-1.18,6.56,19,"354",3,11,14,15,4,170,NA,NA,NA,NA,6,21,25,1,8,NA,NA,1
"224","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,27,354,"lat","Provável",10,7.78,1.09,3.62,20,"354",4,40,26,30,1,193,7,1,NA,NA,3,1,5,NA,1,NA,NA,NA
"225","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,27,354,"zag","Nulo",0,3.07,0,2.85,6,"354",1,8,2,1,NA,42,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA
"226","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,27,354,"mei","Nulo",0,2.38,0,0.5,10,"354",1,9,5,1,1,57,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA
"227","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,27,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,27,266,"gol","Provável",-1,0.87,-0.31,0.82,7,"266",NA,NA,NA,1,NA,68,1,NA,5,9,1,NA,NA,NA,NA,NA,NA,NA
"229","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,27,354,"lat","Nulo",-0.5,2.86,-0.13,1.22,9,"354",1,10,10,5,1,62,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA
"230","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,27,266,"zag","Contundido",0,5.7,0,2.68,19,"266",NA,29,11,13,3,102,4,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA
"231","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,27,266,"mei","Dúvida",6.6,4.85,1.06,2.2,18,"266",3,35,23,25,1,62,NA,NA,NA,NA,NA,3,6,NA,1,NA,NA,NA
"232","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,27,354,"gol","Nulo",0,3.94,0,2.2,4,"354",NA,NA,NA,3,NA,47,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"233","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/10/16/a6f8687af7ab25654568d0b1f3d32841_FORMATO.png",68696,27,356,"ata","Nulo",0.4,2.48,0.02,2.22,12,"356",2,10,15,11,NA,24,NA,NA,NA,NA,NA,3,3,1,2,NA,NA,NA
"234","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2020/08/11/87b4fea563db3d41db70885180069dfb_FORMATO.png",89883,27,266,"mei","Nulo",0,11.12,0,4.12,19,"266",3,64,23,34,NA,58,NA,NA,NA,NA,NA,4,10,NA,1,NA,NA,NA
"235","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,27,266,"zag","Suspenso",-0.5,5.45,-0.38,3.14,20,"266",3,35,15,30,NA,82,3,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA
"236","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,27,266,"lat","Nulo",0,5.11,0,2.94,17,"266",5,35,39,30,2,113,4,NA,NA,NA,3,1,7,NA,NA,NA,NA,NA
"237","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,27,354,"zag","Provável",1.6,6.13,-0.49,2.78,18,"354",6,30,15,14,2,88,6,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA
"238","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,27,266,"zag","Provável",0,3,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,27,354,"mei","Provável",3.3,4.45,0.31,2.21,21,"354",3,49,9,12,NA,64,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA
"240","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,27,266,"mei","Nulo",-2.7,0.98,-0.19,0.54,12,"266",4,20,21,6,NA,40,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA
"241","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,27,266,"ata","Nulo",0,2.6,0,0.6,11,"266",1,7,8,9,4,27,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
"242","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,27,354,"mei","Provável",5.1,12.88,0.7,4.42,24,"354",2,80,42,40,6,153,NA,NA,NA,NA,3,9,16,1,1,NA,NA,NA
"243","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,27,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,27,354,"ata","Nulo",0,5.26,0,1.85,17,"354",3,22,12,21,1,58,NA,1,NA,NA,1,3,7,NA,1,NA,NA,NA
"245","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,27,354,"zag","Provável",0.4,3.47,-0.75,1.83,6,"354",NA,2,2,2,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,27,266,"ata","Nulo",-0.5,2.02,0.27,0.48,16,"266",2,5,19,10,7,27,NA,NA,NA,NA,NA,5,4,NA,1,NA,NA,NA
"247","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,27,284,"zag","Dúvida",0,9.51,0,3.96,17,"284",1,35,13,6,NA,76,5,1,NA,NA,NA,2,5,1,2,NA,NA,NA
"248","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,27,354,"mei","Nulo",0,2.05,0,0.43,6,"354",3,7,8,8,NA,8,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"249","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,27,266,"ata","Provável",4.1,6.61,0.27,2.74,22,"266",NA,20,9,7,1,67,NA,NA,NA,NA,3,4,6,NA,3,NA,NA,NA
"250","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,27,266,"mei","Dúvida",3.9,6.92,0.05,3.17,19,"266",5,29,26,59,1,81,NA,NA,NA,NA,NA,8,16,1,1,NA,NA,NA
"251","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,27,354,"lat","Provável",1.6,8.38,-1.07,3.79,21,"354",1,56,28,25,NA,154,7,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA
"252","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,27,354,"mei","Dúvida",2.9,5.75,-1.23,2.71,20,"354",4,31,22,29,4,65,NA,NA,NA,NA,1,4,3,NA,3,NA,NA,NA
"253","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,27,266,"ata","Nulo",2.3,4.12,0.52,2.21,16,"266",1,15,11,12,3,43,NA,NA,NA,NA,1,2,5,NA,2,NA,NA,NA
"254","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,27,284,"zag","Nulo",-2.2,1.94,-0.62,0.74,9,"284",2,10,13,3,NA,43,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,27,354,"mei","Provável",2.2,6.76,0.23,2.73,22,"354",4,57,41,17,NA,92,NA,NA,NA,NA,1,4,8,NA,2,NA,NA,NA
"256","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,27,294,"mei","Provável",0,3.84,-0.05,1.46,20,"Coritiba",4,38,35,40,1,68,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"257","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,27,356,"mei","Nulo",0,2.57,0,0.66,15,"356",1,17,19,8,NA,24,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"258","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,27,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,27,284,"gol","Nulo",0,6.36,0,4.33,6,"284",NA,NA,NA,NA,NA,40,3,NA,5,5,1,NA,NA,NA,NA,NA,NA,NA
"260","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,27,354,"lat","Nulo",0,2.32,0,1.17,6,"354",3,13,9,8,2,51,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"261","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,27,356,"ata","Nulo",0.2,5.85,-0.1,2.46,22,"356",2,23,8,17,2,98,NA,NA,NA,NA,3,6,10,1,1,NA,NA,NA
"262","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,27,356,"zag","Dúvida",0,2.77,0,2.1,5,"356",NA,2,3,2,NA,10,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,27,264,"ata","Nulo",0,4.2,0,3.08,5,"264",NA,3,5,4,NA,15,NA,NA,NA,NA,NA,2,5,NA,1,NA,NA,NA
"264","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,27,284,"lat","Nulo",2.8,9.38,0.46,2.8,19,"284",1,37,21,19,2,124,7,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"265","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2020/08/18/3ca611370a41964d7e12a7d04a9474aa_FORMATO.png",80287,27,276,"ata","Provável",0.3,9.35,-0.39,6.17,20,"276",3,25,23,33,5,90,NA,NA,NA,NA,1,5,11,1,11,NA,NA,NA
"266","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,27,264,"mei","Nulo",10.3,6.64,1.61,2.82,11,"264",2,5,2,19,1,20,NA,NA,NA,NA,NA,4,4,NA,2,NA,NA,NA
"267","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,27,354,"ata","Nulo",0,6.41,0,1.74,14,"354",1,14,6,2,2,35,NA,NA,NA,NA,NA,5,6,NA,1,NA,NA,NA
"268","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,27,284,"mei","Nulo",2.8,10.85,-0.66,5.55,14,"284",1,18,13,39,4,116,NA,NA,NA,NA,4,14,18,1,1,NA,NA,NA
"269","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,27,284,"lat","Nulo",0,6,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,27,356,"mei","Nulo",-0.5,2.47,-0.35,-0.4,3,"356",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"271","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,27,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,27,373,"ata","Nulo",-1.1,4.95,-0.1,2.63,21,"373",1,21,19,23,1,129,NA,NA,NA,NA,3,6,12,NA,2,NA,NA,NA
"273","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,27,356,"zag","Provável",6.5,4,1.25,1.92,20,"356",3,21,23,9,3,78,7,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"274","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,27,264,"mei","Nulo",0,5.18,0,2.26,13,"264",NA,25,12,15,NA,30,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA
"275","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,27,354,"ata","Nulo",0,1.16,0,0.48,4,"354",NA,2,5,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,27,264,"zag","Nulo",0,2.05,0,0.57,7,"264",3,6,6,1,NA,35,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,27,356,"lat","Provável",3.7,6.57,0.68,2.73,16,"356",2,24,23,17,1,94,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"278","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,27,280,"mei","Provável",1,1.95,0.18,1.07,10,"280",2,9,11,4,NA,38,NA,NA,NA,NA,NA,5,5,1,NA,NA,NA,NA
"279","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,27,263,"ata","Provável",1.9,6.76,-2.63,3.72,18,"263",1,7,26,24,3,94,NA,NA,NA,NA,1,12,18,NA,5,NA,NA,NA
"280","Cléber Bomfim de Jesus","cleber","Cléber","https://s.glbimg.com/es/sde/f/2020/07/16/715ecd8cb7718372d50406be7b2b10d9_FORMATO.png",104125,27,354,"ata","Provável",-2.2,10.38,-2.05,3.58,24,"354",1,30,55,24,9,69,NA,NA,NA,NA,1,11,19,1,6,NA,NA,NA
"281","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,27,356,"zag","Suspenso",4.8,4.19,0.49,1.69,15,"356",5,17,17,14,NA,50,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"282","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,27,264,"ata","Nulo",0,1.96,0,3.7,4,"264",1,1,4,2,4,12,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA
"283","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,27,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,27,356,"mei","Provável",0,3.6,0,2.68,21,"356",5,39,31,29,NA,172,NA,1,NA,NA,3,4,18,NA,2,NA,NA,NA
"285","Antônio Josenildo Rodrigues de Oliveira","rodrigues","Rodrigues","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,27,284,"zag","Dúvida",0,1.98,-0.07,1.47,12,"284",3,6,5,3,2,49,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA
"286","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,27,264,"lat","Nulo",4.3,5.07,-0.15,3.19,14,"264",1,21,15,8,NA,106,5,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA
"287","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,27,284,"mei","Nulo",0,2.32,0,0.15,2,"284",NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,27,356,"ata","Nulo",0,2.41,0,-0.27,3,"356",NA,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
