"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FS","FT","PI","A","CA","FD","FF","G","DD","DP","GS","I","SG","PP","CV","GC"
"179","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,5,264,"mei","Nulo",0,3.43,0,-0.05,2,"Corinthians",1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,5,354,"mei","Nulo",1.8,3.12,-0.23,1.24,5,"Ceará",11,1,2,NA,13,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2019/03/28/290762becedf23c80b831f923f4b7b33_FORMATO.png",71787,5,354,"mei","Nulo",0,3,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,5,263,"zag","Provável",-0.3,3.1,-0.29,2.05,4,"Botafogo",1,1,2,NA,11,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"183","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,5,263,"ata","Nulo",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,5,263,"gol","Nulo",0,7,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,5,294,"ata","Provável",7.8,6.91,1.56,3.48,5,"Coritiba",3,3,13,1,27,NA,NA,1,3,1,NA,NA,NA,5,NA,NA,NA,NA
"186","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png",84428,5,354,"mei","Provável",11.4,12.83,1.92,6.8,5,"Ceará",23,13,8,NA,29,2,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2019/09/03/c5155b30c6acc6a38a5a757dbc17f60c_FORMATO.png",98765,5,282,"ata","Nulo",1.4,4.92,-0.39,2.76,5,"Atlético-MG",7,7,5,1,25,1,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"188","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,5,263,"lat","Provável",2.3,7.78,-0.18,5.3,4,"Botafogo",12,7,5,NA,14,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"189","Luis Henrique Tomaz de Lima","luis-henrique","Luis Henrique ","https://s.glbimg.com/es/sde/f/2020/07/20/838de214e88e75dcdc13c78f44cb20d1_FORMATO.png",105049,5,263,"ata","Provável",1,4.15,-0.35,1.58,4,"Botafogo",2,1,2,NA,36,NA,NA,5,3,NA,NA,NA,NA,2,NA,NA,NA,NA
"190","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2019/05/30/7d4922940f5a9f9151b4ed1421f520e9_FORMATO.png",88669,5,354,"ata","Provável",-0.3,5.33,-0.45,2.37,3,"Ceará",3,2,4,NA,15,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,5,263,"gol","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,5,354,"lat","Provável",5.7,7.36,0.87,2.95,4,"Ceará",13,11,5,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"193","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,5,354,"lat","Nulo",0,3.59,0,3.1,1,"Ceará",5,3,1,NA,12,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"194","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2019/03/28/124aa9812703927dd6cfd2001e5b1299_FORMATO.png",71882,5,354,"gol","Nulo",0,4,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,5,264,"mei","Nulo",0,5.43,0,2.77,3,"Corinthians",11,6,2,NA,17,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2019/03/28/731bd0c1760d7e08394c9726255ba348_FORMATO.png",72359,5,354,"zag","Provável",4.6,3.95,0.92,0.5,5,"Ceará",4,4,1,NA,18,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"197","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,5,354,"ata","Nulo",0,6,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,5,263,"ata","Nulo",0,9,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Ruan Renato Bonifácio Augusto","ruan-renato","Ruan Renato","https://s.glbimg.com/es/sde/f/2020/03/01/c173584f1d551208eea9c6fbac1fefe3_FORMATO.png",96047,5,263,"zag","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,5,264,"mei","Nulo",0,5.91,0,2.67,3,"Corinthians",8,2,1,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,5,263,"mei","Provável",-1.8,4.97,-2.11,2.83,4,"Botafogo",8,3,4,NA,20,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"202","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,5,354,"lat","Provável",5,4.59,1.55,0.52,5,"Ceará",11,12,4,NA,54,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"203","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,5,264,"ata","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,5,264,"lat","Nulo",0,5.82,0,4.65,2,"Corinthians",2,1,4,NA,12,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"205","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,5,354,"zag","Contundido",0,4.13,0,-0.3,1,"Ceará",NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2020/03/01/07d469e7953e91ccc61088458f4c6397_FORMATO.png",37798,5,354,"ata","Provável",4.1,7.67,0.46,2.46,5,"Ceará",2,3,1,2,14,NA,NA,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA
"207","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,5,263,"lat","Nulo",0,2.55,0,1,1,"Botafogo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,5,264,"ata","Nulo",0,2,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,5,293,"mei","Nulo",4.4,2.25,1.08,0.2,5,"Athlético-PR",5,8,4,NA,20,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,5,263,"mei","Provável",2,6.44,0.02,1.75,4,"Botafogo",5,7,8,NA,25,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,5,264,"mei","Dúvida",2,5.26,-0.11,1.47,3,"Corinthians",1,NA,6,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Sidcley Ferreira Pereira","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2020/03/02/d76b28f383366667813428ea01aaab63_FORMATO.png",86764,5,264,"lat","Provável",-0.2,7.52,-0.68,4.17,4,"Corinthians",11,4,8,NA,28,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
"213","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,5,354,"mei","Nulo",0,2.71,-0.07,-0.4,3,"Ceará",1,2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,5,264,"mei","Provável",2.8,5.56,0.4,0.93,4,"Corinthians",3,4,4,NA,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,5,264,"zag","Nulo",0,2,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Rhuan Silveira Castro","rhuan","Rhuan","https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png",102958,5,263,"ata","Nulo",-0.1,1.43,-0.17,0.28,4,"Botafogo",1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,5,354,"zag","Nulo",0,3,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,5,373,"ata","Nulo",0,4.14,0,1,1,"Atlético-GO",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,5,264,"ata","Provável",0.6,12.48,-1.27,5.6,4,"Corinthians",NA,3,3,NA,18,1,NA,4,3,2,NA,NA,NA,NA,NA,1,NA,NA
"220","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,5,354,"ata","Nulo",8.1,9.53,1.37,4.76,5,"Ceará",11,2,1,NA,15,NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"221","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,5,356,"mei","Suspenso",1.4,1.92,0.04,0.1,5,"Fortaleza",9,8,3,NA,44,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Thiago Ferreira Lopes","thiago-lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2020/03/03/b788fe92546ae0ee21f6330f4aa7ad45_FORMATO.png",92225,5,294,"mei","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/03/02/2da2700754fb23a9fcc3cbbe28cf447b_FORMATO.png",68696,5,354,"ata","Nulo",0,1.92,0,-0.25,2,"Ceará",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Tiago Retzlaff Nunes","tiago-nunes","Tiago Nunes","https://s.glbimg.com/es/sde/f/2020/07/19/5880fb87a06b73d003621b2224e9b408_FORMATO.png",98057,5,264,"tec","Provável",2.86,9.71,-0.32,4.14,4,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,5,354,"lat","Nulo",0,4.01,0,0.7,1,"Ceará",1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,5,356,"ata","Nulo",0,4,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,5,264,"gol","Nulo",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Carlos Augusto Zopalato Neves","carlos-augusto","Carlos Augusto","https://s.glbimg.com/es/sde/f/2020/07/21/83414670b3e87094f494cbb827a42be9_FORMATO.png",101803,5,264,"lat","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,5,264,"gol","Nulo",0,7,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,5,280,"zag","Provável",-1.2,6.73,-0.52,3.1,5,"Bragantino",10,6,4,NA,15,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"231","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,5,294,"zag","Provável",0.6,4.23,-0.24,1.53,3,"Coritiba",6,1,2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","William Matheus da Silva","william-matheus","William Matheus","https://s.glbimg.com/es/sde/f/2020/03/02/909543d62f7ce5eb46d841074c60bdb6_FORMATO.png",62130,5,294,"lat","Provável",6,4.26,0.88,2.4,5,"Coritiba",5,6,6,NA,48,2,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"233","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,5,264,"mei","Provável",0.5,4.56,-0.31,1.1,4,"Corinthians",4,3,2,NA,11,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Wanderson de Jesus Martins","caju","Caju","https://s.glbimg.com/es/sde/f/2020/08/26/9ae21301cf0ce3eba973f67c403ec409_FORMATO.jpeg",89342,5,290,"lat","Nulo",0,3,0,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,5,294,"ata","Nulo",-0.5,1.65,-0.52,0.57,3,"Coritiba",3,3,5,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2019/05/07/16dd4157b1d7457f46c1c3f0e15cfc70_FORMATO.png",104459,5,354,"ata","Nulo",0,0.74,0,-0.4,2,"Ceará",NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Cléber Bomfim de Jesus","cleber","Cléber","https://s.glbimg.com/es/sde/f/2020/07/16/715ecd8cb7718372d50406be7b2b10d9_FORMATO.png",104125,5,354,"ata","Nulo",7.1,12.01,1.47,4.96,5,"Ceará",2,9,2,NA,16,NA,NA,1,4,3,NA,NA,NA,1,NA,NA,NA,NA
"238","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,5,294,"zag","Provável",6.4,5.18,1.44,2.28,5,"Coritiba",5,4,2,1,31,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"239","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,5,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,5,264,"lat","Nulo",0,3.72,0,2.4,1,"Corinthians",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Luis Otavio Bonilha de Oliveira Santos","nene-bonilha","Nenê Bonilha","https://s.glbimg.com/es/sde/f/2020/03/06/40e51b15a020287ac0c09403de6a9214_FORMATO.png",73608,5,356,"mei","Nulo",0,3,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,5,294,"mei","Provável",3.8,3.84,0.87,1.85,2,"Coritiba",4,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,5,294,"mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,5,356,"gol","Nulo",0,2,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Victor Hugo Santana Carvalho","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/28/51d0ea8bb18b7deb239ab41038d9cf2a_FORMATO.png",95770,5,280,"mei","Contundido",0,3,0,0,0,"Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,5,264,"zag","Nulo",0,3.18,0,0.5,1,"Corinthians",1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2020/03/02/7e3f655d162981305619e91d2d72d345_FORMATO.png",50361,5,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,5,294,"zag","Nulo",-0.1,0.75,0.01,-2.17,3,"Coritiba",2,3,NA,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Igor Jesus Maciel da Cruz","igor-jesus","Igor Jesus","https://s.glbimg.com/es/sde/f/2020/03/03/c8f7399669dc0f941ccc95229f9e768f_FORMATO.png",104528,5,294,"ata","Nulo",1.3,1.94,-0.08,0.74,5,"Coritiba",2,5,11,NA,14,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA
"250","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2020/03/02/d39e2efa4d8440e5313bc3b78a139e22_FORMATO.png",68938,5,294,"mei","Contundido",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Wanderley Monteiro dos Santos Júnior","wanderley","Wanderley","https://s.glbimg.com/es/sde/f/2020/03/02/adc66f01748817e502445b3f068f8106_FORMATO.png",38449,5,294,"ata","Nulo",0,3.26,0,0.5,1,"Coritiba",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2020/03/06/e4bf45811b6c858824a076c5f69c6ae0_FORMATO.png",84523,5,356,"ata","Provável",9.2,9.05,1.75,4.58,5,"Fortaleza",5,3,9,NA,19,NA,NA,2,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"253","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,5,294,"ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,5,356,"lat","Nulo",0,5.45,0,2.97,3,"Fortaleza",7,NA,1,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,5,266,"ata","Nulo",0,2.7,0,-1.1,2,"Fluminense",NA,3,4,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Robson José Brilhante Martins","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/07/28/24d96e13fa7243a3ebaa5bf8a94bcdfd_FORMATO.png",97461,5,280,"ata","Nulo",1.3,2.47,-0.39,1.98,4,"Bragantino",3,2,1,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,5,356,"zag","Nulo",0,1.03,0,0.3,3,"Fortaleza",2,2,3,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
