"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","SG","A","FD","G","GS","CV","I","DD","DP","FT","GC","PP"
"191","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,20,373,"ata","Nulo",0,5.09,0,3,15,"373",1,19,14,8,18,93,NA,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"192","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,20,294,"mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,20,354,"tec","Provável",4.65,9.17,0.4,3.58,19,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,20,266,"mei","Provável",1.5,6.56,-0.34,3.11,15,"266",4,25,21,11,49,66,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA
"195","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,20,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,20,264,"mei","Provável",0.8,2.8,0.18,0.48,10,"264",2,13,15,NA,2,19,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"197","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,20,294,"ata","Provável",2.2,9.88,0.48,5.47,19,"Coritiba",3,25,32,24,40,96,NA,1,10,6,NA,NA,11,NA,NA,4,NA,NA
"198","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,20,264,"lat","Nulo",0,4.35,0,3.06,10,"264",1,18,11,3,7,82,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,20,266,"ata","Nulo",0.3,5.18,-0.22,1.35,16,"266",NA,11,6,5,2,40,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"200","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,20,264,"ata","Provável",0.3,4.34,-0.43,3.88,4,"264",NA,3,4,4,4,11,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"201","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,20,293,"tec","Provável",2.38,8.17,0.17,2.98,14,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,20,263,"mei","Nulo",0,4.72,0,0.67,3,"263",NA,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,20,266,"zag","Provável",5.3,6.69,-0.52,3.5,18,"266",2,33,14,4,28,74,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"204","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2020/03/02/5908e5d1c3f4f989e8bc1b27ccb7c65d_FORMATO.png",73281,20,264,"mei","Nulo",0,1.6,0,-0.7,3,"264",NA,4,5,1,2,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"205","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,20,264,"mei","Provável",0.5,4.11,-0.11,1.55,13,"264",5,31,18,2,12,56,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,20,294,"ata","Provável",3,6.37,0.38,0.24,5,"Coritiba",1,1,6,NA,2,7,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA
"207","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/01/21/85aa563c123a60bd623ab6053d632f1d_FORMATO.png",73515,20,294,"mei","Nulo",0,3.9,0,0.76,8,"Coritiba",NA,6,5,1,9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2020/07/21/bfd90faeec9d1f1103e6bcc353b87e20_FORMATO.png",69161,20,264,"ata","Nulo",0,5.25,0,0.13,7,"264",NA,NA,1,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Odair Hellmann","odair-hellmann","Odair Hellmann","https://s.glbimg.com/es/sde/f/2020/09/15/51596ac5f41f3ef6fbc80c02fc7ab63e_FORMATO.png",92273,20,266,"tec","Provável",2.54,9.56,-0.32,3.56,20,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,20,264,"mei","Nulo",0,5.32,0,2.19,9,"264",2,4,1,3,16,18,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"211","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,20,264,"zag","Contundido",0,6.45,0,2.83,10,"264",1,10,15,2,4,39,2,NA,6,2,NA,1,NA,NA,NA,NA,NA,NA
"212","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,20,264,"mei","Provável",1.8,6.15,0.04,2.18,13,"264",4,33,25,5,11,78,NA,NA,3,1,NA,NA,1,NA,NA,1,NA,NA
"213","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,20,282,"zag","Provável",6.2,8.54,1.08,3.61,13,"282",1,18,10,5,8,63,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"214","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,20,263,"lat","Nulo",0,3.2,0,3.15,2,"263",1,4,1,NA,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,20,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,20,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,3,1,2,6,20,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"217","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,20,282,"gol","Nulo",0,6.11,0,-7.2,1,"282",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"218","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,20,293,"mei","Nulo",0,2.37,0,0.88,13,"293",2,20,16,2,10,43,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,20,266,"mei","Nulo",0,1.41,0,0.81,9,"266",3,14,12,3,4,27,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,20,294,"ata","Nulo",0,1.1,0,-0.07,4,"Coritiba",2,3,5,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,20,294,"mei","Provável",3.7,4.65,0.23,1.91,15,"Coritiba",1,32,25,3,30,57,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"222","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,20,264,"mei","Nulo",0,5.7,0,1.49,10,"264",1,10,11,4,10,32,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,20,356,"zag","Provável",0.3,3.04,-0.4,2.04,16,"356",3,17,17,2,7,47,6,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA
"224","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,20,264,"mei","Nulo",0,5.2,-0.33,2.42,12,"264",NA,25,12,3,14,29,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,20,356,"ata","Provável",4.8,4.92,0.77,2.25,17,"356",3,15,34,12,19,57,NA,2,2,3,NA,NA,7,NA,NA,NA,NA,NA
"226","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png",100742,20,284,"mei","Provável",4.3,6.48,-0.02,1.12,14,"284",4,24,19,3,34,65,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"227","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,20,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/08/26/fdc588ab84ce9888cdb98fde023d0be2_FORMATO.jpeg",73789,20,290,"mei","Provável",0.8,2.54,-0.01,0.32,6,"290",NA,7,8,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,20,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,20,294,"zag","Nulo",0,4.64,0,1.92,6,"Coritiba",NA,9,2,NA,3,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,20,356,"mei","Provável",1.9,3.95,0.18,2.14,17,"356",5,30,26,13,21,133,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,20,356,"mei","Provável",5.5,5.67,0.66,2.3,16,"356",4,43,25,4,28,70,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA
"233","Miguel Ferreira Damasceno","miguel-figueira","Miguel Figueira","https://s.glbimg.com/es/sde/f/2020/08/26/3fa464ee6de9c64f2d753dc0dc419801_FORMATO.jpeg",102565,20,290,"mei","Nulo",0,1.37,0,0.52,6,"290",1,3,9,1,4,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2020/08/26/defba11bfc1c0574154c40932f23aefd_FORMATO.jpeg",102563,20,290,"mei","Nulo",0,3,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Kevin Martín Quevedo Mathey","quevedo","Quevedo","https://s.glbimg.com/es/sde/f/2020/08/26/54867caab3aa189c69f2374c4489689d_FORMATO.jpeg",102197,20,290,"ata","Nulo",0,0.85,0,0.4,1,"290",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,20,266,"ata","Provável",-0.8,3.52,-0.6,2.15,11,"266",NA,11,8,3,9,31,NA,1,1,1,NA,NA,3,NA,NA,NA,NA,NA
"237","Patrick de Oliveira Vieira","patrick-vieira","Patrick Vieira","https://s.glbimg.com/es/sde/f/2020/03/02/1b0ea475d6d2bdd4a6d337fb781b4752_FORMATO.png",78635,20,294,"lat","Nulo",0,4.64,0,1.55,4,"Coritiba",1,5,5,1,3,35,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"238","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,20,356,"lat","Nulo",0,6.47,0,4.63,10,"356",1,20,6,1,5,112,5,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"239","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,20,356,"lat","Nulo",0,6.45,0,3.05,12,"356",1,18,17,2,11,75,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"240","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,20,356,"ata","Nulo",0,2.59,0,-0.8,2,"356",NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"241","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2020/08/26/440d20f8bef7ed2efd9ebbb9c1b88e74_FORMATO.jpeg",80536,20,290,"ata","Nulo",0,5.41,-0.35,3.16,9,"290",4,9,17,9,28,25,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"242","Daniel Sartori Bessa","daniel-bessa","Daniel Bessa","https://s.glbimg.com/es/sde/f/2020/08/26/f8c7d3a76680619bf773e434179d4df4_FORMATO.jpeg",103591,20,290,"mei","Contundido",0,6.46,0,2.65,12,"290",3,23,19,4,9,74,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA
"243","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,20,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,20,356,"zag","Provável",-2.9,3.14,-0.91,2.1,10,"356",3,12,7,2,11,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,20,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,20,290,"ata","Provável",0,2.78,0,1.7,11,"290",2,9,9,5,15,60,NA,2,1,NA,NA,NA,3,NA,NA,1,NA,NA
"247","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,20,356,"zag","Contundido",0,1.67,0,1.38,9,"356",3,5,6,2,3,17,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"248","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,20,356,"gol","Nulo",0,3.76,0,11.4,1,"356",NA,NA,NA,NA,1,21,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"249","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,20,290,"gol","Nulo",0,0.77,0,-3.45,2,"290",1,NA,NA,NA,NA,29,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA
"250","Lucas Vinícius Gonçalves Silva","lucao-do-break","Lucão do Break","https://s.glbimg.com/es/sde/f/2020/08/26/327d8ca1e3d966621e0b1f2489f9b43a_FORMATO.jpeg",83199,20,290,"ata","Nulo",0,1.92,0,-2,1,"290",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Breno Washington Rodrigues da Silva","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/26/d2737704a379be01e8864b8345b30982_FORMATO.jpeg",106083,20,290,"mei","Suspenso",-7.4,2.84,-1.96,1.77,13,"290",3,39,29,4,12,40,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"252","Heron Crespo da Silva","heron","Heron","https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg",105339,20,290,"zag","Nulo",-0.1,0.79,0,-0.41,9,"290",2,6,8,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,20,373,"lat","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,20,284,"mei","Nulo",6.5,5.4,1.11,2.22,10,"284",1,20,12,3,5,28,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"255","Iago Pereira Mendonça","iago-mendonca","Iago Mendonça","https://s.glbimg.com/es/sde/f/2020/03/06/fbe3c389c73e71007b15dec8b347a229_FORMATO.png",105278,20,290,"zag","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,20,292,"mei","Provável",0.7,4.63,-1.27,2.72,13,"292",1,5,4,7,4,77,NA,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"257","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,20,356,"zag","Nulo",0,2.77,0,2.1,5,"356",NA,2,3,NA,2,10,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,20,356,"mei","Nulo",0,1.16,0,-0.25,7,"356",1,1,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Wanderson de Jesus Martins","caju","Caju","https://s.glbimg.com/es/sde/f/2020/08/26/9ae21301cf0ce3eba973f67c403ec409_FORMATO.jpeg",89342,20,290,"lat","Provável",0,3.42,-0.25,2.48,10,"290",NA,15,7,3,7,88,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,20,294,"zag","Provável",13,9.92,1.01,4.28,19,"Coritiba",1,30,7,5,17,101,5,NA,NA,4,NA,NA,1,NA,NA,1,1,NA
"261","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,20,284,"gol","Provável",8,6.76,1.15,4.24,5,"284",NA,NA,NA,NA,NA,38,2,1,NA,NA,5,NA,NA,5,NA,NA,NA,NA
"262","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,20,294,"ata","Nulo",0,1.29,0,-0.55,2,"Coritiba",NA,1,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,20,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,20,356,"ata","Provável",2,6.17,0.23,2.53,18,"356",2,20,8,9,14,81,NA,2,6,1,NA,NA,2,NA,NA,1,NA,NA
"265","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,20,282,"tec","Provável",8.44,14.99,1.19,4.57,19,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,20,284,"mei","Contundido",0,3.1,0,0.5,9,"284",1,8,6,3,2,31,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Sandro Raniere Guimarães Cordeiro","sandro","Sandro","https://s.glbimg.com/es/sde/f/2020/08/26/fe2e657982abf2a67f086ac44918fdad_FORMATO.jpeg",62111,20,290,"mei","Nulo",0.5,2.7,0.12,0.11,8,"290",3,12,14,1,7,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"268","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,20,262,"zag","Contundido",0,8.92,0,2.78,9,"Flamengo",1,18,9,3,3,16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,20,266,"ata","Provável",0.1,3.4,-0.6,2.1,12,"266",3,1,14,2,20,42,NA,2,4,2,NA,NA,2,NA,NA,NA,NA,NA
"270","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,20,266,"mei","Nulo",-0.8,4.47,-0.37,2.15,14,"266",2,16,7,3,7,47,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,20,262,"mei","Provável",0.9,7.49,0.2,1.27,17,"Flamengo",3,33,21,7,6,60,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
