"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","A","FD","FT","G","I","SG","DD","GS","CV","DP","GC","PP"
"178","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2020/08/17/679cc051b3529d05424bb6ea6e411411_FORMATO.png",52558,8,267,"mei","Nulo",0.7,3.72,0.12,0.5,4,"Vasco",NA,2,1,NA,1,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2020/08/17/f705407ead383caeb7ebe8d491851b04_FORMATO.png",74074,8,267,"lat","Contundido",0,3.71,0,3.45,2,"Vasco",NA,NA,5,NA,1,11,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"180","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,8,354,"tec","Provável",1.35,7.91,-0.47,3.74,8,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,8,263,"gol","Nulo",0,7,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,8,265,"ata","Provável",0.3,9.42,-1.69,5.19,7,"Bahia",NA,8,3,5,20,47,1,5,1,1,3,NA,NA,NA,NA,NA,NA,NA
"183","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,8,263,"ata","Provável",8.2,8.96,1.26,6,2,"Botafogo",NA,2,3,2,4,13,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"184","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,8,263,"mei","Provável",10,7.99,2.18,2.52,7,"Botafogo",NA,6,12,4,9,53,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"185","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,8,263,"gol","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/01/cf5f5294d88ef4802b88069761c1c47d_FORMATO.png",90715,8,284,"ata","Nulo",-0.3,5.32,-1.49,3.7,3,"Grêmio",NA,2,NA,NA,1,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"187","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,8,263,"lat","Nulo",0,3.48,0,1.74,5,"Botafogo",2,10,3,NA,5,33,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"188","Luiz Otávio Alves Marcolino","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/03/01/c0d9bec2c3fec7a81266729603ed2582_FORMATO.png",94269,8,263,"mei","Nulo",0,2.18,-0.13,0.54,7,"Botafogo",NA,4,2,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,8,263,"ata","Nulo",0,5.82,0,1.93,4,"Botafogo",1,2,8,4,6,20,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"190","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png",97425,8,282,"zag","Nulo",5,8.64,-0.35,6.2,2,"Atlético-MG",NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"191","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,8,263,"lat","Provável",0.1,7.36,-0.74,3.67,7,"Botafogo",NA,13,10,4,9,45,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"192","Márcio Almeida de Oliveira","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2020/03/01/80ca783f6c1ed5ef384d190eed6ccd34_FORMATO.png",93797,8,263,"lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Marcelo da Conceição Benevenuto Malaquias","marcelo-benevenuto","Marcelo Benevenuto","https://s.glbimg.com/es/sde/f/2019/03/22/0e2a859e1579e9ad52cd2edbc1297e88_FORMATO.png",95638,8,263,"zag","Provável",0,5.99,-1.07,2.19,7,"Botafogo",2,9,4,2,5,18,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"194","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,8,263,"lat","Nulo",0,2.55,0,1,1,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,8,263,"zag","Provável",4.6,5.01,-0.08,3.27,7,"Botafogo",NA,8,4,3,10,17,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"196","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,8,263,"lat","Contundido",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Rhuan Silveira Castro","rhuan","Rhuan","https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png",102958,8,263,"ata","Nulo",5.5,2.66,1.12,1.2,6,"Botafogo",NA,1,1,NA,6,8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"198","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,8,263,"ata","Provável",1.3,6.72,0.43,3.77,7,"Botafogo",2,12,15,5,22,25,1,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"199","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/07/23/dddef028f9e20a0ee451b41e0d30b74b_FORMATO.png",86143,8,265,"zag","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,8,263,"ata","Nulo",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,8,354,"lat","Suspenso",-0.9,5.07,-1.52,2.16,8,"Ceará",2,19,17,1,14,82,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA
"202","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/08/31/0c2bdf1145561ae501a551002dc8ca43_FORMATO.png",97898,8,282,"lat","Nulo",0,2.97,0,-0.1,1,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","José Rogério de Oliveira Melo","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2020/08/31/ef8bbe5f855514c0e2f7ff55805eed3e_FORMATO.png",73540,8,292,"ata","Nulo",0,5,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,8,354,"mei","Nulo",0,2.71,0,-0.4,3,"Ceará",NA,1,2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,8,263,"ata","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,8,265,"lat","Nulo",0,4.83,0,1.1,5,"Bahia",1,3,3,3,NA,14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"207","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,8,282,"ata","Provável",-3.5,3.23,-0.8,0.47,7,"Atlético-MG",1,2,7,2,7,34,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"208","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,8,263,"ata","Nulo",0,3,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,8,265,"lat","Nulo",0,4.26,0,-0.8,1,"Bahia",NA,1,2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,8,354,"ata","Dúvida",0.2,7.96,-0.09,3.1,8,"Ceará",NA,11,3,5,2,25,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"211","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,8,354,"zag","Nulo",0,3,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Luis Henrique Tomaz de Lima","luis-henrique","Luis Henrique ","https://s.glbimg.com/es/sde/f/2020/07/20/838de214e88e75dcdc13c78f44cb20d1_FORMATO.png",105049,8,263,"ata","Nulo",0,4.76,0,2.1,5,"Botafogo",NA,3,2,3,4,40,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"213","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,8,263,"mei","Provável",4.2,5.61,0.86,2.4,6,"Botafogo",3,12,6,2,9,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"214","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png",101319,8,282,"lat","Provável",10.5,14.56,1.63,6.63,6,"Atlético-MG",1,14,6,2,6,42,1,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA
"215","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,8,354,"mei","Provável",5.7,12.86,0.74,6.13,8,"Ceará",1,31,19,7,20,56,3,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"216","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,8,354,"gol","Nulo",0,4,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,8,354,"zag","Provável",2.9,6,-0.21,3.78,4,"Ceará",1,10,5,1,3,27,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"218","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,8,354,"mei","Provável",-0.6,3.38,-0.45,1.66,8,"Ceará",2,17,4,NA,6,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Bruno da Silva Costa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2020/08/31/e7352c3473a9982692873241b541f584_FORMATO.png",101422,8,282,"ata","Nulo",0,1.68,0,0.75,2,"Atlético-MG",NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,8,265,"mei","Suspenso",6.3,3.88,1.32,1.5,6,"Bahia",3,14,14,2,6,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,8,265,"mei","Provável",-0.7,3.99,-1.72,2.38,6,"Bahia",NA,6,7,2,8,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"222","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,8,354,"ata","Suspenso",-3.2,4.82,-1.12,1.65,6,"Ceará",2,10,6,4,9,27,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"223","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,8,282,"ata","Nulo",-0.6,10.29,-0.29,4.31,7,"Atlético-MG",NA,6,8,1,2,10,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"224","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,8,354,"lat","Suspenso",-5.6,6.36,-2.18,2.93,7,"Ceará",NA,19,15,NA,9,55,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA
"225","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,8,354,"mei","Nulo",0,2.1,0,0.4,4,"Ceará",2,4,5,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,8,354,"zag","Contundido",0,4.13,0,-0.3,1,"Ceará",NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,8,354,"ata","Contundido",0,6,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,8,265,"lat","Provável",1.8,7.38,0.46,3.52,5,"Bahia",1,13,7,1,4,51,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"229","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,8,282,"mei","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,8,265,"mei","Nulo",0,3.98,0,4.67,3,"Bahia",NA,NA,NA,NA,3,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"231","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,8,354,"mei","Provável",2.9,6.09,0.26,2.61,8,"Ceará",1,25,17,2,3,29,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Gustavo Henrique Santos","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/08/31/a66028d14e1ccfc443e22f7adb4afb0e_FORMATO.png",107963,8,282,"zag","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Gregore de Magalhães da Silva","gregore","Gregore","https://s.glbimg.com/es/sde/f/2020/07/23/d4779b1c4479f06f665d796b9eb346b7_FORMATO.png",95464,8,265,"mei","Provável",-1.5,5.97,-0.57,0.46,5,"Bahia",4,18,15,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,8,354,"mei","Dúvida",-0.3,4.89,-1.2,2.08,5,"Ceará",3,7,5,NA,7,15,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"235","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,8,265,"gol","Nulo",0,0.76,0,-1.23,4,"Bahia",NA,NA,NA,NA,1,34,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA
"236","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,8,354,"ata","Nulo",0,0.74,0,-0.4,2,"Ceará",NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,8,265,"gol","Contundido",0,9.99,0,4.6,3,"Bahia",NA,NA,NA,NA,2,22,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA
"238","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,8,354,"lat","Provável",0,3.59,0,3.1,1,"Ceará",NA,5,3,1,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"239","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,8,265,"mei","Nulo",0,1.41,0,0.9,4,"Bahia",NA,1,2,1,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,8,293,"mei","Provável",2.9,2.27,0.64,0.56,7,"Athlético-PR",1,9,9,1,4,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,8,264,"mei","Dúvida",3.7,11.55,-0.42,3.63,3,"Corinthians",1,3,4,3,5,16,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,8,265,"lat","Provável",2.8,9.01,-0.21,3.9,6,"Bahia",1,23,4,1,5,51,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"243","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,8,265,"mei","Nulo",-0.5,1.42,-0.58,-0.5,1,"Bahia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Matheus Bonifácio Saldanha Marinho","saldanha","Saldanha","https://s.glbimg.com/es/sde/f/2020/07/16/61b9f7b4e75ec5b35b48d42b3b848e54_FORMATO.png",107088,8,265,"ata","Nulo",0,1.35,0,0.38,6,"Bahia",NA,NA,3,4,1,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"245","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,8,265,"zag","Provável",0.2,5.91,-0.42,3.06,5,"Bahia",NA,2,2,1,1,24,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"246","Ignácio da Silva Oliveira","ignacio","Ignácio","https://s.glbimg.com/es/sde/f/2020/07/23/0308ff1c9b877ec30d7af71867c8e6f1_FORMATO.png",103523,8,265,"zag","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,8,282,"ata","Nulo",0.4,4.61,-0.1,2.17,7,"Atlético-MG",NA,10,8,2,5,26,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"248","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,8,265,"mei","Dúvida",0,4.12,0,1.7,2,"Bahia",NA,3,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,8,282,"mei","Provável",1.8,12.79,-0.75,5.57,7,"Atlético-MG",1,11,10,8,12,51,1,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"250","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,8,282,"mei","Contundido",0,10.94,0,6.7,2,"Atlético-MG",NA,6,2,1,NA,6,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"251","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png",68928,8,282,"gol","Provável",8.3,10.41,0.76,3.5,7,"Atlético-MG",NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA
"252","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/07/19/6b2dbf503589c5cd94793b949e37ab80_FORMATO.png",36943,8,263,"tec","Provável",3.99,8.46,0.21,3.31,7,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,8,282,"zag","Nulo",0,7.83,0,2.8,1,"Atlético-MG",1,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"254","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2020/08/31/3e81a4b7346c3b3aec5a43ccf3aa2197_FORMATO.png",89493,8,282,"zag","Provável",7.8,13.49,1.06,5.94,5,"Atlético-MG",NA,6,6,NA,5,18,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA
"255","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,8,282,"zag","Nulo",0,7.48,0,2.87,3,"Atlético-MG",NA,5,2,NA,3,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"256","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,8,282,"zag","Provável",3.7,11.83,-1.01,5.56,7,"Atlético-MG",2,19,7,4,NA,38,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA
