"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","A","CA","DD","GS","SG","GC","PP","FT","DP","CV"
"178","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,7,277,"gol","Provável",-4.1,5.88,-1.93,6.44,5,"Santos",NA,NA,NA,NA,2,NA,NA,18,NA,NA,10,6,1,NA,NA,NA,NA,NA
"179","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,7,267,"ata","Provável",11.4,13.28,2.21,6.23,6,"Vasco",1,3,3,2,2,4,4,13,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"180","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,7,265,"mei","Nulo",5.3,3.98,-0.01,4.67,3,"Bahia",NA,NA,NA,NA,3,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,7,277,"lat","Nulo",0,3,0,-0.6,2,"Santos",NA,NA,1,NA,2,NA,1,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"182","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,7,265,"lat","Provável",5.5,9.22,0.55,4.12,5,"Bahia",17,3,1,1,5,NA,NA,44,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"183","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,7,277,"zag","Provável",3.9,6.35,0.58,2.73,7,"Santos",8,NA,NA,1,5,NA,NA,22,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"184","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,7,265,"zag","Dúvida",0,6.33,0,3.78,4,"Bahia",2,1,1,1,1,1,NA,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"185","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,7,267,"mei","Provável",4.7,9.25,0.35,4.18,6,"Vasco",24,7,1,4,15,NA,1,48,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"186","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,7,265,"ata","Provável",12.3,11.11,2.25,6,6,"Bahia",8,3,5,5,17,1,2,40,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"187","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,7,267,"lat","Provável",-0.9,7.05,-0.69,2.47,3,"Vasco",4,6,1,1,2,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"188","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,7,277,"ata","Nulo",0,3.33,0,0.6,1,"Santos",NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2020/03/09/c51996a402c33b6efe07a6e733476941_FORMATO.png",78548,7,277,"mei","Nulo",0,3.55,-0.47,1.3,4,"Santos",4,3,NA,3,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,7,277,"ata","Provável",4.2,5.84,0.22,4.2,2,"Santos",4,4,2,1,9,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,7,265,"gol","Contundido",0,9.99,0,4.6,3,"Bahia",NA,NA,NA,NA,2,NA,NA,22,NA,NA,3,1,1,NA,NA,NA,NA,NA
"192","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,7,267,"mei","Provável",3.4,5.44,0.33,2.94,5,"Vasco",13,16,1,2,11,NA,NA,26,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"193","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,7,292,"ata","Nulo",0,1.7,0,-0.22,6,"Sport",1,3,NA,NA,7,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"194","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,7,282,"ata","Nulo",0.1,10.58,-0.67,5.13,6,"Atlético-MG",6,7,7,1,2,2,NA,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"195","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/02/28/5db2e42db98f2ac9bc8d90e9636d8f9a_FORMATO.png",80129,7,265,"mei","Nulo",1.3,3.02,-0.23,1.05,2,"Bahia",1,1,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,7,265,"mei","Nulo",3.5,4.12,0.4,1.7,2,"Bahia",3,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,7,265,"mei","Nulo",0,1.41,0,0.9,4,"Bahia",1,2,1,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,7,282,"mei","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,7,277,"mei","Nulo",-0.3,3.8,0.06,0.83,6,"Santos",12,8,NA,2,7,NA,1,36,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"200","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,7,265,"mei","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,7,265,"ata","Provável",0,5.43,-0.15,2.12,6,"Bahia",8,7,2,1,9,1,2,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"202","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,7,354,"zag","Provável",6,6.21,0.66,4.07,3,"Ceará",7,4,NA,NA,2,NA,NA,18,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"203","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/07/23/dddef028f9e20a0ee451b41e0d30b74b_FORMATO.png",86143,7,265,"zag","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,7,354,"mei","Nulo",0,2.71,0,-0.4,3,"Ceará",1,2,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,7,265,"ata","Nulo",0,4.25,0,0.83,3,"Bahia",2,1,NA,1,3,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,7,265,"lat","Nulo",-1.1,6.92,-0.82,3.95,4,"Bahia",9,5,2,1,3,NA,NA,34,1,1,NA,NA,1,NA,NA,NA,NA,NA
"207","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,7,284,"mei","Nulo",0,3.72,0,-0.23,3,"Grêmio",2,3,NA,NA,1,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,7,265,"mei","Dúvida",0,2.56,0,0.54,5,"Bahia",10,12,NA,1,6,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"209","Matheus Bonifácio Saldanha Marinho","saldanha","Saldanha","https://s.glbimg.com/es/sde/f/2020/07/16/61b9f7b4e75ec5b35b48d42b3b848e54_FORMATO.png",107088,7,265,"ata","Nulo",0.4,1.35,0.04,0.38,6,"Bahia",NA,3,1,4,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,7,265,"lat","Provável",1.5,4.83,-0.13,1.1,5,"Bahia",3,3,NA,3,NA,NA,NA,14,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"211","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,7,354,"gol","Nulo",0,4,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,7,263,"gol","Nulo",0,7,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,7,263,"ata","Provável",3.8,7.7,-1.3,3.8,1,"Botafogo",2,2,1,1,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,7,354,"zag","Nulo",0,3,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,7,354,"mei","Provável",3.3,12.12,-0.44,6.19,7,"Ceará",26,16,4,7,16,NA,3,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"216","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,7,265,"lat","Nulo",0,4.26,0,-0.8,1,"Bahia",1,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,7,265,"mei","Dúvida",11.3,5.71,2.49,3,5,"Bahia",6,6,NA,2,8,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,7,282,"ata","Nulo",1,4.71,-0.21,2.47,6,"Atlético-MG",9,7,1,2,5,NA,3,25,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"219","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,7,354,"ata","Provável",2.3,5.94,-0.17,2.62,5,"Ceará",10,3,1,3,5,NA,1,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"220","Tiago Retzlaff Nunes","tiago-nunes","Tiago Nunes","https://s.glbimg.com/es/sde/f/2020/07/19/5880fb87a06b73d003621b2224e9b408_FORMATO.png",98057,7,264,"tec","Provável",3.13,9.72,0.02,3.73,6,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Ignácio da Silva Oliveira","ignacio","Ignácio","https://s.glbimg.com/es/sde/f/2020/07/23/0308ff1c9b877ec30d7af71867c8e6f1_FORMATO.png",103523,7,265,"zag","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,7,354,"ata","Nulo",0,6,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,7,264,"mei","Nulo",0.3,5.23,-1.27,2.22,6,"Corinthians",15,9,1,1,5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,7,263,"mei","Provável",0.3,5.81,-0.22,1.27,6,"Botafogo",5,10,4,3,9,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,7,264,"zag","Nulo",0,3.18,0,0.5,1,"Corinthians",1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,7,354,"zag","Contundido",0,4.13,0,-0.3,1,"Ceará",NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/01/cf5f5294d88ef4802b88069761c1c47d_FORMATO.png",90715,7,284,"ata","Nulo",0,6.81,0,5.7,2,"Grêmio",2,NA,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,7,263,"gol","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,7,354,"lat","Provável",5.9,8.54,0.01,4.35,6,"Ceará",18,13,NA,NA,8,NA,NA,44,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"230","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,7,264,"ata","Nulo",0,2,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Márcio Almeida de Oliveira","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2020/03/01/80ca783f6c1ed5ef384d190eed6ccd34_FORMATO.png",93797,7,263,"lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,7,264,"gol","Nulo",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,7,354,"mei","Provável",1.4,2.1,0.24,0.4,4,"Ceará",4,5,NA,2,6,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"234","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,7,354,"mei","Nulo",0,6.09,0,2.68,4,"Ceará",6,3,2,NA,6,1,NA,12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"235","Luiz Otávio Alves Marcolino","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/03/01/c0d9bec2c3fec7a81266729603ed2582_FORMATO.png",94269,7,263,"mei","Nulo",0.7,2.31,-0.11,0.63,6,"Botafogo",4,2,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,7,263,"lat","Nulo",0,3.48,0,1.74,5,"Botafogo",10,3,NA,NA,5,NA,NA,33,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"237","Gustavo Bonatto Barreto","barreto","Barreto","https://s.glbimg.com/es/sde/f/2020/07/28/e95902a65fad3f184265acdc8e406087_FORMATO.png",89224,7,280,"mei","Nulo",0,3.64,0,0.55,2,"Bragantino",2,2,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,7,263,"ata","Provável",1.2,5.82,0.58,1.93,4,"Botafogo",2,8,NA,4,6,1,1,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"239","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2020/07/28/10421e422ea8a27f59d89f98423c8dab_FORMATO.png",88423,7,280,"lat","Provável",0.5,8.88,0.17,2.45,7,"Bragantino",26,15,1,4,5,NA,NA,62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"240","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,7,280,"mei","Provável",3.8,4.44,0.51,2.28,6,"Bragantino",21,16,NA,6,9,NA,NA,26,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"241","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,7,354,"mei","Provável",2.5,5.83,-0.07,2.57,7,"Ceará",23,15,NA,1,3,NA,NA,28,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"242","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2020/07/21/bfd90faeec9d1f1103e6bcc353b87e20_FORMATO.png",69161,7,264,"ata","Nulo",0,6.47,0,-0.1,2,"Corinthians",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,7,263,"lat","Provável",5,8.1,0.99,4.27,6,"Botafogo",12,10,NA,4,8,NA,NA,36,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"244","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,7,280,"zag","Nulo",0,0.93,0,-0.4,4,"Bragantino",8,5,NA,NA,2,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"245","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,7,264,"gol","Nulo",0,7,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,7,354,"lat","Nulo",0,3.59,0,3.1,1,"Ceará",5,3,NA,1,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,7,263,"gol","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2020/03/02/5908e5d1c3f4f989e8bc1b27ccb7c65d_FORMATO.png",73281,7,294,"mei","Nulo",0,1.6,0,-0.7,3,"Coritiba",4,5,NA,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"249","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2020/07/28/e7ad33aff8b2ab2890e6f1e782d86362_FORMATO.png",101715,7,280,"ata","Contundido",0,11.02,0,6.72,5,"Bragantino",3,4,2,3,8,3,3,17,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"250","Artur Victor Guimarães","artur","Artur","https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png",95799,7,280,"ata","Provável",0.4,11.95,-1,3.03,7,"Bragantino",7,5,4,8,20,NA,2,65,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"251","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,7,264,"zag","Provável",7.7,6.72,1.73,3.22,6,"Corinthians",8,10,3,1,2,1,NA,21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"252","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,7,354,"ata","Nulo",0.2,8.05,-0.34,3.52,7,"Ceará",11,2,3,5,2,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Marcelo da Conceição Benevenuto Malaquias","marcelo-benevenuto","Marcelo Benevenuto","https://s.glbimg.com/es/sde/f/2019/03/22/0e2a859e1579e9ad52cd2edbc1297e88_FORMATO.png",95638,7,263,"zag","Provável",7.3,7.06,1.43,2.55,6,"Botafogo",7,3,NA,2,4,NA,NA,18,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"254","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,7,263,"lat","Nulo",0,2.55,0,1,1,"Botafogo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,7,264,"mei","Provável",-0.4,2.9,-0.53,-0.17,3,"Corinthians",2,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,7,264,"mei","Nulo",3,4.59,0.63,2.14,5,"Corinthians",13,7,NA,NA,5,NA,NA,23,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"257","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,7,354,"ata","Nulo",0,0.74,0,-0.4,2,"Ceará",NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
