"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","CV","SG","A","DD","DP","GS","FT","GC","PP"
"185","Lucas Lourenço Andrade","lucas-lourenco","Lucas Lourenço","https://s.glbimg.com/es/sde/f/2018/03/21/f7982f701870b51a5c2699877f0f30c6_FORMATO.png",101580,14,277,"mei","Nulo",-2.6,2,-1.18,0.83,4,"Santos",1,6,5,1,1,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2020/09/24/466b1e0c94a4b7fe9eab500c429d91be_FORMATO.png",54395,14,265,"mei","Provável",1.8,9.42,-0.22,1.1,2,"265",NA,2,1,NA,1,2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Vinicius Milani Bueno","milani","Milani","https://s.glbimg.com/es/sde/f/2020/09/24/2d3cd30922ec8cb50738decdc8bd86f1_FORMATO.png",110188,14,262,"zag","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Igor Morais Carvalho","igor","Igor","https://s.glbimg.com/es/sde/f/2020/09/29/76f776e501b44c536be796644b94eb72_FORMATO.png",105887,14,264,"zag","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Richard Rios Montoya","richard-rios","Richard Rios","https://s.glbimg.com/es/sde/f/2020/09/24/b167c28d9ebf8bdea4bdb2823aed2296_FORMATO.png",107111,14,262,"mei","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Yuri de Oliveira","yuri-de-oliveira","Yuri de Oliveira","https://s.glbimg.com/es/sde/f/2020/09/24/44a977be355ae4ac44c218ce35daa72a_FORMATO.png",110190,14,262,"mei","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Otávio Ataide da Silva","otavio","Otávio","https://s.glbimg.com/es/sde/f/2020/09/24/8cbc0bff17eaf390ffb3ae97064a3cd9_FORMATO.png",110189,14,262,"zag","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Andrew da Silva Ventura","andrew","Andrew","https://s.glbimg.com/es/sde/f/2019/03/28/6bb49f946fbf4eb4e9fa370948141d04_FORMATO.png",103183,14,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","José Roberto Assunção de Araújo Filho","ze-roberto","Zé Roberto","https://s.glbimg.com/es/sde/f/2020/09/24/92e625f2f61fcc7b47312d5c8e899f76_FORMATO.png",80076,14,373,"ata","Provável",1.6,3.24,0.61,-1,2,"373",1,1,4,NA,1,4,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2020/10/06/1e5d2511be625adda18aa1b5728bdabb_FORMATO.png",71549,14,263,"ata","Nulo",0,4,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Wesley Júnior da Silva Araújo","wesley","Wesley ","https://s.glbimg.com/es/sde/f/2020/09/30/5911c3e28dfb5530484694fb16c8fe5a_FORMATO.png",107517,14,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Gabriel Rodrigues Noga","gabriel-noga","Gabriel Noga","https://s.glbimg.com/es/sde/f/2020/09/24/3fff46cdd51ae4c51550bdc35b8b98fe_FORMATO.png",107107,14,262,"zag","Nulo",0,0.79,0,-1.3,1,"Flamengo",1,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Wendel Lessa de Macedo Gonçalves","wendel","Wendel","https://s.glbimg.com/es/sde/f/2020/09/30/efbf80afd762b35124cdf263fd02a3a2_FORMATO.png",107519,14,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Romildo Del Piage de Souza","romildo","Romildo","https://s.glbimg.com/es/sde/f/2020/09/30/adfe338d662135f7233e4762688716a1_FORMATO.png",107972,14,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Lázaro Vinicius Marques","lazaro","Lázaro","https://s.glbimg.com/es/sde/f/2020/09/24/37e5fc1f9ead239d4e673aadc291e8db_FORMATO.png",110193,14,262,"ata","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Dhouglas Francisco de Souza Rodrigues","dhouglas","Dhouglas","https://s.glbimg.com/es/sde/f/2020/09/25/1818bb4633cf442d563554d960f49f84_FORMATO.png",110207,14,262,"mei","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Gustavo Cascardo de Assis","cascardo","Cascardo","https://s.glbimg.com/es/sde/f/2020/09/25/8da2a9ebf1fe26a94626114c196697ed_FORMATO.png",90587,14,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Maxuel De Cassio Da Silva","maxuel","Maxuel","https://s.glbimg.com/es/sde/f/2020/09/30/e21c14cf8d77c6d7a5369d7d2005ea25_FORMATO.png",110236,14,263,"ata","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Paulo Victor da Costa Miranda Alves","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2020/02/27/74ddc254a8569f1942f11d75089de911_FORMATO.png",107373,14,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Christian Henrique Mora De Oliveira Silva","christian","Christian","https://s.glbimg.com/es/sde/f/2020/09/28/0003493891d36cb8e16cf815e5da38e0_FORMATO.png",110210,14,266,"ata","Nulo",0,0.78,-0.22,0,1,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","João Victor Vaz Lopes Pinto","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/09/30/3709478ac932eba7f079543c8389eafb_FORMATO.png",110235,14,263,"ata","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Elivelton Guedes Alves da Silva","elivelton","Elivelton ","https://s.glbimg.com/es/sde/f/2020/09/30/3afdcde41a6b5186c650158eb6ddb9d2_FORMATO.png",107515,14,263,"lat","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2020/10/01/2033beab4b12f85b4a6055fd75aa9f20_FORMATO.jpeg",62137,14,290,"tec","Provável",1.93,5.03,0.09,2.1,2,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Wisney Junio Dias Carvalho","wisney","Wisney","https://s.glbimg.com/es/sde/f/2020/09/28/7243d21ae835744deba15dbddfbc769b_FORMATO.png",107374,14,266,"lat","Nulo",-0.1,2.64,-0.47,2.45,2,"266",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"209","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,14,266,"mei","Provável",7,13.95,0.88,5.94,12,"266",2,10,6,5,14,23,6,NA,135,NA,NA,1,NA,NA,NA,NA,NA,NA
"210","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,14,356,"ata","Provável",0,7.9,0,3.2,13,"356",NA,3,15,4,3,13,4,4,27,NA,NA,1,NA,NA,NA,NA,NA,NA
"211","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/03/03/c3634cab50166de94d02500e557e0be7_FORMATO.png",101727,14,262,"lat","Provável",5.8,3.23,0.91,2.86,5,"Flamengo",1,4,2,3,NA,2,NA,NA,13,NA,1,1,NA,NA,NA,NA,NA,NA
"212","Higor Gabriel Fernandes Alves","higor","Higor","https://s.glbimg.com/es/sde/f/2020/09/28/d5b189fb235bef5c9a534ba19078842e_FORMATO.png",107371,14,266,"zag","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,14,356,"gol","Provável",-0.1,3.4,-0.69,1.87,14,"356",NA,2,NA,NA,NA,3,NA,NA,163,NA,5,NA,9,NA,11,NA,NA,NA
"214","Mattheus Andrade Gama de Oliveira","mattheus","Mattheus","https://s.glbimg.com/es/sde/f/2020/09/30/38d8d1bd4dd6f381d7dcabac2692be19_FORMATO.png",79023,14,294,"mei","Nulo",0,4,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Gustavo Mantuan","gustavo-mantuan","Gustavo Mantuan","https://s.glbimg.com/es/sde/f/2020/10/06/5747ef4308b1b0b58fbf4534b72b3b56_FORMATO.png",110270,14,264,"mei","Provável",2.4,2.75,0.69,2.4,1,"264",NA,2,3,NA,1,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Arthur Henrique Bittencourt","arthur","Arthur","https://s.glbimg.com/es/sde/f/2019/01/25/5f0f0047f511d254fd9d18a7ef986daa_FORMATO.png",101173,14,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Pablo Thiago Ferreira Thomaz","pablo-thomaz","Pablo Thomaz","https://s.glbimg.com/es/sde/f/2020/09/30/a7b22d74d41827304b8a71b4c57641d3_FORMATO.png",102797,14,294,"ata","Nulo",0,0.78,-0.01,-0.1,2,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2019/09/27/75459ae60b5baaac5178846f60fbfbed_FORMATO.png",97341,14,356,"tec","Provável",2.42,7.13,-0.24,2.93,14,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,14,262,"ata","Nulo",0,5.91,0,1.99,7,"Flamengo",1,6,8,3,8,2,NA,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA
"220","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2020/09/30/c3837242699175707c6731e85daf4905_FORMATO.png",61149,14,266,"ata","Nulo",0,5,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,14,263,"gol","Provável",5.6,6.46,0.16,2.24,5,"263",1,NA,1,NA,NA,NA,NA,NA,33,NA,NA,NA,6,1,7,NA,NA,NA
"222","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,14,262,"zag","Nulo",0,2.37,0,-0.6,2,"Flamengo",1,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,14,262,"ata","Nulo",0,2.67,-0.07,0,5,"Flamengo",NA,NA,1,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,14,294,"mei","Provável",2.7,2.93,0.52,1.04,8,"Coritiba",2,15,13,NA,3,8,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,14,262,"mei","Provável",2.7,9.01,0.14,1.99,9,"Flamengo",3,17,23,2,6,30,NA,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,14,262,"mei","Provável",4.6,6.15,-0.01,2.47,6,"Flamengo",NA,17,9,2,2,2,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,14,262,"lat","Contundido",0,4.17,0,3.55,2,"Flamengo",1,4,6,NA,1,7,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA
"228","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,14,262,"ata","Provável",18.1,7.45,1.7,5.02,10,"Flamengo",1,3,9,7,6,7,5,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,14,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,2,NA,5,NA,NA,NA
"230","Bruno Amorim Lazaroni","bruno-lazaroni","Bruno Lazaroni","https://s.glbimg.com/es/sde/f/2020/10/01/f7eee1479a48b3dba9d84bf2a20a0d56_FORMATO.png",102887,14,263,"tec","Provável",3.58,8.74,0.27,3.61,2,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,14,282,"ata","Nulo",0.2,4.12,-0.18,1.63,9,"282",NA,11,12,1,3,5,NA,3,29,NA,NA,1,NA,NA,NA,1,NA,NA
"232","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/10/08/9ecaaf3e38f88ba70257b2b3159c437e_FORMATO.png",38311,14,292,"mei","Nulo",0,5,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Alexandre Grasseli de Souza","alexandre-grasseli","Alexandre Grasseli","https://s.glbimg.com/es/sde/f/2020/10/08/3351608c84bab6ff980d027915b9d217_FORMATO.png",83423,14,267,"tec","Provável",0,9.42,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,14,284,"ata","Provável",-0.8,8.27,-0.46,1.43,10,"284",2,5,16,3,8,12,2,1,62,NA,NA,NA,NA,NA,NA,NA,NA,1
"235","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,14,262,"ata","Nulo",0,3.82,0,1.33,3,"Flamengo",NA,1,2,NA,NA,1,NA,NA,15,NA,NA,1,NA,NA,NA,NA,NA,NA
"236","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,14,263,"gol","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,14,356,"ata","Nulo",3.5,5.15,0.69,2.37,13,"356",1,10,13,4,8,17,1,3,18,NA,NA,1,NA,NA,NA,NA,NA,NA
"238","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,14,284,"lat","Dúvida",0.8,6.62,-0.02,-0.83,3,"284",1,2,3,1,1,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Sebastián Enrique Salazar Beltrán","salazar","Salazar","https://s.glbimg.com/es/sde/f/2020/10/01/d9e923eb01b5966eb5e072a26be58679_FORMATO.png",91415,14,290,"mei","Nulo",0,4,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,14,275,"ata","Dúvida",0,10.8,0,4.21,9,"275",1,5,12,1,5,11,4,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/14/ef0f723350847206c410a0cdec3e8afe_FORMATO.png",90715,14,284,"ata","Provável",6.8,5.96,1.26,1.79,8,"284",1,2,5,3,3,3,2,1,12,1,NA,NA,NA,NA,NA,NA,NA,NA
"242","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2020/10/01/9e64684a0ef33c9f748f305214999641_FORMATO.png",78497,14,373,"lat","Nulo",0,4,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","João Victor da Silva Oliveira","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/10/03/701361ee8fe98c13dfbdf112d1761765_FORMATO.png",110258,14,293,"lat","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,14,284,"zag","Contundido",0,10.82,0,3.8,6,"284",1,24,7,NA,2,2,NA,NA,33,1,2,NA,NA,NA,NA,NA,NA,NA
"245","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,14,263,"zag","Provável",-0.6,4.89,-0.83,2.9,13,"263",1,21,7,1,4,14,NA,NA,42,NA,3,NA,NA,NA,NA,NA,NA,NA
"246","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,14,263,"ata","Nulo",-2,1.85,-0.3,-1.55,2,"263",1,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Marcelo José de Lima Filho","marcelinho","Marcelinho","https://s.glbimg.com/es/sde/f/2020/10/03/18c5e5dc5570b698fb18bae1dbb03cff_FORMATO.png",107238,14,275,"ata","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,14,275,"ata","Dúvida",8.9,11.73,0.23,4.3,12,"275",NA,3,9,3,11,13,4,4,19,NA,NA,2,NA,NA,NA,NA,NA,1
"249","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,14,263,"lat","Nulo",0,3.88,0,2.1,7,"263",2,12,3,NA,NA,5,NA,NA,43,NA,2,NA,NA,NA,NA,NA,NA,NA
"250","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,14,285,"mei","Provável",5.6,11.32,0.27,4.02,12,"285",NA,26,20,5,5,21,1,2,62,NA,NA,1,NA,NA,NA,2,NA,NA
"251","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,14,263,"ata","Suspenso",-0.7,7.6,-0.68,4.01,13,"263",3,19,36,4,8,38,3,5,56,NA,NA,1,NA,NA,NA,2,NA,NA
"252","Márcio Almeida de Oliveira","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2020/03/01/80ca783f6c1ed5ef384d190eed6ccd34_FORMATO.png",93797,14,263,"lat","Nulo",0,6,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,14,285,"lat","Nulo",0,11.39,0,3.86,11,"285",1,25,28,1,5,2,NA,2,117,NA,6,2,NA,NA,NA,NA,NA,NA
"254","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,14,277,"lat","Provável",6.3,12.37,0.93,4.96,13,"Santos",4,42,16,2,8,19,2,NA,107,NA,3,NA,NA,NA,NA,NA,NA,NA
"255","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,14,277,"ata","Provável",0,25.19,0,10.63,13,"Santos",1,15,17,10,19,65,8,7,67,NA,NA,4,NA,NA,NA,NA,NA,NA
"256","Denilson Rodrigues Roldão","denilson","Denilson","https://s.glbimg.com/es/sde/f/2020/10/04/0e3d68c778426e447bda7cfe1987508c_FORMATO.png",104025,14,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,14,373,"mei","Nulo",0.5,1.8,-0.2,0.5,1,"373",NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,14,285,"ata","Contundido",0,20.81,0,11.2,3,"285",NA,2,7,1,3,5,3,3,15,NA,NA,1,NA,NA,NA,1,NA,NA
"259","Luiz Otávio Alves Marcolino","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/03/01/c0d9bec2c3fec7a81266729603ed2582_FORMATO.png",94269,14,263,"mei","Nulo",0,2.09,0,0.6,12,"263",NA,5,5,3,1,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,14,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,14,275,"zag","Provável",-0.3,5.87,-0.35,-0.03,3,"275",1,3,2,NA,NA,2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,14,277,"ata","Nulo",0,6.98,0,3.02,10,"Santos",3,5,5,7,9,18,1,2,79,NA,NA,2,NA,NA,NA,NA,NA,NA
"263","Eduardo Germán Coudet","eduardo-coudet","Eduardo Coudet","https://s.glbimg.com/es/sde/f/2020/07/19/4514b24c3a8147be213e4e8d4297a97c_FORMATO.png",94853,14,285,"tec","Provável",5.78,12.89,0.47,3.91,14,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,14,263,"ata","Provável",8.9,6.97,1.25,2.4,8,"263",1,2,14,4,5,12,2,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2018/05/24/681f1987afa6a94cda5e9a9f643a0bc5_FORMATO.png",102299,14,292,"ata","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
