"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","GS","PI","SG","A","CV","DS","FC","FD","FF","FS","G","I","FT","DP","GC","PP"
"187","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,34,356,"ata","Nulo",1,5.76,0.72,1.94,29,"356",2,NA,NA,130,NA,3,NA,29,14,7,14,22,1,4,1,NA,NA,1
"188","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,34,266,"mei","Nulo",0,1.97,0,0.76,13,"266",4,NA,NA,43,NA,NA,NA,24,24,4,3,6,NA,NA,NA,NA,NA,NA
"189","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,34,282,"gol","Nulo",0,5.4,0,-9.2,1,"282",1,NA,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,34,266,"zag","Nulo",0,3,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,34,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,34,284,"mei","Nulo",0,2.32,0,0.15,2,"284",NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png",100742,34,284,"mei","Provável",-1.7,5.49,-0.62,1.43,24,"284",6,NA,NA,113,NA,1,1,36,33,5,7,53,NA,NA,NA,NA,NA,NA
"194","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,34,263,"lat","Nulo",0,3.02,0,1.09,12,"263",3,NA,NA,62,2,NA,NA,14,7,NA,1,8,NA,NA,NA,NA,NA,NA
"195","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,34,282,"tec","Provável",0.83,13.55,-0.91,4.3,30,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,34,266,"ata","Nulo",0,1.97,0,0.34,19,"266",3,NA,NA,33,NA,NA,NA,6,21,6,4,10,1,7,NA,NA,NA,NA
"197","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,34,356,"zag","Provável",-1.5,2.75,0.17,1.65,26,"356",6,NA,NA,107,9,NA,NA,27,34,2,4,13,NA,3,NA,NA,NA,NA
"198","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,34,356,"zag","Nulo",0,2.77,0,2.1,5,"356",NA,NA,NA,10,3,NA,1,2,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"199","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,34,356,"lat","Nulo",0.3,5.88,0.01,2.13,22,"356",3,NA,NA,141,9,NA,NA,29,35,NA,3,28,NA,2,NA,NA,1,NA
"200","Lucas Rafael Araújo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,34,275,"mei","Nulo",0,5.42,0,1.35,23,"275",6,NA,NA,163,NA,2,NA,36,28,5,6,30,NA,3,1,NA,NA,NA
"201","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,34,263,"lat","Contundido",0,6.24,0,1.99,12,"263",3,NA,NA,59,3,1,NA,15,17,NA,6,10,NA,1,NA,NA,NA,NA
"202","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,34,356,"mei","Nulo",0,2.42,0,-0.33,7,"356",2,NA,NA,1,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"203","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,34,266,"ata","Nulo",0,5.7,0,2.58,23,"266",NA,NA,NA,67,NA,3,NA,20,11,4,6,7,3,1,NA,NA,NA,NA
"204","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,34,263,"ata","Nulo",0,6.9,0,1.67,20,"263",NA,NA,NA,74,NA,1,NA,12,15,7,11,16,1,4,NA,NA,NA,NA
"205","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,34,356,"zag","Nulo",0,3.01,0,1.57,18,"356",6,NA,NA,56,5,NA,NA,19,21,2,3,15,NA,NA,NA,NA,NA,NA
"206","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2020/08/31/4322e71a5ba13c6f911158707a657254_FORMATO.png",81091,34,282,"mei","Suspenso",4.6,7.74,0.67,2.8,23,"282",8,NA,NA,84,NA,2,NA,52,49,2,8,47,2,NA,1,NA,NA,NA
"207","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,34,263,"mei","Nulo",0,7.1,0,2.73,22,"263",3,NA,NA,159,NA,2,NA,33,30,12,13,36,1,NA,1,NA,NA,NA
"208","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,34,266,"mei","Nulo",0.9,6.6,-0.41,3.28,23,"266",5,NA,NA,94,NA,NA,NA,35,32,9,18,68,1,1,3,NA,NA,NA
"209","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2020/02/27/bc31f941c1bb5d6c26ada24af71bcf45_FORMATO.png",72362,34,285,"mei","Suspenso",-0.1,3.67,-0.26,0.62,28,"285",6,NA,NA,94,NA,1,NA,40,40,3,3,17,NA,NA,NA,NA,NA,NA
"210","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,34,266,"ata","Nulo",0.7,3.85,-0.11,1.94,21,"266",1,NA,NA,48,NA,1,1,16,12,2,6,16,3,4,NA,NA,NA,NA
"211","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/03/09/f29c869ccdfaa407340b9047dbf761fa_FORMATO.jpeg",80692,34,275,"zag","Nulo",0,4.84,0,2.63,22,"275",5,NA,NA,77,9,NA,NA,34,14,NA,4,13,NA,2,NA,NA,1,NA
"212","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,34,292,"mei","Provável",0,5.32,0,2.64,24,"292",3,NA,NA,163,NA,2,NA,9,10,11,14,15,5,1,NA,NA,NA,NA
"213","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2020/02/27/001cd019cd767eafa0c877ae4f8a27ab_FORMATO.png",73992,34,285,"lat","Provável",9.1,5.96,1.65,2.26,20,"285",4,NA,NA,147,5,1,NA,33,28,3,1,23,NA,NA,1,NA,NA,NA
"214","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,34,356,"mei","Provável",0,5,-0.14,2.2,27,"356",9,NA,NA,115,NA,NA,1,73,41,2,8,49,1,NA,NA,NA,NA,NA
"215","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,34,263,"gol","Nulo",0,1.04,0,-2.8,1,"263",NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,34,284,"mei","Nulo",0,3.73,0,1.61,19,"284",3,NA,NA,60,NA,NA,NA,36,18,1,3,8,1,NA,NA,NA,NA,NA
"217","Guilherme da Silva Azevedo","guilherme-azevedo","Guilherme Azevedo","https://s.glbimg.com/es/sde/f/2020/07/19/756f7ee69aa8fccdfd44fbbf534a60a0_FORMATO.png",105837,34,284,"ata","Nulo",0,1.69,0,1.47,8,"284",NA,NA,NA,7,NA,NA,NA,6,2,2,2,8,NA,1,NA,NA,NA,NA
"218","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,34,356,"zag","Provável",-0.2,1.54,-0.13,1.15,11,"356",3,NA,NA,19,4,NA,1,6,8,NA,2,4,NA,NA,NA,NA,NA,NA
"219","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2020/02/27/12e542636d28c0dc887fe6ae967dbe52_FORMATO.png",78865,34,285,"mei","Provável",0,4.97,0,2.5,15,"285",3,NA,NA,38,NA,NA,NA,27,16,NA,2,15,2,NA,1,NA,NA,NA
"220","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2020/10/05/eba17da38b8f96bc0a8b648fa5aa7acc_FORMATO.png",94509,34,275,"mei","Nulo",0,8.72,0,4.9,19,"275",3,NA,NA,96,NA,1,NA,18,22,7,13,29,8,1,NA,NA,NA,NA
"221","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,34,356,"mei","Provável",0,3.98,1.11,2.46,25,"356",5,NA,NA,210,NA,3,2,52,44,4,18,36,3,NA,NA,NA,NA,1
"222","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,34,275,"lat","Nulo",0,5.22,0,2,14,"275",2,NA,NA,70,3,NA,1,30,14,NA,2,10,NA,1,NA,NA,NA,NA
"223","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/14/ef0f723350847206c410a0cdec3e8afe_FORMATO.png",90715,34,284,"ata","Nulo",-3,4.24,-0.65,1.43,21,"284",2,NA,NA,73,NA,2,1,10,18,5,8,18,2,4,NA,NA,NA,NA
"224","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2020/07/19/35677798312c58c5cc2c64f41b79a8dc_FORMATO.png",79701,34,284,"mei","Provável",10.6,6.87,1.01,2.17,27,"284",5,NA,NA,97,NA,1,NA,37,22,7,13,36,1,NA,1,NA,NA,NA
"225","Brayan Diogo Ijorski Kruger","brayan","Brayan","https://s.glbimg.com/es/sde/f/2020/10/22/e9923abcd8ad10bf88a809bf02bbd405_FORMATO.png",110416,34,277,"ata","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Matías Nicolás Viña Susperreguy","vina","Viña","https://s.glbimg.com/es/sde/f/2020/02/28/444cc845fe792b0fdd234c579e4c31de_FORMATO.png",98974,34,275,"lat","Nulo",0,8.38,0,4.88,18,"275",3,NA,NA,137,7,2,NA,55,22,2,8,22,NA,2,NA,NA,NA,NA
"227","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,34,275,"mei","Nulo",0,5.73,0,1.76,17,"275",2,NA,NA,117,NA,2,NA,10,9,8,12,16,NA,NA,1,NA,NA,NA
"228","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png",91607,34,275,"ata","Nulo",0,9.63,0,3.41,17,"275",2,NA,NA,68,NA,NA,NA,22,32,10,13,26,4,9,NA,NA,NA,NA
"229","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,34,285,"lat","Provável",0,3.49,0,1.67,13,"285",1,NA,NA,125,3,1,NA,22,19,1,NA,5,NA,NA,NA,NA,NA,NA
"230","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,34,263,"zag","Provável",0,5.53,0,2.2,28,"263",4,NA,NA,81,4,1,NA,44,26,3,5,29,NA,NA,NA,NA,NA,NA
"231","Gabriel Vinícius Menino","gabriel-menino","Gabriel Menino","https://s.glbimg.com/es/sde/f/2020/01/20/119d338ee09aacf08faae33fa7047de7_FORMATO.png",103767,34,275,"mei","Nulo",0,6.13,0,3.03,22,"275",8,NA,NA,175,NA,5,NA,52,33,5,17,45,NA,5,NA,NA,NA,NA
"232","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,34,356,"lat","Nulo",4.9,6.88,0.97,2.95,20,"356",2,NA,NA,222,7,3,NA,29,15,3,4,9,NA,1,1,NA,NA,NA
"233","Diego Churín Puyo","churin","Churín","https://s.glbimg.com/es/sde/f/2020/10/26/a511db6b41f5552de55575d62a217d3c_FORMATO.png",98289,34,284,"ata","Provável",0,9.08,0,3.33,10,"284",NA,NA,NA,29,NA,1,NA,9,13,NA,4,15,2,2,1,NA,NA,NA
"234","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2020/03/09/ebc79a97a8840c38c63b16446a1c84b5_FORMATO.png",63013,34,275,"lat","Nulo",0,7.31,0,2.76,17,"275",2,NA,NA,146,5,NA,NA,41,17,NA,1,14,NA,NA,NA,NA,NA,NA
"235","Marcos Guilherme de Almeida Santos Matos","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png",83266,34,285,"mei","Provável",2.5,3.18,-0.15,0.63,27,"285",2,NA,NA,58,NA,1,NA,19,23,4,6,12,NA,8,1,NA,NA,NA
"236","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,34,356,"ata","Nulo",0,2.15,0,-0.08,6,"356",NA,NA,NA,5,NA,NA,NA,1,2,NA,NA,2,NA,2,NA,NA,NA,NA
"237","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,34,356,"mei","Nulo",3,1.61,0.51,0.38,16,"356",1,NA,NA,19,NA,NA,NA,5,11,1,3,11,NA,3,1,NA,NA,NA
"238","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2020/03/09/ada4c949fbe8a7d69336cf1ccd4ad0e9_FORMATO.png",82455,34,275,"mei","Nulo",0,9.22,0,2.85,21,"275",5,NA,NA,71,NA,3,2,38,38,5,12,43,2,NA,NA,NA,NA,NA
"239","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2020/02/27/dab4d223e4d736b3877f27a6b24a7a0e_FORMATO.png",63289,34,285,"mei","Provável",1.8,8.92,-1.31,3.41,29,"285",6,NA,NA,207,NA,5,NA,50,41,7,15,31,5,3,1,NA,NA,NA
"240","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,34,356,"ata","Provável",10.1,6.28,1.8,2.65,27,"356",4,NA,NA,107,NA,2,NA,26,49,8,18,28,6,14,NA,NA,NA,NA
"241","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,34,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Luiz Henrique Araújo Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/06/809a25003f6761d3bf3ea7e524986c59_FORMATO.png",101595,34,356,"mei","Provável",4.8,2.26,0.57,1.75,4,"356",NA,NA,NA,10,NA,1,NA,2,3,NA,NA,5,NA,NA,NA,NA,NA,NA
"243","Rhuan Silveira Castro","rhuan","Rhuan","https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png",102958,34,263,"ata","Nulo",0,2.71,0,1.61,21,"263",2,NA,NA,40,NA,1,NA,9,7,5,12,27,NA,2,1,NA,NA,NA
"244","Daniel Cabral de Oliveira","daniel-cabral","Daniel Cabral","https://s.glbimg.com/es/sde/f/2020/10/26/bdf760a76845c8c7297360206a79edc1_FORMATO.png",110465,34,262,"mei","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,34,263,"ata","Nulo",0,7.3,0,4.09,22,"263",1,NA,NA,103,NA,1,NA,11,34,22,23,25,6,4,NA,NA,NA,NA
"246","Gabriel Veron Fonseca de Souza","gabriel-veron","Gabriel Veron","https://s.glbimg.com/es/sde/f/2020/01/20/4d926ee7edebf4a6823049ca2eb242a7_FORMATO.png",103764,34,275,"ata","Nulo",0,7.57,0,3.62,17,"275",1,NA,NA,55,NA,2,NA,24,16,2,4,14,4,3,NA,NA,NA,NA
"247","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,34,290,"gol","Provável",3.5,1.18,0.41,-1.13,3,"290",1,1,3,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Lucas Esteves de Souza","esteves","Esteves","https://s.glbimg.com/es/sde/f/2019/07/08/cd984c932e6f6d7e51df1e0963c5513e_FORMATO.jpeg",100846,34,275,"lat","Nulo",0,1.02,0,0.22,5,"275",2,NA,NA,24,1,NA,NA,5,7,NA,NA,2,NA,NA,NA,NA,NA,NA
"249","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,34,263,"ata","Nulo",0,7.73,0,3.23,27,"263",6,NA,NA,107,NA,1,NA,29,62,9,11,63,7,12,2,NA,NA,NA
"250","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,34,263,"gol","Dúvida",0,0.78,0,-1.6,2,"263",NA,2,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Ulisses Wilson Jeronymo Rocha ","ulisses","Ulisses","https://s.glbimg.com/es/sde/f/2020/08/17/0e567592573809f02b9880554b15c431_FORMATO.png",101647,34,267,"zag","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/10/28/bc1aa1e9e309d904fee8aa101a3494aa_FORMATO.png",91772,34,290,"zag","Provável",5.6,5.61,0.99,3.58,23,"290",1,NA,NA,137,7,NA,1,40,17,5,10,7,2,NA,1,NA,NA,NA
"253","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2020/03/09/dcd863bb1e191c65dfdeac7713a01704_FORMATO.png",81677,34,277,"mei","Contundido",0,5.65,0,1.66,12,"Santos",1,NA,NA,98,NA,1,NA,15,11,6,7,18,NA,1,NA,NA,NA,1
"254","José Joaquim de Carvalho","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/08/26/44eafed43db0f7d9f5ef802ee7efa7aa_FORMATO.jpeg",94976,34,290,"ata","Nulo",0,0.75,0,-1.07,3,"290",1,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"255","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2020/02/28/4d5c465a6fd405b025d4ca76e81d24a1_FORMATO.png",86972,34,275,"zag","Nulo",0,3.59,0,2.87,9,"275",3,NA,NA,51,5,NA,NA,12,13,2,2,5,NA,NA,NA,NA,NA,NA
"256","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,34,276,"mei","Provável",0,10.48,0,1.56,22,"276",7,NA,NA,267,NA,2,NA,41,45,6,18,40,1,6,NA,NA,NA,NA
"257","Luan Silva dos Santos","luan-silva","Luan Silva","https://s.glbimg.com/es/sde/f/2020/03/07/9323f3231e0e80378421c98fe7c6b795_FORMATO.png",102295,34,275,"ata","Contundido",0,2,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,34,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Leonardo de Matos Cruz","leo-matos","Léo Matos","https://s.glbimg.com/es/sde/f/2020/11/05/c691cbfaec7f0b947c51a8cf861340a1_FORMATO.png",37866,34,267,"lat","Suspenso",-1,5.01,-1.02,1.67,14,"267",8,NA,NA,135,4,2,NA,16,29,5,5,8,1,1,NA,NA,NA,NA
"260","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2020/03/06/e4bf45811b6c858824a076c5f69c6ae0_FORMATO.png",84523,34,356,"ata","Nulo",0,8.13,0,2.91,26,"356",3,NA,NA,89,NA,NA,NA,21,13,9,14,56,3,2,1,NA,NA,NA
"261","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,34,276,"lat","Provável",0,14.82,0,4.9,26,"276",3,NA,NA,330,6,5,NA,49,27,10,9,33,5,NA,NA,NA,NA,NA
"262","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,34,356,"gol","Contundido",0,3.76,0,11.4,1,"356",NA,2,NA,21,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"263","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png",71844,34,285,"mei","Nulo",0,17.57,0,7.22,26,"285",3,NA,NA,117,NA,5,1,21,23,17,24,40,16,16,NA,NA,NA,1
"264","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,34,356,"lat","Provável",1.4,7.08,-0.17,2.83,27,"356",1,NA,NA,106,9,1,1,24,23,5,7,26,1,3,NA,NA,NA,NA
"265","Vinicius Silvestre da Costa","vinicius-silvestre","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png",85083,34,275,"gol","Nulo",0,3,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2020/09/17/8f1169f09495acbeed3fec9bcfc07aa0_FORMATO.png",101315,34,294,"mei","Nulo",6.1,3.71,1.18,2.37,14,"Coritiba",2,NA,NA,49,NA,NA,NA,14,10,4,11,9,1,NA,NA,1,NA,NA
"267","Jefferson Junio Antônio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2020/08/26/1b4ff7917a54d469be132fbe58592256_FORMATO.jpeg",95220,34,290,"lat","Provável",8.1,6.62,0.99,2.86,20,"290",1,NA,NA,166,7,NA,1,39,18,NA,7,16,1,2,NA,NA,1,NA
"268","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2020/02/27/887c825f63637b345d17570bf49d66fa_FORMATO.png",63354,34,285,"zag","Contundido",0,7.37,0,4.04,18,"285",3,NA,NA,31,9,NA,1,26,13,1,1,25,1,NA,NA,NA,NA,NA
