"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"902","30","11/9/2004","16:00","Vasco","Sao Caetano","","","","","Sao Caetano"," Maracanã","1","2","RJ","SP"
"903","30","11/9/2004","16:00","Guarani","Juventude","","","","","Guarani"," Brinco de Ouro","3","1","SP","RS"
"904","30","11/9/2004","18:00","Goias","Internacional","","","","","Goias"," Serra Dourada","1","0","GO","RS"
"905","30","12/9/2004","16:00","Fluminense","Flamengo","","","","","Fluminense"," Maracanã","2","1","RJ","RJ"
"906","30","12/9/2004","16:00","Palmeiras","Santos","","","","","Santos"," Pacaembu","1","2","SP","SP"
"907","30","12/9/2004","16:00","Figueirense","Botafogo-RJ","","","","","Figueirense"," Orlando Scarpelli","3","1","SC","RJ"
"908","30","12/9/2004","16:00","Athletico-PR","Corinthians","","","","","Athletico-PR"," Arena da Baixada","3","1","PR","SP"
"909","30","12/9/2004","16:00","Ponte Preta","Parana","","","","","Parana"," Moisés Lucarelli","0","2","SP","PR"
"910","30","12/9/2004","16:00","Vitoria","Criciuma","","","","","Vitoria"," Barradão","1","0","BA","SC"
"911","30","12/9/2004","18:00","Gremio","Paysandu","","","","","-"," Olímpico","1","1","RS","PA"
"912","30","12/9/2004","18:00","Atletico-MG","Coritiba","","","","","Atletico-MG"," Mineirão","2","1","MG","PR"
"913","31","18/9/2004","16:00","Sao Caetano","Gremio","","","","","Sao Caetano"," Anacleto Campanella","2","0","SP","RS"
"914","31","18/9/2004","16:00","Parana","Guarani","","","","","-"," Pinheirão","0","0","PR","SP"
"915","31","18/9/2004","18:00","Santos","Atletico-MG","","","","","Santos"," Vila Belmiro","2","0","SP","MG"
"916","31","18/9/2004","18:00","Criciuma","Fluminense","","","","","Fluminense"," Heriberto Hulse","0","2","SC","RJ"
"917","31","19/9/2004","16:00","Flamengo","Goias","","","","","Flamengo","  Raulino de Oliveira","4","0","RJ","GO"
"918","31","19/9/2004","16:00","Corinthians","Sao Paulo","","","","","-"," Morumbi","0","0","SP","SP"
"919","31","19/9/2004","16:00","Internacional","Vitoria","","","","","Internacional"," Beira Rio","2","1","RS","BA"
"920","31","19/9/2004","16:00","Botafogo-RJ","Vasco","","","","","-"," Maracanã","2","2","RJ","RJ"
"921","31","19/9/2004","16:00","Juventude","Ponte Preta","","","","","Ponte Preta"," Alfredo Jaconi","1","2","RS","SP"
"922","31","19/9/2004","16:00","Paysandu","Figueirense","","","","","Paysandu"," Mangueirão","3","1","PA","SC"
"923","31","19/9/2004","18:00","Cruzeiro","Athletico-PR","","","","","Athletico-PR"," Mineirão","2","4","MG","PR"
"924","31","19/9/2004","18:00","Coritiba","Palmeiras","","","","","-"," Couto Pereira","0","0","PR","SP"
"925","32","24/9/2004","20:30","Figueirense","Ponte Preta","","","","","Ponte Preta"," Orlando Scarpelli","0","1","SC","SP"
"926","32","25/9/2004","16:00","Paysandu","Cruzeiro","","","","","Paysandu"," Mangueirão","3","1","PA","MG"
"927","32","25/9/2004","16:00","Atletico-MG","Internacional","","","","","-"," Mineirão","1","1","MG","RS"
"928","32","25/9/2004","16:00","Sao Caetano","Coritiba","","","","","Sao Caetano"," Anacleto Campanella","1","0","SP","PR"
"929","32","25/9/2004","18:00","Guarani","Fluminense","","","","","-"," Brinco de Ouro","1","1","SP","RJ"
"930","32","25/9/2004","18:00","Gremio","Sao Paulo","","","","","Gremio"," Olímpico","2","1","RS","SP"
"931","32","26/9/2004","16:00","Vasco","Palmeiras","","","","","Palmeiras"," São Januário","2","5","RJ","SP"
"932","32","26/9/2004","16:00","Athletico-PR","Flamengo","","","","","Athletico-PR"," Arena da Baixada","2","1","PR","RJ"
"933","32","26/9/2004","16:00","Corinthians","Goias","","","","","Corinthians"," Pacaembu","1","0","SP","GO"
"934","32","26/9/2004","16:00","Juventude","Criciuma","","","","","Juventude"," Alfredo Jaconi","1","0","RS","SC"
"935","32","26/9/2004","18:00","Botafogo-RJ","Parana","","","","","Botafogo-RJ","  Caio Martins","4","3","RJ","PR"
"936","32","26/9/2004","18:00","Santos","Vitoria","","","","","Santos"," Vila Belmiro","4","1","SP","BA"
"937","33","28/9/2004","20:30","Sao Paulo","Paysandu","","","","","Sao Paulo"," Morumbi","7","0","SP","PA"
"938","33","28/9/2004","20:30","Coritiba","Gremio","","","","","Coritiba"," Couto Pereira","2","1","PR","RS"
"939","33","28/9/2004","20:30","Fluminense","Atletico-MG","","","","","-"," Maracanã","1","1","RJ","MG"
"940","33","28/9/2004","20:30","Cruzeiro","Figueirense","","","","","-"," Mineirão","3","3","MG","SC"
"941","33","29/9/2004","20:30","Palmeiras","Sao Caetano","","","","","Palmeiras","  Parque Antártica","3","1","SP","SP"
"942","33","29/9/2004","20:30","Parana","Vasco","","","","","Parana"," Pinheirão","2","1","PR","RJ"
"943","33","29/9/2004","20:30","Criciuma","Guarani","","","","","-"," Heriberto Hulse","1","1","SC","SP"
"944","33","29/9/2004","20:30","Vitoria","Athletico-PR","","","","","Athletico-PR"," Barradão","2","3","BA","PR"
"945","33","29/9/2004","20:30","Goias","Juventude","","","","","Juventude"," Serra Dourada","1","2","GO","RS"
"946","33","29/9/2004","21:50","Internacional","Santos","","","","","Internacional"," Beira Rio","2","1","RS","SP"
"947","33","29/9/2004","21:50","Ponte Preta","Botafogo-RJ","","","","","-"," Moisés Lucarelli","1","1","SP","RJ"
"948","33","29/9/2004","21:50","Flamengo","Corinthians","","","","","-"," Maracanã","0","0","RJ","SP"
"949","34","2/10/2004","15:30","Vasco","Internacional","","","","","Vasco"," São Januário","2","0","RJ","RS"
"950","34","2/10/2004","16:00","Sao Paulo","Palmeiras","","","","","Sao Paulo"," Morumbi","2","1","SP","SP"
"951","34","2/10/2004","16:00","Fluminense","Botafogo-RJ","","","","","Botafogo-RJ"," Maracanã","1","4","RJ","RJ"
"952","34","2/10/2004","16:00","Athletico-PR","Atletico-MG","","","","","Athletico-PR"," Arena da Baixada","5","0","PR","MG"
"953","34","2/10/2004","16:00","Sao Caetano","Goias","","","","","Sao Caetano"," Anacleto Campanella","2","0","SP","GO"
"954","34","2/10/2004","16:00","Figueirense","Flamengo","","","","","Figueirense"," Orlando Scarpelli","3","2","SC","RJ"
"955","34","2/10/2004","17:00","Vitoria","Paysandu","","","","","Vitoria"," Barradão","4","1","BA","PA"
"956","34","2/10/2004","18:00","Cruzeiro","Ponte Preta","","","","","Cruzeiro"," Mineirão","5","0","MG","SP"
"957","34","2/10/2004","18:00","Guarani","Santos","","","","","Santos"," Brinco de Ouro","0","1","SP","SP"
"958","34","2/10/2004","20:30","Gremio","Criciuma","","","","","Gremio"," Olímpico","2","0","RS","SC"
"959","34","2/10/2004","20:30","Parana","Coritiba","","","","","Parana"," Pinheirão","1","0","PR","PR"
"960","34","2/10/2004","20:30","Corinthians","Juventude","","","","","Juventude"," Pacaembu","1","2","SP","RS"
"961","35","6/10/2004","20:30","Coritiba","Cruzeiro","","","","","-"," Couto Pereira","1","1","PR","MG"
"962","35","6/10/2004","20:30","Vasco","Figueirense","","","","","Vasco"," São Januário","1","0","RJ","SC"
"963","35","6/10/2004","20:30","Criciuma","Internacional","","","","","Criciuma"," Heriberto Hulse","1","0","SC","RS"
"964","35","6/10/2004","20:30","Goias","Vitoria","","","","","Goias"," Serra Dourada","4","0","GO","BA"
"965","35","6/10/2004","21:50","Gremio","Fluminense","","","","","Fluminense"," Olímpico","2","3","RS","RJ"
"966","35","6/10/2004","21:50","Ponte Preta","Sao Paulo","","","","","Sao Paulo"," Moisés Lucarelli","0","1","SP","SP"
"967","35","6/10/2004","21:50","Santos","Corinthians","","","","","-"," Vila Belmiro","1","1","SP","SP"
"968","35","7/10/2004","20:30","Atletico-MG","Guarani","","","","","Atletico-MG","  Independência","3","2","MG","SP"
"969","35","7/10/2004","20:30","Palmeiras","Parana","","","","","-","  Parque Antártica","1","1","SP","PR"
"970","35","7/10/2004","20:30","Paysandu","Flamengo","","","","","-"," Mangueirão","2","2","PA","RJ"
"971","35","7/10/2004","20:30","Juventude","Athletico-PR","","","","","-"," Alfredo Jaconi","3","3","RS","PR"
"972","35","7/10/2004","20:30","Botafogo-RJ","Sao Caetano","","","","","-","  Caio Martins","1","1","RJ","SP"
"973","36","16/10/2004","16:00","Corinthians","Coritiba","","","","","-"," Pacaembu","0","0","SP","PR"
"974","36","16/10/2004","16:00","Figueirense","Gremio","","","","","Figueirense"," Orlando Scarpelli","2","0","SC","RS"
"975","36","16/10/2004","16:00","Vitoria","Vasco","","","","","Vitoria"," Barradão","4","1","BA","RJ"
"976","36","16/10/2004","18:00","Fluminense","Goias","","","","","Goias"," Maracanã","1","4","RJ","GO"
"977","36","16/10/2004","18:00","Santos","Ponte Preta","","","","","Santos"," Vila Belmiro","4","0","SP","SP"
"978","36","17/10/2004","16:00","Atletico-MG","Sao Paulo","","","","","Sao Paulo","  Independência","0","5","MG","SP"
"979","36","17/10/2004","16:00","Internacional","Botafogo-RJ","","","","","Internacional"," Beira Rio","3","1","RS","RJ"
"980","36","17/10/2004","16:00","Sao Caetano","Paysandu","","","","","Sao Caetano"," Anacleto Campanella","3","0","SP","PA"
"981","36","17/10/2004","16:00","Guarani","Cruzeiro","","","","","Guarani"," Brinco de Ouro","2","0","SP","MG"
"982","36","17/10/2004","16:00","Athletico-PR","Parana","","","","","-"," Arena da Baixada","1","1","PR","PR"
"983","36","17/10/2004","18:00","Flamengo","Criciuma","","","","","Flamengo","  Raulino de Oliveira","3","1","RJ","SC"
"984","36","17/10/2004","18:00","Juventude","Palmeiras","","","","","Palmeiras"," Alfredo Jaconi","0","2","RS","SP"
"985","37","23/10/2004","16:00","Cruzeiro","Atletico-MG","","","","","Atletico-MG"," Mineirão","0","3","MG","MG"
"986","37","23/10/2004","16:00","Gremio","Internacional","","","","","Internacional"," Olímpico","1","3","RS","RS"
"987","37","23/10/2004","16:00","Coritiba","Juventude","","","","","Juventude"," Couto Pereira","2","3","PR","RS"
"988","37","23/10/2004","16:00","Paysandu","Goias","","","","","Paysandu"," Mangueirão","4","2","PA","GO"
"989","37","23/10/2004","18:00","Botafogo-RJ","Vitoria","","","","","-","  Mário Helênio","1","1","RJ","BA"
"990","37","23/10/2004","18:00","Palmeiras","Athletico-PR","","","","","Palmeiras","  Parque Antártica","3","1","SP","PR"
"991","37","24/10/2004","16:00","Sao Paulo","Santos","","","","","Sao Paulo"," Morumbi","1","0","SP","SP"
"992","37","24/10/2004","16:00","Vasco","Flamengo","","","","","Vasco"," Maracanã","1","0","RJ","RJ"
"993","37","24/10/2004","16:00","Sao Caetano","Fluminense","","","","","Sao Caetano"," Anacleto Campanella","2","0","SP","RJ"
"994","37","24/10/2004","16:00","Criciuma","Figueirense","","","","","Criciuma"," Heriberto Hulse","2","1","SC","SC"
"995","37","24/10/2004","18:00","Parana","Corinthians","","","","","Corinthians"," Pinheirão","1","2","PR","SP"
"996","37","24/10/2004","18:00","Guarani","Ponte Preta","","","","","-"," Brinco de Ouro","0","0","SP","SP"
"997","38","26/10/2004","20:30","Palmeiras","Botafogo-RJ","","","","","Palmeiras","  Parque Antártica","2","1","SP","RJ"
"998","38","26/10/2004","20:30","Goias","Athletico-PR","","","","","Goias"," Serra Dourada","2","0","GO","PR"
"999","38","26/10/2004","20:30","Cruzeiro","Gremio","","","","","Cruzeiro"," Mineirão","2","0","MG","RS"
"1000","38","26/10/2004","20:30","Vitoria","Atletico-MG","","","","","Vitoria"," Barradão","2","1","BA","MG"
"1001","38","27/10/2004","20:30","Internacional","Guarani","","","","","Guarani"," Beira Rio","1","3","RS","SP"
"1002","38","27/10/2004","20:30","Parana","Figueirense","","","","","Parana"," Pinheirão","2","1","PR","SC"
"1003","38","27/10/2004","20:30","Fluminense","Juventude","","","","","Fluminense","  Raulino de Oliveira","7","1","RJ","RS"
"1004","38","27/10/2004","20:30","Ponte Preta","Paysandu","","","","","Ponte Preta"," Moisés Lucarelli","3","0","SP","PA"
"1005","38","27/10/2004","21:50","Coritiba","Vasco","","","","","Vasco"," Couto Pereira","0","1","PR","RJ"
"1006","38","27/10/2004","21:50","Flamengo","Santos","","","","","-"," Maracanã","1","1","RJ","SP"
"1007","38","27/10/2004","21:50","Criciuma","Corinthians","","","","","-"," Heriberto Hulse","1","1","SC","SP"
"1009","39","30/10/2004","16:00","Santos","Fluminense","","","","","Santos","  Benedito Teixeira","5","0","SP","RJ"
"1010","39","30/10/2004","16:00","Guarani","Goias","","","","","-"," Brinco de Ouro","1","1","SP","GO"
"1011","39","30/10/2004","16:00","Paysandu","Coritiba","","","","","-"," Mangueirão","0","0","PA","PR"
"1012","39","30/10/2004","16:00","Botafogo-RJ","Cruzeiro","","","","","Botafogo-RJ","  Caio Martins","2","1","RJ","MG"
"1013","39","30/10/2004","18:10","Juventude","Flamengo","","","","","Juventude"," Alfredo Jaconi","1","0","RS","RJ"
"1014","39","30/10/2004","18:10","Gremio","Palmeiras","","","","","Palmeiras","  Bento Freitas","2","3","RS","SP"
"1015","39","30/10/2004","20:30","Corinthians","Vitoria","","","","","Corinthians"," Pacaembu","1","0","SP","BA"
"1016","39","30/10/2004","20:30","Figueirense","Sao Paulo","","","","","Figueirense"," Orlando Scarpelli","1","0","SC","SP"
"1017","39","30/10/2004","20:30","Athletico-PR","Internacional","","","","","Athletico-PR"," Serra Dourada","2","1","PR","RS"
"1018","39","30/10/2004","20:30","Atletico-MG","Criciuma","","","","","-"," Morumbi","2","2","MG","SC"
"1019","39","31/10/2004","16:00","Vasco","Ponte Preta","","","","","-"," São Januário","2","2","RJ","SP"
"1008","38","3/11/2004","20:30","Sao Paulo","Sao Caetano","","","","","Sao Paulo"," Morumbi","4","2","SP","SP"
"1021","40","6/11/2004","16:00","Palmeiras","Paysandu","","","","","Palmeiras","  Parque Antártica","1","0","SP","PA"
"1022","40","6/11/2004","17:00","Goias","Atletico-MG","","","","","Goias"," Serra Dourada","1","0","GO","MG"
"1023","40","6/11/2004","18:00","Flamengo","Guarani","","","","","Flamengo","  Raulino de Oliveira","1","0","RJ","SP"
"1024","40","6/11/2004","18:00","Parana","Gremio","","","","","Parana"," Pinheirão","1","0","PR","RS"
"1025","40","7/11/2004","16:00","Criciuma","Santos","","","","","-"," Heriberto Hulse","1","1","SC","SP"
"1026","40","7/11/2004","16:00","Internacional","Corinthians","","","","","Internacional"," Beira Rio","3","0","RS","SP"
"1027","40","7/11/2004","16:00","Fluminense","Athletico-PR","","","","","Athletico-PR"," Maracanã","1","2","RJ","PR"
"1028","40","7/11/2004","16:00","Cruzeiro","Vasco","","","","","Cruzeiro"," Mineirão","3","2","MG","RJ"
"1029","40","7/11/2004","16:00","Coritiba","Figueirense","","","","","Coritiba"," Couto Pereira","2","0","PR","SC"
"1030","40","7/11/2004","17:00","Vitoria","Juventude","","","","","-"," Barradão","1","1","BA","RS"
"1031","40","7/11/2004","18:00","Sao Paulo","Botafogo-RJ","","","","","Sao Paulo"," Morumbi","5","2","SP","RJ"
"1032","40","7/11/2004","18:00","Ponte Preta","Sao Caetano","","","","","Sao Caetano"," Moisés Lucarelli","0","3","SP","SP"
"1020","39","10/11/2004","20:30","Sao Caetano","Parana","","","","","Sao Caetano"," Anacleto Campanella","2","1","SP","PR"
"1033","41","13/11/2004","16:00","Botafogo-RJ","Coritiba","","","","","Botafogo-RJ","  Caio Martins","4","1","RJ","PR"
"1034","41","13/11/2004","16:00","Sao Caetano","Cruzeiro","","","","","Sao Caetano"," Anacleto Campanella","4","1","SP","MG"
"1035","41","13/11/2004","18:10","Gremio","Ponte Preta","","","","","Gremio","  Bento Freitas","6","1","RS","SP"
"1036","41","13/11/2004","18:10","Corinthians","Fluminense","","","","","-"," Pacaembu","1","1","SP","RJ"
"1037","41","14/11/2004","16:00","Vasco","Sao Paulo","","","","","-"," São Januário","0","0","RJ","SP"
"1038","41","14/11/2004","16:00","Santos","Goias","","","","","Santos","  Prudentão","2","1","SP","GO"
"1039","41","14/11/2004","16:00","Atletico-MG","Flamengo","","","","","Atletico-MG","  Ipatingão","6","1","MG","RJ"
"1040","41","14/11/2004","16:00","Athletico-PR","Criciuma","","","","","Athletico-PR"," Arena da Baixada","6","1","PR","SC"
"1041","41","14/11/2004","16:00","Guarani","Vitoria","","","","","-"," Brinco de Ouro","0","0","SP","BA"
"1042","41","14/11/2004","17:00","Paysandu","Parana","","","","","-"," Mangueirão","1","1","PA","PR"
"1043","41","14/11/2004","18:00","Figueirense","Palmeiras","","","","","Palmeiras"," Orlando Scarpelli","0","1","SC","SP"
"1044","41","14/11/2004","18:00","Juventude","Internacional","","","","","Internacional","  Colosso da Lagoa","2","3","RS","RS"
"1045","42","20/11/2004","16:00","Fluminense","Figueirense","","","","","Figueirense","  Raulino de Oliveira","0","2","RJ","SC"
"1046","42","20/11/2004","16:00","Parana","Atletico-MG","","","","","Parana"," Pinheirão","1","0","PR","MG"
"1047","42","20/11/2004","18:10","Palmeiras","Guarani","","","","","Guarani","  Parque Antártica","0","2","SP","SP"
"1048","42","20/11/2004","18:10","Vitoria","Gremio","","","","","Vitoria"," Barradão","2","0","BA","RS"
"1049","42","21/11/2004","16:00","Goias","Vasco","","","","","Goias"," Serra Dourada","3","2","GO","RJ"
"1050","42","21/11/2004","16:00","Ponte Preta","Athletico-PR","","","","","Athletico-PR"," Moisés Lucarelli","2","3","SP","PR"
"1051","42","21/11/2004","16:00","Flamengo","Botafogo-RJ","","","","","-"," Maracanã","0","0","RJ","RJ"
"1052","42","21/11/2004","16:00","Cruzeiro","Corinthians","","","","","Corinthians"," Mineirão","0","1","MG","SP"
"1053","42","21/11/2004","16:00","Coritiba","Santos","","","","","Santos"," Couto Pereira","0","1","PR","SP"
"1054","42","21/11/2004","16:00","Criciuma","Paysandu","","","","","Criciuma"," Heriberto Hulse","1","0","SC","PA"
"1055","42","21/11/2004","18:00","Internacional","Sao Caetano","","","","","Internacional"," Beira Rio","1","0","RS","SP"
"1056","42","21/11/2004","18:00","Sao Paulo","Juventude","","","","","Sao Paulo"," Morumbi","4","0","SP","RS"
"1057","43","27/11/2004","16:00","Figueirense","Atletico-MG","","","","","Figueirense","  Santa Cruz","2","1","SC","MG"
"1058","43","27/11/2004","16:00","Botafogo-RJ","Guarani","","","","","Botafogo-RJ","  Caio Martins","1","0","RJ","SP"
"1059","43","27/11/2004","16:00","Parana","Goias","","","","","Parana"," Pinheirão","2","1","PR","GO"
"1060","43","27/11/2004","18:10","Cruzeiro","Fluminense","","","","","Fluminense"," Mineirão","2","3","MG","RJ"
"1061","43","27/11/2004","18:10","Sao Paulo","Internacional","","","","","Sao Paulo"," Morumbi","2","1","SP","RS"
"1062","43","28/11/2004","16:00","Paysandu","Santos","","","","","-"," Mangueirão","1","1","PA","SP"
"1063","43","28/11/2004","16:00","Palmeiras","Flamengo","","","","","Flamengo","  Parque Antártica","1","2","SP","RJ"
"1064","43","28/11/2004","16:00","Ponte Preta","Criciuma","","","","","Ponte Preta"," Moisés Lucarelli","1","0","SP","SC"
"1065","43","28/11/2004","16:00","Sao Caetano","Corinthians","","","","","Sao Caetano"," Anacleto Campanella","2","1","SP","SP"
"1066","43","28/11/2004","16:00","Coritiba","Vitoria","","","","","Coritiba"," Couto Pereira","5","1","PR","BA"
"1067","43","28/11/2004","18:00","Gremio","Athletico-PR","","","","","-","  Colosso da Lagoa","3","3","RS","PR"
"1068","43","28/11/2004","18:00","Vasco","Juventude","","","","","-"," São Januário","1","1","RJ","RS"
"1069","44","4/12/2004","16:00","Fluminense","Ponte Preta","","","","","Fluminense","  Raulino de Oliveira","1","0","RJ","SP"
"1070","44","4/12/2004","16:00","Guarani","Figueirense","","","","","Guarani"," Brinco de Ouro","2","1","SP","SC"
"1071","44","4/12/2004","16:00","Criciuma","Parana","","","","","Parana"," Heriberto Hulse","1","2","SC","PR"
"1072","44","4/12/2004","16:00","Atletico-MG","Paysandu","","","","","-","  Ipatingão","0","0","MG","PA"
"1073","44","4/12/2004","18:10","Goias","Palmeiras","","","","","-"," Serra Dourada","0","0","GO","SP"
"1074","44","4/12/2004","18:10","Corinthians","Vasco","","","","","Corinthians"," Pacaembu","3","1","SP","RJ"
"1075","44","5/12/2004","16:00","Vitoria","Sao Paulo","","","","","Sao Paulo"," Barradão","1","4","BA","SP"
"1076","44","5/12/2004","16:00","Santos","Gremio","","","","","Santos","  Benedito Teixeira","5","1","SP","RS"
"1077","44","5/12/2004","16:00","Juventude","Botafogo-RJ","","","","","Juventude"," Alfredo Jaconi","1","0","RS","RJ"
"1078","44","5/12/2004","16:00","Athletico-PR","Sao Caetano","","","","","Athletico-PR"," Arena da Baixada","5","2","PR","SP"
"1079","44","5/12/2004","18:00","Internacional","Cruzeiro","","","","","Internacional"," Beira Rio","2","0","RS","MG"
"1080","44","5/12/2004","18:00","Flamengo","Coritiba","","","","","-","  Raulino de Oliveira","0","0","RJ","PR"
"1081","45","11/12/2004","16:00","Gremio","Atletico-MG","","","","","Atletico-MG","  Colosso da Lagoa","0","1","RS","MG"
"1082","45","11/12/2004","17:00","Paysandu","Guarani","","","","","Paysandu"," Mangueirão","4","2","PA","SP"
"1083","45","11/12/2004","18:10","Palmeiras","Criciuma","","","","","Palmeiras","  Parque Antártica","3","2","SP","SC"
"1084","45","11/12/2004","18:10","Parana","Fluminense","","","","","Fluminense"," Pinheirão","0","1","PR","RJ"
"1085","45","12/12/2004","16:00","Sao Paulo","Flamengo","","","","","-"," Morumbi","1","1","SP","RJ"
"1086","45","12/12/2004","16:00","Sao Caetano","Santos","","","","","Santos"," Anacleto Campanella","0","3","SP","SP"
"1087","45","12/12/2004","16:00","Botafogo-RJ","Corinthians","","","","","Corinthians","  Caio Martins","1","2","RJ","SP"
"1088","45","12/12/2004","16:00","Vasco","Athletico-PR","","","","","Vasco"," São Januário","1","0","RJ","PR"
"1089","45","12/12/2004","16:00","Coritiba","Goias","","","","","Coritiba"," Couto Pereira","1","0","PR","GO"
"1090","45","12/12/2004","16:00","Figueirense","Juventude","","","","","Figueirense"," Orlando Scarpelli","1","0","SC","RS"
"1091","45","12/12/2004","18:00","Cruzeiro","Vitoria","","","","","Cruzeiro"," Mineirão","4","0","MG","BA"
"1092","45","12/12/2004","18:00","Ponte Preta","Internacional","","","","","Internacional"," Moisés Lucarelli","1","2","SP","RS"
"1093","46","19/12/2004","16:00","Fluminense","Palmeiras","","","","","-"," Maracanã","1","1","RJ","SP"
"1094","46","19/12/2004","16:00","Vitoria","Ponte Preta","","","","","Ponte Preta"," Barradão","1","2","BA","SP"
"1095","46","19/12/2004","16:00","Criciuma","Coritiba","","","","","-"," Heriberto Hulse","3","3","SC","PR"
"1096","46","19/12/2004","16:00","Guarani","Gremio","","","","","Guarani"," Brinco de Ouro","2","0","SP","RS"
"1097","46","19/12/2004","16:00","Goias","Sao Paulo","","","","","Goias"," Serra Dourada","2","0","GO","SP"
"1098","46","19/12/2004","16:00","Atletico-MG","Sao Caetano","","","","","Atletico-MG"," Mineirão","3","0","MG","SP"
"1099","46","19/12/2004","16:00","Flamengo","Cruzeiro","","","","","Flamengo","  Raulino de Oliveira","6","2","RJ","MG"
"1100","46","19/12/2004","16:00","Corinthians","Figueirense","","","","","Corinthians"," Pacaembu","5","2","SP","SC"
"1101","46","19/12/2004","16:00","Internacional","Parana","","","","","Internacional"," Beira Rio","2","1","RS","PR"
"1102","46","19/12/2004","16:00","Juventude","Paysandu","","","","","Paysandu"," Alfredo Jaconi","1","2","RS","PA"
"1103","46","19/12/2004","16:00","Athletico-PR","Botafogo-RJ","","","","","-"," Arena da Baixada","1","1","PR","RJ"
"1104","46","19/12/2004","16:00","Santos","Vasco","","","","","Santos","Teixeirão","2","1","SP","RJ"
"1105","1","23/4/2005","16:00","Parana","Goias","","","","","Goias"," Pinheirão","0","2","PR","GO"
"1106","1","23/4/2005","16:00","Atletico-MG","Figueirense","","","","","Atletico-MG"," Mineirão","4","1","MG","SC"
"1107","1","23/4/2005","18:10","Sao Caetano","Palmeiras","","","","","-","  Bruno J Daniel","2","2","SP","SP"
"1108","1","23/4/2005","18:10","Flamengo","Cruzeiro","","","","","-"," Maracanã","1","1","RJ","MG"
"1109","1","24/4/2005","16:00","Internacional","Botafogo-RJ","","","","","Botafogo-RJ"," Beira Rio","0","2","RS","RJ"
"1110","1","24/4/2005","16:00","Fortaleza","Coritiba","","","","","Coritiba","  Pres Vargas*(PF)","0","1","CE","PR"
"1111","1","24/4/2005","16:00","Fluminense","Sao Paulo","","","","","Fluminense"," Maracanã","2","1","RJ","SP"
"1112","1","24/4/2005","16:00","Corinthians","Juventude","","","","","-"," Pacaembu","2","2","SP","RS"
"1113","1","24/4/2005","18:10","Athletico-PR","Ponte Preta","","","","","Ponte Preta"," Arena da Baixada","0","1","PR","SP"
"1114","1","24/4/2005","18:10","Brasiliense","Vasco","","","","","-","  Mané Garrincha","2","2","DF","RJ"
"1115","1","24/4/2005","18:10","Santos","Paysandu","","","","","Santos","  A Campanella*(PF)","4","1","SP","PA"
"1116","2","30/4/2005","16:00","Goias","Sao Caetano","","","","","-"," Serra Dourada","0","0","GO","SP"
"1117","2","30/4/2005","16:00","Vasco","Fortaleza","","","","","-","  R de Oliveira*(PF)","0","0","RJ","CE"
"1118","2","30/4/2005","16:00","Palmeiras","Brasiliense","","","","","Palmeiras","  Parque Antártica","2","1","SP","DF"
"1119","2","30/4/2005","18:10","Ponte Preta","Atletico-MG","","","","","-"," Moisés Lucarelli","3","3","SP","MG"
"1120","2","30/4/2005","18:10","Sao Paulo","Parana","","","","","-"," Morumbi","1","1","SP","PR"
"1121","2","1/5/2005","16:00","Cruzeiro","Internacional","","","","","Cruzeiro"," Mineirão","3","2","MG","RS"
"1122","2","1/5/2005","16:00","Juventude","Athletico-PR","","","","","Juventude"," Alfredo Jaconi","1","0","RS","PR"
"1123","2","1/5/2005","16:00","Figueirense","Flamengo","","","","","Flamengo"," Orlando Scarpelli","0","1","SC","RJ"
"1124","2","1/5/2005","16:00","Botafogo-RJ","Corinthians","","","","","Botafogo-RJ","  Luso Brasileiro*(PF)","3","1","RJ","SP"
"1125","2","1/5/2005","18:10","Coritiba","Santos","","","","","Santos"," Couto Pereira","2","3","PR","SP"
"1126","2","1/5/2005","18:10","Paysandu","Fluminense","","","","","Fluminense"," Mangueirão","1","2","PA","RJ"
"1127","3","7/5/2005","16:00","Parana","Juventude","","","","","-"," Pinheirão","2","2","PR","RS"
"1128","3","7/5/2005","16:00","Goias","Figueirense","","","","","-"," Serra Dourada","0","0","GO","SC"
"1129","3","7/5/2005","18:10","Ponte Preta","Paysandu","","","","","Ponte Preta"," Moisés Lucarelli","2","0","SP","PA"
"1130","3","7/5/2005","18:10","Santos","Athletico-PR","","","","","Santos"," Vila Belmiro","2","1","SP","PR"
"1131","3","8/5/2005","16:00","Internacional","Flamengo","","","","","Internacional"," Beira Rio","1","0","RS","RJ"
"1132","3","8/5/2005","16:00","Coritiba","Palmeiras","","","","","Coritiba"," Couto Pereira","1","0","PR","SP"
"1133","3","8/5/2005","16:00","Corinthians","Sao Paulo","","","","","Sao Paulo"," Pacaembu","1","5","SP","SP"
"1134","3","8/5/2005","18:10","Fluminense","Cruzeiro","","","","","Fluminense","  Raulino de Oliveira","2","1","RJ","MG"
"1135","3","8/5/2005","18:10","Sao Caetano","Fortaleza","","","","","Sao Caetano"," Anacleto Campanella","2","1","SP","CE"
"1136","3","8/5/2005","18:10","Atletico-MG","Brasiliense","","","","","Brasiliense"," Mineirão","0","1","MG","DF"
"1138","4","14/5/2005","16:00","Fortaleza","Ponte Preta","","","","","Fortaleza","  Pres Vargas*(PF)","2","1","CE","SP"
