"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","I","PE","PP","RB","CA","CV","SG","DD","DP","GS","GC"
"190","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,32,356,"mei","Nulo",0,7.24,0,2.18,"Fortaleza",NA,12,7,16,35,NA,2,2,26,NA,8,1,NA,NA,NA,NA,NA,NA
"191","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,32,267,"mei","Provável",4.2,9.62,0.33,2.61,"Vasco",2,17,5,21,51,1,3,2,66,2,27,5,NA,NA,NA,NA,NA,NA
"192","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,32,341,"mei","Dúvida",3.6,3.42,0.02,1.52,"CSA",2,24,3,5,15,NA,NA,NA,24,NA,22,5,NA,NA,NA,NA,NA,NA
"193","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2019/03/28/2438d7ca6b16c454a1fc9ccb45ec389d_FORMATO.png",73974,32,277,"mei","Nulo",-0.5,4.68,-0.7,2.65,"Santos",1,28,NA,8,20,NA,NA,NA,18,NA,38,7,NA,NA,NA,NA,NA,NA
"194","Alexandre Rosa Paschoalato","alexandre-cajuru","Alexandre Cajuru","https://s.glbimg.com/es/sde/f/2019/03/23/edb53fb0c37fc84723a26e49ce65dfa0_FORMATO.png",80276,32,341,"gol","Contundido",0,3,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/09/19/5713b43cf674fc15a512f9431af9e7c1_FORMATO.png",73896,32,282,"ata","Nulo",0,9.11,0,1.64,"Atlético-MG",1,26,10,12,26,1,NA,1,31,NA,17,3,1,NA,NA,NA,NA,NA
"196","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2019/05/07/9db851eba6d52f43af59baaf6fc0aa8e_FORMATO.png",80318,32,265,"lat","Nulo",0,3.23,0,0.85,"Bahia",NA,13,NA,NA,2,NA,NA,1,8,NA,3,3,NA,3,NA,NA,NA,NA
"197","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png",73992,32,262,"lat","Nulo",3.5,3.6,0.63,2.11,"Flamengo",1,12,1,1,10,NA,NA,2,10,NA,11,3,NA,3,NA,NA,NA,NA
"198","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2019/09/16/6f2f20a500853211de97a81f1227e4ae_FORMATO.png",80313,32,266,"lat","Provável",-1.6,6.37,-1.51,2.93,"Fluminense",2,28,7,10,19,NA,NA,1,76,NA,27,2,NA,7,NA,NA,NA,NA
"199","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,32,263,"gol","Nulo",7.7,10.11,1.25,4.62,"Botafogo",NA,NA,NA,NA,5,NA,NA,NA,14,NA,NA,3,NA,8,50,NA,31,NA
"200","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/04/08/ecdf20e0263f65cb7a63bf0e68ebd3b6_FORMATO.png",83433,32,285,"mei","Provável",4.2,9.33,0.25,4.29,"Internacional",1,32,4,11,31,NA,2,NA,34,NA,48,5,NA,NA,NA,NA,NA,NA
"201","Arthur Caíke do Nascimento Cruz","arthur-caike","Arthur Caíke","https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png",80337,32,265,"ata","Dúvida",0.5,8.96,0.28,2.23,"Bahia",1,17,8,17,12,1,4,4,24,NA,6,1,1,NA,NA,NA,NA,NA
"202","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2019/07/30/6d045d7809171c7ff080a09196c9b11d_FORMATO.png",80287,32,284,"ata","Provável",9.4,8.36,1.33,4.51,"Grêmio",4,24,14,15,26,1,5,4,44,1,19,6,NA,NA,NA,NA,NA,NA
"203","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,32,314,"mei","Nulo",0,3.7,0,1.9,"Avaí",1,15,4,6,11,NA,NA,1,37,NA,21,1,NA,NA,NA,NA,NA,NA
"204","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png",74140,32,265,"mei","Provável",4,6.94,0.25,3.1,"Bahia",1,10,10,6,63,NA,2,3,46,NA,23,3,NA,NA,NA,NA,NA,NA
"205","Matheus Francisco Inácio","matheus-inacio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2019/04/23/0874eaa1c85dea23ae378fbf3d5e1768_FORMATO.png",80394,32,356,"gol","Contundido",0,2,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg",74074,32,267,"lat","Nulo",0,4.01,0,2.15,"Vasco",NA,2,NA,2,NA,NA,NA,NA,6,NA,5,1,NA,NA,NA,NA,NA,NA
"207","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png",74213,32,265,"mei","Nulo",0.2,3.51,-0.99,1.13,"Bahia",2,15,3,5,7,NA,1,1,17,NA,8,5,NA,NA,NA,NA,NA,NA
"208","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2019/07/12/d236ac59751ccacea17719995b9cd8ba_FORMATO.png",68923,32,264,"zag","Provável",3,10.97,0.76,3.97,"Corinthians",1,9,2,7,3,1,1,4,10,NA,27,4,NA,7,NA,NA,NA,NA
"209","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,32,354,"mei","Provável",3.5,6.88,0.15,2.37,"Ceará",NA,46,4,5,31,1,1,3,37,NA,57,7,NA,NA,NA,NA,NA,NA
"210","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2019/06/21/54d9293ab4a308b17cb43dd66c62533a_FORMATO.png",50407,32,267,"mei","Nulo",-0.8,3.99,-0.68,0.87,"Vasco",NA,10,2,1,3,NA,NA,1,7,NA,6,NA,NA,NA,NA,NA,NA,NA
"211","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,32,283,"zag","Nulo",0,6.11,0,1.83,"Cruzeiro",NA,17,1,NA,5,NA,NA,NA,17,NA,15,1,NA,3,NA,NA,NA,NA
"212","Alan Henrique Costa","alan-costa","Alan Costa","https://s.glbimg.com/es/sde/f/2019/07/08/c18e945ceabcef57bb344a15aad28d10_FORMATO.png",82613,32,341,"zag","Provável",-1,4.18,-0.12,1.81,"CSA",NA,17,1,5,5,NA,NA,3,28,NA,21,4,NA,5,NA,NA,NA,NA
"213","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,32,267,"zag","Nulo",0,6,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,32,283,"mei","Nulo",0,2.83,0,1.42,"Cruzeiro",1,12,1,4,8,NA,NA,NA,20,NA,15,2,NA,NA,NA,NA,NA,NA
"215","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,32,282,"zag","Nulo",0,4.46,0,1.55,"Atlético-MG",NA,14,2,3,11,1,1,NA,14,NA,11,5,NA,1,NA,NA,NA,NA
"216","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2019/04/22/a6f002f3b99c385acbafd311e4b3da81_FORMATO.png",68930,32,356,"ata","Provável",2,3.81,-1.59,1.42,"Fortaleza",NA,18,8,7,22,NA,1,3,2,NA,3,1,NA,NA,NA,NA,NA,NA
"217","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png",50877,32,354,"mei","Nulo",0,3.06,0,1.21,"Ceará",NA,16,1,1,14,NA,NA,NA,7,NA,16,3,NA,NA,NA,NA,NA,NA
"218","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,32,315,"lat","Nulo",0,7.93,0,2.53,"Chapecoense",1,20,1,2,22,NA,NA,NA,52,NA,24,3,NA,5,NA,NA,NA,NA
"219","Luciano Castán da Silva","luciano-castan","Luciano Castán","https://s.glbimg.com/es/sde/f/2019/03/23/d6ed12c79b94b3fe8318cbe26edff531_FORMATO.png",68942,32,341,"zag","Provável",-1.9,4.78,-0.19,1.43,"CSA",NA,28,1,2,7,NA,NA,1,43,NA,26,9,NA,9,NA,NA,NA,1
"220","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2019/03/30/b18585f6b8ae91f70811643eb4487638_FORMATO.png",51042,32,341,"lat","Provável",2.1,5.99,0.22,2.97,"CSA",1,45,11,13,40,NA,4,10,50,NA,12,4,NA,7,NA,NA,NA,NA
"221","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,32,277,"ata","Provável",15.1,10.24,0.97,4.75,"Santos",3,37,18,18,60,1,6,7,37,NA,24,8,1,NA,NA,NA,NA,NA
"222","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2019/03/27/9bfae7e4b63cac57b0bc415f46d1ab65_FORMATO.png",68938,32,290,"mei","Nulo",0,4.32,0,1.76,"Goiás",1,16,6,8,15,NA,NA,NA,37,NA,14,1,1,NA,NA,NA,NA,NA
"223","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,32,315,"zag","Nulo",2.2,4.09,0.39,0.88,"Chapecoense",NA,5,1,NA,6,NA,1,NA,21,NA,9,4,NA,1,NA,NA,NA,NA
"224","Ronaldo Luiz Alves","ronaldo-alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2019/03/23/3bc2e1eb0ea72584d6300404b6ae37b1_FORMATO.png",68950,32,341,"zag","Nulo",0,4.15,0,1.68,"CSA",NA,9,NA,6,5,NA,NA,NA,4,NA,7,1,NA,1,NA,NA,NA,1
"225","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,32,264,"gol","Provável",10.4,8.36,1.08,7.22,"Corinthians",NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,13,1,6,NA
"226","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,32,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",NA,5,NA,3,3,NA,NA,NA,24,NA,5,NA,NA,2,NA,NA,NA,NA
"227","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2019/02/04/f910b4ed58ff035220b338cff4ea9f5b_FORMATO.png",68954,32,283,"mei","Provável",-1.6,3.59,-0.77,1.58,"Cruzeiro",2,12,5,7,18,1,NA,2,28,NA,16,2,NA,NA,NA,NA,NA,NA
"228","Adalberto dos Santos Rodrigues","adalberto","Adalberto","https://s.glbimg.com/es/sde/f/2019/08/19/ce679bd6eb8a2add9e76265ac4d23cdb_FORMATO.png",51549,32,356,"zag","Nulo",0,1.72,0,-2.8,"Fortaleza",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"229","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png",51495,32,354,"zag","Contundido",0,5.9,0,2.27,"Ceará",1,14,1,2,2,1,1,2,28,NA,13,1,NA,4,NA,NA,NA,NA
"230","João Vitor Lima Gomes","joao-vitor","João Vitor","https://s.glbimg.com/es/sde/f/2019/07/29/05d3f4bb70d3e41d93b9f96017999f20_FORMATO.png",68987,32,341,"mei","Provável",2.2,5.42,-0.24,2.18,"CSA",NA,33,1,3,10,NA,NA,1,20,NA,40,4,1,NA,NA,NA,NA,NA
"231","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/05/23/6bb1b3455b09de07ffee5ece7a922ca8_FORMATO.png",52190,32,264,"mei","Provável",0,11.01,0,4.82,"Corinthians",NA,21,2,2,31,1,1,NA,24,NA,57,1,NA,NA,NA,NA,NA,NA
"232","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2018/08/01/51a34fdddb000e59403320c7aa8b8db4_FORMATO.png",69008,32,315,"zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,32,293,"gol","Nulo",13.4,9.75,0.7,4.54,"Athlético-PR",NA,1,NA,NA,4,NA,NA,NA,20,NA,NA,1,NA,9,30,2,19,NA
"234","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,32,262,"mei","Provável",0.8,11.81,-0.05,3.44,"Flamengo",6,26,11,14,44,NA,1,1,82,NA,35,3,NA,NA,NA,NA,NA,NA
"235","Michel Ferreira dos Santos","michel","Michel","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,32,284,"mei","Nulo",0,4,0,1.82,"Grêmio",NA,31,5,7,2,NA,NA,NA,27,NA,40,4,NA,NA,NA,NA,NA,2
"236","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2019/03/26/b8ec528564308c15c0bb71bc4f8a95ab_FORMATO.png",80944,32,290,"mei","Nulo",0,4.68,0,1.21,"Goiás",NA,9,NA,6,9,1,1,1,19,NA,7,1,NA,NA,NA,NA,NA,NA
"237","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/08/16/0560ea5840e544229931b88728f2acec_FORMATO.png",52674,32,263,"lat","Contundido",0,5.35,0,1.68,"Botafogo",1,20,NA,1,16,NA,NA,NA,37,NA,19,3,2,5,NA,NA,NA,NA
"238","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png",52618,32,276,"zag","Nulo",0,3.52,0,2.05,"São Paulo",NA,12,NA,NA,1,NA,NA,NA,12,NA,13,5,NA,4,NA,NA,NA,NA
"239","João Carlos Heidemann","joao-carlos","João Carlos","https://s.glbimg.com/es/sde/f/2019/03/23/b148048ebdcdc02c79c893ae63f6e80d_FORMATO.png",69010,32,341,"gol","Provável",3,1.75,0.82,2.25,"CSA",NA,1,NA,NA,1,NA,NA,NA,5,NA,NA,1,1,1,18,NA,14,NA
"240","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg",52558,32,267,"mei","Nulo",0,5.66,0,1.07,"Vasco",NA,6,NA,2,12,NA,2,1,11,1,2,2,NA,NA,NA,NA,NA,NA
"241","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2019/03/28/eb379c8f9ca40adb24afd4216819a3c1_FORMATO.png",86740,32,354,"lat","Provável",0.7,9.45,-1.13,2.55,"Ceará",NA,13,7,6,8,NA,1,4,58,NA,31,1,NA,6,NA,NA,NA,1
"242","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,32,282,"zag","Provável",5,12.67,-0.28,4.85,"Atlético-MG",2,10,5,11,19,2,1,1,37,NA,39,2,NA,6,NA,NA,NA,NA
"243","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,32,277,"zag","Provável",0,5.24,0,2.95,"Santos",NA,32,4,7,17,NA,3,NA,41,NA,17,8,2,13,NA,NA,NA,NA
"244","Diego Santos Gama Camilo","biro-biro","Biro Biro","https://s.glbimg.com/es/sde/f/2019/07/10/28265c0a5960ef7125c08e60594b3b70_FORMATO.png",80949,32,263,"ata","Contundido",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,32,277,"ata","Nulo",0,3.59,0,-0.29,"Santos",NA,5,4,6,NA,NA,NA,2,9,NA,1,3,NA,NA,NA,NA,NA,NA
"246","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png",78475,32,354,"ata","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Marcos Vinícius dos Santos Gonçalves","marquinhos-santos","Marquinhos Santos","https://s.glbimg.com/es/sde/f/2019/09/19/b0d1c45c9de1abdfb26e083adff2e1b1_FORMATO.png",81031,32,315,"tec","Provável",2.13,8.14,-0.15,2.72,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,32,262,"lat","Nulo",0,9.14,0,4.45,"Flamengo",2,19,2,2,8,NA,NA,NA,55,NA,34,2,NA,10,NA,NA,NA,NA
"249","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,32,267,"zag","Provável",13.2,6.26,2.8,3.1,"Vasco",NA,13,3,3,4,1,1,NA,26,NA,17,5,NA,9,NA,NA,NA,NA
"250","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,32,282,"mei","Nulo",0,6.81,0,3.48,"Atlético-MG",NA,16,NA,1,14,NA,1,NA,13,NA,21,2,NA,NA,NA,NA,NA,NA
"251","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,32,283,"gol","Nulo",0,3.99,0,2.73,"Cruzeiro",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,5,NA,6,NA
"252","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2019/05/30/7e60ff2712f74e10b9a6bcf9661f2f8f_FORMATO.png",81682,32,282,"mei","Provável",3.6,10.08,-0.21,3.13,"Atlético-MG",1,18,19,22,7,1,4,NA,75,NA,13,2,1,NA,NA,NA,NA,NA
"253","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,32,275,"lat","Nulo",0,5.75,0,-0.4,"Palmeiras",NA,1,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1
"254","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2019/03/28/c138b40f3a1c3c5a30059c6bfeb61b3d_FORMATO.png",81677,32,277,"mei","Provável",5.1,14.79,0.48,6.02,"Santos",7,34,19,27,64,2,8,5,99,1,32,4,NA,NA,NA,NA,NA,NA
"255","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,32,262,"mei","Provável",1.5,13.33,0.15,3.93,"Flamengo",6,44,7,14,20,2,2,1,59,NA,57,2,NA,NA,NA,NA,NA,1
"256","Marcos de Paula Dutra","marcos","Marcos","https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png",78495,32,290,"gol","Nulo",0,2.23,0,-0.5,"Goiás",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
"257","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2019/09/05/0bb3b5b6b03109f7053ff8bc82656358_FORMATO.png",81770,32,267,"ata","Nulo",0,3.25,0,0.18,"Vasco",NA,7,5,3,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"258","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,32,265,"gol","Provável",1,14.15,0.48,6.03,"Bahia",NA,NA,NA,NA,9,NA,NA,NA,7,NA,1,NA,NA,14,56,1,31,NA
"259","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2019/03/30/23a1a1c9b0e58f10ebf65e3a02139cd9_FORMATO.png",81776,32,293,"mei","Provável",-0.3,2.44,-0.07,1.64,"Athlético-PR",NA,10,6,4,15,2,NA,NA,15,NA,6,1,NA,NA,NA,NA,NA,NA
"260","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,32,354,"mei","Provável",0.9,7.42,-0.58,3.71,"Ceará",6,27,16,23,9,NA,1,1,78,NA,42,1,NA,NA,NA,NA,NA,NA
"261","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,32,277,"mei","Dúvida",6.9,8.43,1.49,1.96,"Santos",1,20,9,11,28,1,1,NA,43,NA,15,2,NA,NA,NA,NA,NA,NA
"262","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2019/05/08/96abdb92d574fa62e402db3c5eb7fc0c_FORMATO.png",81798,32,267,"ata","Provável",3,4.77,0.3,1.85,"Vasco",2,30,15,14,39,1,1,4,63,1,19,7,NA,NA,NA,NA,NA,NA
"263","Paulo Oliveira de Souza Junior","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2019/05/07/d675dad7ddcb13ca96fcc4065ac3b404_FORMATO.png",78512,32,314,"lat","Nulo",0,2.43,0,1.6,"Avaí",NA,7,NA,2,11,NA,NA,NA,10,NA,6,NA,NA,NA,NA,NA,NA,NA
"264","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png",78605,32,264,"mei","Suspenso",-0.1,5.81,-0.16,2.92,"Corinthians",NA,18,1,1,5,NA,NA,NA,18,NA,32,3,NA,NA,NA,NA,NA,NA
"265","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,32,262,"ata","Provável",0.7,8.82,-0.66,3.83,"Flamengo",3,25,10,21,16,NA,4,3,33,NA,15,1,NA,NA,NA,NA,NA,NA
"266","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,32,276,"lat","Provável",-0.4,14.64,-0.68,6.25,"São Paulo",1,39,9,22,35,2,5,NA,64,1,53,6,NA,12,NA,NA,NA,NA
"267","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,32,354,"zag","Provável",-4.8,2.75,-1.57,2.94,"Ceará",NA,6,NA,2,NA,NA,NA,NA,8,NA,5,2,NA,3,NA,NA,NA,NA
"268","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,32,284,"mei","Provável",0.5,7.83,-0.35,5.13,"Grêmio",6,17,13,8,36,NA,3,NA,36,NA,17,4,NA,NA,NA,NA,NA,NA
"269","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,32,314,"mei","Provável",1.2,5.17,-0.33,2.49,"Avaí",NA,30,7,11,31,1,1,1,57,1,38,1,NA,NA,NA,NA,NA,NA
"270","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2019/03/28/1dadcc46ba4eb0738815ddfca0b51a71_FORMATO.png",81881,32,315,"gol","Provável",1,5.49,-1.3,4.63,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,17,NA,9,NA
