"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","PE","RB","FD","FF","G","SG","CA","A","CV","I","FT","DD","GS","DP","PP","GC"
"189","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,14,284,"ata","Nulo",0,9.75,0,2.53,"Grêmio",3,8,24,6,8,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"190","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,14,293,"zag","Suspenso",0,1.27,0,-2.1,"Athlético-PR",2,1,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,14,262,"gol","Provável",-2,5.1,-0.78,2.9,"Flamengo",NA,NA,5,1,NA,NA,NA,2,NA,NA,NA,NA,NA,15,13,NA,NA,NA
"192","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,14,267,"zag","Provável",9.5,10.7,1.29,5.47,"Vasco",3,6,7,6,NA,NA,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"193","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,14,341,"lat","Provável",6.2,7.43,0.44,5.08,"CSA",3,7,29,13,5,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,14,314,"zag","Provável",2,6.13,-0.07,1.87,"Avaí",8,5,19,13,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,14,275,"mei","Suspenso",-5,5.31,-1.98,0.6,"Palmeiras",11,10,11,4,2,5,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"196","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,14,263,"gol","Nulo",0,5.46,0,5.5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"197","Pablo Marí Villar","pablo-mari","Pablo Marí","https://s.glbimg.com/es/sde/f/2019/07/12/e71c6301fc9b3c012b73664c5daceb1b_FORMATO.png",105897,14,262,"zag","Provável",-3,3.24,-0.98,0.03,"Flamengo",4,NA,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,14,314,"mei","Nulo",-1.7,4.59,-0.37,-0.42,"Avaí",1,3,12,1,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"199","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,14,283,"lat","Suspenso",-4.7,4.36,-1.84,1.05,"Cruzeiro",7,4,8,7,NA,2,NA,1,1,NA,2,NA,1,NA,NA,NA,NA,NA
"200","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,14,276,"mei","Contundido",5.4,14.45,0.4,4.31,"São Paulo",9,13,11,9,8,8,1,NA,2,4,NA,1,NA,NA,NA,NA,NA,NA
"201","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,14,262,"mei","Contundido",0,5.52,0,1.53,"Flamengo",10,16,25,9,6,7,NA,NA,5,NA,NA,NA,2,NA,NA,NA,1,NA
"202","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/03/21/153f5cacc7a34ba4806328a24f5a1750_FORMATO.png",38632,14,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",7,2,6,11,4,3,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"203","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,14,283,"mei","Provável",5.5,8.43,-0.09,4.24,"Cruzeiro",13,11,12,26,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/05/23/baafa063aa2addaba5bf9bcfb361129f_FORMATO.png",38959,14,264,"ata","Provável",3,5.21,0,2.39,"Corinthians",13,22,15,7,2,5,2,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA
"205","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,14,266,"mei","Suspenso",1.4,5.81,0.18,2.06,"Fluminense",6,6,9,2,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"206","Henrique Almeida Caixeta Nascentes","henrique-almeida","Henrique Almeida","https://s.glbimg.com/es/sde/f/2019/07/25/828af9fc6a19344c0716c18dd2ca67d2_FORMATO.png",68773,14,315,"ata","Nulo",3.8,3.98,0.64,2.4,"Chapecoense",1,3,1,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,14,267,"tec","Provável",4.81,8.31,0.39,3.27,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,14,262,"lat","Provável",1,11.21,-0.55,0.85,"Flamengo",5,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,14,283,"lat","Provável",0,8.51,-0.63,4.44,"Cruzeiro",6,8,31,17,3,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"210","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,14,282,"ata","Provável",13.9,15.85,2.07,3.77,"Atlético-MG",11,11,10,4,7,7,2,NA,NA,2,NA,1,1,NA,NA,NA,1,NA
"211","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,14,315,"ata","Contundido",0,5.74,0,2.55,"Chapecoense",NA,9,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","André Francisco Moritz","andre-moritz","André Moritz","https://s.glbimg.com/es/sde/f/2019/02/18/d99758d2310a72493c0acbd56c97f22d_FORMATO.png",42208,14,314,"mei","Nulo",0,1.88,0,-0.68,"Avaí",1,2,11,1,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"213","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/01/14/60f84b09140055d7fb8c0d0892d5f573_FORMATO.jpeg",42116,14,275,"ata","Provável",0,7.58,0,1.3,"Palmeiras",2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,14,284,"tec","Provável",1.45,11.35,-0.46,3.85,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,14,356,"ata","Nulo",1.2,4.92,0.25,1.54,"Fortaleza",8,4,16,5,3,2,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
"216","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,14,265,"lat","Dúvida",-0.3,11.78,-2.16,4.89,"Bahia",12,14,23,16,3,4,NA,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"217","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,14,341,"mei","Contundido",0,2.88,0,0.16,"CSA",9,6,11,7,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2019/04/07/35352a4b014ee5f80f5cf8c8e7123bc9_FORMATO.png",42411,14,276,"tec","Provável",3.66,10.22,0.09,3.85,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Abner Felipe Souza de Almeida","abner-felipe","Abner Felipe","https://s.glbimg.com/es/sde/f/2019/04/01/18e6ddda5e7dd97a6c3c7e7a4ee0011d_FORMATO.png",84860,14,293,"lat","Nulo",0,6.3,0,8.4,"Athlético-PR",6,3,9,4,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"220","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,14,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png",42232,14,315,"mei","Nulo",0,2.99,0,2.4,"Chapecoense",2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,14,354,"ata","Nulo",0,1.76,0,1,"Ceará",1,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,14,264,"gol","Suspenso",5.7,9.09,0.08,4.98,"Corinthians",NA,2,4,NA,NA,NA,NA,6,3,NA,NA,NA,NA,15,7,NA,NA,NA
"224","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/05/15/1734697a213fcd54106cf09b1ea78a95_FORMATO.png",80080,14,314,"ata","Provável",8.3,5.6,1.77,1.49,"Avaí",18,12,10,1,2,5,2,NA,4,NA,NA,5,1,NA,NA,NA,NA,NA
"225","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,14,283,"ata","Dúvida",6.7,7.47,0.86,2.81,"Cruzeiro",6,8,4,1,6,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"226","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,14,283,"mei","Dúvida",0,3.89,0,1.88,"Cruzeiro",6,10,6,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,14,285,"mei","Provável",5.3,6.21,0.42,4.56,"Internacional",9,6,10,13,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"228","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2019/06/20/61b536c18d17747b369b6037b3390866_FORMATO.png",68887,14,315,"zag","Provável",2.3,6.97,0.32,2.15,"Chapecoense",7,11,28,8,3,5,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"229","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,14,285,"ata","Provável",-0.3,4.78,-0.5,1.8,"Internacional",1,10,14,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2019/03/30/c914f02dc858484095b4c076f9ee33f9_FORMATO.png",68821,14,284,"lat","Dúvida",7.4,3.95,0.95,3.87,"Grêmio",1,1,8,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"231","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,14,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",2,3,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,14,266,"zag","Provável",2,5.45,-0.08,0.88,"Fluminense",6,3,6,9,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"233","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,14,267,"mei","Provável",0.1,9.4,-0.85,2.97,"Vasco",6,25,26,13,3,6,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Alexandre Rosa Paschoalato","alexandre-cajuru","Alexandre Cajuru","https://s.glbimg.com/es/sde/f/2019/03/23/edb53fb0c37fc84723a26e49ce65dfa0_FORMATO.png",80276,14,341,"gol","Contundido",0,3,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2019/05/07/9db851eba6d52f43af59baaf6fc0aa8e_FORMATO.png",80318,14,265,"lat","Dúvida",-0.5,3.1,-0.2,0.92,"Bahia",12,2,8,1,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"236","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,14,356,"mei","Provável",7.2,8.77,1.42,3.2,"Fortaleza",5,13,12,3,4,7,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"237","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,14,266,"lat","Nulo",0,6.24,0,1.96,"Fluminense",12,5,32,14,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"238","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2019/07/30/6d045d7809171c7ff080a09196c9b11d_FORMATO.png",80287,14,284,"ata","Provável",1.4,6.19,-0.64,3.91,"Grêmio",14,8,17,8,7,7,2,NA,3,1,NA,3,NA,NA,NA,NA,1,NA
"239","Matheus Francisco Inácio","matheus-inacio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2019/04/23/0874eaa1c85dea23ae378fbf3d5e1768_FORMATO.png",80394,14,356,"gol","Contundido",0,2,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,14,283,"mei","Provável",-0.4,2.85,-0.94,1.13,"Cruzeiro",10,5,19,12,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Arthur Caíke do Nascimento Cruz","arthur-caike","Arthur Caíke","https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png",80337,14,265,"ata","Nulo",0.7,9.53,0.38,2.56,"Bahia",9,6,20,1,4,11,2,NA,NA,1,1,2,1,NA,NA,NA,NA,NA
"242","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,14,354,"mei","Provável",0.8,5.78,0.03,1.77,"Ceará",21,12,17,26,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,14,275,"mei","Nulo",0,5.08,0,1.3,"Palmeiras",8,3,6,3,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"244","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2019/01/14/a90df5771f9066a2c5babe59b575790d_FORMATO.jpeg",80692,14,275,"zag","Provável",7,10.61,1.27,5.5,"Palmeiras",6,6,4,10,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2019/05/23/d6ee8c1facd131fa22d648e2509f5cac_FORMATO.png",80664,14,264,"lat","Nulo",6.2,3.64,1.21,3,"Corinthians",5,4,5,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2019/03/26/4bc605d5a170ce1412fa7c8250432d85_FORMATO.png",80395,14,290,"mei","Nulo",0,2.56,0,0.92,"Goiás",3,5,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Franco Matías Di Santo","di-santo","Di Santo","https://s.glbimg.com/es/sde/f/2019/08/06/4b4ee867e422a17af92dd778a5d83993_FORMATO.png",80748,14,282,"ata","Nulo",0,8,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2019/03/28/c138b40f3a1c3c5a30059c6bfeb61b3d_FORMATO.png",81677,14,277,"mei","Provável",3.1,13.76,-2.94,6.28,"Santos",18,23,48,14,9,10,5,NA,1,3,NA,3,2,NA,NA,NA,1,NA
"249","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/09/27/b3280046d476aa241a694771fbe1b0cc_FORMATO.png",84893,14,267,"lat","Provável",8.8,5.26,0.26,3.67,"Vasco",7,13,11,9,1,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2019/03/22/fb5c74a8057f05313adc6f9c2a6a4783_FORMATO.png",68901,14,263,"ata","Provável",-2.5,1.43,-1.06,0.81,"Botafogo",15,3,30,11,3,7,NA,NA,5,2,NA,2,NA,NA,NA,NA,NA,NA
"251","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,14,284,"zag","Nulo",0,14.86,0,7,"Grêmio",6,7,12,27,1,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,14,266,"gol","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2019/03/26/b8ec528564308c15c0bb71bc4f8a95ab_FORMATO.png",80944,14,290,"mei","Provável",0,5.09,0,1.28,"Goiás",4,6,11,3,NA,2,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"254","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,14,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Diego Santos Gama Camilo","biro-biro","Biro Biro","https://s.glbimg.com/es/sde/f/2019/07/10/28265c0a5960ef7125c08e60594b3b70_FORMATO.png",80949,14,263,"ata","Contundido",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,14,267,"zag","Provável",5.6,4.25,0.36,3.16,"Vasco",3,3,12,7,1,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"257","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2019/07/12/d236ac59751ccacea17719995b9cd8ba_FORMATO.png",68923,14,264,"zag","Provável",9.5,10.63,2.55,2.7,"Corinthians",3,1,3,4,NA,3,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"258","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2019/05/28/e0cc239d7bd9a209bfdc1fecccf39567_FORMATO.png",68911,14,263,"ata","Provável",7.7,6.69,0.9,2.7,"Botafogo",18,19,24,4,4,5,3,NA,1,1,NA,6,1,NA,NA,NA,NA,NA
"259","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,14,283,"gol","Nulo",0,3.99,0,2.73,"Cruzeiro",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"260","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2019/03/27/9bfae7e4b63cac57b0bc415f46d1ab65_FORMATO.png",68938,14,290,"mei","Nulo",2.6,4.32,0.24,1.76,"Goiás",16,15,37,14,6,8,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"261","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/01/14/819c40f79c6d36a3a715ac4cc0e6ddba_FORMATO.jpeg",68920,14,275,"ata","Provável",22.9,21.57,4.6,7.04,"Palmeiras",6,38,22,5,5,15,4,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"262","Ronaldo Luiz Alves","ronaldo-alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2019/03/23/3bc2e1eb0ea72584d6300404b6ae37b1_FORMATO.png",68950,14,341,"zag","Nulo",0,4.49,0,-0.5,"CSA",3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Wanderson Ferreira de Oliveira","valdivia","Valdívia","https://s.glbimg.com/es/sde/f/2019/06/20/61242f36895eb1ce85680054317fbbf4_FORMATO.png",85423,14,267,"mei","Nulo",0,3.85,0,1.54,"Vasco",10,9,14,5,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"264","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,14,282,"zag","Nulo",0,4.32,0,0.42,"Atlético-MG",1,4,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2019/03/30/23a1a1c9b0e58f10ebf65e3a02139cd9_FORMATO.png",81776,14,293,"mei","Dúvida",0,2.97,0,2.23,"Athlético-PR",4,9,9,2,5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"266","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2019/04/22/a6f002f3b99c385acbafd311e4b3da81_FORMATO.png",68930,14,356,"ata","Nulo",0,3.56,0,0.97,"Fortaleza",9,13,2,NA,4,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"267","Luciano Castán da Silva","luciano-castan","Luciano Castán","https://s.glbimg.com/es/sde/f/2019/03/23/d6ed12c79b94b3fe8318cbe26edff531_FORMATO.png",68942,14,341,"zag","Provável",2.9,5.84,-0.58,2.4,"CSA",10,3,25,16,NA,1,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,14,265,"tec","Provável",2.59,11.16,-0.61,4.41,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
