"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","I","PE","RB","A","CA","G","SG","CV","DD","DP","GS","PP","GC","FT"
"204","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2017/08/16/34305aca84639e95caaf29addb016bab_FORMATO.png",99918,15,284,"mei","Nulo",1.2,1.81,-0.3,1.45,"Grêmio",NA,2,1,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2019/04/30/4ac354c2c0fa03ebeb8343419ae93c11_FORMATO.png",71549,15,266,"ata","Nulo",0,3.72,0,0.2,"Fluminense",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,15,293,"mei","Nulo",0,5.47,0,3.38,"Athlético-PR",10,3,6,10,NA,9,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"207","Rickson Barbosa Sá da Conceição","rickson","Rickson","https://s.glbimg.com/es/sde/f/2019/08/16/72f22e08c825e7a916e81c6fcfe40189_FORMATO.png",100002,15,263,"mei","Provável",2,1.99,0.09,1.63,"Botafogo",1,NA,1,5,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,15,356,"mei","Provável",2.6,4.33,-0.25,3.1,"Fortaleza",2,1,NA,8,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Diego Fabián Torres","diego-torres","Diego Torres","https://s.glbimg.com/es/sde/f/2019/03/28/a16774fba850b0c0dafc5cb1c27fbb4f_FORMATO.png",98794,15,315,"mei","Nulo",0,4.32,0,2.47,"Chapecoense",1,2,7,3,NA,11,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"210","Igor Cássio Vieira dos Santos","igor-cassio","Igor Cássio","https://s.glbimg.com/es/sde/f/2019/03/22/7c87ddae633eb2c51a6c053054e56a1a_FORMATO.png",99661,15,263,"ata","Nulo",0,1.29,0,-0.5,"Botafogo",1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2019/04/26/255d9bff72ac266df10afb5e3a477f23_FORMATO.png",100065,15,262,"ata","Nulo",0,3.74,0,1.97,"Flamengo",3,4,3,8,1,8,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"212","Matheus Mascarenhas dos Santos Raimundo","mascarenhas","Mascarenhas","https://s.glbimg.com/es/sde/f/2017/07/25/440c5676c1d5aade1bd6ddf33598e814_FORMATO.png",99721,15,266,"lat","Nulo",0,1.75,0,-2.3,"Fluminense",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,15,284,"mei","Nulo",0,8.5,0,4.62,"Grêmio",8,1,7,10,NA,18,9,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"214","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,15,277,"mei","Nulo",0,4,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Lucas Camilo Hernández Perdomo","lucas-hernandez","Lucas Hernández","https://s.glbimg.com/es/sde/f/2019/06/05/2e1901899d630ed1bfcc833d35f44ff0_FORMATO.png",98822,15,282,"lat","Nulo",0,1.56,0,-2.75,"Atlético-MG",9,1,NA,3,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,15,264,"mei","Nulo",0.5,3.27,-0.14,-0.2,"Corinthians",3,NA,3,1,NA,12,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,15,276,"mei","Nulo",0,0.83,0,-0.09,"São Paulo",5,2,NA,5,NA,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/09/27/d6ac644102159cd04f0ad131ac4bfb10_FORMATO.png",71571,15,267,"gol","Provável",0.7,6.93,-1.08,3.76,"Vasco",NA,NA,NA,1,NA,4,NA,NA,1,NA,3,NA,10,NA,8,NA,NA,NA
"219","Augusto César dos Santos Moreira","augusto","Augusto","https://s.glbimg.com/es/sde/f/2019/03/28/a943ff6068ab0a2af942a381c74055b4_FORMATO.png",71042,15,315,"mei","Provável",-1.6,3.73,-0.56,2.38,"Chapecoense",17,4,2,10,2,16,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,15,315,"mei","Provável",3.2,9.79,0.34,3.92,"Chapecoense",18,3,6,18,NA,19,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,15,293,"zag","Suspenso",0,1.27,0,-2.1,"Athlético-PR",2,1,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2019/03/28/aa5dd1708e186460f701dd3ce77f0824_FORMATO.png",100652,15,277,"ata","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2019/04/26/95196820b7c23e6db6715208a1fd4ea6_FORMATO.png",100125,15,262,"zag","Provável",-1.1,2.25,-0.28,0.74,"Flamengo",6,NA,NA,4,NA,7,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"224","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,15,263,"gol","Nulo",0,5.46,0,5.5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA
"225","Cláudio Vitor Morais de Lima Cruz","claudio-vitor","Cláudio Vitor","https://s.glbimg.com/es/sde/f/2019/02/18/798d0ead220702bf3c3f671330c609e5_FORMATO.png",98888,15,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,15,293,"lat","Dúvida",5.7,11.69,-1.31,5.7,"Athlético-PR",1,NA,1,NA,NA,2,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"227","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2018/12/21/500d93987dbbc889569e6b638e3cdab5_FORMATO.jpeg",100103,15,293,"ata","Nulo",0,1.1,0,0.7,"Athlético-PR",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,15,275,"mei","Nulo",0,5.31,0,0.6,"Palmeiras",11,2,5,10,NA,11,4,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA
"229","Filipe Gonçalves dos Santos","filipe","Filipe","https://s.glbimg.com/es/sde/f/2019/05/23/637d8e2371145463b7d61a38d9d5ce88_FORMATO.png",100712,15,264,"gol","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Felipe Augusto Rodrigues Pires","felipe-pires","Felipe Pires","https://s.glbimg.com/es/sde/f/2019/07/22/89697003a322b9831e66b5976e423c66_FORMATO.png",100289,15,356,"ata","Nulo",0,3.8,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,15,341,"lat","Provável",9.7,8.35,0.92,5.5,"CSA",3,5,5,8,NA,35,17,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA
"232","Gabriel Davi Gomes Sara","gabriel-sara","Gabriel Sara","https://s.glbimg.com/es/sde/f/2018/08/21/de4ebb4930052513099aefe26a7f4caa_FORMATO.png",100763,15,276,"mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Emanuel Leone Moura","emanuel","Emanuel","https://s.glbimg.com/es/sde/f/2017/12/01/e2a85d715ac397898197228bac470497_FORMATO.jpeg",100840,15,284,"zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,15,341,"mei","Contundido",0,2.88,0,0.16,"CSA",9,NA,2,6,NA,11,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,15,262,"gol","Provável",18,8.86,3.76,4.27,"Flamengo",NA,NA,NA,NA,NA,5,1,NA,NA,NA,2,NA,17,2,14,NA,NA,NA
"236","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2019/08/06/c53c03c082f9bf77d4e9b53fe6561a14_FORMATO.png",100290,15,277,"ata","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2018/09/25/46030666e126811406fd6e8bdccc980e_FORMATO.png",100742,15,284,"mei","Nulo",0,3.81,0,1.09,"Grêmio",9,2,1,10,NA,22,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,15,314,"zag","Provável",2.3,6.21,0.08,1.92,"Avaí",10,NA,7,5,1,19,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg",100830,15,284,"gol","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Héctor Ariel Bustamante","bustamante","Bustamante","https://s.glbimg.com/es/sde/f/2019/08/06/709f6c7dc04157eb549acea294843064_FORMATO.png",100425,15,341,"ata","Nulo",-0.5,0.78,-0.12,-0.95,"CSA",5,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/03/21/153f5cacc7a34ba4806328a24f5a1750_FORMATO.png",38632,15,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",7,4,3,2,1,6,11,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"242","Matheus Matias Ferreira","matheus-matias","Matheus Matias","https://s.glbimg.com/es/sde/f/2019/05/03/4950f0f0b7885ba14d08911b25c080c1_FORMATO.png",100430,15,314,"ata","Nulo",0,1.79,0,-0.1,"Avaí",3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Ruan Tressoldi Netto","ruan","Ruan",NA,100842,15,284,"zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,15,283,"lat","Nulo",0,4.36,0,1.05,"Cruzeiro",7,NA,2,4,NA,8,7,NA,1,NA,1,2,NA,NA,NA,NA,NA,1
"245","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,15,262,"lat","Provável",3.1,11.37,0.16,1.6,"Flamengo",6,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,15,314,"mei","Nulo",-0.6,4.65,0.06,-0.45,"Avaí",1,NA,2,3,2,14,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,15,267,"zag","Provável",14,11.94,1.24,7.18,"Vasco",3,1,1,8,1,7,8,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA
"248","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,15,276,"mei","Provável",1.4,4.23,-0.51,1.95,"São Paulo",4,1,1,3,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2019/05/09/08cbb57fc00b07a7ca892ea09b8dc8e5_FORMATO.png",100987,15,285,"mei","Provável",3,8.85,-0.31,4.2,"Internacional",28,4,3,12,1,16,32,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"250","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,15,276,"mei","Contundido",0,14.45,0,4.31,"São Paulo",9,8,8,13,1,11,9,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"251","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,15,282,"ata","Provável",0,15.85,0,3.77,"Atlético-MG",11,7,7,11,1,10,4,2,NA,2,NA,NA,NA,NA,NA,1,NA,1
"252","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2019/07/16/0e97ab882ccb46151e687ca118809f7c_FORMATO.png",100963,15,354,"ata","Provável",-1.1,2.85,-2.23,2.88,"Ceará",29,2,4,10,7,6,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"253","Felipe Albuquerque Felippi","felipe","Felipe",NA,100843,15,284,"lat","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2018/07/05/ce690031c364aa0119c415809e422cf0_FORMATO.png",101315,15,285,"mei","Provável",2.4,4.06,0.13,1.79,"Internacional",12,2,5,5,NA,17,8,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"255","Rony Fernandes da Silva","rony","Rony","https://s.glbimg.com/es/sde/f/2019/06/20/cf0dbe27f075457db8f6dabc6fb405d3_FORMATO.png",101040,15,276,"zag","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Lucas Esteves de Souza","esteves","Esteves","https://s.glbimg.com/es/sde/f/2019/07/08/cd984c932e6f6d7e51df1e0963c5513e_FORMATO.jpeg",100846,15,275,"lat","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,15,266,"mei","Nulo",0,5.81,0,2.06,"Fluminense",6,1,1,6,NA,9,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"258","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,15,262,"mei","Contundido",0,5.52,0,1.53,"Flamengo",10,6,7,16,NA,25,9,NA,5,NA,NA,NA,NA,NA,NA,1,NA,2
"259","Jean Hebert de Freitas","jo","Jô","https://s.glbimg.com/es/sde/f/2018/01/23/b7dbfe9b201891a0b82bad50c8db0b21_FORMATO.png",101317,15,314,"ata","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,15,276,"lat","Provável",14.3,17.65,0.65,14.3,"São Paulo",2,1,1,3,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"261","Gabriel Calabres Nunes","gabriel-calabres","Gabriel Calabres","https://s.glbimg.com/es/sde/f/2018/05/23/ab2e89590be1e66768af1205a202b31c_FORMATO.png",101911,15,277,"mei","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Gustavo Alcindo (Alcino)","gustavo","Gustavo","https://s.glbimg.com/es/sde/f/2019/02/18/2d52dcaf120ebbe0826308ada2b51f8d_FORMATO.png",101316,15,314,"zag","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,15,315,"ata","Contundido",0,5.74,0,2.55,"Chapecoense",NA,2,3,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/05/23/baafa063aa2addaba5bf9bcfb361129f_FORMATO.png",38959,15,264,"ata","Nulo",0,5.21,0,2.39,"Corinthians",13,2,5,22,5,15,7,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"265","Guilherme Nunes da Silva","guilherme-nunes","Guilherme Nunes","https://s.glbimg.com/es/sde/f/2018/05/23/7e91393fb9d0c73f8ae12e9e96c38308_FORMATO.png",101912,15,277,"mei","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Igor Henrique Pereira de Campos","igor-campos","Igor Campos","https://s.glbimg.com/es/sde/f/2018/05/24/97ef928b4d8da38916e72a5166792dc8_FORMATO.png",101421,15,315,"gol","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Claudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png",101319,15,282,"lat","Nulo",0.2,7.81,-0.58,4.64,"Atlético-MG",7,NA,3,6,1,31,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Braian Ezequiel Romero","braian-romero","Braian Romero","https://s.glbimg.com/es/sde/f/2019/03/30/4eab9bac11e6c0d60d5e717b2474963f_FORMATO.png",101997,15,293,"ata","Nulo",0,5.01,0,4.48,"Athlético-PR",14,1,5,10,1,11,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"269","Bruno da Silva Costa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2019/07/08/b382b801cec6400c54c7c9f971b5b35f_FORMATO.png",101422,15,282,"ata","Nulo",0,2.8,0,-0.3,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,15,293,"ata","Nulo",0,2.55,0,3.53,"Athlético-PR",8,2,4,2,NA,3,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"271","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2019/08/17/1e8c1cee38c33b285f33645bdf013d49_FORMATO.png",102563,15,290,"mei","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,15,267,"tec","Provável",2.24,7.96,-0.35,3.18,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Vitor Eudes de Souza Costa","vitor-eudes","Vitor Eudes","https://s.glbimg.com/es/sde/f/2018/11/22/3fc8cbbb0eff85d2cfd8e31bd040d110_FORMATO.png",102137,15,283,"gol","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Thonny Anderson da Silva Carvalho","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2019/05/18/9c926f399fb16f3629089771a4b5a9b6_FORMATO.png",101484,15,293,"mei","Nulo",-1,3.56,-2.2,2.81,"Athlético-PR",13,6,2,6,2,13,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"275","Jairo Santos de Oliveira Filho","jairinho","Jairinho","https://s.glbimg.com/es/sde/f/2019/05/04/5f48ebf39427ff35dd65f6f1b4768386_FORMATO.png",102139,15,267,"ata","Nulo",0,2.89,0,1.77,"Vasco",1,2,1,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/01/14/60f84b09140055d7fb8c0d0892d5f573_FORMATO.jpeg",42116,15,275,"ata","Nulo",0,7.58,0,1.3,"Palmeiras",2,1,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,15,293,"zag","Nulo",0,2.6,0,1.6,"Athlético-PR",4,1,2,NA,NA,6,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"278","Ricardo Thalheimer","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2019/03/26/d6db02ce94eb23f6a9e0090158f1d7e8_FORMATO.png",101491,15,314,"zag","Nulo",0,4.5,0,2.57,"Avaí",6,1,1,1,2,17,6,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"279","Hugo de Souza Nogueira","hugo-souza","Hugo Souza","https://s.glbimg.com/es/sde/f/2018/08/17/0d62f2b958751f0744942f9328f49c39_FORMATO.png",101574,15,262,"gol","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Gabriel José Ferreira Mesquita","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/08/23ead8e9977bf4883159480316b71e35_FORMATO.png",102290,15,293,"gol","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Joelson dos Santos Ferreira Júnior","joelson","Joelson","https://s.glbimg.com/es/sde/f/2019/03/23/55d863f2d8452ddc265570df15a5f65c_FORMATO.png",101512,15,341,"mei","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,15,284,"tec","Provável",1.74,11.33,-0.02,3.71,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,15,283,"lat","Dúvida",4.7,9.33,0.82,4.47,"Cruzeiro",6,3,1,8,1,32,17,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"284","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2019/02/18/9a6fef900167a97e0492da10177e45b8_FORMATO.png",102318,15,314,"ata","Provável",3.6,3.6,0.23,2.6,"Avaí",11,4,6,14,NA,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
