"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","PP","RB","A","SG","CV","DD","GS","DP","FT","GC"
"192","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,34,354,"zag","Nulo",0,3.25,0,2.27,"Ceará",3,7,NA,2,1,NA,NA,10,NA,6,NA,3,NA,NA,NA,NA,NA,NA
"193","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2019/05/23/74dd3815a00b56d9fc765cad761ff91c_FORMATO.png",78715,34,264,"mei","Nulo",1.1,8.41,-0.14,0.76,"Corinthians",1,32,1,9,13,NA,NA,23,NA,12,1,NA,NA,NA,NA,NA,NA,NA
"194","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2019/05/30/7d4922940f5a9f9151b4ed1421f520e9_FORMATO.png",88669,34,354,"ata","Nulo",0,9.77,0,3.07,"Ceará",5,14,12,14,30,3,2,43,NA,18,2,NA,NA,NA,NA,NA,NA,NA
"195","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2019/03/29/640d511884279db90f11e5446270556b_FORMATO.png",83772,34,285,"ata","Nulo",-2.4,5.1,-1.01,1.89,"Internacional",1,13,2,9,21,1,2,25,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"196","Diego Barbosa Tavares","diego-tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2019/03/26/2927048c0da9fb9fe99f8992d8483dbc_FORMATO.png",83869,34,356,"lat","Nulo",0,3,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,34,276,"lat","Provável",-0.3,14.24,-0.22,5.84,"São Paulo",6,44,9,23,36,5,1,65,1,54,1,12,NA,NA,NA,NA,2,NA
"198","Jean Carlos Guimarães dos Santos","jean-carlos","Jean Carlos","https://s.glbimg.com/es/sde/f/2019/08/13/a30f4147e4f6d4352203870e19f1d445_FORMATO.png",84253,34,290,"mei","Nulo",0,0.78,0,-2.8,"Goiás",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,34,314,"mei","Nulo",0,5.51,0,2.52,"Avaí",1,31,8,11,34,1,1,58,1,39,NA,NA,NA,NA,NA,NA,1,NA
"200","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2019/03/22/5b57ab0df3cfe7250d2365f6149d1672_FORMATO.png",84339,34,356,"lat","Provável",-4.3,3.06,-1.52,4.38,"Fortaleza",1,10,1,2,13,2,1,13,1,6,3,3,1,NA,NA,NA,NA,NA
"201","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,34,285,"mei","Contundido",0,7.12,0,1.4,"Internacional",1,2,NA,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"202","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,34,354,"gol","Nulo",0,4.73,0,1.2,"Ceará",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"203","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png",84428,34,354,"mei","Nulo",0,5.34,0,2.14,"Ceará",1,17,2,6,11,NA,1,23,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
"204","Bruno Alves de Souza","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/09/13/6a63d017c3cafbb9d929b7a8d1c922d2_FORMATO.png",84462,34,341,"ata","Nulo",-0.7,0.78,0,-0.39,"CSA",3,12,2,2,6,NA,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"205","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,34,356,"gol","Nulo",0,1,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Andrevaldo de Jesus Santos","valdo","Valdo","https://s.glbimg.com/es/sde/f/2019/03/28/45578b3cbd48709822cd22573ff790b6_FORMATO.png",84509,34,354,"zag","Provável",0,4.51,0,2.53,"Ceará",4,26,3,6,16,NA,NA,23,NA,30,1,6,NA,NA,NA,NA,NA,NA
"207","Rafael Diniz Alves e Silva","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/03/26/da0e26b0ad42f47aecd017b463a244e5_FORMATO.png",84381,34,290,"mei","Nulo",1.3,3.17,-0.24,2.38,"Goiás",1,6,3,5,7,1,1,7,NA,1,NA,NA,NA,NA,NA,NA,2,NA
"208","Marinaldo dos Santos Oliveira","naldo","Naldo","https://s.glbimg.com/es/sde/f/2019/03/23/aac48c4f03031bbaf833ecb77aaca2e3_FORMATO.png",78897,34,341,"mei","Contundido",0,3.77,0,2.07,"CSA",5,40,5,7,15,NA,2,30,NA,37,3,NA,NA,NA,NA,NA,NA,NA
"209","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/01/14/c215c66c4f1a435e26c1d93d00555071_FORMATO.jpeg",78855,34,275,"mei","Dúvida",6,6.01,0.8,2.22,"Palmeiras",5,37,1,2,14,1,1,14,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
"210","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,34,315,"mei","Suspenso",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Santiago Ernesto Romero Fernández","romero","Romero","https://s.glbimg.com/es/sde/f/2019/03/22/6f3e87cd0ea7dd0de1f8463bf7e216a1_FORMATO.png",79109,34,356,"mei","Nulo",0,4,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2019/10/03/b461b4465513a37d8a5a892a75c005f6_FORMATO.png",84382,34,267,"lat","Suspenso",0,5.35,0,3.13,"Vasco",3,33,5,7,9,2,1,47,NA,23,2,5,1,NA,NA,NA,1,NA
"213","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2019/03/28/8bb249c2111b49eff60737fd35c27a45_FORMATO.png",79035,34,277,"zag","Dúvida",0,5.49,0,3.35,"Santos",1,2,NA,NA,5,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA
"214","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2019/03/22/1e91578796c67027f42f8dfaefafd24d_FORMATO.png",84523,34,356,"ata","Provável",5.9,6.62,0.57,3.54,"Fortaleza",1,17,11,7,69,3,3,49,NA,19,4,NA,NA,NA,NA,NA,NA,NA
"215","Lucas Henrique Frigeri","lucas-frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2019/03/26/65f2f48172da036fdca184334f150eab_FORMATO.png",84854,34,314,"gol","Nulo",0,3.41,0,1.13,"Avaí",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"216","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,34,285,"zag","Provável",-0.8,13.71,-1.89,5.59,"Internacional",7,33,4,4,30,NA,NA,41,NA,82,NA,9,NA,NA,NA,NA,1,NA
"217","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,34,354,"ata","Nulo",0,1.76,0,1,"Ceará",NA,1,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Abner Felipe Souza de Almeida","abner-felipe","Abner Felipe","https://s.glbimg.com/es/sde/f/2019/04/01/18e6ddda5e7dd97a6c3c7e7a4ee0011d_FORMATO.png",84860,34,293,"lat","Nulo",0,4.81,0,6.43,"Athlético-PR",NA,6,NA,NA,5,NA,NA,9,NA,5,2,1,NA,NA,NA,NA,NA,NA
"219","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,34,285,"ata","Dúvida",0,12.75,0,2.4,"Internacional",6,26,15,20,15,1,13,43,NA,21,3,NA,NA,NA,NA,NA,2,NA
"220","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,34,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",1,2,1,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"221","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2019/06/04/82859093e0dc5964ab48dbe20839b60d_FORMATO.png",79702,34,275,"zag","Dúvida",0,6.13,0,2.16,"Palmeiras",2,7,NA,NA,2,NA,NA,8,NA,6,NA,3,NA,NA,NA,NA,NA,NA
"222","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,34,265,"tec","Provável",4.65,11.88,0.32,4,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,34,283,"ata","Dúvida",-0.5,5.7,-1.16,1.85,"Cruzeiro",1,25,8,9,23,3,3,9,NA,6,NA,NA,1,NA,NA,NA,1,NA
"224","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,34,277,"zag","Dúvida",0,3.08,-1.13,2.07,"Santos",2,7,NA,2,3,NA,NA,12,NA,5,NA,3,NA,NA,NA,NA,NA,NA
"225","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,34,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Lucas Cavalcante Silva Afonso","lucao","Lucão","https://s.glbimg.com/es/sde/f/2019/11/06/4aeb102713cc91a349cf2650a02427f7_FORMATO.png",84554,34,290,"zag","Nulo",0,1.85,0,1.2,"Goiás",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/08/23/b588923de64bd21b19b226c460ebe139_FORMATO.png",80080,34,314,"ata","Nulo",0,3.77,0,0.61,"Avaí",4,27,3,7,22,2,7,17,NA,3,NA,NA,1,NA,NA,NA,1,NA
"228","Elosman Euller Silva Cavalcanti","euller","Euller ","https://s.glbimg.com/es/sde/f/2019/08/26/56ef8a5cc4081f9d61e3ae98f42f3795_FORMATO.png",84890,34,341,"lat","Provável",-0.8,3.19,-0.6,1.6,"CSA",1,11,5,8,9,NA,1,15,NA,9,NA,NA,NA,NA,NA,NA,1,NA
"229","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,34,283,"mei","Nulo",0,3.78,0,1.6,"Cruzeiro",2,12,1,4,18,NA,NA,12,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"230","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/09/27/b3280046d476aa241a694771fbe1b0cc_FORMATO.png",84893,34,267,"lat","Provável",0,4.83,0,2.88,"Vasco",5,20,1,2,26,NA,NA,18,NA,17,NA,6,NA,NA,NA,NA,NA,NA
"231","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,34,266,"gol","Provável",16,4.23,3.42,5.85,"Fluminense",1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,3,1,NA,NA,NA
"232","Alexandre Rosa Paschoalato","alexandre-cajuru","Alexandre Cajuru","https://s.glbimg.com/es/sde/f/2019/03/23/edb53fb0c37fc84723a26e49ce65dfa0_FORMATO.png",80276,34,341,"gol","Contundido",0,3,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,34,356,"mei","Nulo",0.5,7.16,-0.26,2.09,"Fortaleza",1,12,7,16,41,2,2,29,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"234","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2019/07/30/6d045d7809171c7ff080a09196c9b11d_FORMATO.png",80287,34,284,"ata","Provável",3.6,7.38,0.32,4.33,"Grêmio",6,26,15,15,30,5,5,48,1,22,4,NA,NA,NA,NA,NA,1,NA
"235","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2019/05/07/9db851eba6d52f43af59baaf6fc0aa8e_FORMATO.png",80318,34,265,"lat","Nulo",0,3.23,0,0.85,"Bahia",3,13,NA,NA,2,NA,1,8,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"236","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png",80189,34,265,"zag","Dúvida",0,6.52,0,2.59,"Bahia",2,8,2,5,11,NA,NA,58,NA,16,1,14,NA,NA,NA,NA,NA,NA
"237","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,34,267,"mei","Provável",0,9.62,0,2.61,"Vasco",5,17,5,21,51,3,2,66,2,27,2,NA,NA,NA,NA,NA,1,NA
"238","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,34,283,"mei","Nulo",0,2.83,0,1.42,"Cruzeiro",2,12,1,4,8,NA,NA,20,NA,15,1,NA,NA,NA,NA,NA,NA,NA
"239","Arthur Caíke do Nascimento Cruz","arthur-caike","Arthur Caíke","https://s.glbimg.com/es/sde/f/2019/02/27/3388dd10ab1c840b939f315bb52195b8_FORMATO.png",80337,34,265,"ata","Dúvida",-0.4,8.81,-1.81,2.45,"Bahia",1,20,10,19,15,5,4,30,NA,6,1,NA,1,NA,NA,NA,1,NA
"240","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2019/03/26/4bc605d5a170ce1412fa7c8250432d85_FORMATO.png",80395,34,290,"mei","Contundido",0,2.11,0,0.91,"Goiás",1,4,4,4,7,NA,1,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"241","Orlando Enrique Berrío Meléndez","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png",85300,34,262,"ata","Nulo",0,5.06,0,1.17,"Flamengo",1,15,1,6,4,1,NA,16,NA,8,2,NA,1,NA,NA,NA,NA,NA
"242","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,34,354,"mei","Provável",-0.5,6.18,-0.85,2.35,"Ceará",8,49,5,5,35,1,3,38,NA,60,NA,NA,NA,NA,NA,NA,1,NA
"243","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,34,277,"gol","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,34,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Matheus Francisco Inácio","matheus-inacio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2019/04/23/0874eaa1c85dea23ae378fbf3d5e1768_FORMATO.png",80394,34,356,"gol","Contundido",0,2,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2019/05/23/d6ee8c1facd131fa22d648e2509f5cac_FORMATO.png",80664,34,264,"lat","Nulo",0,4,0,2.31,"Corinthians",1,15,NA,NA,10,1,NA,13,NA,9,NA,3,1,NA,NA,NA,NA,NA
"247","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2019/01/14/a90df5771f9066a2c5babe59b575790d_FORMATO.jpeg",80692,34,275,"zag","Nulo",0,8.78,0,3.45,"Palmeiras",1,13,3,3,10,NA,NA,15,NA,19,NA,3,NA,NA,NA,NA,NA,NA
"248","Wanderson Ferreira de Oliveira","valdivia","Valdívia","https://s.glbimg.com/es/sde/f/2019/06/20/61242f36895eb1ce85680054317fbbf4_FORMATO.png",85423,34,267,"mei","Nulo",0,3.86,0,1.45,"Vasco",NA,10,3,5,10,NA,NA,14,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"249","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,34,275,"mei","Provável",4.3,4.94,0.48,1.58,"Palmeiras",3,18,5,3,16,1,NA,25,NA,10,3,NA,1,NA,NA,NA,NA,NA
"250","Alex Paulo Menezes Santana","alex-santana","Alex Santana","https://s.glbimg.com/es/sde/f/2019/03/22/18c2a6ba294467649a2ebdaf8c14b53a_FORMATO.png",85465,34,263,"mei","Provável",10.8,11.26,1.29,4.4,"Botafogo",2,14,10,17,34,5,1,25,NA,17,1,NA,NA,NA,NA,NA,1,NA
"251","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,34,276,"lat","Nulo",0.5,3.63,-0.84,1.7,"São Paulo",1,2,NA,NA,2,NA,NA,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"252","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2019/01/14/160ad6a02501aba225a8ebd56873a2c7_FORMATO.jpeg",85931,34,275,"mei","Nulo",0,4.6,0,3.3,"Palmeiras",NA,8,3,5,5,NA,NA,6,NA,5,1,NA,NA,NA,NA,NA,1,NA
"253","Franco Matías Di Santo","di-santo","Di Santo","https://s.glbimg.com/es/sde/f/2019/08/06/4b4ee867e422a17af92dd778a5d83993_FORMATO.png",80748,34,282,"ata","Provável",0.8,6.08,-0.86,1.59,"Atlético-MG",2,24,7,6,12,3,9,13,1,7,NA,NA,NA,NA,NA,NA,NA,NA
"254","Bruno Sávio da Silva","bruno-savio","Bruno Sávio","https://s.glbimg.com/es/sde/f/2019/07/18/3c124f6b21b643f148772b78affd6772_FORMATO.png",89101,34,314,"ata","Contundido",0,1.34,0,0.68,"Avaí",1,3,1,2,1,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"255","Miguel Ángel Borja Hernández","borja","Borja","https://s.glbimg.com/es/sde/f/2019/01/14/393ccccd62c119cd16a7237e06bb54bf_FORMATO.jpeg",86120,34,275,"ata","Nulo",-0.1,5.25,-2.12,2.68,"Palmeiras",1,7,4,7,8,1,2,8,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"256","Jonny Ferney Mosquera Mena","mosquera","Mosquera","https://s.glbimg.com/es/sde/f/2019/03/31/8ef2e2aca1a983bd2f770590e4a0aa91_FORMATO.png",86116,34,314,"mei","Nulo",0,2.43,0,0.89,"Avaí",2,8,NA,3,14,NA,NA,12,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"257","Diego Santos Gama Camilo","biro-biro","Biro Biro","https://s.glbimg.com/es/sde/f/2019/07/10/28265c0a5960ef7125c08e60594b3b70_FORMATO.png",80949,34,263,"ata","Contundido",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2019/07/09/6be4c7e2f273ab0fb8db516f2e004ab7_FORMATO.png",86143,34,265,"zag","Dúvida",4,2.15,0.79,0.3,"Bahia",1,3,NA,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"259","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2019/03/26/b8ec528564308c15c0bb71bc4f8a95ab_FORMATO.png",80944,34,290,"mei","Nulo",8.5,6.12,1.44,1.67,"Goiás",1,9,NA,6,10,2,1,19,NA,7,NA,NA,NA,NA,NA,NA,1,NA
"260","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,34,284,"zag","Provável",1,12.45,-0.5,5.64,"Grêmio",4,13,1,5,12,3,NA,31,NA,40,NA,6,NA,NA,NA,NA,NA,NA
"261","Marcos Vinícius dos Santos Gonçalves","marquinhos-santos","Marquinhos Santos","https://s.glbimg.com/es/sde/f/2019/09/19/b0d1c45c9de1abdfb26e083adff2e1b1_FORMATO.png",81031,34,315,"tec","Provável",5.12,8.75,0.02,3.09,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,34,267,"zag","Provável",0,3.15,0,2.7,"Vasco",5,14,3,3,5,1,1,27,NA,17,NA,9,NA,NA,NA,NA,1,1
"263","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,34,275,"lat","Nulo",0,5.75,0,-0.4,"Palmeiras",NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"264","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2019/01/14/6656cffa0a00120d740886ec3a73c1df_FORMATO.jpeg",86410,34,275,"lat","Nulo",0,4.47,0,-1.6,"Palmeiras",1,7,NA,2,1,NA,NA,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"265","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,34,282,"mei","Provável",0,6.16,0,3.25,"Atlético-MG",3,16,NA,1,18,1,NA,14,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
"266","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2019/09/16/2327d03ce998da8f704c560f545dd528_FORMATO.png",86444,34,266,"ata","Nulo",0.5,1.77,-0.22,1.17,"Fluminense",NA,2,NA,1,4,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"267","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2019/07/02/0f6012cd35603a1b0d4256fb91ed6709_FORMATO.png",86264,34,285,"lat","Nulo",0,4.46,0,1.47,"Internacional",2,8,NA,1,4,NA,NA,15,NA,9,NA,2,NA,NA,NA,NA,NA,1
"268","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2019/03/28/c138b40f3a1c3c5a30059c6bfeb61b3d_FORMATO.png",81677,34,277,"mei","Provável",11.8,15.94,0.06,6.41,"Santos",4,37,21,32,70,9,6,110,1,33,9,NA,NA,NA,NA,NA,2,NA
"269","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2019/09/06/afdf70fe63d0b05967709530960a4cf6_FORMATO.png",86519,34,293,"mei","Nulo",0,2.17,0,0.75,"Athlético-PR",1,3,1,3,10,NA,NA,12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"270","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2019/06/21/d18aac5064ae47e2d3442017e04c4736_FORMATO.png",86711,34,267,"mei","Provável",0,4.51,0,1.86,"Vasco",6,33,4,5,27,NA,NA,33,NA,36,1,NA,NA,NA,NA,NA,NA,NA
"271","Luanderson Johnala Marques da Silva","luanderson","Luanderson ","https://s.glbimg.com/es/sde/f/2019/05/07/da04fa8f12c10e89989965f7bf9d54ac_FORMATO.png",86380,34,314,"mei","Provável",3.2,3.03,0.43,2.79,"Avaí",2,14,1,1,21,NA,NA,17,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"272","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,34,276,"mei","Provável",3.5,5.64,0.21,2.22,"São Paulo",5,39,12,15,40,1,1,64,NA,44,NA,NA,NA,NA,NA,NA,NA,NA
