"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","CA","SG","A","FT","I","CV","G","DD","GS","DP","PP","GC"
"203","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,9,315,"lat","Provável",0,9.19,0,3.3,"Chapecoense",NA,NA,NA,2,7,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png",50877,9,354,"mei","Nulo",0,3.17,0,1.64,"Ceará",5,NA,NA,8,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,9,315,"zag","Contundido",0,5.26,0,4.4,"Chapecoense",NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"206","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2019/05/23/1e0958bf111e04ccbaa5075e15678a5a_FORMATO.png",50856,9,264,"zag","Provável",-0.5,6.9,-0.93,3.46,"Corinthians",3,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,9,283,"zag","Provável",-3.5,6.61,-1.94,2.51,"Cruzeiro",10,NA,NA,3,8,12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Thiago Carleto Alves","thiago-carleto","Thiago Carleto","https://s.glbimg.com/es/sde/f/2019/03/28/e6019b20be4192e66ea436db383a8d95_FORMATO.png",51700,9,354,"lat","Nulo",0,7.44,0,2.6,"Ceará",4,2,1,2,16,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/03/22/d7e594d8f0b678708a852f3ee9178e96_FORMATO.png",51415,9,356,"zag","Provável",0,3.87,0,0.62,"Fortaleza",1,NA,1,2,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2019/03/30/b18585f6b8ae91f70811643eb4487638_FORMATO.png",51042,9,341,"lat","Provável",-2,3.55,-0.34,0.56,"CSA",16,2,1,6,24,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,9,264,"gol","Provável",0.7,7.05,-2.84,10.6,"Corinthians",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"212","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,9,262,"mei","Nulo",13.1,13.86,2.71,4.12,"Flamengo",6,2,3,14,26,13,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"213","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png",51495,9,354,"zag","Provável",0,6,0,2.05,"Ceará",3,NA,1,1,7,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"214","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/05/23/6bb1b3455b09de07ffee5ece7a922ca8_FORMATO.png",52190,9,264,"mei","Provável",7.2,11.05,0.63,4.04,"Corinthians",9,1,1,16,14,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,9,282,"zag","Provável",10,12.55,1.32,4.53,"Atlético-MG",1,2,2,2,11,15,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"216","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/03/22/0f83ef7ddff9bb0d276ef1c978e96cee_FORMATO.png",52674,9,263,"lat","Dúvida",-0.5,4.47,-0.32,1.6,"Botafogo",7,NA,1,6,9,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,9,282,"gol","Provável",-2.3,6.56,-1.02,3.32,"Atlético-MG",NA,NA,NA,NA,7,NA,1,1,NA,NA,NA,NA,NA,17,11,NA,NA,NA
"218","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg",52558,9,267,"mei","Nulo",0,7.32,0,1.8,"Vasco",3,NA,NA,6,5,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"219","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,9,282,"mei","Provável",1.8,9.75,-0.29,2.52,"Atlético-MG",9,2,2,7,23,12,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA
"220","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,9,356,"mei","Nulo",1.5,4.08,-0.92,1.5,"Fortaleza",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,9,285,"lat","Provável",0.4,2.83,-0.82,3.98,"Internacional",9,1,3,2,9,10,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"222","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png",52618,9,276,"zag","Suspenso",0.5,2.8,-0.74,0.6,"São Paulo",5,NA,NA,1,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,9,282,"lat","Provável",-3.7,3.03,-1.58,0.86,"Atlético-MG",10,1,3,NA,16,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,9,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",3,1,3,7,9,4,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"225","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2019/03/30/81d88455f0c9a28fc1bf58482da871c1_FORMATO.png",68770,9,293,"mei","Suspenso",0,4.3,0,1.2,"Athlético-PR",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,9,265,"ata","Provável",0,17.49,0,6.67,"Bahia",4,4,7,1,8,5,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"227","Carlos Cesar Neves","carlos-cesar","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,9,282,"lat","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/02/b7fd3c8915f0a4f9c88d4643b263e867_FORMATO.png",37614,9,277,"mei","Nulo",0,6,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,9,265,"ata","Nulo",11.1,8.47,1.72,3.86,"Bahia",2,5,9,7,6,2,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA
"230","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,9,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/03/21/d608f479e030bba9eaacc9453619b564_FORMATO.png",61985,9,266,"mei","Nulo",0,1.57,0,-1.75,"Fluminense",5,NA,NA,3,5,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"232","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,9,315,"mei","Provável",8.6,7.36,1.07,4.38,"Chapecoense",3,3,5,5,12,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,9,275,"mei","Nulo",0,6,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,9,283,"mei","Provável",-5.1,6.26,-1.08,1.77,"Cruzeiro",14,1,6,8,42,10,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"235","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/04/26/4967faf795743de6fc05492896bb97fb_FORMATO.png",62086,9,262,"lat","Nulo",0,5.42,0,2.43,"Flamengo",6,NA,NA,5,8,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Leandro Rosa Souza","leandro-souza","Leandro Souza","https://s.glbimg.com/es/sde/f/2019/03/23/3bdd0f64b8caf2a1f19db1abc54eb9a6_FORMATO.png",62057,9,341,"zag","Nulo",-1.6,2.5,-1.12,-0.8,"CSA",1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,9,277,"gol","Dúvida",0,22.89,0,7.97,"Santos",NA,NA,NA,2,4,NA,NA,3,NA,NA,NA,NA,NA,15,6,NA,NA,NA
"238","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,9,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2019/04/27/6b41336a5a8911ee8ee9b1b8ce87488f_FORMATO.png",62137,9,354,"tec","Provável",3.05,10.6,-0.21,3.76,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2019/01/14/7f464fdea223af04dca8d52a2ac4d9d7_FORMATO.jpeg",63013,9,275,"lat","Provável",15.4,18.99,2.48,11.55,"Palmeiras",7,NA,2,6,8,13,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"241","Maicon Marques Bitencourt","maicon","Maicon","https://s.glbimg.com/es/sde/f/2019/03/29/32816f651b7a79f953bfbe551d47c80e_FORMATO.png",62968,9,282,"ata","Nulo",1.2,6.16,-0.85,2.9,"Atlético-MG",1,NA,1,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/09/27/100cf375e588a977ea2906da9ed2694f_FORMATO.png",62974,9,267,"zag","Nulo",0,0.75,0,-1.08,"Vasco",4,3,NA,1,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
"243","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/02/04/c331ee1720c436a925256baca5841194_FORMATO.png",62977,9,266,"mei","Provável",6.2,8.78,0.48,2.78,"Fluminense",6,3,5,7,14,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"244","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,9,285,"mei","Nulo",8.2,8.08,1.39,2.08,"Internacional",NA,4,4,5,25,1,NA,NA,1,NA,2,NA,1,NA,NA,NA,1,NA
"245","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,9,293,"mei","Provável",-3.3,0.75,0,-1.56,"Athlético-PR",15,NA,NA,2,20,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2019/04/01/92b08d76fca5665f16a0fee09fbc07d2_FORMATO.png",63058,9,276,"mei","Nulo",0,3,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,9,266,"gol","Suspenso",0,2.22,0,-0.67,"Fluminense",NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA
"248","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,9,315,"lat","Nulo",0,5.57,0,0.98,"Chapecoense",13,1,NA,10,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,9,356,"lat","Provável",10.1,6.82,1.82,3.24,"Fortaleza",10,2,4,6,14,17,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,9,315,"zag","Provável",1.1,2.25,0.29,-0.23,"Chapecoense",11,NA,4,1,6,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2019/04/01/3e050c01c28897f628b2b5b275392576_FORMATO.png",63422,9,276,"mei","Nulo",0,8,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2019/01/14/20086c7504f5424f31332554ca7c7549_FORMATO.jpeg",63158,9,275,"mei","Nulo",-0.3,5.57,-0.93,0.82,"Palmeiras",2,1,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Cícero dos Santos Bezerra","didira","Didira","https://s.glbimg.com/es/sde/f/2019/03/23/53d76a1f4b80cf6193e40d704877fbab_FORMATO.png",63178,9,341,"mei","Provável",0.9,6.04,-0.21,2.39,"CSA",9,1,2,12,16,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,9,285,"mei","Provável",2.6,8.79,0.33,3.35,"Internacional",7,2,1,9,23,7,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"255","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,9,282,"mei","Provável",7.1,8.8,0.86,4.07,"Atlético-MG",15,3,6,17,31,21,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,9,315,"ata","Provável",9.4,17.73,1.26,6.81,"Chapecoense",21,9,15,12,15,3,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA
"257","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,9,285,"zag","Provável",0,7.09,0,4.68,"Internacional",1,1,1,1,2,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"258","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,9,283,"zag","Provável",-1.4,14.72,-2.13,5.42,"Cruzeiro",8,4,4,10,21,16,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"259","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,9,284,"ata","Dúvida",-1.8,8.46,-0.66,2.22,"Grêmio",9,4,4,10,10,4,1,NA,1,1,3,NA,1,NA,NA,NA,1,NA
"260","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2019/05/13/8694db2e75af48647f99b643845dac13_FORMATO.png",68696,9,354,"ata","Provável",0,4.48,-0.27,1.4,"Ceará",10,5,8,9,9,4,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"261","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,9,283,"lat","Nulo",0,6.2,0,2.97,"Cruzeiro",6,NA,1,4,8,7,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"262","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2019/03/30/c914f02dc858484095b4c076f9ee33f9_FORMATO.png",68821,9,284,"lat","Nulo",0,3,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2019/03/21/555c62e4a3cee5e6cbe3931eb000ac6f_FORMATO.png",68698,9,266,"mei","Nulo",0,9.58,0,5.33,"Fluminense",4,1,2,7,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,9,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,9,285,"mei","Nulo",0,5.23,0,2.8,"Internacional",NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,9,284,"gol","Provável",6.8,6.63,0.66,4.41,"Grêmio",NA,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,NA,10,6,NA,NA,NA
"267","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2018/04/08/c6db42e2a46652d39dfdaf203267d223_FORMATO.png",68872,9,285,"gol","Provável",-2,9.95,-0.6,4.72,"Internacional",NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,14,8,NA,NA,NA
"268","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,9,265,"lat","Provável",4.5,12.31,0.21,4.4,"Bahia",9,3,4,12,22,13,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,9,267,"lat","Nulo",0,5,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,9,266,"zag","Provável",0,7,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2019/03/22/fb5c74a8057f05313adc6f9c2a6a4783_FORMATO.png",68901,9,263,"ata","Dúvida",0,1.04,0,0.26,"Botafogo",10,2,2,1,14,2,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"272","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,9,285,"ata","Nulo",0.2,4.55,-1.45,0.2,"Internacional",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,9,283,"gol","Nulo",0,4.02,0,-1.5,"Cruzeiro",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"274","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2019/05/28/e0cc239d7bd9a209bfdc1fecccf39567_FORMATO.png",68911,9,263,"ata","Provável",-0.8,4.58,-1.67,1.75,"Botafogo",11,2,5,10,18,1,1,NA,1,1,4,NA,1,NA,NA,NA,NA,NA
"275","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/01/14/819c40f79c6d36a3a715ac4cc0e6ddba_FORMATO.jpeg",68920,9,275,"ata","Provável",2.6,17.39,-0.78,6.07,"Palmeiras",4,2,11,17,13,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"276","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,9,277,"ata","Provável",0,5.26,0,0,"Santos",2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"277","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2016/01/07/d9a41e1b87b33f4e930c6e0d6e713a9f_FORMATO.png",68923,9,264,"zag","Nulo",0,11,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2019/06/20/61b536c18d17747b369b6037b3390866_FORMATO.png",68887,9,315,"zag","Provável",3.5,7.04,0.84,2.35,"Chapecoense",1,2,3,4,17,5,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"279","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,9,282,"zag","Contundido",0,4.88,0,0.33,"Atlético-MG",NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,9,277,"ata","Provável",2.7,6.2,-0.49,3.2,"Santos",8,5,4,7,9,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"281","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2019/03/27/9bfae7e4b63cac57b0bc415f46d1ab65_FORMATO.png",68938,9,290,"mei","Provável",6.2,4.67,0.43,2.06,"Goiás",10,4,5,8,28,10,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"282","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2019/04/22/a6f002f3b99c385acbafd311e4b3da81_FORMATO.png",68930,9,356,"ata","Nulo",0,4.06,0,1.58,"Fortaleza",3,3,4,10,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"283","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,9,293,"gol","Provável",-1.3,5.25,-0.95,1.95,"Athlético-PR",1,NA,NA,1,8,NA,1,2,NA,NA,NA,NA,NA,10,10,NA,NA,NA
