"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CV","FC","FD","FF","FS","I","PE","RB","CA","G","SG","FT","DD","GS","PP","DP","GC"
"191","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,31,315,"zag","Nulo",0,3.7,-0.62,0.79,"Chapecoense",NA,NA,5,1,NA,4,NA,20,8,4,1,1,NA,NA,NA,NA,NA,NA
"192","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,31,264,"gol","Provável",5,7.28,0.83,6.58,"Corinthians",NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,NA,11,5,NA,NA,NA
"193","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,31,354,"ata","Nulo",0,1.76,0,1,"Ceará",NA,NA,1,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,31,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png",80189,31,265,"zag","Provável",-1.4,6.2,-0.13,2.72,"Bahia",1,NA,8,2,3,10,NA,50,15,2,NA,14,NA,NA,NA,NA,NA,NA
"196","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2019/06/04/82859093e0dc5964ab48dbe20839b60d_FORMATO.png",79702,31,275,"zag","Nulo",0,6.13,0,2.16,"Palmeiras",NA,NA,7,NA,NA,2,NA,8,6,2,NA,3,NA,NA,NA,NA,NA,NA
"197","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,31,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",NA,NA,5,NA,3,3,NA,24,5,NA,NA,2,NA,NA,NA,NA,NA,NA
"198","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,31,265,"tec","Provável",3.07,11.77,0.28,4.12,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/08/23/b588923de64bd21b19b226c460ebe139_FORMATO.png",80080,31,314,"ata","Nulo",0,3.77,0,0.61,"Avaí",NA,1,27,3,7,22,7,17,3,4,2,NA,1,NA,NA,NA,NA,NA
"200","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,31,283,"ata","Suspenso",-3.8,5.24,-1.73,1.73,"Cruzeiro",NA,1,20,8,9,18,3,9,2,1,3,NA,1,NA,NA,NA,NA,NA
"201","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,31,283,"mei","Nulo",0,3.78,0,1.6,"Cruzeiro",NA,NA,12,1,4,18,NA,12,14,2,NA,NA,NA,NA,NA,NA,NA,NA
"202","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png",51495,31,354,"zag","Contundido",0,5.9,0,2.27,"Ceará",1,NA,14,1,2,2,2,28,13,1,1,4,1,NA,NA,NA,NA,NA
"203","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/09/27/b3280046d476aa241a694771fbe1b0cc_FORMATO.png",84893,31,267,"lat","Contundido",0,4.83,0,2.88,"Vasco",NA,NA,20,1,2,26,NA,18,17,5,NA,6,NA,NA,NA,NA,NA,NA
"204","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,31,356,"mei","Nulo",0,7.24,-0.04,2.18,"Fortaleza",NA,NA,12,7,16,35,2,26,8,1,2,NA,NA,NA,NA,NA,NA,NA
"205","Vinicius Rodolfo de Souza Oliveira","vinicius-tanque","Vinícius Tanque","https://s.glbimg.com/es/sde/f/2017/04/18/d77f484c8720a893fbf5031c19fd6349_FORMATO.png",88651,31,263,"ata","Nulo",0,1,0,-0.43,"Botafogo",NA,NA,9,NA,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,31,266,"gol","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Wanderson Ferreira de Oliveira","valdivia","Valdívia","https://s.glbimg.com/es/sde/f/2019/06/20/61242f36895eb1ce85680054317fbbf4_FORMATO.png",85423,31,267,"mei","Nulo",0,3.86,0,1.45,"Vasco",1,NA,10,3,5,10,NA,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,31,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Adalberto dos Santos Rodrigues","adalberto","Adalberto","https://s.glbimg.com/es/sde/f/2019/08/19/ce679bd6eb8a2add9e76265ac4d23cdb_FORMATO.png",51549,31,356,"zag","Nulo",0,1.72,0,-2.8,"Fortaleza",NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"210","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/05/23/6bb1b3455b09de07ffee5ece7a922ca8_FORMATO.png",52190,31,264,"mei","Nulo",0,11.01,0,4.82,"Corinthians",NA,NA,21,2,2,31,NA,24,57,1,1,NA,1,NA,NA,NA,NA,NA
"211","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,31,277,"gol","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,31,262,"mei","Provável",1.2,11.86,0.25,3.54,"Flamengo",6,NA,26,10,14,43,1,79,35,3,1,NA,NA,NA,NA,NA,NA,NA
"213","Orlando Enrique Berrío Meléndez","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png",85300,31,262,"ata","Nulo",0,5.06,0,1.17,"Flamengo",2,1,15,1,6,4,NA,16,8,1,1,NA,NA,NA,NA,NA,NA,NA
"214","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg",52558,31,267,"mei","Nulo",-0.5,5.66,-0.16,1.07,"Vasco",NA,NA,6,NA,2,12,1,11,2,2,2,NA,NA,NA,NA,1,NA,NA
"215","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2019/01/14/160ad6a02501aba225a8ebd56873a2c7_FORMATO.jpeg",85931,31,275,"mei","Nulo",0,4.6,0,3.3,"Palmeiras",1,NA,8,3,5,5,NA,6,5,NA,NA,NA,1,NA,NA,NA,NA,NA
"216","Alex Paulo Menezes Santana","alex-santana","Alex Santana","https://s.glbimg.com/es/sde/f/2019/03/22/18c2a6ba294467649a2ebdaf8c14b53a_FORMATO.png",85465,31,263,"mei","Provável",1.1,9.7,-0.42,4.25,"Botafogo",NA,NA,11,8,15,26,NA,22,13,2,5,NA,1,NA,NA,NA,NA,NA
"217","Miguel Ángel Borja Hernández","borja","Borja","https://s.glbimg.com/es/sde/f/2019/01/14/393ccccd62c119cd16a7237e06bb54bf_FORMATO.jpeg",86120,31,275,"ata","Nulo",0,5.77,0,1.6,"Palmeiras",1,NA,5,3,1,6,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"218","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,31,276,"lat","Nulo",0,4.47,0,2.3,"São Paulo",NA,NA,2,NA,NA,1,NA,3,2,1,NA,1,NA,NA,NA,NA,NA,NA
"219","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,31,282,"zag","Provável",7.6,12.95,1.8,4.84,"Atlético-MG",2,NA,10,5,11,19,1,37,39,2,1,5,2,NA,NA,NA,NA,NA
"220","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png",52618,31,276,"zag","Nulo",0,3.52,0,2.05,"São Paulo",NA,NA,12,NA,NA,1,NA,12,13,5,NA,4,NA,NA,NA,NA,NA,NA
"221","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2019/07/09/6be4c7e2f273ab0fb8db516f2e004ab7_FORMATO.png",86143,31,265,"zag","Nulo",0,1.68,0,-2.5,"Bahia",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"222","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/08/16/0560ea5840e544229931b88728f2acec_FORMATO.png",52674,31,263,"lat","Contundido",0,5.35,0,1.68,"Botafogo",1,2,20,NA,1,16,NA,37,19,3,NA,5,NA,NA,NA,NA,NA,NA
"223","Jonny Ferney Mosquera Mena","mosquera","Mosquera","https://s.glbimg.com/es/sde/f/2019/03/31/8ef2e2aca1a983bd2f770590e4a0aa91_FORMATO.png",86116,31,314,"mei","Nulo",0,2.43,0,0.89,"Avaí",NA,NA,8,NA,3,14,NA,12,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"224","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,31,282,"mei","Contundido",1.8,8.31,0.11,1.45,"Atlético-MG",1,1,29,5,8,17,NA,63,28,3,1,NA,1,NA,NA,NA,NA,NA
"225","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2019/01/14/297712b048dce3da334c1701833a889a_FORMATO.jpeg",82455,31,275,"mei","Provável",5.5,9.68,-0.61,3.21,"Palmeiras",2,NA,44,8,10,46,3,22,23,4,1,NA,1,NA,NA,NA,NA,NA
"226","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png",91201,31,284,"ata","Nulo",2,5.95,-0.75,3.37,"Grêmio",2,NA,15,8,15,18,7,36,13,1,6,NA,NA,NA,NA,NA,NA,NA
"227","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,31,282,"gol","Nulo",0,6.56,0,3.32,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,NA,17,11,NA,NA,NA
"228","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,31,285,"lat","Provável",-0.6,3.32,0.2,2.94,"Internacional",1,NA,16,2,4,5,4,33,20,1,NA,4,NA,NA,NA,NA,NA,NA
"229","Geirton Marques Aires","gege","Gegê","https://s.glbimg.com/es/sde/f/2019/02/18/a6e6b20f53d3e64deddfd38a901450c0_FORMATO.png",82474,31,314,"mei","Nulo",-1.5,2.99,-0.49,2.78,"Avaí",NA,NA,14,5,6,6,NA,14,14,2,1,NA,1,NA,NA,NA,NA,NA
"230","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,31,283,"zag","Contundido",0,14.63,0,5.08,"Cruzeiro",NA,NA,14,4,6,21,NA,45,28,2,3,8,NA,NA,NA,NA,NA,NA
"231","Alan Henrique Costa","alan-costa","Alan Costa","https://s.glbimg.com/es/sde/f/2019/07/08/c18e945ceabcef57bb344a15aad28d10_FORMATO.png",82613,31,341,"zag","Provável",-0.5,4.3,-0.71,1.95,"CSA",NA,NA,16,1,5,5,2,28,21,4,NA,5,NA,NA,NA,NA,NA,NA
"232","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,31,356,"lat","Nulo",-0.9,1.99,-0.21,2.24,"Fortaleza",2,NA,8,NA,4,6,NA,63,16,NA,1,3,NA,NA,NA,NA,NA,NA
"233","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2019/04/01/eef015fc7bcd190caa8be7fd622aec04_FORMATO.png",82634,31,285,"mei","Nulo",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2019/09/16/2327d03ce998da8f704c560f545dd528_FORMATO.png",86444,31,266,"ata","Nulo",1.8,1.99,-0.05,1.3,"Fluminense",NA,NA,2,NA,1,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Luanderson Johnala Marques da Silva","luanderson","Luanderson ","https://s.glbimg.com/es/sde/f/2019/05/07/da04fa8f12c10e89989965f7bf9d54ac_FORMATO.png",86380,31,314,"mei","Provável",-1.4,2.27,-0.86,3.17,"Avaí",NA,NA,8,NA,1,14,NA,12,16,1,NA,NA,NA,NA,NA,NA,NA,NA
"236","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2019/09/06/afdf70fe63d0b05967709530960a4cf6_FORMATO.png",86519,31,293,"mei","Nulo",0,2.17,0,0.75,"Athlético-PR",NA,NA,3,1,3,10,NA,12,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"237","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2019/01/14/6656cffa0a00120d740886ec3a73c1df_FORMATO.jpeg",86410,31,275,"lat","Nulo",1.8,4.47,0.3,-1.6,"Palmeiras",NA,1,7,NA,2,1,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"238","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,31,282,"lat","Provável",5.6,4.72,-0.16,2.1,"Atlético-MG",1,NA,26,5,7,6,1,44,14,3,1,4,NA,NA,NA,NA,NA,NA
"239","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,31,276,"mei","Provável",2.3,5.33,-0.31,2.04,"São Paulo",NA,NA,36,10,14,36,1,61,38,5,1,NA,NA,NA,NA,NA,NA,NA
"240","Marcelo Gazella Hermes","marcelo-hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2019/03/26/e5cbd69dfd6e038a31846473359d7246_FORMATO.png",82639,31,290,"lat","Nulo",0,3.53,0,2.94,"Goiás",1,NA,9,1,3,10,NA,17,11,3,NA,3,NA,NA,NA,NA,NA,NA
"241","Igor Fernandes da Silva Araújo","igor-fernandes","Igor Fernandes","https://s.glbimg.com/es/sde/f/2019/02/18/8ab8d39b2dc545324288925073d88bfd_FORMATO.png",82635,31,314,"lat","Provável",3.4,5.11,0.08,3.12,"Avaí",NA,NA,25,4,5,19,3,46,36,4,NA,7,NA,NA,NA,NA,NA,NA
"242","Victor Neves Rangel","victor-rangel","Victor Rangel","https://s.glbimg.com/es/sde/f/2019/06/20/68c92fea870e9b185df2fa94eff0bf62_FORMATO.png",82653,31,263,"ata","Dúvida",0,1.58,-0.38,0.57,"Botafogo",NA,NA,15,2,6,25,3,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"243","Régis Augusto Salmazzo","regis","Régis","https://s.glbimg.com/es/sde/f/2019/05/23/42c4d6f669a802cc99bd19989a00b862_FORMATO.png",82647,31,264,"mei","Nulo",0,2.86,0,0.38,"Corinthians",NA,NA,NA,1,1,4,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"244","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2019/07/24/56b02ff991db7a46958a717d7e7bebcb_FORMATO.png",61149,31,265,"ata","Nulo",0,4.94,0,2.05,"Bahia",NA,NA,14,9,6,21,1,16,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"245","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,31,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",NA,NA,3,1,3,7,1,9,4,2,1,NA,NA,NA,NA,NA,NA,NA
"246","Vinícius Vasconcelos Araújo","vinicius-araujo","Vinícius Araújo","https://s.glbimg.com/es/sde/f/2019/10/02/1ffcc7ea3d821d8256afad239dca78e4_FORMATO.png",82767,31,314,"ata","Provável",1.6,2.2,0.16,2.35,"Avaí",NA,NA,13,7,4,15,3,16,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"247","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,31,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Matheus Antunes Ribeiro","matheus-ribeiro","Matheus Ribeiro","https://s.glbimg.com/es/sde/f/2019/03/28/3e3b672c196784b9afea72e85325a468_FORMATO.png",82943,31,277,"lat","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2019/03/26/eca12439d38b9fd1ddc8662b4872f0c4_FORMATO.png",82730,31,290,"gol","Nulo",0,5.43,0,12.5,"Goiás",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"250","Tagueu Tadjo Diederrick Joel","joel","Joel","https://s.glbimg.com/es/sde/f/2019/10/09/fb51f94ce39bedfcc6bf40315817088c_FORMATO.png",82787,31,283,"ata","Nulo",0,1.94,0,1.3,"Cruzeiro",NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,31,265,"ata","Nulo",4.1,16.46,0.28,6.18,"Bahia",3,NA,26,14,25,15,8,28,19,1,11,NA,2,NA,NA,NA,NA,NA
"252","Daniel Amorim Dias da Silva","daniel-amorim","Daniel Amorim","https://s.glbimg.com/es/sde/f/2019/02/18/0d8fec2dd84657e690f017bb4a25b414_FORMATO.png",82880,31,314,"ata","Contundido",0,5.13,0,1.37,"Avaí",NA,NA,6,3,5,9,2,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"253","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/09/16/971dab9cc4ede1bc2109cfaa33591b2e_FORMATO.png",61985,31,266,"mei","Nulo",0,2.38,0,-0.39,"Fluminense",NA,1,10,NA,NA,11,NA,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"254","Cristovam Roberto Ribeiro da Silva","cristovam","Cristovam","https://s.glbimg.com/es/sde/f/2019/03/28/65f57e09b155b5b3a44d895928edeeca_FORMATO.png",82930,31,354,"lat","Nulo",0,2.88,0,1.93,"Ceará",NA,NA,12,NA,1,16,NA,14,14,4,NA,NA,NA,NA,NA,NA,NA,NA
"255","Lucas Vinícius Gonçalves Silva","lucao","Lucão","https://s.glbimg.com/es/sde/f/2019/09/16/6750992c341b140d5dfc78630ad67add_FORMATO.png",83199,31,266,"ata","Nulo",0,2.35,0,-0.24,"Fluminense",NA,NA,2,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"256","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,31,285,"mei","Provável",-1.4,5.46,-0.18,0.69,"Internacional",1,NA,5,9,7,14,6,57,6,5,1,NA,1,NA,NA,1,NA,NA
"257","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,31,315,"mei","Provável",0,6.75,0,2.63,"Chapecoense",4,NA,31,10,18,21,5,50,18,2,1,NA,1,NA,NA,NA,NA,NA
"258","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2018/05/07/51441cf2ec940cdfbdef8dd0ee853621_FORMATO.png",83004,31,282,"mei","Provável",11.2,9.74,1.64,4.53,"Atlético-MG",1,NA,20,20,20,38,3,20,7,3,1,NA,NA,NA,NA,NA,NA,NA
"259","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,31,275,"mei","Nulo",0,3.5,0,-0.04,"Palmeiras",NA,NA,2,NA,1,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png",83257,31,262,"ata","Provável",3.5,19.91,-0.93,9,"Flamengo",3,NA,18,26,31,23,13,46,8,9,20,NA,NA,NA,NA,NA,NA,NA
"261","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,31,265,"ata","Provável",0.6,6.29,-1.76,2.12,"Bahia",NA,1,11,9,19,18,9,13,6,1,4,NA,NA,NA,NA,NA,NA,NA
"262","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/04/08/ecdf20e0263f65cb7a63bf0e68ebd3b6_FORMATO.png",83433,31,285,"mei","Provável",3.2,9.08,0.53,4.3,"Internacional",1,NA,30,3,10,30,NA,33,46,5,2,NA,NA,NA,NA,NA,NA,NA
"263","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2019/03/28/eb379c8f9ca40adb24afd4216819a3c1_FORMATO.png",86740,31,354,"lat","Provável",8.2,10.58,0.41,2.62,"Ceará",NA,NA,12,7,6,8,4,57,30,1,1,6,NA,NA,NA,NA,NA,1
"264","Felipe de Figueiredo Ferreira","felipe-ferreira","Felipe Ferreira","https://s.glbimg.com/es/sde/f/2019/09/27/05590e980a3f1c8b936dbef1540fc424_FORMATO.png",86749,31,267,"mei","Dúvida",0,2.42,-0.13,0.87,"Vasco",NA,NA,1,3,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Yuri Lima Lara","yuri","Yuri","https://s.glbimg.com/es/sde/f/2019/03/29/c48336f0e13db7ffdf11a89b7fc63ee9_FORMATO.png",83263,31,265,"mei","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2019/06/21/d18aac5064ae47e2d3442017e04c4736_FORMATO.png",86711,31,267,"mei","Provável",0,3.4,0,1.72,"Vasco",1,NA,32,3,5,23,NA,31,33,6,NA,NA,NA,NA,NA,NA,NA,NA
"267","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2019/03/30/201871306b5a466590adf1665d431285_FORMATO.png",83528,31,293,"zag","Suspenso",2.7,8.11,-0.11,1.85,"Athlético-PR",NA,NA,35,3,6,13,2,58,19,6,2,7,NA,NA,NA,NA,NA,NA
"268","Guilherme Parede Pinheiro","guilherme-parede","Guilherme Parede","https://s.glbimg.com/es/sde/f/2019/04/29/a4e7ace9cd75f4187d56ba2fd7543a56_FORMATO.png",83438,31,285,"ata","Dúvida",-0.1,4.47,0,2.15,"Internacional",2,NA,21,8,15,36,15,24,6,2,2,NA,NA,NA,NA,NA,NA,NA
"269","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png",86759,31,284,"ata","Contundido",0,11.16,0,5.3,"Grêmio",6,NA,11,10,14,35,3,56,16,NA,4,NA,1,NA,NA,NA,NA,NA
"270","Rafael Chagas Machado","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/03/23/6fa441d642d426cca217c6d7c843a2c0_FORMATO.png",83681,31,341,"lat","Nulo",7.5,4.35,1.16,3.28,"CSA",NA,NA,3,NA,NA,3,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"271","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2019/07/01/ac71f3ebf82fb819599967ea8bff8513_FORMATO.png",86757,31,284,"ata","Provável",6.2,17.78,-0.31,7.46,"Grêmio",5,NA,15,16,25,21,1,42,30,3,10,NA,2,NA,NA,NA,NA,NA
"272","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2019/05/23/4eeb5e5d8c27f4298bba05b91526868c_FORMATO.png",83817,31,264,"ata","Nulo",5,10.21,0.42,2.66,"Corinthians",3,NA,29,8,7,38,3,46,17,4,3,NA,1,NA,NA,NA,NA,NA
