"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","PE","RB","FF","A","CA","FD","G","DD","GS","DP","SG","I","PP","FT","CV","GC"
"193","Vitor Hugo Franchescoli de Souza","vitor-hugo","Vitor Hugo","https://s.glbimg.com/es/sde/f/2019/08/01/10d95e2af722b1c1c76a7fe3c403de16_FORMATO.png",72605,16,275,"zag","Contundido",0,6.71,0,1.4,"Palmeiras",NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Gustavo Campanharo","gustavo-campanharo","Gustavo Campanharo","https://s.glbimg.com/es/sde/f/2019/03/26/9799555064b37105b45b0acc0e54c2b7_FORMATO.png",72497,16,315,"mei","Provável",11.3,7.62,1.11,4.87,"Chapecoense",16,22,20,31,10,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,16,356,"gol","Provável",1.8,9,0.12,3.91,"Fortaleza",1,1,21,NA,NA,NA,2,NA,NA,32,22,1,2,NA,NA,NA,NA,NA
"196","Celsonil Santos de Macedo Junior ","celsinho","Celsinho","https://s.glbimg.com/es/sde/f/2019/03/23/8e0cf56b709151b2440313376e51f0c5_FORMATO.png",72494,16,341,"lat","Nulo",0,3.07,0,1.3,"CSA",2,1,11,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"197","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2019/05/23/605fd3e976ffe9b529d0208eb32fa15b_FORMATO.png",73281,16,264,"mei","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,16,356,"ata","Contundido",0,6,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png",73384,16,354,"lat","Provável",4,12.86,0.15,3.89,"Ceará",14,33,39,22,7,2,5,4,NA,NA,NA,NA,3,2,NA,1,NA,NA
"200","Argélico Fucks","argel-fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2019/07/03/cdd47cd362cfe3cf486b63644ffb552d_FORMATO.png",73317,16,341,"tec","Provável",2.62,5.61,-0.25,2.59,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Rafael Vaz dos Santos","rafael-vaz","Rafael Vaz","https://s.glbimg.com/es/sde/f/2019/03/26/2893d827588a8a8150dbe4d07ec4e480_FORMATO.png",73421,16,290,"zag","Provável",17.1,13.35,3.1,4.43,"Goiás",3,2,28,12,NA,NA,NA,4,2,NA,NA,NA,3,NA,NA,NA,NA,1
"202","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,16,276,"lat","Provável",0.2,10.96,-1.53,3.95,"São Paulo",3,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"203","Francinilson Santos Meireles","maranhao","Maranhão","https://s.glbimg.com/es/sde/f/2019/08/16/a83ba6d1335bae5be0bf59085ad262c8_FORMATO.png",73513,16,341,"ata","Nulo",0,3.68,0,1.9,"CSA",9,16,12,6,3,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA
"204","Júlio César Godinho Catole","julinho","Julinho","https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png",73501,16,314,"mei","Nulo",0,1.55,0,0.66,"Avaí",4,3,9,6,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,16,275,"ata","Provável",0,6.3,0,2.4,"Palmeiras",1,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Glédson Ribeiro dos Santos","gledson","Glédson","https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png",73533,16,314,"gol","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png",73540,16,265,"ata","Contundido",0,9.4,0,2.95,"Bahia",7,11,7,3,4,NA,NA,5,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"208","Luis Otavio Bonilha de Oliveira Santos","nene-bonilha","Nenê Bonilha","https://s.glbimg.com/es/sde/f/2019/07/21/06edeac8d4c973d330e8be3fdad18607_FORMATO.png",73608,16,356,"mei","Nulo",0,2.41,0,0.3,"Fortaleza",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Wellington Silva Sanches Aguiar","wellington-nem","Wellington Nem","https://s.glbimg.com/es/sde/f/2019/08/06/eed31b97dfa9c8ecd78df822c04269ab_FORMATO.png",73619,16,266,"ata","Nulo",0,5.39,0,1.63,"Fluminense",2,7,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2019/07/16/4167381432d7908874cb17eaac12b616_FORMATO.png",73721,16,263,"mei","Nulo",1,4.01,0.09,0.6,"Botafogo",2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Marco Gastón Rubén Rodríguez","marco-ruben","Marco Ruben","https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png",73741,16,293,"ata","Dúvida",0,14.35,0,3.96,"Athlético-PR",13,5,10,5,4,2,1,7,1,NA,NA,NA,NA,5,NA,2,NA,NA
"212","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,16,276,"zag","Nulo",0,8.28,0,3.13,"São Paulo",23,7,17,19,4,NA,3,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"213","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,16,341,"mei","Provável",3,3.12,0,1.59,"CSA",9,7,10,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Bruno da Silva Peres","bruno-peres","Bruno Peres","https://s.glbimg.com/es/sde/f/2019/04/01/e45da566464dfc86f2e866c3d5f0a9ff_FORMATO.png",73962,16,276,"lat","Nulo",0,5,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/03/25/6756f079e2e35d2a22e59a73782daa41_FORMATO.png",73896,16,282,"ata","Nulo",3.2,11.87,0.21,2.58,"Atlético-MG",20,24,23,15,10,1,2,8,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"216","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg",74074,16,267,"lat","Nulo",0,4.01,0,2.15,"Vasco",2,NA,6,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,16,314,"mei","Nulo",0,3.8,0,1.67,"Avaí",8,3,16,10,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"218","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2019/03/28/2438d7ca6b16c454a1fc9ccb45ec389d_FORMATO.png",73974,16,277,"mei","Dúvida",5.5,5.2,0.66,2.17,"Santos",14,11,11,19,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png",73800,16,262,"zag","Provável",5.7,9.03,0.56,3.99,"Flamengo",11,6,13,11,10,NA,2,2,1,NA,NA,NA,4,1,NA,NA,NA,NA
"220","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png",73992,16,262,"lat","Nulo",0,2.24,0,0.34,"Flamengo",8,2,8,6,1,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"221","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/03/22/27fa5cdf4f485fac2794eb67548421f6_FORMATO.png",74061,16,263,"gol","Provável",11,9.99,0.36,4.88,"Botafogo",NA,2,9,NA,NA,NA,3,NA,NA,24,13,NA,6,NA,NA,NA,NA,NA
"222","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png",73789,16,290,"mei","Contundido",0,2.47,0,1,"Goiás",2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png",74140,16,265,"mei","Nulo",2.5,5.79,0.31,2.57,"Bahia",3,18,11,12,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"224","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2019/07/01/1eecca318970c97227763ef6d9c7a67b_FORMATO.png",75295,16,285,"ata","Nulo",0,12.42,0,5.28,"Internacional",9,12,11,4,6,NA,1,5,3,NA,NA,NA,NA,6,NA,1,NA,NA
"225","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png",74213,16,265,"mei","Nulo",0.5,3.7,-0.74,1.73,"Bahia",2,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png",77500,16,290,"zag","Nulo",0,2.95,0,1.27,"Goiás",9,2,11,6,1,NA,3,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA
"227","Eduardo de Souza Barroca","eduardo-barroca","Eduardo Barroca","https://s.glbimg.com/es/sde/f/2019/04/16/d952f67089f2842da5bc84d3029f1a73_FORMATO.png",77774,16,263,"tec","Provável",4.27,8.67,0.56,3.21,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,16,277,"ata","Provável",0,0.77,-0.01,0.1,"Santos",13,10,14,6,3,NA,3,1,1,NA,NA,NA,NA,6,NA,NA,1,NA
"229","Auremir Evangelista dos Santos","auremir","Auremir","https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png",77570,16,354,"mei","Nulo",0,4.23,0,1.8,"Ceará",6,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,16,277,"ata","Nulo",0,4.56,0,0.3,"Santos",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2019/03/30/53ad5d19d960420d8a169d449092cfdf_FORMATO.png",78077,16,293,"lat","Provável",0,6.35,0,4.42,"Athlético-PR",8,10,15,10,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA
"232","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,16,285,"ata","Nulo",0,6.16,0,1.47,"Internacional",2,1,3,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Vagner Antônio Brandalise","vagner","Vagner","https://s.glbimg.com/es/sde/f/2019/05/08/f2f7ed3e3f857655c8c5e56733e7aa3d_FORMATO.png",78151,16,315,"gol","Contundido",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2019/03/28/eb379c8f9ca40adb24afd4216819a3c1_FORMATO.png",86740,16,354,"lat","Provável",2.6,9.9,0.42,2.54,"Ceará",8,7,31,16,1,NA,1,3,1,NA,NA,NA,2,3,NA,NA,NA,NA
"235","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,16,277,"zag","Provável",0,5.2,0,2.58,"Santos",13,5,15,10,2,NA,5,2,1,NA,NA,NA,6,NA,NA,NA,1,NA
"236","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,16,277,"ata","Nulo",0,4.02,0,-1.08,"Santos",4,NA,3,1,2,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"237","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png",78086,16,262,"gol","Nulo",0,6.1,0,4.62,"Flamengo",NA,1,NA,NA,NA,NA,NA,NA,NA,7,4,NA,1,NA,NA,NA,NA,NA
"238","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2019/05/08/96abdb92d574fa62e402db3c5eb7fc0c_FORMATO.png",81798,16,267,"ata","Nulo",1.4,4,0.38,1.18,"Vasco",15,12,26,6,8,1,3,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"239","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,16,262,"ata","Nulo",0,9.17,0,4.2,"Flamengo",10,9,15,6,8,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png",78475,16,354,"ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Marcos de Paula Dutra","marcos","Marcos","https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png",78495,16,290,"gol","Nulo",0,3,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Paulo Oliveira de Souza Junior","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2019/05/07/d675dad7ddcb13ca96fcc4065ac3b404_FORMATO.png",78512,16,314,"lat","Nulo",0,1.93,0,0.85,"Avaí",7,4,9,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,16,262,"lat","Nulo",10.3,8.65,1.81,3.91,"Flamengo",8,6,28,19,1,1,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"244","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,16,262,"mei","Provável",2,13.5,-0.46,4.92,"Flamengo",22,8,30,32,9,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,16,354,"mei","Provável",7.9,8.1,-0.19,4.46,"Ceará",19,5,39,27,12,3,1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,16,277,"mei","Nulo",1.4,8.15,-0.23,2.4,"Santos",13,19,21,7,4,1,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"247","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2019/03/29/5d48e68e633e025554f7fb03e89b57cf_FORMATO.png",102609,16,265,"gol","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,16,354,"zag","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,16,265,"gol","Provável",16.7,16.33,2.75,8.55,"Bahia",NA,5,6,1,NA,NA,NA,NA,NA,35,13,1,8,NA,NA,NA,NA,NA
"250","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2019/05/23/74dd3815a00b56d9fc765cad761ff91c_FORMATO.png",78715,16,264,"mei","Nulo",-0.5,9.65,-0.42,1.46,"Corinthians",15,7,10,9,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Marinaldo dos Santos Oliveira","naldo","Naldo","https://s.glbimg.com/es/sde/f/2019/03/23/aac48c4f03031bbaf833ecb77aaca2e3_FORMATO.png",78897,16,341,"mei","Provável",-0.3,2.87,-0.07,1.14,"CSA",16,6,21,18,4,NA,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"252","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,16,314,"mei","Provável",1.1,5.04,-0.66,2.84,"Avaí",22,20,39,23,9,NA,NA,5,1,NA,NA,NA,NA,1,NA,1,NA,NA
"253","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/01/14/c215c66c4f1a435e26c1d93d00555071_FORMATO.jpeg",78855,16,275,"mei","Provável",0,5.6,0,1.55,"Palmeiras",20,6,7,16,1,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"254","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,16,315,"mei","Suspenso",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,16,354,"gol","Contundido",0,4.73,0,1.2,"Ceará",NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"256","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,16,276,"lat","Provável",0,15.1,0,6.6,"São Paulo",16,15,26,24,6,1,2,4,3,NA,NA,NA,6,NA,NA,NA,NA,NA
"257","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,16,285,"mei","Contundido",0,7.12,0,1.4,"Internacional",2,1,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2019/03/28/8bb249c2111b49eff60737fd35c27a45_FORMATO.png",79035,16,277,"zag","Nulo",0,5.96,0,4.4,"Santos",NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"259","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,16,285,"zag","Nulo",0,15.2,0,6.28,"Internacional",8,11,18,36,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"260","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,16,354,"ata","Nulo",0,1.76,0,1,"Ceará",1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Santiago Ernesto Romero Fernández","romero","Romero","https://s.glbimg.com/es/sde/f/2019/03/22/6f3e87cd0ea7dd0de1f8463bf7e216a1_FORMATO.png",79109,16,356,"mei","Nulo",0,4,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,16,315,"ata","Provável",-0.1,16.52,-2,6.02,"Chapecoense",35,25,37,7,24,1,4,14,8,NA,NA,NA,NA,2,NA,NA,NA,NA
"263","Carlos Augusto Zopalato Neves","carlos-augusto","Carlos Augusto","https://s.glbimg.com/es/sde/f/2019/05/23/7cf24d9f3acb482165da003096c26921_FORMATO.png",101803,16,264,"lat","Nulo",0.7,5.02,-0.72,3.7,"Corinthians",4,2,11,4,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"264","Lucas Paes Souza","lucas-paes","Lucas Paes","https://s.glbimg.com/es/sde/f/2019/04/01/93c12b1437d9ab16eb93c3f7fc8c4f9b_FORMATO.png",101837,16,276,"gol","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Gabriel Calabres Nunes","gabriel-calabres","Gabriel Calabres","https://s.glbimg.com/es/sde/f/2018/05/23/ab2e89590be1e66768af1205a202b31c_FORMATO.png",101911,16,277,"mei","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Iury de Oliveira Nascimento ","iury","Iury","https://s.glbimg.com/es/sde/f/2019/02/18/0758f27a5553304e808e5732adb6eadd_FORMATO.png",101846,16,314,"lat","Nulo",0,5.82,0,2.24,"Avaí",8,6,16,6,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"267","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png",78605,16,264,"mei","Provável",0,6.21,0,3.13,"Corinthians",12,4,10,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Braian Ezequiel Romero","braian-romero","Braian Romero","https://s.glbimg.com/es/sde/f/2019/03/30/4eab9bac11e6c0d60d5e717b2474963f_FORMATO.png",101997,16,293,"ata","Nulo",1.5,4.75,-0.26,4.05,"Athlético-PR",14,10,11,10,5,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA
"269","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,16,293,"ata","Nulo",3.8,3.04,0.49,3.57,"Athlético-PR",12,4,5,3,4,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Guilherme Nunes da Silva","guilherme-nunes","Guilherme Nunes","https://s.glbimg.com/es/sde/f/2018/05/23/7e91393fb9d0c73f8ae12e9e96c38308_FORMATO.png",101912,16,277,"mei","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Felipe Fernandes Sousa","felipe-sousa","Felipe Sousa",NA,101861,16,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Vitor Eudes de Souza Costa","vitor-eudes","Vitor Eudes","https://s.glbimg.com/es/sde/f/2018/11/22/3fc8cbbb0eff85d2cfd8e31bd040d110_FORMATO.png",102137,16,283,"gol","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Jonas Gabriel da Silva Nunes","toro","Toró","https://s.glbimg.com/es/sde/f/2019/04/01/537547b0687a098437442f6632e753bc_FORMATO.png",101885,16,276,"ata","Contundido",0,5.41,0,2.04,"São Paulo",17,15,22,8,10,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,1,NA
