"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","DD","GS","FF","CV","DP","A","I","PP","FT","GC"
"190","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2019/03/28/24e6b367451f8861ad0b1a99cfd02895_FORMATO.png",71113,21,354,"mei","Provável",1.1,3.79,-0.48,0.25,"Ceará",1,4,1,NA,NA,11,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"191","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,21,275,"ata","Provável",17,8.65,3.63,3.67,"Palmeiras",NA,10,1,8,2,7,1,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA
"192","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/29/188d8189b08f034c67505831cfe67554_FORMATO.png",71162,21,282,"mei","Nulo",0,4.99,0,3.35,"Atlético-MG",2,10,10,14,2,48,10,NA,NA,NA,12,NA,NA,1,1,NA,1,NA
"193","Augusto César dos Santos Moreira","augusto","Augusto","https://s.glbimg.com/es/sde/f/2019/03/28/a943ff6068ab0a2af942a381c74055b4_FORMATO.png",71042,21,315,"mei","Nulo",0,4.56,0,2.2,"Chapecoense",NA,24,8,13,NA,19,10,NA,NA,NA,3,NA,NA,2,3,NA,NA,NA
"194","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2019/05/23/605fd3e976ffe9b529d0208eb32fa15b_FORMATO.png",73281,21,264,"mei","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,21,315,"lat","Nulo",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png",73384,21,354,"lat","Provável",3.1,12.36,-0.15,3.65,"Ceará",7,18,4,36,NA,46,25,5,NA,NA,7,NA,NA,2,3,NA,1,NA
"197","Jorge Fernando Pinheiro de Jesus","jorge-jesus","Jorge Jesus","https://s.glbimg.com/es/sde/f/2019/07/09/26c25e5a9a9db587106dd377725a743a_FORMATO.png",71224,21,262,"tec","Provável",5.15,14.73,0.24,5.84,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Rafael Vaz dos Santos","rafael-vaz","Rafael Vaz","https://s.glbimg.com/es/sde/f/2019/03/26/2893d827588a8a8150dbe4d07ec4e480_FORMATO.png",73421,21,290,"zag","Provável",8.9,12.81,-0.33,5.28,"Goiás",NA,4,5,6,4,49,17,5,NA,NA,5,NA,NA,NA,NA,NA,NA,1
"199","Argélico Fucks","argel-fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2019/07/03/cdd47cd362cfe3cf486b63644ffb552d_FORMATO.png",73317,21,341,"tec","Provável",2.76,6.38,-0.45,3.09,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/09/27/d6ac644102159cd04f0ad131ac4bfb10_FORMATO.png",71571,21,267,"gol","Provável",0,6.77,0,2.75,"Vasco",1,NA,NA,1,NA,5,NA,4,14,13,NA,NA,NA,NA,NA,NA,NA,NA
"201","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,21,293,"mei","Nulo",-2.3,4.16,-0.5,0.69,"Athlético-PR",1,14,2,2,1,13,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"202","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2019/08/16/b5f403743092134524778b2bc6953aca_FORMATO.png",71604,21,290,"zag","Provável",6.9,4.44,0.56,3.96,"Goiás",NA,2,NA,11,1,12,8,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"203","Geovane Batista de Faria","geovane","Geovane","https://s.glbimg.com/es/sde/f/2019/03/26/c9e38ba62632fce4509a3f9e0181914f_FORMATO.png",71667,21,290,"mei","Nulo",0,2.8,0,0.46,"Goiás",4,37,1,9,NA,34,21,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"204","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2019/09/18/7a3422e868242f542e08d9bd8d472869_FORMATO.png",73465,21,266,"zag","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,21,356,"ata","Nulo",0,6,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/01/14/5b1562d1bba27830fd9ed3e313848728_FORMATO.jpeg",71631,21,275,"gol","Provável",-1,12.28,-0.98,3.23,"Palmeiras",NA,NA,NA,3,NA,5,NA,5,16,14,NA,NA,NA,NA,NA,NA,NA,NA
"207","Júlio César Godinho Catole","julinho","Julinho","https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png",73501,21,314,"mei","Nulo",0,1.68,0,0.53,"Avaí",2,4,2,3,NA,9,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"208","Raúl Alejandro Cáceres Bogado","raul-caceres","Raúl Cáceres","https://s.glbimg.com/es/sde/f/2019/02/04/8b0cf393436f7ab7db324b1059c9b76c_FORMATO.jpeg",71680,21,267,"lat","Nulo",0,1.76,0,-0.02,"Vasco",1,11,1,1,NA,6,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"209","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,21,341,"mei","Suspenso",-3.8,1.68,-0.57,0.61,"CSA",3,15,NA,8,NA,13,9,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA
"210","Francinilson Santos Meireles","maranhao","Maranhão","https://s.glbimg.com/es/sde/f/2019/08/16/a83ba6d1335bae5be0bf59085ad262c8_FORMATO.png",73513,21,341,"ata","Nulo",0,3.04,0,1.58,"CSA",NA,12,1,18,1,14,6,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA
"211","Vagner Antônio Brandalise","vagner","Vagner","https://s.glbimg.com/es/sde/f/2019/05/08/f2f7ed3e3f857655c8c5e56733e7aa3d_FORMATO.png",78151,21,315,"gol","Contundido",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png",74213,21,265,"mei","Provável",2.9,3.96,0.53,1.12,"Bahia",1,6,1,2,1,8,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"213","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,21,277,"zag","Provável",1.2,6.01,0.53,2.44,"Santos",6,16,3,9,1,22,13,7,NA,NA,3,1,NA,NA,NA,NA,NA,NA
"214","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2019/01/14/3bd03adab98a337f19a89fde0e3a3b69_FORMATO.jpeg",71684,21,275,"zag","Provável",8.7,13.18,0.78,3.4,"Palmeiras",3,9,2,8,2,11,8,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"215","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png",73540,21,265,"ata","Nulo",0,9.4,0,2.95,"Bahia",NA,7,5,11,1,7,3,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA
"216","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/09/19/5713b43cf674fc15a512f9431af9e7c1_FORMATO.png",73896,21,282,"ata","Nulo",0,11.16,0,2.36,"Atlético-MG",2,23,9,24,NA,25,16,NA,NA,NA,11,NA,NA,1,1,NA,1,NA
"217","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,21,277,"ata","Provável",4.1,1.52,0.53,0.59,"Santos",3,15,2,13,1,16,9,NA,NA,NA,3,1,NA,NA,6,NA,NA,NA
"218","Glédson Ribeiro dos Santos","gledson","Glédson","https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png",73533,21,314,"gol","Dúvida",2,2.69,-0.31,2,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"219","Luis Otavio Bonilha de Oliveira Santos","nene-bonilha","Nenê Bonilha","https://s.glbimg.com/es/sde/f/2019/07/21/06edeac8d4c973d330e8be3fdad18607_FORMATO.png",73608,21,356,"mei","Contundido",0,2.41,0,0.3,"Fortaleza",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"220","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,21,277,"ata","Provável",-0.6,3.98,-0.33,-0.14,"Santos",2,4,3,NA,NA,8,1,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA
"221","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,21,262,"ata","Nulo",0.9,8.27,0.11,3.5,"Flamengo",NA,12,8,10,2,20,9,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"222","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,21,276,"zag","Provável",2.4,7.33,0.34,3.15,"São Paulo",3,28,1,11,NA,22,23,6,NA,NA,5,NA,NA,1,NA,NA,NA,NA
"223","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png",77500,21,290,"zag","Contundido",0,2.95,0,1.27,"Goiás",3,9,NA,2,NA,11,6,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"224","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2019/03/28/2438d7ca6b16c454a1fc9ccb45ec389d_FORMATO.png",73974,21,277,"mei","Provável",6.3,5.71,0.03,2.9,"Santos",5,23,NA,16,NA,14,29,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA
"225","Auremir Evangelista dos Santos","auremir","Auremir","https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png",77570,21,354,"mei","Nulo",0,4.23,0,1.8,"Ceará",NA,6,NA,3,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Wellington Silva Sanches Aguiar","wellington-nem","Wellington Nem","https://s.glbimg.com/es/sde/f/2019/08/06/eed31b97dfa9c8ecd78df822c04269ab_FORMATO.png",73619,21,266,"ata","Nulo",-0.6,4.42,-0.68,1.35,"Fluminense",2,7,2,16,NA,6,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"227","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png",78475,21,354,"ata","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2019/07/16/4167381432d7908874cb17eaac12b616_FORMATO.png",73721,21,263,"mei","Nulo",0,4.01,0,0.6,"Botafogo",NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,21,262,"lat","Nulo",0,8.04,0,4.03,"Flamengo",1,9,1,6,NA,29,19,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"230","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png",73992,21,262,"lat","Nulo",0,2.24,0,0.34,"Flamengo",3,8,NA,2,NA,8,6,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA
"231","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,21,262,"mei","Provável",0.2,13.15,-0.57,4.53,"Flamengo",2,29,4,11,1,43,42,NA,NA,NA,10,NA,NA,5,NA,NA,1,NA
"232","Marco Gastón Rubén Rodríguez","marco-ruben","Marco Ruben","https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png",73741,21,293,"ata","Provável",8.3,14.69,1.32,4.24,"Athlético-PR",1,16,7,6,2,13,7,NA,NA,NA,5,NA,NA,3,5,NA,2,NA
"233","Eduardo de Souza Barroca","eduardo-barroca","Eduardo Barroca","https://s.glbimg.com/es/sde/f/2019/04/16/d952f67089f2842da5bc84d3029f1a73_FORMATO.png",77774,21,263,"tec","Provável",0.22,8.17,-0.51,3.12,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,21,285,"ata","Contundido",0,9.48,0,5.02,"Internacional",NA,4,1,2,2,6,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"235","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,21,314,"mei","Provável",4.8,4.44,0.59,2.22,"Avaí",NA,11,3,8,NA,29,15,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA
"236","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2019/03/30/53ad5d19d960420d8a169d449092cfdf_FORMATO.png",78077,21,293,"lat","Provável",1.8,5.79,-0.97,4.17,"Athlético-PR",1,11,2,17,2,32,16,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"237","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,21,263,"gol","Provável",-1,8.5,-1.37,4.87,"Botafogo",3,NA,NA,4,NA,11,NA,7,32,18,NA,NA,NA,NA,NA,NA,NA,NA
"238","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png",73789,21,290,"mei","Provável",5.5,3.47,0.63,2.85,"Goiás",2,9,1,3,NA,4,15,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"239","Paulo Oliveira de Souza Junior","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2019/05/07/d675dad7ddcb13ca96fcc4065ac3b404_FORMATO.png",78512,21,314,"lat","Nulo",0,1.93,0,0.85,"Avaí",NA,7,NA,4,NA,9,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"240","Marcos de Paula Dutra","marcos","Marcos","https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png",78495,21,290,"gol","Nulo",0,2.23,0,-0.5,"Goiás",NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"241","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg",74074,21,267,"lat","Nulo",0,4.01,0,2.15,"Vasco",1,2,NA,NA,NA,6,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"242","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png",78086,21,262,"gol","Nulo",0,6.1,0,4.62,"Flamengo",NA,NA,NA,1,NA,NA,NA,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA
"243","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png",74140,21,265,"mei","Provável",6,6.49,0.78,2.58,"Bahia",2,7,6,33,1,22,13,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA
"244","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,21,354,"mei","Provável",-0.8,6.74,-0.59,4.03,"Ceará",1,22,13,5,1,44,27,NA,NA,NA,15,NA,NA,4,NA,NA,NA,NA
"245","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,21,277,"mei","Nulo",0,8,0,2.17,"Santos",NA,14,6,19,1,23,7,NA,NA,NA,4,NA,NA,1,NA,NA,1,NA
"246","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png",73800,21,262,"zag","Provável",-0.5,8,-0.35,3.48,"Flamengo",3,15,2,7,1,15,12,6,NA,NA,11,NA,NA,NA,1,NA,NA,NA
"247","Santiago Ernesto Romero Fernández","romero","Romero","https://s.glbimg.com/es/sde/f/2019/03/22/6f3e87cd0ea7dd0de1f8463bf7e216a1_FORMATO.png",79109,21,356,"mei","Nulo",0,4,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,21,315,"ata","Provável",0,15.35,0,5.09,"Chapecoense",5,41,21,32,8,46,9,NA,NA,NA,28,NA,NA,1,2,1,NA,NA
"249","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2019/07/01/1eecca318970c97227763ef6d9c7a67b_FORMATO.png",75295,21,285,"ata","Suspenso",-3.8,11.04,-1.12,3.89,"Internacional",1,13,8,15,3,16,5,NA,NA,NA,12,1,NA,NA,8,NA,1,NA
"250","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,21,285,"zag","Provável",6.1,14.54,-0.47,6.23,"Internacional",4,12,NA,16,NA,30,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,21,283,"mei","Nulo",0,2.85,0,1.13,"Cruzeiro",2,10,1,5,NA,19,12,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"252","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png",78605,21,264,"mei","Nulo",0,6.63,0,3.36,"Corinthians",1,12,NA,4,NA,13,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"253","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,21,265,"gol","Provável",5,14.44,1,7.16,"Bahia",NA,NA,NA,5,NA,6,1,11,37,16,NA,NA,1,NA,NA,NA,NA,NA
"254","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,21,354,"ata","Nulo",0,1.76,0,1,"Ceará",NA,1,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"255","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/08/23/b588923de64bd21b19b226c460ebe139_FORMATO.png",80080,21,314,"ata","Nulo",0,4.62,0,1.13,"Avaí",4,24,3,19,2,15,2,NA,NA,NA,6,NA,NA,NA,6,NA,1,NA
"256","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2019/05/08/96abdb92d574fa62e402db3c5eb7fc0c_FORMATO.png",81798,21,267,"ata","Provável",0,4.98,0,1.28,"Vasco",5,20,8,18,NA,32,11,NA,NA,NA,10,NA,NA,1,1,NA,NA,NA
"257","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,21,354,"mei","Provável",0,5.89,-0.5,2.03,"Ceará",4,33,NA,19,NA,25,41,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"258","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2019/06/04/82859093e0dc5964ab48dbe20839b60d_FORMATO.png",79702,21,275,"zag","Nulo",0,6.13,0,2.16,"Palmeiras",2,7,NA,2,NA,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,21,265,"tec","Provável",5.97,11.94,0.79,4.36,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,21,283,"ata","Nulo",0,6.25,0,2.3,"Cruzeiro",NA,7,6,11,2,4,1,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA
"261","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2019/06/29/43b11555e62d7cd38934e44d0fccb5c9_FORMATO.png",87225,21,293,"zag","Contundido",0,8.93,0,4.79,"Athlético-PR",NA,2,2,12,NA,16,15,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"262","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,21,283,"mei","Nulo",0,3.49,0,1.56,"Cruzeiro",1,7,1,10,NA,6,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"263","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,21,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Matheus Francisco Inácio","matheus-inacio","Matheus Inácio","https://s.glbimg.com/es/sde/f/2019/04/23/0874eaa1c85dea23ae378fbf3d5e1768_FORMATO.png",80394,21,356,"gol","Contundido",0,2,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png",80189,21,265,"zag","Provável",4.6,7.05,0.81,3.24,"Bahia",1,5,1,7,NA,39,12,11,NA,NA,2,NA,NA,1,NA,NA,NA,NA
"266","José Henrique da Silva Dourado","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2019/08/01/4a9594f3708f1d27eb4656057fd105ed_FORMATO.png",81905,21,275,"ata","Nulo",0,6,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2019/03/28/1dadcc46ba4eb0738815ddfca0b51a71_FORMATO.png",81881,21,315,"gol","Nulo",0,6,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,21,354,"gol","Nulo",0,4.73,0,1.2,"Ceará",NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"269","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2019/07/30/6d045d7809171c7ff080a09196c9b11d_FORMATO.png",80287,21,284,"ata","Provável",11.7,7.85,1.94,3.66,"Grêmio",5,17,10,14,3,24,11,NA,NA,NA,7,NA,NA,2,3,1,NA,NA
"270","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2019/03/26/4bc605d5a170ce1412fa7c8250432d85_FORMATO.png",80395,21,290,"mei","Nulo",0,2.11,0,0.91,"Goiás",1,4,4,7,NA,9,2,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA
