"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","CV","FF","FT","DD","DP","GS","A","I","GC","PP"
"196","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,33,341,"mei","Provável",-0.5,2.74,-0.68,1.42,"CSA",5,25,3,15,NA,24,22,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA
"197","Raúl Alejandro Cáceres Bogado","raul-caceres","Raúl Cáceres","https://s.glbimg.com/es/sde/f/2019/02/04/8b0cf393436f7ab7db324b1059c9b76c_FORMATO.jpeg",71680,33,267,"lat","Nulo",-1.6,1.51,-0.25,-0.28,"Vasco",1,13,1,1,NA,8,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"198","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2019/01/14/3bd03adab98a337f19a89fde0e3a3b69_FORMATO.jpeg",71684,33,275,"zag","Provável",0,12.15,0,3.86,"Palmeiras",6,18,4,15,2,18,23,6,1,3,1,NA,NA,NA,NA,2,NA,NA
"199","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png",73789,33,290,"mei","Provável",2.7,3.33,0.84,2.21,"Goiás",4,24,3,11,NA,18,32,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"200","Geovane Batista de Faria","geovane","Geovane","https://s.glbimg.com/es/sde/f/2019/03/26/c9e38ba62632fce4509a3f9e0181914f_FORMATO.png",71667,33,290,"mei","Nulo",0,2.2,0,0.22,"Goiás",5,39,1,9,NA,35,21,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"201","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png",73800,33,262,"zag","Nulo",5,9.67,0.29,4.21,"Flamengo",3,27,4,10,2,24,23,12,NA,15,NA,NA,NA,NA,NA,1,NA,NA
"202","Maurício Azevedo Alves","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/03/23/2c3a6bf46567ed434223ed72f1109c0a_FORMATO.png",72071,33,341,"mei","Contundido",0,4,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/09/19/5713b43cf674fc15a512f9431af9e7c1_FORMATO.png",73896,33,282,"ata","Nulo",0,9.72,0.61,1.57,"Atlético-MG",3,26,10,26,NA,31,17,NA,1,12,1,NA,NA,NA,1,1,NA,NA
"204","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2019/07/12/5e27f57916bf0f965ddc5074bd107452_FORMATO.png",72097,33,265,"lat","Contundido",0,6.01,0,3.59,"Bahia",1,7,NA,3,NA,18,13,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"205","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,33,284,"lat","Provável",0.6,5.86,-0.61,4.13,"Grêmio",3,17,1,18,1,31,28,5,NA,1,NA,NA,NA,NA,2,4,NA,NA
"206","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2019/05/23/3838256f970424f3a26f7cf5a433287b_FORMATO.png",72142,33,264,"lat","Provável",11.5,9.96,1.56,4.51,"Corinthians",6,32,7,27,1,39,34,11,NA,4,NA,NA,NA,NA,NA,1,NA,NA
"207","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png",78086,33,262,"gol","Nulo",0,3.3,0,1.9,"Flamengo",1,NA,NA,1,NA,NA,NA,1,1,NA,NA,7,NA,5,NA,NA,NA,NA
"208","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2019/03/28/83ec5c765fe26cff5158a6e6b1d55061_FORMATO.png",72294,33,277,"gol","Provável",-2.6,8.22,-2.18,4.04,"Santos",1,1,NA,9,NA,42,NA,12,NA,NA,NA,33,1,23,NA,NA,NA,NA
"209","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2019/01/14/89275763a0ba1f9787279a68c22de24f_FORMATO.jpeg",72290,33,275,"gol","Nulo",0,6.78,0,3,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA
"210","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png",77500,33,290,"zag","Contundido",0,2.95,0,1.27,"Goiás",3,9,NA,2,NA,11,6,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"211","Auremir Evangelista dos Santos","auremir","Auremir","https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png",77570,33,354,"mei","Nulo",0,3.83,0,0.98,"Ceará",1,8,NA,3,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2019/03/28/731bd0c1760d7e08394c9726255ba348_FORMATO.png",72359,33,354,"zag","Dúvida",-1.4,8.8,-0.71,3.14,"Ceará",5,29,2,10,2,25,27,6,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"213","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,33,315,"ata","Provável",11.7,17.43,1.5,4.71,"Chapecoense",8,65,25,50,12,73,14,NA,NA,46,1,NA,NA,NA,1,2,NA,1
"214","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/09/12/b74e9e7b74db80e81be2f85ce7279210_FORMATO.png",72168,33,263,"mei","Provável",3.7,8.89,0.8,2.95,"Botafogo",4,31,11,51,3,98,46,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA
"215","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2019/03/30/53ad5d19d960420d8a169d449092cfdf_FORMATO.png",78077,33,293,"lat","Provável",0,7.24,0,4.62,"Athlético-PR",2,22,4,31,4,43,26,7,NA,4,NA,NA,NA,NA,1,1,NA,NA
"216","Vagner Antônio Brandalise","vagner","Vagner","https://s.glbimg.com/es/sde/f/2019/05/08/f2f7ed3e3f857655c8c5e56733e7aa3d_FORMATO.png",78151,33,315,"gol","Contundido",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2019/09/19/818f872bdf2e62a1bd0a9dab332b5fd7_FORMATO.png",72362,33,285,"mei","Provável",4.5,10.71,0.11,5.42,"Internacional",2,32,6,23,4,36,53,NA,NA,12,2,NA,NA,NA,2,1,NA,NA
"218","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,33,356,"gol","Provável",4.7,8.72,-0.47,2.75,"Fortaleza",4,1,NA,1,NA,35,NA,5,NA,NA,NA,43,1,34,NA,NA,NA,NA
"219","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,33,277,"ata","Nulo",0,3.59,0,-0.29,"Santos",3,5,4,NA,NA,9,1,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA
"220","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,33,276,"tec","Provável",1.6,7.24,-0.16,3.45,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,33,262,"lat","Nulo",4.9,8.7,-0.44,4.47,"Flamengo",2,21,2,8,NA,62,36,11,NA,2,NA,NA,NA,NA,2,NA,NA,NA
"222","Celsonil Santos de Macedo Junior ","celsinho","Celsinho","https://s.glbimg.com/es/sde/f/2019/03/23/8e0cf56b709151b2440313376e51f0c5_FORMATO.png",72494,33,341,"lat","Nulo",0.1,3.15,-0.34,2.04,"CSA",1,7,1,4,NA,29,17,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"223","Gustavo Campanharo","gustavo-campanharo","Gustavo Campanharo","https://s.glbimg.com/es/sde/f/2019/03/26/9799555064b37105b45b0acc0e54c2b7_FORMATO.png",72497,33,315,"mei","Provável",-1,5.47,-0.37,3.73,"Chapecoense",NA,31,4,31,1,33,41,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA
"224","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,33,262,"ata","Nulo",0,8.82,0,3.83,"Flamengo",1,25,10,16,4,33,15,NA,NA,21,NA,NA,NA,NA,3,3,NA,NA
"225","Vitor Hugo Franchescoli de Souza","vitor-hugo","Vitor Hugo","https://s.glbimg.com/es/sde/f/2019/08/01/10d95e2af722b1c1c76a7fe3c403de16_FORMATO.png",72605,33,275,"zag","Provável",1.2,6.85,-0.35,2.81,"Palmeiras",1,12,4,7,NA,9,14,5,NA,4,NA,NA,NA,NA,NA,4,NA,NA
"226","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,33,275,"ata","Nulo",0,6.98,0,3.33,"Palmeiras",NA,14,1,12,3,8,1,NA,NA,4,NA,NA,NA,NA,1,3,NA,NA
"227","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,33,276,"lat","Provável",-1.7,9.64,-0.49,3.16,"São Paulo",NA,16,NA,3,NA,22,14,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"228","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,33,277,"zag","Provável",-0.5,6.34,1.1,2.83,"Santos",8,33,4,17,3,41,17,13,2,7,NA,NA,NA,NA,NA,NA,NA,NA
"229","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2019/05/23/605fd3e976ffe9b529d0208eb32fa15b_FORMATO.png",73281,33,264,"mei","Nulo",0,5.84,0,2.2,"Corinthians",NA,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,33,262,"mei","Nulo",0,13.33,0,3.93,"Flamengo",2,44,7,20,2,59,57,NA,NA,14,2,NA,NA,NA,6,1,1,NA
"231","Rafael Vaz dos Santos","rafael-vaz","Rafael Vaz","https://s.glbimg.com/es/sde/f/2019/03/26/2893d827588a8a8150dbe4d07ec4e480_FORMATO.png",73421,33,290,"zag","Provável",3.2,12.52,0.67,4.96,"Goiás",1,12,14,18,5,106,28,9,NA,20,NA,NA,NA,NA,1,NA,1,NA
"232","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,33,277,"mei","Nulo",-0.8,7.13,-1.3,1.84,"Santos",2,21,9,28,1,44,15,NA,NA,11,1,NA,NA,NA,1,NA,NA,NA
"233","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png",78475,33,354,"ata","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Argélico Fucks","argel-fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2019/07/03/cdd47cd362cfe3cf486b63644ffb552d_FORMATO.png",73317,33,341,"tec","Provável",-0.19,6.29,-0.35,2.67,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,33,356,"ata","Nulo",0,6,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2019/09/05/0bb3b5b6b03109f7053ff8bc82656358_FORMATO.png",81770,33,267,"ata","Nulo",0,3.25,0,0.18,"Vasco",1,7,5,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"237","Marcos de Paula Dutra","marcos","Marcos","https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png",78495,33,290,"gol","Nulo",0,2.23,0,-0.5,"Goiás",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"238","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png",73384,33,354,"lat","Provável",1.8,12.2,-0.27,3.66,"Ceará",9,34,5,58,NA,67,38,8,NA,16,1,NA,NA,NA,3,3,NA,NA
"239","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png",78577,33,354,"mei","Provável",0.8,7.32,-0.1,3.61,"Ceará",1,27,16,9,1,83,43,NA,NA,24,NA,NA,NA,NA,6,1,NA,NA
"240","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2019/05/30/7e60ff2712f74e10b9a6bcf9661f2f8f_FORMATO.png",81682,33,282,"mei","Dúvida",-0.5,9.31,-0.77,2.96,"Atlético-MG",2,19,19,7,4,75,13,NA,1,22,1,NA,NA,NA,1,NA,NA,NA
"241","Paulo Oliveira de Souza Junior","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2019/05/07/d675dad7ddcb13ca96fcc4065ac3b404_FORMATO.png",78512,33,314,"lat","Nulo",0,2.43,0,1.6,"Avaí",NA,7,NA,11,NA,10,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"242","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2019/03/30/23a1a1c9b0e58f10ebf65e3a02139cd9_FORMATO.png",81776,33,293,"mei","Nulo",0,2.44,0,1.64,"Athlético-PR",1,10,6,15,NA,15,6,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"243","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,33,276,"lat","Dúvida",-0.2,14.46,-0.18,6.04,"São Paulo",6,43,9,35,5,64,54,12,NA,23,2,NA,NA,NA,1,1,NA,1
"244","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,33,265,"gol","Provável",4,14.5,0.35,5.97,"Bahia",NA,NA,NA,9,NA,7,1,14,NA,NA,NA,58,1,32,NA,NA,NA,NA
"245","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,33,354,"gol","Nulo",0,4.73,0,1.2,"Ceará",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"246","Jonny Ferney Mosquera Mena","mosquera","Mosquera","https://s.glbimg.com/es/sde/f/2019/03/31/8ef2e2aca1a983bd2f770590e4a0aa91_FORMATO.png",86116,33,314,"mei","Nulo",0,2.43,0,0.89,"Avaí",2,8,NA,14,NA,12,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"247","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2019/05/08/96abdb92d574fa62e402db3c5eb7fc0c_FORMATO.png",81798,33,267,"ata","Nulo",1.3,4.48,-0.29,1.83,"Vasco",7,32,16,43,1,66,19,NA,NA,14,1,NA,NA,NA,2,4,NA,1
"248","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,33,284,"mei","Provável",-0.4,7.58,-0.25,4.84,"Grêmio",5,19,14,39,3,39,17,NA,NA,9,NA,NA,NA,NA,6,NA,NA,NA
"249","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/01/14/c215c66c4f1a435e26c1d93d00555071_FORMATO.jpeg",78855,33,275,"mei","Provável",1.2,5.21,0.39,1.93,"Palmeiras",4,34,1,14,1,13,25,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"250","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,33,285,"mei","Contundido",0,7.12,0,1.4,"Internacional",1,2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/05/23/2e7a0138d60a1418cacfcd315daf7491_FORMATO.png",78605,33,264,"mei","Provável",0,5.81,0,2.92,"Corinthians",3,18,1,5,NA,18,32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"252","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,33,314,"mei","Provável",3.4,5.51,0.34,2.52,"Avaí",1,31,8,34,1,58,39,NA,NA,11,1,NA,NA,NA,NA,1,NA,1
"253","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png",78654,33,354,"zag","Suspenso",-1.1,3.25,0.5,2.27,"Ceará",3,7,NA,1,NA,10,6,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"254","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2019/09/18/7a3422e868242f542e08d9bd8d472869_FORMATO.png",73465,33,266,"zag","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2019/09/16/11755fb3a36a0608a2770c614eaa0c16_FORMATO.png",81951,33,266,"lat","Nulo",-0.1,3.6,-0.72,2.56,"Fluminense",1,16,2,16,NA,13,14,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"256","José Henrique da Silva Dourado","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2019/08/01/4a9594f3708f1d27eb4656057fd105ed_FORMATO.png",81905,33,275,"ata","Nulo",0,4.63,0,0.8,"Palmeiras",NA,3,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"257","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2019/03/28/1dadcc46ba4eb0738815ddfca0b51a71_FORMATO.png",81881,33,315,"gol","Provável",11,7.19,1.7,5.43,"Chapecoense",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,19,NA,9,NA,NA,NA,NA
"258","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2019/05/23/74dd3815a00b56d9fc765cad761ff91c_FORMATO.png",78715,33,264,"mei","Nulo",0,8.55,0,0.74,"Corinthians",1,26,1,12,NA,22,11,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA
"259","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2019/03/28/8bb249c2111b49eff60737fd35c27a45_FORMATO.png",79035,33,277,"zag","Nulo",0,5.49,0,3.35,"Santos",1,2,NA,5,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Christian Alberto Cueva Bravo","cueva","Cueva","https://s.glbimg.com/es/sde/f/2019/07/01/98c25abacc555f17dc0d9530a7b16ab9_FORMATO.png",82411,33,277,"mei","Nulo",0,5.15,0,0.38,"Santos",1,4,NA,4,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2019/03/28/591cde68116bac7ca7031a2f73847987_FORMATO.png",82407,33,354,"mei","Provável",0,3.23,-0.35,0.76,"Ceará",1,20,1,13,NA,8,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"262","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,33,315,"mei","Suspenso",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Santiago Ernesto Romero Fernández","romero","Romero","https://s.glbimg.com/es/sde/f/2019/03/22/6f3e87cd0ea7dd0de1f8463bf7e216a1_FORMATO.png",79109,33,356,"mei","Nulo",0,4,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Tadeu Antonio Ferreira","tadeu","Tadeu","https://s.glbimg.com/es/sde/f/2019/04/04/2c3f9d22de0dfd11ee1e9331d5fd85d9_FORMATO.png",82453,33,290,"gol","Provável",1,16.02,-1.43,7.3,"Goiás",NA,NA,NA,7,NA,17,NA,10,NA,NA,NA,84,2,44,NA,NA,NA,NA
"265","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2019/01/14/297712b048dce3da334c1701833a889a_FORMATO.jpeg",82455,33,275,"mei","Provável",14,11.34,1.52,3.86,"Palmeiras",4,47,10,54,1,23,28,NA,NA,13,1,NA,NA,NA,3,3,NA,NA
"266","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png",79336,33,354,"ata","Nulo",0,1.76,0,1,"Ceará",NA,1,NA,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"267","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,33,285,"zag","Provável",10.2,15.6,1.18,5.84,"Internacional",7,28,4,29,NA,40,81,9,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"268","Geirton Marques Aires","gege","Gegê","https://s.glbimg.com/es/sde/f/2019/02/18/a6e6b20f53d3e64deddfd38a901450c0_FORMATO.png",82474,33,314,"mei","Nulo",0,2.99,0,2.78,"Avaí",2,14,5,6,1,14,14,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
"269","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,33,265,"tec","Provável",2.19,11.56,-0.03,3.98,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,33,283,"ata","Dúvida",6.5,6.86,1.62,1.96,"Cruzeiro",1,23,8,22,3,9,6,NA,1,9,1,NA,NA,NA,NA,3,NA,NA
"271","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2019/03/29/c40c54d7fdca6784ef754a182f9f81d0_FORMATO.png",80189,33,265,"zag","Provável",1.1,6.52,0.09,2.59,"Bahia",2,8,2,11,NA,58,16,14,NA,5,NA,NA,NA,NA,1,NA,NA,NA
"272","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/08/23/b588923de64bd21b19b226c460ebe139_FORMATO.png",80080,33,314,"ata","Nulo",0,3.77,0,0.61,"Avaí",4,27,3,22,2,17,3,NA,1,7,1,NA,NA,NA,NA,7,NA,NA
"273","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,33,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,33,356,"mei","Nulo",1.6,7.42,0.18,2.16,"Fortaleza",1,12,7,40,2,29,8,NA,NA,16,NA,NA,NA,NA,NA,2,NA,NA
"275","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2019/06/04/82859093e0dc5964ab48dbe20839b60d_FORMATO.png",79702,33,275,"zag","Nulo",0,6.13,0,2.16,"Palmeiras",2,7,NA,2,NA,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,33,283,"mei","Nulo",0,3.78,0,1.6,"Cruzeiro",2,12,1,18,NA,12,14,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
