ID,Apelido,ClubeID,PosicaoID
89897,Ronaldo,288,1
89898,Roger,288,5
85403,Daniel,282,4
89885,Leandro,263,4
87229,Donato,282,3
74086,Pedro Paulo ,293,5
89914,Gabriel ,288,4
89815,Gustavo Ferrareis,285,4
89921,Maikon,263,5
89924,Bruno,283,4
82639,Marcelo Hermes,284,4
84794,Matteus ,293,4
89977,Bruno Santos,316,2
89694,James Dean,292,5
89932,JacÃ³,265,5
89975,Rodolfo,282,1
