"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
15,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,294,74210,FALSE,0,1.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,294,74210,TRUE,0.6,1.14,2.11,-0.22,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,294,74210,TRUE,0,1,2.02,-0.09,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,294,74210,TRUE,2.8,1.2,2.52,0.5,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
29,294,74210,TRUE,-0.5,1.03,1.98,-0.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,294,74210,TRUE,-2,0.75,1.64,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,294,74210,FALSE,0,0.75,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,294,74210,TRUE,2,0.85,2.33,0.69,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,294,74210,TRUE,8.4,1.43,3.54,1.21,3,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
34,294,74210,TRUE,0.4,1.36,2.24,-1.3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,294,74210,FALSE,0,1.36,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,294,74210,FALSE,0,1.36,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,294,74210,FALSE,0,1.36,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,294,74210,FALSE,0,1.36,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,316,77529,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,264,77500,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,264,77500,TRUE,1.8,1.8,12.18,-2.82,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,264,77500,TRUE,-5.8,-2,10.18,-2,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
9,264,77500,FALSE,0,-2,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,264,77500,FALSE,0,-2,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,264,77500,FALSE,0,-2,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,264,77500,FALSE,0,-2,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,264,77500,FALSE,0,-2,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,264,77500,TRUE,6.1,0.7,11.01,0.83,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,264,77500,TRUE,3.1,1.3,10.76,-0.25,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
16,264,77500,TRUE,1.9,1.42,10.43,-0.33,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
17,264,77500,TRUE,2.2,1.55,10.55,0.12,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0
18,264,77500,TRUE,1.4,1.53,10.22,-0.33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,264,77500,TRUE,0.1,1.35,10.18,-0.04,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
20,264,77500,TRUE,0.2,1.22,10,-0.18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,264,77500,TRUE,-6.3,0.47,8.79,-1.21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,264,77500,TRUE,0.6,0.48,9.82,1.03,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
23,264,77500,TRUE,4.2,0.79,10.41,0.59,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
24,264,77500,FALSE,0,0.79,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,264,77500,FALSE,0,0.79,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,264,77500,FALSE,0,0.79,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,264,77500,TRUE,3.5,1,10.24,-0.17,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
28,264,77500,TRUE,0.5,0.96,9.65,-0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,264,77500,TRUE,4.5,1.2,10.39,0.74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,264,77500,FALSE,0,1.2,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,315,77868,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,315,77868,TRUE,-3.7,-3.7,3.2,-1.8,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
16,315,77868,TRUE,1.7,-1,4,0.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
17,315,77868,TRUE,-0.7,-0.9,3.57,-0.43,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18,315,77868,TRUE,0.2,-0.62,3.6,0.03,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
19,315,77868,TRUE,2.7,0.04,4.17,0.57,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,315,77868,TRUE,9.5,1.62,5.61,1.44,1,6,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0
21,315,77868,FALSE,0,1.62,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,315,77868,TRUE,2.6,1.76,4.73,-0.88,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
23,315,77868,TRUE,-0.4,1.49,4.18,-0.55,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,315,77868,TRUE,6.2,2.01,5.4,1.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,315,77868,TRUE,1.5,1.96,4.7,-0.7,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
26,315,77868,TRUE,6.1,2.34,5.6,0.9,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
27,315,77868,FALSE,0,2.34,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,315,77868,TRUE,0.2,2.16,4.65,-0.95,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,315,77868,TRUE,5.5,2.42,5.65,1,1,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
30,315,77868,FALSE,0,2.42,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,315,77868,FALSE,0,2.42,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,315,77868,FALSE,0,2.42,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,315,77868,FALSE,0,2.42,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,315,77868,TRUE,4.3,2.55,5.5,-0.15,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
35,315,77868,FALSE,0,2.55,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,315,77868,FALSE,0,2.55,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,315,77868,TRUE,0.4,2.41,4.93,-0.57,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,315,77868,FALSE,0,2.41,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,294,77895,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,294,77895,TRUE,9.8,9.8,4.55,1.55,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0
15,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,294,77895,FALSE,0,9.8,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,284,78715,FALSE,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,284,78715,TRUE,7.9,7.9,9.49,4.49,2,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
2,284,78715,FALSE,0,7.9,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,284,78715,FALSE,0,7.9,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,284,78715,FALSE,0,7.9,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,284,78715,FALSE,0,7.9,9.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,284,78715,TRUE,-2.1,2.9,7.55,-1.94,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7,284,78715,TRUE,-4.4,0.47,6.61,-0.94,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
8,284,78715,FALSE,0,0.47,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,284,78715,TRUE,5.4,1.7,7.99,1.38,3,3,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0
10,284,78715,TRUE,-1.6,1.04,6.73,-1.26,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
11,284,78715,TRUE,-3.6,0.27,6.06,-0.67,2,5,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
12,284,78715,FALSE,0,0.27,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,284,78715,TRUE,-2.8,-0.17,5.73,-0.33,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,284,78715,FALSE,0,-0.17,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,284,78715,TRUE,-2.3,-0.44,5.61,-0.12,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16,284,78715,FALSE,0,-0.44,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,284,78715,TRUE,-0.3,-0.42,5.74,0.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,284,78715,FALSE,0,-0.42,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,284,78715,FALSE,0,-0.42,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,284,78715,TRUE,-2.6,-0.64,5.1,-0.64,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,284,78715,TRUE,2.1,-0.39,5.94,0.84,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
22,284,78715,TRUE,0,-0.36,5.57,-0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,284,78715,TRUE,3.3,-0.08,6.13,0.56,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
24,284,78715,TRUE,0,-0.07,5.54,-0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,284,78715,FALSE,0,-0.07,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,284,78715,TRUE,2.2,0.08,5.88,0.34,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
27,284,78715,TRUE,10.6,0.74,7.53,1.65,1,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0
28,284,78715,TRUE,-1.4,0.61,5.51,-2.02,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
29,284,78715,TRUE,0.2,0.59,5.75,0.24,2,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
30,284,78715,TRUE,0.7,0.6,5.71,-0.04,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
31,284,78715,FALSE,0,0.6,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,284,78715,TRUE,3.3,0.74,6.26,0.55,3,6,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
33,284,78715,FALSE,0,0.74,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,284,78715,FALSE,0,0.74,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,284,78715,TRUE,10.7,1.21,7.73,1.47,1,3,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0
36,284,78715,FALSE,0,1.21,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,284,78715,FALSE,0,1.21,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,284,78715,FALSE,0,1.21,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,344,78979,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
