"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","I","SG","GC","FT","G","DD","GS","CV","PP","DP"
"199","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,33,"ATL","lat","Provável",2.4,9.28,-0.42,4.21,"Atlético-PR",4,14,NA,7,29,11,5,1,NA,10,NA,NA,1,NA,NA,NA,NA,NA
"200","Federico Mancuello","mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2018/05/07/0f1aad8b26fa5e7442bde1e17cfc4dfb_FORMATO.png",71066,33,"CRU","mei","Dúvida",0,3.01,0,1.62,"Cruzeiro",1,19,6,15,22,17,1,8,2,NA,NA,NA,1,NA,NA,2,NA,NA
"201","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,33,"PAL","mei","Provável",8.2,12.04,0.8,4.84,"Palmeiras",6,60,3,37,46,54,2,14,NA,NA,NA,1,8,NA,NA,NA,NA,NA
"202","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,33,"CHA","lat","Nulo",0,5.16,0,2.93,"Chapecoense",1,4,NA,10,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Wesley Pacheco Gomes","wesley-pacheco","Wesley Pacheco","https://s.glbimg.com/es/sde/f/2018/08/03/ea270ab009fd58368038d269b29192ba_FORMATO.png",71121,33,"AME","ata","Nulo",0,2.38,0,0.88,"América-MG",1,4,2,4,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,33,"PAR","ata","Provável",3.5,8.66,0.41,3.22,"Paraná",2,31,18,59,78,27,NA,23,1,NA,NA,1,3,NA,NA,NA,NA,NA
"205","Alexander Baumjohann","alex-baumjohann","Alex Baumjohann","https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png",71389,33,"VIT","mei","Nulo",0,1.65,0,-0.1,"Vitória",NA,5,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,33,"BAH","mei","Nulo",0,5.08,0,2.13,"Bahia",3,15,11,12,65,12,1,22,3,NA,NA,NA,4,NA,NA,NA,1,NA
"207","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2018/05/08/8c609625e5588e4ad1fdcd2a6c478284_FORMATO.png",71479,33,"ATL","mei","Provável",0,4.02,0,1.07,"Atlético-PR",4,24,5,5,50,33,1,3,4,NA,NA,NA,NA,NA,NA,1,NA,NA
"208","Martín Andrés Silva Leites","martin-silva","Martín Silva","https://s.glbimg.com/es/sde/f/2018/09/27/3b8e3d14bb948eee3eb474f0badfc2e7_FORMATO.png",69249,33,"VAS","gol","Suspenso",-3,5.89,-3.14,1.83,"Vasco",3,NA,NA,1,5,NA,NA,NA,NA,3,NA,NA,NA,30,29,NA,NA,NA
"209","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png",71549,33,"VAS","ata","Nulo",0,5.19,0,1.48,"Vasco",1,5,NA,10,13,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"210","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,33,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"211","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,33,"VAS","mei","Provável",9.3,8.14,1.41,2.58,"Vasco",5,16,4,22,35,14,2,5,1,NA,NA,2,2,NA,NA,NA,NA,NA
"212","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2018/08/29/0bedcd75702ef7ed90afd2825f1f57c9_FORMATO.jpeg",71882,33,"CEA","gol","Nulo",0,3.23,0,5.5,"Ceará",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"213","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,33,"CEA","ata","Contundido",0,6.97,0,4.45,"Ceará",1,19,8,22,26,8,2,12,3,NA,NA,2,2,NA,NA,NA,NA,NA
"214","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/05/08/b49a52f81f691127e1693a8fc8a73d1b_FORMATO.png",71571,33,"VAS","gol","Provável",0,7.61,0,3.46,"Vasco",NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,14,14,NA,NA,1
"215","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,33,"GRE","mei","Provável",10.8,5.89,0.77,5.16,"Grêmio",NA,5,NA,2,16,17,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,33,"CEA","tec","Provável",3.79,8.5,0.24,4.12,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Gabriel Rybar Blos","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/18/d0b143443c7fe342de877afaff95bb91_FORMATO.png",71572,33,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,33,"FLA","mei","Provável",-2.3,8.96,-0.49,3.34,"Flamengo",5,49,3,10,38,83,1,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"219","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,33,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,33,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,33,"COR","lat","Provável",0,5.52,0,1.9,"Corinthians",1,40,6,18,59,16,1,7,3,3,1,1,1,NA,NA,NA,NA,NA
"222","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,33,"AME","lat","Nulo",3.1,8.48,0.14,4.27,"América-MG",3,14,5,15,37,29,NA,11,3,6,NA,NA,3,NA,NA,NA,NA,NA
"223","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,33,"CEA","mei","Nulo",0,6.05,0,3.52,"Ceará",NA,19,5,9,38,29,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2018/08/03/5d359eca3a79a4be9605f9758a7d0144_FORMATO.png",71684,33,"PAL","zag","Provável",0,10.27,0,6.04,"Palmeiras",3,10,1,12,17,16,NA,1,1,7,NA,NA,2,NA,NA,NA,NA,NA
"225","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,33,"PAL","gol","Provável",4,8.72,0.83,4.07,"Palmeiras",1,NA,NA,1,8,NA,NA,NA,NA,9,NA,NA,NA,18,11,NA,NA,NA
"226","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,33,"GRE","lat","Provável",1.6,14.35,-0.74,5.37,"Grêmio",3,28,1,26,48,39,NA,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA
"227","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,33,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,12,NA,5,4,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,33,"SPO","mei","Suspenso",-1.1,6.13,-2.13,2.89,"Sport",3,23,8,52,63,21,2,12,3,NA,NA,1,5,NA,2,NA,1,NA
"229","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,33,"PAR","gol","Nulo",0,7.57,0,5.23,"Paraná",NA,1,NA,1,5,NA,NA,NA,NA,4,NA,NA,NA,18,11,NA,NA,1
"230","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/09/27/1efc38e38866055fe84ec680c96da256_FORMATO.png",73635,33,"VAS","ata","Nulo",0.2,2.41,-0.05,0.22,"Vasco",1,1,NA,10,9,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,33,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"232","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,33,"PAL","gol","Nulo",0,11.78,0,4.33,"Palmeiras",2,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,24,11,1,NA,NA
"233","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,33,"SAO","zag","Dúvida",-1.5,9.93,-1.05,4.1,"São Paulo",8,38,5,18,23,34,NA,4,6,11,NA,1,2,NA,NA,NA,NA,NA
"234","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,33,"BOT","mei","Nulo",0,3.16,0,1.32,"Botafogo",1,2,NA,6,11,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"235","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,33,"SPO","ata","Provável",2.5,8.51,0.41,2.83,"Sport",NA,26,14,46,28,14,2,22,9,NA,NA,NA,2,NA,NA,1,NA,NA
"236","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,33,"CEA","lat","Provável",-1.3,5.01,-0.3,4.28,"Ceará",7,29,NA,37,37,28,4,6,1,6,NA,1,1,NA,NA,1,NA,NA
"237","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,33,"CEA","zag","Provável",3.7,8.7,0.33,3.84,"Ceará",6,17,1,8,20,45,1,6,NA,8,NA,NA,1,NA,NA,NA,NA,NA
"238","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,33,"SAN","zag","Contundido",0,2.85,0,2.33,"Santos",4,12,NA,9,12,9,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"239","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,33,"PAR","mei","Nulo",0,5.09,0,2.98,"Paraná",5,25,2,33,14,29,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,33,"CEA","gol","Provável",4,12.13,-0.39,5.82,"Ceará",3,1,NA,9,12,1,NA,2,NA,9,NA,NA,1,60,31,NA,NA,NA
"241","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,33,"ATL","gol","Nulo",0,1.85,0,1.95,"Atlético-PR",1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,6,6,NA,NA,NA
"242","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,33,"BOT","mei","Suspenso",-3.7,9.39,-2.96,4.48,"Botafogo",6,34,7,41,73,47,3,16,3,NA,NA,1,7,NA,NA,NA,1,NA
"243","Cléber Janderson Pereira Reis","cleber-reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2018/04/24/69768a9bda3441e7a742ff9d70ba8d95_FORMATO.png",72376,33,"PAR","zag","Nulo",0,7.13,0,4.12,"Paraná",1,7,1,9,22,27,NA,4,2,3,NA,1,NA,NA,NA,1,NA,NA
"244","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/08/15/df43aeed005a5668d32e3104263e2119_FORMATO.png",72386,33,"SPO","ata","Provável",6,5.76,0.03,4.07,"Sport",1,23,7,29,18,15,2,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"245","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,33,"CHA","mei","Provável",10.9,8.72,1.47,2.09,"Chapecoense",4,38,4,20,120,44,3,10,2,NA,NA,1,2,NA,NA,NA,NA,NA
"246","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,33,"SAO","zag","Dúvida",0,9.96,0,3.18,"São Paulo",1,5,NA,1,5,6,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"247","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,33,"FLA","ata","Contundido",0,3.91,0,0.94,"Flamengo",2,10,4,2,13,7,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,33,"SAN","ata","Nulo",2.1,8.18,0.18,2.68,"Santos",5,24,2,14,20,15,5,4,5,NA,NA,NA,1,NA,NA,NA,NA,NA
"249","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,33,"PAR","zag","Contundido",0,2.7,0,1.09,"Paraná",7,25,1,17,19,23,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"250","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,33,"GRE","zag","Nulo",0,9.43,0,4.6,"Grêmio",3,24,2,12,27,30,NA,2,NA,12,NA,NA,1,NA,NA,NA,NA,NA
"251","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,33,"VIT","ata","Nulo",0,2.4,0,0.43,"Vitória",1,6,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"252","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,33,"GRE","lat","Provável",0,7.04,0,4.16,"Grêmio",NA,4,1,6,12,8,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"253","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,33,"SAN","ata","Dúvida",-0.1,4.91,-1.27,1.24,"Santos",NA,6,NA,10,8,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"254","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,33,"VIT","gol","Dúvida",0,2,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/09/27/711f775d92f04e0e3e7030700985dae7_FORMATO.png",73936,33,"VAS","mei","Nulo",0,7.14,0,2.43,"Vasco",3,35,1,17,52,52,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"256","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,33,"CHA","ata","Provável",9.5,8.56,1.35,3.55,"Chapecoense",4,45,14,39,19,18,NA,26,17,NA,NA,3,7,NA,NA,1,NA,NA
"257","Bruno da Silva Peres","bruno-peres","Bruno Peres","https://s.glbimg.com/es/sde/f/2018/08/21/069947a89a5c7a8dcdc37798d30597f0_FORMATO.png",73962,33,"SAO","lat","Provável",1.6,9.75,-0.56,4.06,"São Paulo",4,22,NA,13,31,29,NA,4,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"258","Luis Eduardo Barros Cavalcanti","dado-cavalcanti","Dado Cavalcanti","https://s.glbimg.com/es/sde/f/2018/10/19/67657a12a492438b83870a193414419d_FORMATO.png",73975,33,"PAR","tec","Provável",5.8,7.4,1.05,2.08,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2018/05/04/f71b2fc3dc540b79567e4897bc155101_FORMATO.png",78086,33,"FLA","gol","Provável",2.2,4.07,0.45,3.14,"Flamengo",1,NA,NA,4,9,NA,NA,NA,NA,4,NA,NA,NA,11,11,NA,NA,NA
"260","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,33,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,33,"BAH","zag","Nulo",0,10.1,0,4.1,"Bahia",3,25,5,15,38,26,NA,9,2,5,NA,NA,2,NA,NA,NA,NA,NA
"262","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2018/05/23/3ee08dfe1559a120f4dcd89514b80775_FORMATO.png",73974,33,"SAN","mei","Provável",5.7,8.41,0.57,2.72,"Santos",10,33,NA,24,34,61,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2018/05/23/600ec8ed7ab3b2e4b459743279ec4d6a_FORMATO.png",78248,33,"SAN","zag","Provável",0,5.65,-0.32,3.83,"Santos",6,32,7,15,29,20,NA,7,3,12,NA,1,1,NA,NA,NA,NA,NA
"264","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2018/03/21/a77d395d25e1b65d85306670c5ae5c09_FORMATO.png",83772,33,"VIT","ata","Nulo",0.7,11.15,-0.23,3.73,"Vitória",7,42,7,54,89,35,4,19,4,NA,NA,2,6,NA,NA,1,NA,NA
"265","Hernán Barcos","barcos","Barcos","https://s.glbimg.com/es/sde/f/2018/10/18/731df10308e961dc0c7161cfb7ffe9a1_FORMATO.png",78379,33,"CRU","ata","Nulo",0,6.35,-0.07,1.43,"Cruzeiro",1,13,5,6,21,6,1,8,3,NA,NA,NA,1,NA,NA,NA,1,NA
"266","René Ferreira dos Santos","rene","René","https://s.glbimg.com/es/sde/f/2018/07/23/d6322968c7c6cca6de55d8c4fbb4c086_FORMATO.png",73978,33,"PAR","zag","Suspenso",-1.5,4.21,-0.59,2.13,"Paraná",3,15,1,13,31,33,NA,3,1,1,NA,NA,NA,NA,NA,1,NA,NA
"267","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,33,"INT","zag","Provável",7,18.14,1.62,6.42,"Internacional",10,39,3,32,58,86,2,4,2,13,NA,NA,2,NA,NA,1,NA,NA
"268","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,33,"CHA","zag","Nulo",0,4.32,0,1.1,"Chapecoense",NA,6,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,33,"FLA","ata","Provável",-1.8,7.62,-2.01,4.5,"Flamengo",NA,10,4,6,16,8,2,15,6,NA,NA,1,5,NA,NA,NA,NA,NA
"270","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,33,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",3,3,1,1,4,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"271","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,33,"BAH","zag","Nulo",-0.5,2.49,-1,2.2,"Bahia",4,11,1,6,11,7,NA,2,1,3,NA,NA,1,NA,NA,NA,NA,NA
"272","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,33,"FLA","ata","Provável",13,17.11,1.41,6.35,"Flamengo",2,34,14,25,67,36,4,21,2,NA,NA,2,3,NA,NA,NA,NA,NA
"273","Walisson Moreira Farias Maia","walisson-maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2018/03/21/24015c9080aa3347098cfb88e90348e8_FORMATO.png",73991,33,"VIT","zag","Contundido",0,5.06,0,3.25,"Vitória",1,2,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Fabiano da Silva Souza","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/09/04/dd622172f30483dda8563ef9249cdae1_FORMATO.png",79244,33,"VIT","lat","Nulo",-0.5,5.82,-0.5,3.41,"Vitória",2,21,NA,5,32,17,1,1,NA,2,NA,1,1,NA,NA,NA,NA,NA
"275","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,33,"FLA","lat","Suspenso",0.5,14.12,-1,6.79,"Flamengo",6,33,7,34,113,82,5,3,1,15,NA,NA,2,NA,NA,NA,NA,NA
"276","Odair Souza ","nenen","Nenén","https://s.glbimg.com/es/sde/f/2018/05/24/42f440f0883376df8bb747b658bbc47d_FORMATO.png",79892,33,"CHA","mei","Nulo",0,2.08,0,0.1,"Chapecoense",NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2018/05/04/5049d8a52c5a5f82e57248ab2ff94218_FORMATO.png",73992,33,"FLA","lat","Provável",2,12.72,-1.35,4.99,"Flamengo",2,16,8,28,31,26,2,7,1,13,NA,NA,1,NA,NA,NA,NA,NA
"278","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,33,"AME","zag","Provável",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,33,"CEA","ata","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
