"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","FT","G","GC","PE","RB","SG","DD","GS","A","I","DP","CV","PP"
"192","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,26,"FLU","gol","Nulo",0,4.46,0,12,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"193","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,26,"CHA","zag","Suspenso",-3.8,6.52,-1.12,2.7,"Chapecoense",2,25,1,3,14,1,NA,NA,12,27,5,NA,NA,NA,NA,NA,1,NA
"194","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_FORMATO.jpeg",63013,26,"PAL","lat","Nulo",0,12.79,0,6.4,"Palmeiras",5,40,2,2,19,1,1,NA,80,63,7,NA,NA,3,NA,NA,NA,NA
"195","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2018/03/21/4447e0929a366fd4391a8f2df378f705_FORMATO.png",63058,26,"VIT","mei","Contundido",0,4.44,0,2.69,"Vitória",1,10,1,5,3,NA,NA,NA,7,18,NA,NA,NA,1,NA,NA,NA,NA
"196","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/09/03/03264bf38dfae9a050a9be1e98d381e5_FORMATO.png",62137,26,"BAH","tec","Provável",2.85,10.45,-0.19,3.49,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Lenon Fernandes Ribeiro","lenon","Lenon","https://s.glbimg.com/es/sde/f/2018/09/27/7a70c852c7670d547f9bc61f6b519e6c_FORMATO.png",63122,26,"VAS","lat","Nulo",-0.5,2.4,-0.34,0.94,"Vasco",1,3,1,1,3,NA,NA,NA,15,5,1,NA,NA,NA,1,NA,NA,NA
"198","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,26,"ATL","ata","Provável",9.1,15.81,1.26,5.23,"Atlético-MG",4,41,5,16,25,1,3,NA,77,67,NA,NA,NA,5,3,NA,NA,NA
"199","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,26,"PAL","mei","Nulo",0,6.03,0,2.98,"Palmeiras",4,24,4,7,21,1,2,NA,37,32,NA,NA,NA,NA,NA,NA,NA,NA
"200","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2018/08/01/32bbffbc4731c16e4700b820b4ccdb68_FORMATO.png",63172,26,"AME","zag","Nulo",0,4.79,0,1.13,"América-MG",2,12,1,3,5,NA,NA,1,12,12,1,NA,NA,NA,3,NA,NA,NA
"201","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,26,"INT","mei","Provável",4.9,9.33,0.13,2.83,"Internacional",4,19,2,10,29,NA,2,NA,48,26,NA,NA,NA,3,1,NA,NA,NA
"202","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,26,"AME","lat","Suspenso",-0.5,11.2,-0.48,4.82,"América-MG",6,29,8,5,18,1,2,NA,43,31,5,NA,NA,1,3,NA,NA,NA
"203","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,26,"INT","zag","Contundido",0,12.81,0,6.21,"Internacional",3,16,2,11,21,NA,1,NA,21,32,11,NA,NA,NA,1,NA,NA,NA
"204","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,26,"ATL","ata","Nulo",0,2.94,0,0.52,"Atlético-PR",4,9,4,9,12,NA,NA,NA,6,2,NA,NA,NA,NA,2,NA,NA,NA
"205","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2018/08/21/f187045e0e177e81233e607955059a4c_FORMATO.png",63422,26,"SAO","mei","Provável",2.9,8.43,-0.68,4.13,"São Paulo",3,33,NA,2,29,NA,NA,NA,37,64,NA,NA,NA,NA,NA,NA,NA,NA
"206","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,26,"GRE","ata","Contundido",0,7.04,0,2.05,"Grêmio",4,37,7,12,30,NA,4,NA,36,10,NA,NA,NA,NA,12,NA,NA,NA
"207","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2018/05/23/bed8c47807867724de1462e2c2e094cc_FORMATO.png",68727,26,"SAN","lat","Provável",1.2,12.34,-0.56,5.05,"Santos",5,17,2,7,29,1,NA,NA,75,55,10,NA,NA,1,2,NA,NA,NA
"208","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/18/c5296c34cd5096c635acc7874899ab65_FORMATO.png",68698,26,"CRU","mei","Provável",-1.1,6.14,0.17,2.52,"Cruzeiro",4,33,2,13,11,1,2,NA,31,23,NA,NA,NA,1,NA,NA,NA,NA
"209","Maximiliano Gastón López","maxi-lopez","Maxi López","https://s.glbimg.com/es/sde/f/2018/09/27/06c01113a00936b7c2845177c24d4ae9_FORMATO.png",68800,26,"VAS","ata","Provável",-3.8,7.18,-1.84,3.47,"Vasco",6,36,4,10,13,2,2,NA,12,3,NA,NA,NA,4,2,NA,NA,NA
"210","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,26,"ATL","mei","Nulo",0,4.49,0,1.61,"Atlético-PR",1,19,2,3,8,NA,NA,NA,30,24,NA,NA,NA,NA,NA,NA,1,NA
"211","José Maria Ortigoza Ortiz","ortigoza","Ortigoza","https://s.glbimg.com/es/sde/f/2018/09/04/41be2f34aa1d86791db2dca10b9c6f91_FORMATO.png",68810,26,"PAR","ata","Provável",2.6,4.49,0.49,1.43,"Paraná",NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2018/05/02/6971ebec7f9c3c38db9490eb58f746f3_FORMATO.png",68808,26,"BAH","lat","Provável",2.2,12.89,-0.86,5.78,"Bahia",2,18,4,4,28,NA,NA,NA,36,43,5,NA,NA,1,NA,NA,NA,NA
"213","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,26,"GRE","zag","Provável",0,8.74,0,5.62,"Grêmio",1,8,NA,4,10,NA,NA,NA,21,16,5,NA,NA,NA,NA,NA,NA,NA
"214","Sérgio Dutra Júnior","junior-dutra","Júnior Dutra","https://s.glbimg.com/es/sde/f/2018/07/20/a1efc5a279c303352851a3d68a6e7465_FORMATO.png",68784,26,"FLU","ata","Nulo",0,4.15,0,1,"Fluminense",2,15,NA,4,10,NA,NA,NA,17,11,NA,NA,NA,1,NA,NA,NA,NA
"215","Marcelo de Oliveira Santos","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/07/05/01edbc76fc669fabaedd576160699382_FORMATO.png",62136,26,"FLU","tec","Provável",4.36,10.83,0.32,3.85,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,26,"INT","mei","Nulo",0,8,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","André Luiz Barretto Silva Lima","andre-lima","André Lima","https://s.glbimg.com/es/sde/f/2018/03/21/d5bd90b5cbee9c67c4fe5a21cfdfe5f3_FORMATO.png",68893,26,"VIT","ata","Nulo",-0.3,4.06,0.04,0.84,"Vitória",3,31,6,3,23,NA,2,NA,21,5,NA,NA,NA,NA,5,NA,NA,NA
"218","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2018/09/27/9a2a4526dd6f2e06c81972b3048b1034_FORMATO.png",68821,26,"VAS","lat","Provável",0,2.43,0,0.59,"Vasco",1,6,2,5,7,NA,NA,NA,24,5,NA,NA,NA,NA,1,NA,NA,NA
"219","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,26,"ATL","zag","Provável",10,11.12,0.47,6.14,"Atlético-MG",5,12,1,4,17,1,4,NA,32,22,5,NA,NA,NA,1,NA,NA,NA
"220","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2018/04/08/c6db42e2a46652d39dfdaf203267d223_FORMATO.png",68872,26,"INT","gol","Provável",1,8.56,0.67,7.34,"Internacional",1,NA,NA,NA,2,NA,NA,NA,3,NA,8,20,5,NA,NA,NA,NA,NA
"221","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,26,"GRE","gol","Provável",0,6.71,0,3.04,"Grêmio",2,NA,NA,NA,1,NA,NA,NA,4,NA,4,7,6,NA,NA,NA,NA,NA
"222","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,26,"FLU","zag","Provável",1.2,5.54,0.08,3.09,"Fluminense",1,20,2,2,7,NA,1,NA,21,12,5,NA,NA,NA,NA,NA,NA,NA
"223","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,26,"INT","ata","Nulo",0,3.83,0,3.75,"Internacional",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2018/09/20/b3381c5cfe339a41f28141764223aed2_FORMATO.png",68887,26,"FLU","zag","Provável",1,5.73,-0.54,2.81,"Fluminense",3,29,2,6,12,NA,1,NA,44,21,7,NA,NA,1,NA,NA,NA,NA
"225","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,26,"VAS","lat","Provável",2.3,7.71,-0.05,2.85,"Vasco",1,10,2,3,7,NA,1,NA,33,18,1,NA,NA,NA,NA,NA,NA,NA
"226","Márcio Passos de Albuquerque","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/05/18/64c04239bb8fc608b9061c8f7833750c_FORMATO.png",68744,26,"COR","ata","Nulo",0,6.33,-0.54,2.15,"Corinthians",NA,4,1,NA,12,1,NA,NA,2,4,NA,NA,NA,2,NA,NA,NA,NA
"227","Vinicius Santos Silva","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/05/24/0cbf8c93ebf616fd456c58a062f7fb7b_FORMATO.png",68917,26,"CHA","ata","Nulo",0.5,3.1,-0.13,1.03,"Chapecoense",NA,2,2,4,5,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"228","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2018/05/17/eb369a54700edd67173154dd1a72cf7b_FORMATO.png",68901,26,"BOT","ata","Nulo",-1,3.68,-0.61,1.4,"Botafogo",6,15,4,8,20,NA,1,NA,34,19,NA,NA,NA,NA,NA,NA,NA,NA
"229","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2018/08/21/2c1ebd16cc103b0bd5a7224c74e03f01_FORMATO.png",68911,26,"SAO","mei","Provável",8.5,12.77,1.52,4.68,"São Paulo",NA,25,8,14,28,1,9,NA,38,5,NA,NA,NA,3,10,NA,1,NA
"230","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,26,"CRU","gol","Provável",0,8.18,0,8.5,"Cruzeiro",NA,1,NA,NA,3,NA,NA,NA,NA,NA,2,9,2,NA,NA,NA,NA,NA
"231","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2018/09/12/106c488eaa868da0a0f225ef6776a226_FORMATO.png",68952,26,"GRE","ata","Contundido",0,11.4,0,4.38,"Grêmio",2,12,5,6,17,NA,1,NA,11,11,NA,NA,NA,1,1,NA,NA,NA
"232","Ronaldo Luiz Alves","ronaldo-alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2018/05/24/596fc62c2e66a9ab2b5119f565e42576_FORMATO.png",68950,26,"SPO","zag","Provável",2.5,6.61,-0.2,2.55,"Sport",7,26,1,8,24,NA,NA,NA,27,30,6,NA,NA,NA,2,NA,NA,NA
"233","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2018/03/20/f5b2dcceef9857c0dab3479a2ec2d946_FORMATO.png",68930,26,"BOT","ata","Provável",8.6,8.51,0.99,4.41,"Botafogo",NA,19,12,12,40,NA,6,NA,27,8,NA,NA,NA,1,6,NA,NA,NA
"234","Vinícius Freitas Ribeiro","vinicius-freitas","Vinícius Freitas","https://s.glbimg.com/es/sde/f/2018/03/02/3a7c7444601af167011a0fbe974ab8d6_FORMATO.png",81537,26,"CHA","lat","Contundido",0,3.74,0,3.08,"Chapecoense",1,1,NA,NA,NA,NA,NA,NA,4,4,1,NA,NA,1,NA,NA,NA,NA
"235","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2018/08/01/51a34fdddb000e59403320c7aa8b8db4_FORMATO.png",69008,26,"CHA","zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2018/09/27/5624d936fa15082ca3007edf65acc718_FORMATO.png",68938,26,"VAS","mei","Dúvida",-2.4,5.26,-0.51,1.65,"Vasco",2,16,4,7,15,NA,NA,NA,43,15,NA,NA,NA,2,NA,NA,NA,1
"237","Leandro Damião da Silva dos Santos","leandro-damiao","Leandro Damião","https://s.glbimg.com/es/sde/f/2018/04/08/c1c8646acc0c6d9b787e0bcd4ce2303c_FORMATO.png",68953,26,"INT","ata","Provável",11.9,8.86,2.42,3.03,"Internacional",3,23,13,17,17,NA,4,NA,27,6,NA,NA,NA,1,5,NA,NA,1
"238","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,26,"PAL","mei","Nulo",0,10.07,0,4.63,"Palmeiras",5,49,3,10,29,1,5,NA,40,46,NA,NA,NA,2,NA,NA,NA,NA
"239","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,26,"PAL","ata","Nulo",0,14.18,-0.89,5,"Palmeiras",7,16,16,12,71,1,4,NA,59,14,NA,NA,NA,6,3,NA,1,1
"240","Régis Ribeiro de Souza","regis","Régis","https://s.glbimg.com/es/sde/f/2018/05/26/4e5702dd50b18168075ddd81501b8974_FORMATO.png",68995,26,"SAO","lat","Dúvida",-1.1,5.73,-0.88,2.35,"São Paulo",3,10,1,1,4,NA,NA,1,17,12,4,NA,NA,1,NA,NA,NA,NA
"241","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2018/05/08/cb128a5e04beb3653bf1847b06c72545_FORMATO.png",69012,26,"ATL","gol","Provável",10.1,11.15,1.17,4.64,"Atlético-PR",2,1,NA,NA,3,NA,NA,NA,17,NA,9,37,23,NA,NA,NA,NA,NA
"242","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2018/05/08/cf32acce95d925ec92b7e084202c7e06_FORMATO.png",69138,26,"ATL","ata","Provável",9.7,12.09,0.08,5.34,"Atlético-PR",4,51,13,20,19,1,9,NA,23,31,NA,NA,NA,2,19,NA,NA,NA
"243","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2018/04/08/c714e94cf7e83d9faed670b675e6ec25_FORMATO.png",69051,26,"INT","gol","Contundido",0,10,0,4.01,"Internacional",NA,NA,NA,NA,2,NA,NA,NA,3,NA,6,14,10,NA,NA,NA,NA,NA
"244","Deivid Willian da Silva","deivid","Deivid","https://s.glbimg.com/es/sde/f/2018/05/18/9314a887ee8d5d3501ea45d244b7f947_FORMATO.png",69018,26,"SPO","mei","Nulo",0,2.59,0,1.05,"Sport",6,25,1,2,25,NA,NA,NA,23,22,NA,NA,NA,NA,NA,NA,NA,NA
"245","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2018/05/23/afd45cb890c4f9430cd273e7bdb9cb72_FORMATO.png",69040,26,"SAN","gol","Nulo",0,6,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Marcelo Cirino da Silva","marcelo-cirino","Marcelo Cirino","https://s.glbimg.com/es/sde/f/2018/07/04/f7efbd8bc7d99caaa2afc7125162b6c9_FORMATO.png",69022,26,"ATL","ata","Provável",7.3,6.84,1.07,4.56,"Atlético-PR",NA,3,1,2,5,NA,2,NA,15,5,NA,NA,NA,NA,NA,NA,NA,NA
"247","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2018/05/07/6cf5cf190985e20f0a42a7408e164e10_FORMATO.png",69014,26,"CRU","zag","Provável",2,4.81,-0.41,3.33,"Cruzeiro",NA,8,NA,1,8,NA,1,NA,9,4,3,NA,NA,NA,1,NA,NA,NA
"248","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2018/03/20/24dcab97bac1e830cd13938c4beb81ea_FORMATO.png",69047,26,"COR","mei","Contundido",0,3.06,0,2.17,"Corinthians",2,5,1,1,2,NA,NA,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA
"249","Ricardo Bueno da Silva","ricardo-bueno","Ricardo Bueno","https://s.glbimg.com/es/sde/f/2018/08/27/324fdaf114a76011c149428db4428725_FORMATO.png",69141,26,"CEA","ata","Nulo",0,5,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,26,"SAN","lat","Provável",2.3,10.17,-0.79,4.95,"Santos",4,13,5,2,9,NA,2,NA,42,37,8,NA,NA,NA,5,NA,NA,NA
"251","Martín Andrés Silva Leites","martin-silva","Martín Silva","https://s.glbimg.com/es/sde/f/2018/09/27/3b8e3d14bb948eee3eb474f0badfc2e7_FORMATO.png",69249,26,"VAS","gol","Provável",7,7.11,0.04,1.19,"Vasco",2,NA,NA,NA,1,NA,NA,NA,4,NA,2,22,25,NA,NA,NA,NA,NA
"252","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2018/03/05/105c1b01950d04f72d197c2b080b62c2_FORMATO.png",70116,26,"SPO","mei","Nulo",0,9.14,0,4.1,"Sport",2,28,16,27,25,NA,1,NA,76,40,NA,NA,NA,2,1,NA,NA,NA
"253","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2018/05/08/2b72d6975f3708b1c3eaa34ea5acf723_FORMATO.png",69705,26,"ATL","mei","Provável",2,10.86,0.07,2.79,"Atlético-PR",3,24,15,17,33,3,1,NA,55,16,NA,NA,NA,3,6,NA,1,NA
"254","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2018/05/04/567c4c3a4d23c2c7f9849ff47e10d98f_FORMATO.png",70009,26,"FLA","mei","Nulo",0,2.88,0,0.45,"Flamengo",1,3,NA,NA,1,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"255","Sidney Aparecido Ramos da Silva","sidao","Sidão","https://s.glbimg.com/es/sde/f/2018/08/22/f344ae872d2199f6428ab6885294b3ce_FORMATO.png",70222,26,"SAO","gol","Provável",0.4,9.85,-0.81,3.35,"São Paulo",3,NA,NA,NA,1,NA,NA,NA,20,NA,11,25,19,NA,NA,NA,NA,NA
"256","Fillipe Soutto Mayor Nogueira Ferreira","fillipe-soutto","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2018/03/21/0daa49ddeceb2e945617b2f9a0df22b9_FORMATO.png",70581,26,"VIT","mei","Nulo",0,2.99,0,-0.25,"Vitória",1,10,2,NA,3,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"257","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/20/32e84c4039d121a904d169b4a6a4ad1d_FORMATO.png",69177,26,"FLU","lat","Provável",2.6,4,0.91,2.89,"Fluminense",5,20,2,3,17,1,NA,NA,28,18,2,NA,NA,1,2,NA,NA,NA
"258","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2018/03/20/5302f545b04fee129a787fd002b3ca0f_FORMATO.png",70666,26,"COR","zag","Nulo",0,6.01,0,2.7,"Corinthians",NA,1,NA,NA,1,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"259","Luis Manuel Seijas Gunther","seijas","Seijas","https://s.glbimg.com/es/sde/f/2018/04/20/91a8e5439b7ee43f7646d5a702d383cb_FORMATO.png",70742,26,"INT","mei","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2018/03/01/0548d1925fd96270e520ea3b69e42e7b_FORMATO.png",70916,26,"PAL","lat","Nulo",0,9.09,0,3.24,"Palmeiras",6,24,NA,2,11,NA,NA,NA,31,22,7,NA,NA,2,NA,NA,NA,NA
"261","Rhayner Santos Nascimento","rhayner","Rhayner","https://s.glbimg.com/es/sde/f/2018/03/21/1c75f0c2bcf179c6d2dbb10dd5f8535f_FORMATO.png",70874,26,"VIT","ata","Nulo",0,7.69,0,2.97,"Vitória",5,25,10,7,22,1,NA,NA,33,23,NA,NA,NA,1,NA,NA,NA,NA
"262","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png",70360,26,"SAN","ata","Nulo",0,7.31,0,2.13,"Santos",1,17,1,7,21,1,1,NA,28,12,NA,NA,NA,3,8,NA,NA,NA
"263","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2018/08/03/f380d4813f712ab88644cb0ed0972599_FORMATO.png",80536,26,"CHA","ata","Provável",5.4,4.82,-0.06,4.63,"Chapecoense",NA,3,3,3,13,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA
"264","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2018/05/23/94f8a60d067a1f1b2253bc082aaa653e_FORMATO.png",70986,26,"SAN","mei","Nulo",0,7.97,0,2.18,"Santos",2,9,2,4,12,NA,NA,NA,3,13,NA,NA,NA,1,1,NA,NA,NA
"265","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2018/08/22/4263f96a54ea57b00b989a04f50f6ec3_FORMATO.png",70784,26,"SAO","ata","Provável",0,10.24,0,5.14,"São Paulo",3,12,2,9,21,NA,1,NA,21,26,NA,NA,NA,4,4,NA,NA,NA
"266","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2018/05/25/e26f5033484f9b036cf9109ee7829470_FORMATO.png",70925,26,"CEA","mei","Nulo",0,4.23,0,1.94,"Ceará",1,13,2,5,4,NA,2,NA,18,5,NA,NA,NA,NA,1,NA,NA,NA
"267","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,26,"SAN","mei","Nulo",1.2,10.46,-0.05,0.78,"Santos",NA,3,1,2,2,NA,NA,NA,8,NA,NA,NA,NA,1,2,NA,NA,NA
"268","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,26,"BAH","mei","Nulo",0,4.38,0,1.74,"Bahia",3,14,11,20,9,NA,2,NA,59,12,NA,NA,NA,1,3,NA,NA,1
"269","Wesley Pacheco Gomes","wesley-pacheco","Wesley Pacheco","https://s.glbimg.com/es/sde/f/2018/08/03/ea270ab009fd58368038d269b29192ba_FORMATO.png",71121,26,"AME","ata","Nulo",2.8,2.66,0.8,0.92,"América-MG",1,3,2,2,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"270","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,26,"CHA","lat","Nulo",0,5.16,0,2.93,"Chapecoense",1,4,NA,NA,10,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA
"271","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,26,"PAL","gol","Nulo",0,8.03,0,4.14,"Palmeiras",NA,NA,NA,NA,1,NA,NA,NA,6,NA,8,9,6,NA,NA,NA,NA,NA
