"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","I","PE","RB","CV","FT","GC","SG","DD","GS","PP","DP"
"196","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2018/03/01/1bfd94d7a93e4d5f7f21981109f79c87_FORMATO.png",86410,18,"PAL","lat","Provável",5.8,7.89,-0.08,3.73,"Palmeiras",NA,1,4,2,2,6,NA,NA,18,9,NA,NA,NA,3,NA,NA,NA,NA
"197","Bruno Gomes de Oliveira Conceição","bruno-gomes","Bruno Gomes","https://s.glbimg.com/es/sde/f/2018/07/10/f67ff2e9bd4eb7be0afc9c0c683d5e0f_FORMATO.png",86512,18,"VIT","ata","Provável",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Geremias Ribeiro Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2018/03/21/5ee8b76a0676e5e5eba8d8aefac91636_FORMATO.png",87946,18,"VIT","ata","Nulo",0,2.55,0,1.5,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"199","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2018/03/21/a77d395d25e1b65d85306670c5ae5c09_FORMATO.png",83772,18,"VIT","ata","Provável",1.2,12.03,-2.07,5.55,"Vitória",3,4,21,4,13,40,5,3,58,22,NA,1,NA,NA,NA,NA,NA,NA
"200","Matheus Rossetto","matheus-rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2018/05/08/036cf29144ee81b7e52eaed8486c6718_FORMATO.png",86766,18,"ATL","mei","Nulo",0,8.96,0,2.06,"Atlético-PR",NA,1,10,NA,3,4,1,2,21,15,NA,NA,NA,NA,NA,NA,NA,NA
"201","Lucas Macanhan Ferreira","lucas-macanhan","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,18,"ATL","gol","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png",86759,18,"GRE","ata","Nulo",0,16.24,0,5,"Grêmio",3,1,16,8,19,41,NA,3,46,12,NA,2,NA,NA,NA,NA,1,NA
"203","Luís Vinícius da Silva Matos","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/04/20/41282578700a83d0c3505f577dfbac5c_FORMATO.png",86861,18,"VIT","zag","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2018/05/07/074f3b8960ae6ea7711fa17be1c27cac_FORMATO.png",86797,18,"CRU","ata","Provável",0.3,6.26,0.07,2.65,"Cruzeiro",1,1,29,6,11,22,2,3,12,9,NA,NA,NA,NA,NA,NA,NA,NA
"205","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2018/05/18/2e439bad8d914c893045a080a41aee13_FORMATO.png",86711,18,"FLU","mei","Nulo",0,15.56,0,5.04,"Fluminense",1,3,21,5,3,25,1,NA,39,50,NA,NA,NA,NA,NA,NA,NA,NA
"206","Malcoon Silva","malcoon","Malcoon","https://s.glbimg.com/es/sde/f/2015/05/07/69c5d890c1338b62d5a46963c3c32ab1_FORMATO.jpeg",86615,18,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,18,"ATL","mei","Provável",3.2,3.58,0.88,1.73,"Atlético-MG",NA,2,23,1,2,10,NA,NA,30,25,NA,NA,NA,NA,NA,NA,NA,NA
"208","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2018/06/08/cba36b9e183d6b8a55c6361787adf089_FORMATO.jpeg",86740,18,"CEA","lat","Provável",7.5,4.97,1.4,3.71,"Ceará",NA,1,3,2,4,3,NA,NA,17,5,NA,NA,NA,4,NA,NA,NA,NA
"209","Reginaldo Lopes de Jesus","reginaldo","Reginaldo ","https://s.glbimg.com/es/sde/f/2018/07/20/591136c613faa29b99fb60147d6e557c_FORMATO.png",86820,18,"ATL","lat","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,18,"GRE","ata","Nulo",6.6,16.6,-1.64,8,"Grêmio",3,3,17,9,20,22,5,2,26,19,NA,2,NA,NA,NA,NA,NA,NA
"211","David Rambo Becker","david","David","https://s.glbimg.com/es/sde/f/2018/05/15/306200d24584eb1c79eb0ea0c0fb6cf9_FORMATO.png",86928,18,"PAR","gol","Nulo",0,0.73,0,-3.2,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,6,NA,NA
"212","Nathan Gomes de Melo","nathan","Nathan",NA,86951,18,"VAS","ata","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2018/07/20/c87125fb04d89c8e72a797a7b0ceeddb_FORMATO.png",86972,18,"INT","zag","Provável",0,3.65,0,7.2,"Internacional",NA,NA,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA
"214","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,18,"ATL","mei","Provável",3.9,4.93,0.69,2.55,"Atlético-MG",NA,NA,1,NA,1,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"215","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2018/04/24/ef12015cf94f9b6c7ab39c4b092ba4a4_FORMATO.png",87192,18,"INT","lat","Contundido",0,10.28,0,4.98,"Internacional",1,NA,6,1,2,5,NA,2,30,15,NA,NA,NA,5,NA,NA,NA,NA
"216","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,18,"GRE","lat","Provável",8.8,4.37,-0.14,6.34,"Grêmio",1,1,9,2,2,5,NA,NA,11,10,NA,NA,NA,3,NA,NA,NA,NA
"217","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/07/de5cc9b6be749402b257946886dea075_FORMATO.png",87393,18,"ATL","zag","Nulo",0,6.38,0,2.43,"Atlético-MG",NA,1,13,2,2,17,NA,NA,13,19,NA,1,1,2,NA,NA,NA,NA
"218","Eduardo Augusto Baptista Miguel","eduardo-baptista","Eduardo Baptista","https://s.glbimg.com/es/sde/f/2018/08/15/8ad55448bead75bb85b0810173e6b315_FORMATO.png",87211,18,"SPO","tec","Provável",0,9.04,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fd39c1e3c30b0a5e0900d4c03b66984_FORMATO.png",87225,18,"COR","zag","Nulo",0,5.52,0,2.68,"Corinthians",NA,3,6,1,3,7,NA,NA,12,8,NA,NA,NA,3,NA,NA,NA,NA
"220","Luiz Otávio da Silva Santos","luiz-otavio","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2018/05/24/e8b83c81c541dabe3a815f0473d550fa_FORMATO.png",86863,18,"CHA","zag","Nulo",0,4.05,0,1.37,"Chapecoense",NA,1,3,NA,1,NA,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,NA
"221","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,18,"GRE","zag","Nulo",0,13.09,0,7.73,"Grêmio",NA,3,13,1,2,18,NA,NA,10,34,1,NA,NA,7,NA,NA,NA,NA
"222","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2018/05/26/9ea86d3458c3893f6879083ccdfacc7f_FORMATO.png",87679,18,"SAO","ata","Nulo",9.7,6.83,0.74,2.6,"São Paulo",NA,NA,9,1,NA,3,3,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA
"223","Yago Felipe da Costa Rocha","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/21/54d2ff44a32a66affd7636aa9f2ae99f_FORMATO.png",87747,18,"VIT","mei","Provável",10.4,10.1,1.42,2.5,"Vitória",NA,3,15,5,9,28,1,1,26,16,1,NA,NA,NA,NA,NA,NA,NA
"224","Messias Rodrigues da Silva Júnior","messias","Messias","https://s.glbimg.com/es/sde/f/2018/05/07/983eb7f70f612711ba14e031cb3cfefe_FORMATO.png",87402,18,"AME","zag","Provável",-3.1,7.58,-1.87,2.6,"América-MG",NA,2,18,2,3,11,1,NA,35,18,NA,NA,NA,5,NA,NA,NA,NA
"225","Júnior Nazareno Sornoza Moreira","sornoza","Sornoza","https://s.glbimg.com/es/sde/f/2018/05/18/a4885adc809e017894786b603d5a5d6b_FORMATO.png",87877,18,"FLU","mei","Provável",4.9,8.45,0.69,2.51,"Fluminense",1,5,11,11,15,11,NA,NA,45,22,NA,1,NA,NA,NA,NA,NA,NA
"226","Antônio Francisco Moura Neto","neto-moura","Neto Moura","https://s.glbimg.com/es/sde/f/2018/05/24/af017e13e350ed632a40f953f3dd8d53_FORMATO.png",87742,18,"SPO","mei","Nulo",0,4.81,0,2.33,"Sport",NA,1,8,3,3,10,NA,NA,4,13,NA,NA,NA,NA,NA,NA,NA,NA
"227","Sergio Antonio Soler de Oliveira Junior","serginho","Serginho","https://s.glbimg.com/es/sde/f/2018/05/07/91dac514dd0507957d36fa511bb7b5e7_FORMATO.png",88002,18,"AME","mei","Nulo",0,16.58,0,5.34,"América-MG",3,1,17,6,8,14,4,1,30,11,NA,NA,NA,NA,NA,NA,NA,NA
"228","Paulo Ricardo Ferreira","paulo-ricardo","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2018/08/07/40535dad7f23b1a420480a49910c5680_FORMATO.png",88224,18,"FLU","zag","Nulo",0,4,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Carlos Henrique Alves Pereira","carlos-henrique","Carlos Henrique","https://s.glbimg.com/es/sde/f/2018/04/27/b4784a166a08e0a628c13b326e4216ef_FORMATO.png",87732,18,"SPO","ata","Provável",1,3.15,-1.25,1.45,"Sport",NA,1,5,3,3,17,2,6,14,1,NA,NA,NA,NA,NA,NA,NA,NA
"230","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2018/07/01/4bacaa8c6112be8345d4e81006963e37_FORMATO.png",87863,18,"CRU","mei","Suspenso",1.7,16.84,-0.45,7.93,"Cruzeiro",4,3,11,10,12,23,3,1,26,18,NA,1,NA,NA,NA,NA,NA,NA
"231","Ángel Rodrigo Romero Villamayor","angel-romero","Ángel Romero","https://s.glbimg.com/es/sde/f/2018/05/18/8b6faacdc8e5b7ca9a1b28fe294eb028_FORMATO.png",88323,18,"COR","ata","Nulo",0,11.14,0,7.45,"Corinthians",2,5,15,3,9,43,6,1,38,14,NA,NA,NA,NA,NA,NA,NA,NA
"232","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2018/01/30/1c8d05bc4c0ddfd177c66ab26b1a5deb_FORMATO.jpeg",87999,18,"PAL","mei","Dúvida",0.4,9.08,-0.37,2.23,"Palmeiras",NA,1,5,2,8,8,NA,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA
"233","Ramon Menezes Roma","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/03/21/64085a03b9eafec964b531667b296fe5_FORMATO.png",88087,18,"VIT","zag","Provável",-0.6,3.39,0.45,2.24,"Vitória",NA,3,19,2,3,11,1,NA,17,11,NA,NA,NA,3,NA,NA,NA,NA
"234","Ayrton Lucas Dantas de Medeiros","ayrton-lucas","Ayrton Lucas","https://s.glbimg.com/es/sde/f/2018/01/24/d014e65ab8d78668e270fb0df555b349_FORMATO.png",88393,18,"FLU","lat","Provável",4.9,10.17,0.1,4.3,"Fluminense",NA,1,9,NA,4,32,NA,NA,23,21,NA,NA,NA,2,NA,NA,NA,NA
"235","Yuri Antonio Costa da Silva","yuri","Yuri","https://s.glbimg.com/es/sde/f/2017/04/18/8bac23f3df250a620bd6c580564b33ee_FORMATO.png",88125,18,"BOT","lat","Nulo",0,1.71,0,4.9,"Botafogo",NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"236","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2018/07/06/65f406a6d6a65a0cb26e2f660026f8f3_FORMATO.png",88669,18,"CEA","ata","Provável",2.7,5.43,0.58,3.88,"Ceará",NA,1,4,3,2,8,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"237","Daniel Guedes da Silva","daniel-guedes","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2018/05/23/aa6709d5100218ac013a36959e8e6ce4_FORMATO.png",88225,18,"SAN","lat","Nulo",0,7.38,0,2.65,"Santos",NA,NA,2,NA,NA,1,NA,1,8,6,NA,NA,NA,1,NA,NA,NA,NA
"238","Jean Carlos de Souza Irmer","jean","Jean","https://s.glbimg.com/es/sde/f/2018/04/14/41df144dd9a7bef47baff80aaa56b97c_FORMATO.png",89150,18,"BOT","mei","Provável",-1.7,2.54,-1.19,2.57,"Botafogo",1,2,9,NA,1,11,NA,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA
"239","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2018/04/09/d543e86d4cdf1a286b62859a71407114_FORMATO.png",88368,18,"INT","mei","Nulo",0,3.57,0,1.4,"Internacional",NA,NA,5,NA,1,7,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA
"240","Lucas Perdomo Duarte Santos","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/28/e8c799411d6ba80da004148110333f35_FORMATO.png",88412,18,"VAS","mei","Nulo",0,3,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Judivan Flor da Silva","judivan","Judivan ","https://s.glbimg.com/es/sde/f/2018/03/30/c14127206b6ba0991e38bc6d98f405c4_FORMATO.png",89190,18,"AME","ata","Nulo",-1.6,2.55,-0.35,1.72,"América-MG",1,NA,10,6,4,6,NA,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"242","Ânderson Balbino Assis","balbino","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,18,"GRE","mei","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2018/05/17/abf9ba69358d2452db077b1bf905fa24_FORMATO.png",89493,18,"BOT","zag","Provável",3,10.97,-0.73,3.64,"Botafogo",NA,1,14,2,5,15,2,4,29,27,NA,NA,1,4,NA,NA,NA,NA
"244","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,18,"ATL","zag","Provável",-3.8,2.49,-1.1,0.48,"Atlético-MG",NA,1,8,1,NA,1,NA,NA,6,2,NA,NA,NA,1,NA,NA,NA,NA
"245","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2018/05/07/7d71b5fcfdd78c1cdddf4a15eff9200b_FORMATO.png",88423,18,"AME","lat","Nulo",0,4.36,0,2.83,"América-MG",1,6,17,NA,3,8,NA,NA,31,23,NA,NA,NA,3,NA,NA,NA,NA
"246","Leandro Vilela Sales Teixeira","leandro-vilela","Leandro Vilela","https://s.glbimg.com/es/sde/f/2018/03/21/9a68c6d8db51f7e6b517b1b536fcfece_FORMATO.png",88687,18,"PAR","mei","Provável",0,4.95,0,2.47,"Paraná",NA,4,28,1,7,21,NA,NA,32,31,NA,NA,NA,NA,NA,NA,NA,NA
"247","Gustavo Bonatto Barreto","barreto","Barreto","https://s.glbimg.com/es/sde/f/2018/08/01/eb32b1122051c363c367c115b252a941_FORMATO.png",89224,18,"CHA","mei","Suspenso",-5,0.77,-0.13,-4,"Chapecoense",NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"248","Luan Polli Gomes","luan-polli","Luan Polli ","https://s.glbimg.com/es/sde/f/2018/08/10/1306038e63aa5d939fba83b224eb91e1_FORMATO.png",88916,18,"SPO","gol","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Nickson Gabriel Reis Silva","nickson","Nickson","https://s.glbimg.com/es/sde/f/2018/03/21/adcd09b9b136e70edcb95ab81951f55b_FORMATO.png",89676,18,"VIT","mei","Contundido",0,2.08,0,1.6,"Vitória",NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"250","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,18,"BOT","gol","Provável",-2.3,1.15,-2.48,3.32,"Botafogo",NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2,5,4,NA,NA
"251","José Rodrigo Andrade Ramos","rodrigo-andrade","Rodrigo Andrade","https://s.glbimg.com/es/sde/f/2018/03/21/baa60af023a4a5978254d14457ae5de5_FORMATO.png",89646,18,"VIT","mei","Provável",1.4,1.02,-0.1,0.49,"Vitória",NA,4,12,1,1,6,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,NA
"252","Marlos Moreno Durán","marlos","Marlos","https://s.glbimg.com/es/sde/f/2018/05/04/71ca6ff6a0b867666327cb4eaa2cf01a_FORMATO.png",89827,18,"FLA","ata","Nulo",0.5,3.71,0.2,1.28,"Flamengo",1,2,10,3,3,11,NA,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA
"253","César Marcelo Meli","marcelo-meli","Marcelo Meli","https://s.glbimg.com/es/sde/f/2018/07/07/79d706cf00a68b31bd17a8ddd07eeb1d_FORMATO.png",89838,18,"VIT","mei","Nulo",2.1,4.44,0.64,-0.73,"Vitória",NA,2,9,1,2,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"254","Andrigo Oliveira de Araujo","andrigo","Andrigo","https://s.glbimg.com/es/sde/f/2018/04/09/eb909473a1499ceb91cd8c466f192cfd_FORMATO.png",89930,18,"SPO","mei","Nulo",0,4.61,0,1.23,"Sport",NA,NA,5,4,2,5,NA,1,15,4,NA,NA,NA,NA,NA,NA,NA,NA
"255","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,18,"CHA","lat","Provável",6.1,7.55,1.15,3.79,"Chapecoense",NA,4,24,NA,4,29,NA,NA,31,35,NA,NA,NA,4,NA,NA,NA,NA
"256","Bruno Bispo dos Anjos","bruno-bispo","Bruno Bispo","https://s.glbimg.com/es/sde/f/2018/03/21/99884c41754fc82c033d202d4decfad3_FORMATO.png",91359,18,"VIT","zag","Nulo",0,4.18,0,2.95,"Vitória",NA,1,3,NA,NA,1,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA
"257","Rodolfo José da Silva Bardella","rodolfo","Rodolfo ","https://s.glbimg.com/es/sde/f/2018/07/07/97e8214fa02bce9d631f1fa7e0c70734_FORMATO.png",90264,18,"PAR","ata","Provável",-1.2,5.32,-1.1,3.16,"Paraná",NA,1,6,4,5,13,1,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"258","Antônio Josenildo Rodrigues de Oliveira","tonhao","Tonhão","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,18,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2018/07/16/81051a7f9755f0cb82bad01aee38823b_FORMATO.png",90285,18,"SAN","ata","Provável",7.5,10.42,1.27,1.84,"Santos",1,2,20,1,12,17,1,3,16,10,NA,NA,1,NA,NA,NA,NA,NA
"260","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2018/04/20/9dae8b824d6d7c1a316a903af9b3740e_FORMATO.png",89883,18,"FLU","mei","Nulo",0,2.29,0,0.44,"Fluminense",NA,3,6,NA,NA,5,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA
"261","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2018/03/20/54a51f5d3bd850ab8a76126ee75399ed_FORMATO.png",90444,18,"BOT","lat","Provável",1.6,7.83,-0.19,5.14,"Botafogo",NA,1,18,3,3,15,NA,NA,25,31,NA,NA,NA,3,NA,NA,NA,NA
"262","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2018/05/18/9c8442508cec9bf9dc9f0af8f306e11b_FORMATO.png",90309,18,"CRU","ata","Provável",1.2,3.46,-0.17,0.48,"Cruzeiro",NA,1,4,2,1,9,NA,7,11,4,NA,NA,NA,NA,NA,NA,NA,NA
"263","Yuri Oliveira Lima","yuri","Yuri","https://s.glbimg.com/es/sde/f/2018/05/23/856314c68a6f7eba3ca8d400d6ad5828_FORMATO.png",90569,18,"SAN","mei","Nulo",0,4,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Jaílson Marques Siqueira","jailson","Jailson","https://s.glbimg.com/es/sde/f/2018/05/18/4e64b752d2f135b28900d7f530851452_FORMATO.png",90290,18,"GRE","mei","Provável",11.5,6.06,1.74,2.38,"Grêmio",NA,2,16,1,NA,7,1,NA,17,22,NA,NA,NA,NA,NA,NA,NA,NA
"265","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2018/05/24/b41364754f72c0d7c128f0767c8e8ca0_FORMATO.png",90768,18,"CHA","zag","Contundido",0,6,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2018/05/17/555bb7e98091372b0b633a3623d5b40d_FORMATO.png",90715,18,"BOT","mei","Provável",3.1,3.96,-0.22,1.31,"Botafogo",NA,3,5,4,10,19,NA,6,15,8,NA,NA,NA,NA,NA,NA,NA,NA
"267","Lincoln Henrique Oliveira dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/07/09/6f23fe4142820e492d8419c0b9de3f03_FORMATO.png",90303,18,"GRE","mei","Nulo",0,4,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Alex Sandro dos Santos Apolinario","alex","Alex","https://s.glbimg.com/es/sde/f/2018/05/08/b753c70507d39b4bd30ac8bc987d2fd6_FORMATO.png",90535,18,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Crysan da Cruz Queiroz Barcelos","crysan","Crysan","https://s.glbimg.com/es/sde/f/2018/07/16/c97cfd12cf2775988f29481bc61824a1_FORMATO.png",90406,18,"ATL","ata","Nulo",0,3.21,0,0.6,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"270","Leandro Alves de Carvalho","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/05/17/c707585981fdbf1f96e400538881eded_FORMATO.png",89885,18,"BOT","mei","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Elias Martello Curzel","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/18/914d44f55072f4eb554217f96488b7ae_FORMATO.png",90843,18,"VIT","gol","Nulo",0,3.21,0,0.98,"Vitória",NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,2,8,17,NA,1
"272","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2018/04/09/213245ee05c1b0ca97f32c728f20bd6b_FORMATO.png",90846,18,"INT","zag","Nulo",0,2.49,0,0.8,"Internacional",NA,NA,1,NA,2,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"273","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,18,"ATL","mei","Contundido",0,19.53,0,8.86,"Atlético-MG",4,4,20,10,5,4,NA,1,25,51,NA,3,NA,NA,NA,NA,NA,NA
"274","Thiago Rodrigues da Silva","thiago","Thiago","https://s.glbimg.com/es/sde/f/2018/05/04/d4092dd23800a9822421cf2f4c434434_FORMATO.png",91194,18,"FLA","gol","Nulo",0,4,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Fernando José Marques Maciel","fernandinho","Fernandinho","https://s.glbimg.com/es/sde/f/2018/06/05/50d5be5e02ead78433958ab1d1389752_FORMATO.png",91130,18,"BAH","ata","Nulo",0,1.56,0,0.35,"Bahia",NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Flávio Medeiros da Silva","flavio","Flávio","https://s.glbimg.com/es/sde/f/2018/05/01/3c063c1b3d589634d699c80695341bff_FORMATO.png",91102,18,"BAH","mei","Nulo",3.2,3.35,0.53,1.91,"Bahia",NA,2,5,1,1,6,NA,NA,4,12,NA,NA,NA,NA,NA,NA,NA,NA
