"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","FD","FF","FT","A","GC","I","DD","GS","PP","DP","CV"
"205","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,23,"PAR","gol","Nulo",0,7.57,0,5.23,"Paraná",NA,1,1,NA,5,NA,4,NA,NA,NA,NA,NA,NA,18,11,NA,1,NA
"206","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,23,"BOT","mei","Provável",5.1,10.06,0.12,4.37,"Botafogo",3,22,25,4,47,29,NA,5,14,NA,2,NA,2,NA,NA,NA,NA,NA
"207","Cléber Janderson Pereira Reis","cleber-reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2018/04/24/69768a9bda3441e7a742ff9d70ba8d95_FORMATO.png",72376,23,"PAR","zag","Contundido",0,7.13,0,4.12,"Paraná",1,7,9,NA,22,27,3,1,4,1,NA,NA,2,NA,NA,NA,NA,1
"208","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/08/15/df43aeed005a5668d32e3104263e2119_FORMATO.png",72386,23,"SPO","ata","Provável",0,4.93,0,3.5,"Sport",1,10,17,NA,11,5,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"209","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,23,"FLA","mei","Nulo",0,9.23,0,3.43,"Flamengo",4,35,8,NA,24,59,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,3
"210","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,23,"PAL","gol","Dúvida",0,7.64,0,4.4,"Palmeiras",NA,NA,1,NA,4,NA,7,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA
"211","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2018/08/03/5d359eca3a79a4be9605f9758a7d0144_FORMATO.png",71684,23,"PAL","zag","Provável",0,8.8,0,5.13,"Palmeiras",1,3,5,NA,6,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,23,"SPO","mei","Contundido",-0.1,6.28,-1.06,3.07,"Sport",1,18,33,3,47,20,NA,7,9,1,1,NA,3,NA,NA,NA,NA,NA
"213","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,23,"CEA","tec","Provável",2.52,7.42,-0.66,3.82,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,23,"GRE","zag","Provável",10.1,11.06,1.5,5.29,"Grêmio",1,19,10,1,20,21,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,23,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,23,"SAO","zag","Provável",4.2,10.54,0.39,4.31,"São Paulo",4,22,11,1,15,22,7,3,2,1,NA,NA,3,NA,NA,NA,NA,NA
"217","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,23,"SPO","ata","Dúvida",0.3,8.25,-1.47,3.05,"Sport",NA,20,34,2,22,7,NA,11,21,NA,2,NA,8,NA,NA,NA,NA,1
"218","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/04/09/a194ce2c097d00d462468c507706916a_FORMATO.png",73635,23,"VAS","ata","Contundido",0,2.99,0,0.1,"Vasco",1,1,8,NA,8,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"219","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/03/21/80a060ad2737a4abce46a048d853c93e_FORMATO.png",79887,23,"INT","lat","Dúvida",-0.3,8.08,-0.81,3.82,"Internacional",3,12,1,NA,37,16,8,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"220","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,23,"PAL","zag","Nulo",5.9,8.61,0.35,3.17,"Palmeiras",4,15,6,1,20,11,6,3,3,2,NA,NA,1,NA,NA,NA,NA,NA
"221","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,23,"CEA","lat","Provável",-1.6,3.54,-1.54,2.15,"Ceará",4,21,24,NA,23,12,3,NA,2,1,1,NA,1,NA,NA,NA,NA,1
"222","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,23,"CRU","mei","Provável",0,4.82,0,1.88,"Cruzeiro",4,27,15,NA,27,28,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/04/09/abd9b0f5946442941bcc7ff393a5eee9_FORMATO.png",80196,23,"VAS","lat","Provável",1.5,17.57,0.14,7.58,"Vasco",1,11,69,7,42,20,3,22,16,1,1,NA,7,NA,NA,NA,NA,NA
"224","Odair Souza ","nenen","Nenén","https://s.glbimg.com/es/sde/f/2018/05/24/42f440f0883376df8bb747b658bbc47d_FORMATO.png",79892,23,"CHA","mei","Nulo",0,2.08,0,0.1,"Chapecoense",NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Diego Vicente Aguirre Camblor","diego-aguirre","Diego Aguirre","https://s.glbimg.com/es/sde/f/2018/05/26/dcbc37c3f6682ed7f7fe61f97e02ff48_FORMATO.png",73766,23,"SAO","tec","Provável",1.48,12.06,-0.15,4.81,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/01/21/0c060ebb8aea4462398eb955f393f2b5_FORMATO.png",80129,23,"FLU","mei","Nulo",0,7.69,0,2.02,"Fluminense",5,27,27,NA,56,34,NA,5,6,1,1,NA,1,NA,NA,NA,NA,NA
"227","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/05/17/76f9aa43f58c549a5956db25ad0804f3_FORMATO.png",80080,23,"BOT","ata","Nulo",0,5.26,0,2.35,"Botafogo",2,12,23,1,13,9,NA,5,5,NA,NA,NA,2,NA,NA,NA,NA,NA
"228","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,23,"BOT","mei","Contundido",0,3.8,0,1.67,"Botafogo",1,2,5,NA,9,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"229","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2018/03/21/5c1c52f3afc41a4404dd7b1c888f2124_FORMATO.png",80189,23,"BAH","zag","Provável",5.9,7.63,1.07,2.41,"Bahia",4,13,20,NA,41,16,6,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"230","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,23,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"231","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,23,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,12,5,NA,4,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Marcos Junio Lima dos Santos","marcos-junior","Marcos Junior","https://s.glbimg.com/es/sde/f/2018/01/21/9e2b3f7cad84245a7922f06c4731bcc0_FORMATO.png",80188,23,"FLU","ata","Nulo",0.6,6.22,-0.03,2.83,"Fluminense",NA,11,22,2,20,9,NA,5,4,NA,2,NA,6,NA,NA,NA,NA,NA
"233","Matheus Caldeira Vidotto de Oliveira","matheus-vidotto","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,23,"COR","gol","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,23,"VIT","ata","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Nadson da Silva Almeida","nadson","Nadson","https://s.glbimg.com/es/sde/f/2018/07/13/57fe46961f3ba57ecb2e3e6368babd92_FORMATO.png",80140,23,"PAR","mei","Provável",2.7,2.49,-0.08,1.75,"Paraná",1,8,20,NA,26,10,NA,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"236","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/11/59b9a2e2576d1e0ad1c80d50c7478422_FORMATO.png",80193,23,"ATL","ata","Nulo",0,3.36,0,2.3,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2018/07/05/1283cc320b56be7f4661388346c1aeba_FORMATO.png",80287,23,"FLU","ata","Provável",4.4,5.03,0.44,2.08,"Fluminense",NA,1,4,NA,2,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2018/05/18/579600b8688378c79b2d26c49843ed6e_FORMATO.png",80318,23,"CRU","lat","Provável",-0.8,3.21,-0.33,1.3,"Cruzeiro",3,8,9,NA,18,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,23,"CHA","mei","Provável",-0.4,7.11,-0.01,2.15,"Chapecoense",2,30,18,2,93,31,NA,3,5,1,2,NA,NA,NA,NA,NA,NA,NA
"240","Gilsivan Soares da Silva ","ivan","Ivan","https://s.glbimg.com/es/sde/f/2018/05/24/1c2dd303026c2e02bbed35cfb1595918_FORMATO.png",80326,23,"CHA","gol","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Edson Felipe da Cruz","edson","Edson","https://s.glbimg.com/es/sde/f/2018/03/21/4e079be2718f82735191cef518c39bb2_FORMATO.png",80370,23,"BAH","mei","Nulo",0,5.75,0,4.03,"Bahia",NA,3,7,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,23,"CRU","mei","Provável",4.1,4.71,0.3,1.56,"Cruzeiro",6,15,8,NA,24,25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/04/09/849b6dffedf69d16c97188a32027f6a9_FORMATO.png",73936,23,"VAS","mei","Provável",-0.6,7.38,-0.6,2.82,"Vasco",2,28,15,NA,46,50,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,1
"244","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,23,"FLA","ata","Nulo",0,4.2,0,1.54,"Flamengo",2,6,1,NA,7,7,NA,3,1,NA,1,NA,1,NA,NA,NA,NA,NA
"245","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,23,"PAR","zag","Provável",-1,2.65,-0.4,1.66,"Paraná",5,19,13,NA,13,19,1,1,6,NA,NA,NA,2,NA,NA,NA,NA,NA
"246","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/01/21/d231b19c8df41a4d02546bee8dad040b_FORMATO.png",80313,23,"FLU","lat","Nulo",0,9.49,0,6.68,"Fluminense",3,20,17,3,41,34,6,4,7,NA,2,NA,1,NA,NA,NA,NA,1
"247","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,23,"SAO","zag","Nulo",0,12.76,0,6.55,"São Paulo",NA,2,1,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,23,"GRE","zag","Provável",5.3,15.98,-0.11,7.75,"Grêmio",1,6,3,NA,13,35,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Guilherme Costa Machado Silveira","guilherme-costa","Guilherme Costa","https://s.glbimg.com/es/sde/f/2018/03/21/4f92ef0e30740bc3960607bec48d3c00_FORMATO.png",74081,23,"VIT","mei","Nulo",0,2.27,0,0.72,"Vitória",1,8,10,NA,4,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,23,"BAH","mei","Nulo",0,5.86,0,2.93,"Bahia",6,8,26,1,35,15,NA,13,1,NA,3,NA,3,NA,NA,NA,NA,NA
"251","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,23,"BAH","ata","Nulo",0,7.7,0,3.17,"Bahia",NA,17,20,3,17,8,NA,3,8,1,NA,NA,2,NA,NA,NA,NA,NA
"252","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/07/31/54b0bc918aaff0a49aeaae58c6000507_FORMATO.png",81241,23,"VAS","zag","Contundido",0,4.07,0,0.7,"Vasco",1,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"253","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2018/05/24/5d4936df04558a01a5eb71077e02edd5_FORMATO.png",80944,23,"SPO","mei","Dúvida",0,8.4,0,2.83,"Sport",1,7,29,2,58,9,NA,11,14,NA,3,NA,2,NA,NA,NA,NA,NA
"254","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,23,"PAL","mei","Nulo",0,7.89,0,2.23,"Palmeiras",NA,5,1,1,7,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/08/14/11a728603cfca7e8c71e3fadccee1148_FORMATO.png",75295,23,"INT","ata","Suspenso",0,11.23,0,3.9,"Internacional",NA,9,10,1,4,3,NA,3,5,NA,1,NA,2,NA,NA,NA,NA,NA
"256","Vinícius Freitas Ribeiro","vinicius-freitas","Vinícius Freitas","https://s.glbimg.com/es/sde/f/2018/03/02/3a7c7444601af167011a0fbe974ab8d6_FORMATO.png",81537,23,"CHA","lat","Contundido",0,3.74,0,3.08,"Chapecoense",1,1,NA,NA,4,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"257","Maximiliano Lélis Rodrigues","max","Max","https://s.glbimg.com/es/sde/f/2018/04/12/1bea2ecbf982db610ebf063ccfac89ff_FORMATO.png",80895,23,"SPO","zag","Nulo",0,1.78,0,1.2,"Sport",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,23,"PAL","lat","Nulo",9,7.11,0.78,4.12,"Palmeiras",2,16,2,NA,9,17,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"259","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2018/04/12/c30228fd68db0c7f81326317ddc62ba6_FORMATO.png",74074,23,"SPO","lat","Provável",-0.3,3.66,-0.52,2.36,"Sport",4,27,17,2,37,9,2,4,8,NA,1,NA,2,NA,NA,NA,NA,NA
"260","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2018/07/24/c9cda271bd6eed85cf205a243d3d2912_FORMATO.png",81677,23,"SAN","mei","Contundido",0,11.56,0,4.85,"Santos",NA,12,13,NA,17,8,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA
"261","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,23,"SAN","ata","Dúvida",2.2,8.71,-0.46,4.9,"Santos",2,8,4,1,4,4,NA,2,1,NA,3,NA,1,NA,NA,NA,NA,NA
"262","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,23,"BOT","zag","Provável",0,4.23,0,3.12,"Botafogo",NA,3,1,NA,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2018/08/29/ccbb091bbf9cc1637cc7e4a75a9b5d9f_FORMATO.png",81091,23,"SPO","mei","Nulo",0,3,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2018/05/07/2952d9583a363deaf38934dd9c4cd382_FORMATO.png",81682,23,"ATL","mei","Provável",3.2,10.24,0.53,3.87,"Atlético-MG",1,14,5,3,72,19,NA,10,18,NA,3,NA,NA,NA,NA,NA,NA,NA
"265","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2018/07/11/458954576596e510c2e5c6668d407c5b_FORMATO.png",81776,23,"ATL","mei","Contundido",5,3.37,0.93,1.56,"Atlético-PR",1,4,7,NA,6,6,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"266","Andrés Lorenzo Ríos","andres-rios","Andrés Ríos","https://s.glbimg.com/es/sde/f/2018/04/09/a213504115cbd52377112523e461faa7_FORMATO.png",81684,23,"VAS","ata","Nulo",-1.1,6.34,-0.58,2.65,"Vasco",4,42,33,5,28,9,NA,6,6,1,1,NA,2,NA,NA,1,NA,NA
"267","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2018/03/21/ffe95cb4c3f0bed01a941972e52ec9ed_FORMATO.png",81798,23,"INT","ata","Nulo",0,4.28,0,2.12,"Internacional",2,10,18,1,15,8,NA,3,2,1,2,NA,NA,NA,NA,1,NA,NA
"268","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,23,"GRE","mei","Provável",2.2,6.82,-0.68,2.67,"Grêmio",NA,6,18,1,21,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","José Henrique da Silva Dourado","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2018/05/04/d9413dcc3e693b62854a22d1a1f58501_FORMATO.png",81905,23,"FLA","ata","Nulo",0,9.35,0,1.45,"Flamengo",5,26,26,4,11,3,NA,2,9,NA,NA,NA,6,NA,NA,NA,NA,1
"270","Osman de Menezes Venâncio Junior","osman","Osman","https://s.glbimg.com/es/sde/f/2018/05/24/3d7f1fd9657bef546dec60dda0555868_FORMATO.png",81898,23,"CHA","ata","Nulo",0,3.25,0,1.91,"Chapecoense",1,6,6,1,10,5,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Adilson dos Anjos Oliveira","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/07/a121caba22a2560ebe0698009aa2a45f_FORMATO.png",82381,23,"AME","mei","Dúvida",-1.6,7.83,-1.2,3.35,"América-MG",3,27,22,2,55,49,NA,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA
"272","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2018/05/07/ed2c39f18fe6fdbf2db79d29a7d46eae_FORMATO.png",81881,23,"AME","gol","Provável",1,6.9,-0.33,5.34,"América-MG",NA,NA,1,NA,13,NA,5,NA,NA,NA,NA,NA,NA,26,16,NA,1,NA
"273","José Rafael Vivian","ze-rafael","Zé Rafael ","https://s.glbimg.com/es/sde/f/2018/05/12/09a8cb904cc431ca446de5378e6cde58_FORMATO.png",82455,23,"BAH","mei","Provável",4.3,18.59,-0.73,6.74,"Bahia",4,37,71,2,51,46,NA,21,23,3,1,NA,3,NA,NA,NA,NA,NA
"274","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2018/05/17/2b140006a6546ccb3c5fbb067a9e8b93_FORMATO.png",82634,23,"ATL","mei","Nulo",-2,2.8,-0.39,1.17,"Atlético-MG",4,14,15,1,29,10,NA,4,5,NA,1,NA,1,NA,NA,NA,NA,1
"275","Thales Natanael Lira de Matos","thales","Thales ","https://s.glbimg.com/es/sde/f/2018/04/09/2db919a21f74604ec39c31b47a427a70_FORMATO.png",82626,23,"INT","zag","Contundido",0,4,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Calyson Rubens Santiago Rosa","calyson","Calyson","https://s.glbimg.com/es/sde/f/2018/07/15/1f150f4d934c5bea8831eafc53efaf4e_FORMATO.png",82630,23,"CEA","mei","Provável",1.5,1.94,0.02,0.84,"Ceará",2,6,9,NA,8,4,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Jesiel Cardoso Miranda","jesiel","Jesiel","https://s.glbimg.com/es/sde/f/2018/09/04/066878121bb8ec7d92bfe8b8489262de_FORMATO.png",91156,23,"PAR","zag","Dúvida",0.3,3.06,-0.21,1.55,"Paraná",2,9,3,NA,11,11,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Rafael Thyere Albuquerque Marques","rafael-thyere","Rafael Thyere","https://s.glbimg.com/es/sde/f/2018/05/24/918318ba9c18b6913e11cb5688852591_FORMATO.png",83048,23,"CHA","zag","Provável",-0.3,3.98,-1.32,2.67,"Chapecoense",5,12,10,1,30,25,5,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"279","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2018/03/17/e5c923c2884a22666c9fa588105d9986_FORMATO.png",82939,23,"AME","mei","Contundido",0,4.04,0,1.82,"América-MG",NA,3,19,1,43,3,NA,4,4,1,1,NA,NA,NA,NA,NA,NA,NA
"280","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/23/867503e41e09367e5f12e0f5e8a10322_FORMATO.png",83257,23,"SAN","ata","Provável",-1,13.54,-3.57,5.72,"Santos",1,23,34,10,58,17,NA,9,25,NA,1,NA,14,NA,NA,NA,NA,NA
"281","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,23,"ATL","gol","Contundido",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Marcelo Hermes","marcelo-hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2018/05/07/bedbd7a85b9260c4086c631ade9244cd_FORMATO.png",82639,23,"CRU","lat","Nulo",5,4.58,0.94,1.98,"Cruzeiro",3,11,8,NA,33,18,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Jean Roberto Souza da Silva","jean-roberto","Jean Roberto","https://s.glbimg.com/es/sde/f/2018/08/03/a07616383dec21597806430f34779a1d_FORMATO.png",83204,23,"CHA","mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Maurício Nogueira Barbieri","mauricio-barbieri","Maurício Barbieri","https://s.glbimg.com/es/sde/f/2018/05/04/7e25588c269efbad7eeebc8cacae8c11_FORMATO.png",82792,23,"FLA","tec","Provável",3.47,14.04,0.12,5.19,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
