"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","CA","FT","G","I","SG","GC","DD","GS","CV","PP","DP"
"205","Wesley Pacheco Gomes","wesley-pacheco","Wesley Pacheco","https://s.glbimg.com/es/sde/f/2018/08/03/ea270ab009fd58368038d269b29192ba_FORMATO.png",71121,35,"AME","ata","Nulo",0,2.38,0,0.88,"América-MG",4,2,2,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Alexander Baumjohann","alex-baumjohann","Alex Baumjohann","https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png",71389,35,"VIT","mei","Nulo",0,1.65,0,-0.1,"Vitória",5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,35,"BAH","mei","Nulo",-2.3,4.54,-0.6,1.94,"Bahia",15,11,23,13,66,12,1,4,NA,4,3,NA,NA,NA,NA,NA,1,NA
"208","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png",71549,35,"VAS","ata","Provável",5.7,5.99,0.38,1.93,"Vasco",7,5,4,12,16,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"209","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,35,"PAR","gol","Provável",0,3.58,0,1.5,"Paraná",1,NA,NA,6,5,NA,NA,3,NA,NA,NA,1,NA,32,33,NA,NA,NA
"210","Andrés Lorenzo Ríos","andres-rios","Andrés Ríos","https://s.glbimg.com/es/sde/f/2018/09/27/342168a972e60f06f0487b203e892011_FORMATO.png",81684,35,"VAS","ata","Dúvida",2.7,7.18,-0.27,2.96,"Vasco",50,10,11,48,47,19,1,4,1,6,3,NA,NA,NA,NA,NA,1,NA
"211","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2018/05/08/8c609625e5588e4ad1fdcd2a6c478284_FORMATO.png",71479,35,"ATL","mei","Provável",0,4.4,0,1.12,"Atlético-PR",24,5,4,6,52,34,1,4,NA,NA,4,NA,NA,NA,NA,1,NA,NA
"212","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/05/08/b49a52f81f691127e1693a8fc8a73d1b_FORMATO.png",71571,35,"VAS","gol","Provável",-4.3,5.43,-1.32,2.77,"Vasco",NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,2,NA,16,16,NA,NA,1
"213","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2018/09/03/366221777b27d47b3dd23d5c81443e9c_FORMATO.png",78856,35,"SPO","mei","Provável",1.2,4.15,0.26,2.06,"Sport",24,NA,2,11,28,28,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,35,"PAL","mei","Dúvida",0,8.51,0,4.26,"Palmeiras",59,2,5,25,31,72,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA
"215","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,35,"PAL","gol","Provável",0.7,8.18,-0.56,3.92,"Palmeiras",NA,NA,NA,1,11,NA,NA,1,NA,NA,NA,10,NA,19,12,NA,NA,NA
"216","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,35,"INT","mei","Provável",-1.1,9.98,-1.13,3.22,"Internacional",70,4,2,28,49,93,1,11,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"217","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,35,"VIT","gol","Provável",1.7,2.02,-0.44,3.35,"Vitória",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA
"218","Gabriel Rybar Blos","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/18/d0b143443c7fe342de877afaff95bb91_FORMATO.png",71572,35,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2018/08/03/5d359eca3a79a4be9605f9758a7d0144_FORMATO.png",71684,35,"PAL","zag","Provável",0,10.81,0,5.95,"Palmeiras",11,1,1,13,17,16,NA,3,NA,2,1,8,NA,NA,NA,NA,NA,NA
"220","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2018/08/29/0bedcd75702ef7ed90afd2825f1f57c9_FORMATO.jpeg",71882,35,"CEA","gol","Nulo",0,3.23,0,5.5,"Ceará",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"221","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,35,"CHA","ata","Provável",2,7.35,0.17,3.42,"Chapecoense",50,18,28,39,20,18,NA,4,3,7,18,NA,NA,NA,NA,1,NA,NA
"222","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,35,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,35,"BAH","mei","Nulo",0,8.7,0,2.89,"Bahia",69,5,10,11,40,64,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,35,"CEA","ata","Contundido",0,6.97,0,4.45,"Ceará",19,8,12,22,26,8,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA
"225","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,35,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",3,1,2,1,4,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"226","Fabiano da Silva Souza","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/09/04/dd622172f30483dda8563ef9249cdae1_FORMATO.png",79244,35,"VIT","lat","Dúvida",2.4,6.17,0.35,3.31,"Vitória",22,NA,2,5,35,19,1,2,1,1,NA,2,NA,NA,NA,NA,NA,NA
"227","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,35,"PAR","ata","Dúvida",0,6.94,0,2.91,"Paraná",33,18,23,59,78,27,NA,2,1,3,1,NA,NA,NA,NA,1,NA,NA
"228","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,35,"SAN","zag","Nulo",0,2.85,0,2.33,"Santos",12,NA,2,9,12,9,NA,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA
"229","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,35,"GRE","mei","Provável",2.2,4.55,0.31,4.06,"Grêmio",7,NA,2,4,19,23,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"230","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,35,"INT","zag","Provável",-0.3,16.84,-0.92,6.17,"Internacional",45,3,4,36,62,88,2,10,NA,2,3,14,NA,NA,NA,1,NA,NA
"231","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,35,"AME","zag","Nulo",0,3.14,0,4.7,"América-MG",1,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,35,"VAS","mei","Provável",-2.9,6.26,-1.65,2.55,"Vasco",23,5,5,24,52,16,2,5,2,3,1,NA,NA,NA,NA,NA,NA,NA
"233","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,35,"BAH","zag","Nulo",3.4,8.56,-1.54,4.06,"Bahia",27,5,9,16,40,29,NA,3,NA,2,2,5,NA,NA,NA,NA,NA,NA
"234","Joeliton Lima Santos","mansur","Mansur","https://s.glbimg.com/es/sde/f/2018/03/21/58740180fa39ea528e64aa42ba67215c_FORMATO.png",79553,35,"PAR","lat","Contundido",0,5.04,0,1.01,"Paraná",26,3,4,10,48,14,NA,3,1,NA,NA,4,NA,NA,NA,1,NA,NA
"235","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,35,"CEA","ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,35,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"237","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,35,"CEA","mei","Provável",4.4,6.01,-0.04,3.59,"Ceará",25,7,10,10,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,35,"CHA","zag","Nulo",0,4.32,0,1.1,"Chapecoense",6,NA,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,35,"CRU","mei","Nulo",0,4.63,0,2.25,"Cruzeiro",33,2,11,22,42,40,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,35,"AME","lat","Nulo",-0.3,7.85,-0.37,3.98,"América-MG",14,5,12,15,39,30,NA,3,NA,3,3,6,NA,NA,NA,NA,NA,NA
"241","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/03/21/80a060ad2737a4abce46a048d853c93e_FORMATO.png",79887,35,"INT","lat","Provável",0,8.33,0,2.73,"Internacional",21,1,4,5,51,29,1,6,NA,NA,NA,10,1,NA,NA,NA,NA,NA
"242","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,35,"PAL","zag","Nulo",-1.2,7.28,-0.1,2.74,"Palmeiras",18,3,4,11,33,17,1,5,2,1,1,6,NA,NA,NA,NA,NA,NA
"243","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,35,"CRU","ata","Nulo",1.2,2.24,0.5,1.06,"Cruzeiro",28,1,10,19,6,5,NA,4,NA,2,7,NA,NA,NA,NA,NA,NA,NA
"244","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,35,"COR","lat","Provável",5.4,6.8,-0.33,2.46,"Corinthians",42,8,8,19,63,21,1,1,1,1,3,4,1,NA,NA,NA,NA,NA
"245","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,35,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Odair Souza ","nenen","Nenén","https://s.glbimg.com/es/sde/f/2018/05/24/42f440f0883376df8bb747b658bbc47d_FORMATO.png",79892,35,"CHA","mei","Nulo",0,2.08,0,0.1,"Chapecoense",1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,35,"GRE","lat","Provável",4.9,14.73,0.7,5.16,"Grêmio",32,1,1,28,52,41,NA,3,NA,NA,2,16,NA,NA,NA,NA,NA,NA
"248","Edson Felipe da Cruz","edson","Edson","https://s.glbimg.com/es/sde/f/2018/03/21/4e079be2718f82735191cef518c39bb2_FORMATO.png",80370,35,"BAH","mei","Nulo",0,5.82,0,3.52,"Bahia",3,NA,NA,7,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,35,"CEA","gol","Provável",8,12.81,0.62,5.86,"Ceará",1,NA,2,9,12,1,NA,3,NA,1,NA,10,NA,64,33,NA,NA,NA
"250","Nadson da Silva Almeida","nadson","Nadson","https://s.glbimg.com/es/sde/f/2018/07/13/57fe46961f3ba57ecb2e3e6368babd92_FORMATO.png",80140,35,"PAR","mei","Nulo",0,2.38,0,2.23,"Paraná",9,8,5,26,36,13,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"251","Marcos Junio Lima dos Santos","marcos-junior","Marcos Junior","https://s.glbimg.com/es/sde/f/2018/09/20/ff2dc345ff18c0761a0ddbd4e2edef76_FORMATO.png",80188,35,"FLU","ata","Dúvida",0.5,6.21,0.08,2.58,"Fluminense",12,9,7,32,33,14,3,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA
"252","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2018/07/05/1283cc320b56be7f4661388346c1aeba_FORMATO.png",80287,35,"FLU","ata","Provável",1.2,5.79,0.32,3.46,"Fluminense",15,10,10,20,22,9,1,2,NA,3,5,NA,NA,NA,NA,NA,NA,NA
"253","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,35,"VAS","lat","Provável",3.1,17.65,0.57,6.66,"Vasco",19,26,24,95,61,26,2,3,2,9,9,5,NA,NA,NA,1,NA,NA
"254","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/05/17/76f9aa43f58c549a5956db25ad0804f3_FORMATO.png",80080,35,"BOT","ata","Provável",-0.1,4.76,0.29,1.47,"Botafogo",37,6,7,33,22,12,NA,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA
"255","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/11/59b9a2e2576d1e0ad1c80d50c7478422_FORMATO.png",80193,35,"ATL","ata","Nulo",0,2.48,0,0.48,"Atlético-MG",1,NA,1,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2018/03/21/5c1c52f3afc41a4404dd7b1c888f2124_FORMATO.png",80189,35,"BAH","zag","Provável",0,7.02,0,2.34,"Bahia",19,2,5,25,61,24,NA,6,1,NA,NA,10,NA,NA,NA,NA,NA,NA
"257","Matheus Caldeira Vidotto de Oliveira","matheus-vidotto","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,35,"COR","gol","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2018/05/18/579600b8688378c79b2d26c49843ed6e_FORMATO.png",80318,35,"CRU","lat","Nulo",0,4.49,0,2.17,"Cruzeiro",22,NA,NA,17,26,19,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"259","Gilsivan Soares da Silva ","ivan","Ivan","https://s.glbimg.com/es/sde/f/2018/05/24/1c2dd303026c2e02bbed35cfb1595918_FORMATO.png",80326,35,"CHA","gol","Nulo",0,1.21,0,-2,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,35,"FLU","lat","Contundido",0,9.49,0,6.68,"Fluminense",20,4,7,17,41,34,2,3,NA,3,1,6,NA,NA,NA,1,NA,NA
"261","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,35,"CRU","mei","Provável",5.9,5.74,1.03,2.93,"Cruzeiro",24,NA,3,20,39,52,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Norberto Pereira Marinho Neto","norberto","Norberto ","https://s.glbimg.com/es/sde/f/2018/05/07/f4e6cde34ab5662df2e3a0a657c5c30b_FORMATO.png",80374,35,"AME","lat","Provável",4.9,10.25,0.43,3.93,"América-MG",23,5,1,17,27,36,2,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA
"263","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2018/08/03/f380d4813f712ab88644cb0ed0972599_FORMATO.png",80536,35,"CHA","ata","Nulo",0,4.22,0,3.9,"Chapecoense",6,3,3,16,5,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2018/03/20/612e75f9bc41ddd0a161e522aaee90ef_FORMATO.png",80395,35,"BOT","mei","Nulo",-0.3,4.23,-0.05,1.71,"Botafogo",7,6,3,16,16,15,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"265","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2018/06/01/b5bd22d1ec76e9e69427e3be73aadced_FORMATO.png",80393,35,"CEA","mei","Nulo",0,3.32,0,1.84,"Ceará",10,NA,3,12,21,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Fernando José da Cunha Neto","fernando-neto","Fernando Neto","https://s.glbimg.com/es/sde/f/2018/09/18/76d312b906b38b6d19ba0876493c1a51_FORMATO.png",80667,35,"FLU","mei","Nulo",0,2.1,0,2.2,"Fluminense",1,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Luiz Gustavo Tavares Conde","luiz-gustavo","Luiz Gustavo","https://s.glbimg.com/es/sde/f/2018/09/27/b551a9e8e890e361540470d7d707da03_FORMATO.png",80573,35,"VAS","zag","Nulo",0,5.77,0,2.83,"Vasco",22,1,8,26,52,41,NA,5,NA,NA,1,5,1,NA,NA,NA,NA,NA
"268","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,35,"GRE","zag","Provável",10.5,16.95,0.43,7.43,"Grêmio",11,3,6,8,29,56,NA,2,NA,2,1,8,NA,NA,NA,NA,NA,NA
"269","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,35,"PAL","zag","Provável",0,7.67,0,4.85,"Palmeiras",18,2,NA,14,29,27,NA,6,NA,1,1,10,NA,NA,NA,1,NA,NA
"270","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,35,"PAL","gol","Nulo",0,11.78,0,4.33,"Palmeiras",NA,NA,NA,NA,11,NA,NA,2,NA,NA,NA,5,NA,24,11,1,NA,NA
"271","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,35,"CEA","zag","Provável",4.2,8.74,0.59,3.75,"Ceará",20,1,6,8,23,48,1,7,NA,1,NA,9,NA,NA,NA,NA,NA,NA
"272","Maximiliano Lélis Rodrigues","max","Max","https://s.glbimg.com/es/sde/f/2018/04/12/1bea2ecbf982db610ebf063ccfac89ff_FORMATO.png",80895,35,"SPO","zag","Contundido",0,1.78,0,1.2,"Sport",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2018/05/24/5d4936df04558a01a5eb71077e02edd5_FORMATO.png",80944,35,"SPO","mei","Nulo",0.8,8.03,-0.14,2.55,"Sport",7,12,19,34,72,13,3,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"274","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2018/03/01/8596087ee3b876941e59b282b29cfcb2_FORMATO.png",80583,35,"PAL","mei","Nulo",0,7.81,0.02,3.14,"Palmeiras",52,5,12,44,69,44,3,8,1,5,3,NA,NA,NA,NA,NA,NA,NA
"275","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2018/08/29/ccbb091bbf9cc1637cc7e4a75a9b5d9f_FORMATO.png",81091,35,"SPO","mei","Provável",0.9,5.87,-0.12,4.88,"Sport",28,NA,1,18,22,38,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"276","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/09/20/310961d5d1d556ea066ca5837fbb7366_FORMATO.png",80129,35,"FLU","mei","Provável",0,6.66,0,2.05,"Fluminense",38,7,9,50,96,43,1,7,1,2,2,NA,NA,NA,NA,1,NA,NA
"277","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,35,"PAL","lat","Provável",8.9,7.7,0.53,4.67,"Palmeiras",21,NA,NA,7,24,31,1,3,NA,NA,3,10,NA,NA,NA,NA,NA,NA
"278","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,35,"ATL","gol","Nulo",0,1.85,0,1.95,"Atlético-PR",NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,6,6,NA,NA,NA
"279","Vinícius Freitas Ribeiro","vinicius-freitas","Vinícius Freitas","https://s.glbimg.com/es/sde/f/2018/03/02/3a7c7444601af167011a0fbe974ab8d6_FORMATO.png",81537,35,"CHA","lat","Contundido",0,3.74,0,3.08,"Chapecoense",1,NA,NA,NA,4,4,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"280","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2018/07/24/c9cda271bd6eed85cf205a243d3d2912_FORMATO.png",81677,35,"SAN","mei","Nulo",0,10.85,0,4.3,"Santos",21,4,9,35,55,11,3,2,1,3,2,NA,NA,NA,NA,NA,NA,NA
"281","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,35,"VAS","zag","Provável",1.5,4.34,0,1.25,"Vasco",4,NA,NA,3,10,2,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,NA
"282","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,35,"CEA","tec","Provável",3.55,8.47,0.21,4.04,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,35,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,35,"BOT","mei","Provável",4.6,10.57,1.18,4.48,"Botafogo",35,7,17,43,77,50,3,6,1,7,3,NA,NA,NA,NA,NA,1,NA
