"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","PE","RB","DD","DP","GS","SG","CA","CV","I","GC","PP"
"183","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,27,"AME","lat","Dúvida",0,8.65,0,4.74,"América-MG",NA,12,2,7,14,NA,3,21,24,NA,NA,NA,5,3,NA,2,NA,NA
"184","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,27,"GRE","mei","Nulo",0,4.7,0,1.9,"Grêmio",NA,NA,NA,NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,27,"CEA","mei","Nulo",0,5.6,0,3.39,"Ceará",NA,17,5,7,7,NA,NA,34,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2018/08/29/0bedcd75702ef7ed90afd2825f1f57c9_FORMATO.jpeg",71882,27,"CEA","gol","Nulo",0,3.23,0,5.5,"Ceará",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"187","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,27,"GRE","lat","Provável",0,14.54,0,5.52,"Grêmio",NA,26,1,NA,24,NA,NA,42,36,NA,NA,NA,14,3,NA,1,NA,NA
"188","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,27,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"189","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,27,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,27,"COR","lat","Provável",0,5.48,0,1.91,"Corinthians",NA,26,6,3,12,1,1,52,12,NA,NA,NA,3,1,NA,2,1,NA
"191","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,27,"PAL","gol","Nulo",0,13.61,0,4.98,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,11,NA,24,NA,11,5,1,1,NA,NA,NA
"192","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,27,"BOT","mei","Provável",7.4,11.11,-0.13,4.99,"Botafogo",3,23,6,14,29,NA,6,62,40,NA,NA,NA,NA,3,NA,2,NA,1
"193","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2018/08/03/5d359eca3a79a4be9605f9758a7d0144_FORMATO.png",71684,27,"PAL","zag","Nulo",9.6,11.51,0.02,6.54,"Palmeiras",NA,6,1,1,12,NA,1,14,15,NA,NA,NA,5,2,NA,NA,NA,NA
"194","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,27,"CEA","zag","Nulo",-3.3,7.5,-2.12,3.68,"Ceará",NA,13,NA,6,8,NA,1,20,35,NA,NA,NA,8,6,NA,NA,NA,NA
"195","Cléber Janderson Pereira Reis","cleber-reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2018/04/24/69768a9bda3441e7a742ff9d70ba8d95_FORMATO.png",72376,27,"PAR","zag","Nulo",0,7.13,0,4.12,"Paraná",NA,7,1,4,9,1,NA,22,27,NA,NA,NA,3,1,1,2,NA,NA
"196","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,27,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,27,"GRE","zag","Nulo",9.2,11.13,0.99,5.43,"Grêmio",NA,19,1,2,12,NA,1,21,26,NA,NA,NA,12,1,NA,NA,NA,NA
"198","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,27,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"199","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,27,"CEA","gol","Nulo",-2.6,10.89,-1.56,5.87,"Ceará",NA,1,NA,2,9,NA,1,11,1,49,NA,26,8,3,NA,NA,NA,NA
"200","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,27,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,12,NA,2,5,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,27,"CEA","lat","Nulo",15.7,7.6,2.44,5.1,"Ceará",4,24,NA,3,31,1,1,30,26,NA,NA,NA,5,5,1,1,NA,NA
"202","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/08/15/df43aeed005a5668d32e3104263e2119_FORMATO.png",72386,27,"SPO","ata","Contundido",0,5.7,0,3.77,"Sport",1,14,4,4,22,NA,1,12,5,NA,NA,NA,NA,1,NA,1,NA,NA
"203","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,27,"CEA","tec","Nulo",4.9,8.42,0.21,4.22,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,27,"SPO","ata","Contundido",0,8.42,0,3.15,"Sport",2,26,13,22,43,NA,2,28,13,NA,NA,NA,NA,NA,1,9,NA,NA
"205","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,27,"ATL","gol","Nulo",0,1.8,0,0.55,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,3,1,NA,NA,NA,NA,NA
"206","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,27,"SPO","mei","Provável",-1.3,5.92,-0.36,2.88,"Sport",1,18,7,10,34,1,3,49,20,NA,NA,NA,NA,2,NA,3,NA,NA
"207","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,27,"PAR","gol","Nulo",0,7.57,0,5.23,"Paraná",NA,1,NA,NA,1,NA,NA,5,NA,18,1,11,4,NA,NA,NA,NA,NA
"208","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,27,"PAR","mei","Provável",7.2,5.95,1.31,3.05,"Paraná",1,25,2,9,32,NA,NA,14,28,NA,NA,NA,NA,5,NA,NA,NA,NA
"209","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/09/27/1efc38e38866055fe84ec680c96da256_FORMATO.png",73635,27,"VAS","ata","Contundido",0,2.99,0,0.1,"Vasco",NA,1,NA,2,8,NA,NA,8,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"210","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,27,"SAO","zag","Dúvida",-0.5,9.86,-0.57,4.05,"São Paulo",NA,33,4,4,16,1,1,20,25,NA,NA,NA,9,6,NA,4,NA,NA
"211","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,27,"BOT","mei","Nulo",0,3.8,0,1.67,"Botafogo",NA,2,NA,3,5,1,NA,9,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"212","Diego Vicente Aguirre Camblor","diego-aguirre","Diego Aguirre","https://s.glbimg.com/es/sde/f/2018/05/26/dcbc37c3f6682ed7f7fe61f97e02ff48_FORMATO.png",73766,27,"SAO","tec","Provável",2.45,12.39,-0.02,4.69,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,27,"SAO","zag","Nulo",0,10.21,-0.39,3.98,"São Paulo",NA,3,NA,3,1,NA,NA,5,4,NA,NA,NA,2,NA,NA,NA,NA,NA
"214","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2018/05/23/3ee08dfe1559a120f4dcd89514b80775_FORMATO.png",73974,27,"SAN","mei","Provável",2.4,7.86,-0.43,2.69,"Santos",NA,25,NA,3,20,NA,NA,28,47,NA,NA,NA,NA,8,NA,NA,NA,NA
"215","Bruno da Silva Peres","bruno-peres","Bruno Peres","https://s.glbimg.com/es/sde/f/2018/08/21/069947a89a5c7a8dcdc37798d30597f0_FORMATO.png",73962,27,"SAO","lat","Provável",-0.2,9.52,-0.81,4.61,"São Paulo",NA,11,NA,2,7,NA,1,19,16,NA,NA,NA,3,2,NA,NA,NA,NA
"216","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,27,"PAR","zag","Provável",0,2.12,0,1.13,"Paraná",NA,21,1,6,15,NA,NA,18,19,NA,NA,NA,1,6,NA,2,NA,NA
"217","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,27,"FLA","ata","Dúvida",0,4.2,0,1.54,"Flamengo",1,6,3,1,1,NA,NA,7,7,NA,NA,NA,NA,2,NA,1,NA,NA
"218","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,27,"CHA","mei","Suspenso",-0.1,6.98,0.39,1.86,"Chapecoense",2,33,3,5,19,1,2,104,35,NA,NA,NA,NA,3,NA,NA,NA,NA
"219","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/09/27/711f775d92f04e0e3e7030700985dae7_FORMATO.png",73936,27,"VAS","mei","Nulo",0,6.69,0,2.49,"Vasco",1,32,1,3,15,NA,NA,48,50,NA,NA,NA,NA,3,1,NA,NA,NA
"220","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,27,"VIT","ata","Nulo",0,3.73,0,5.5,"Vitória",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"221","René Ferreira dos Santos","rene","René","https://s.glbimg.com/es/sde/f/2018/07/23/d6322968c7c6cca6de55d8c4fbb4c086_FORMATO.png",73978,27,"PAR","zag","Provável",0,4.12,0,2.15,"Paraná",NA,10,1,3,10,NA,NA,24,24,NA,NA,NA,NA,3,NA,1,NA,NA
"222","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2018/05/17/841f78d103e083bd0e8af280fcb5ffe8_FORMATO.png",74061,27,"BOT","gol","Nulo",0,14.65,0,8.05,"Botafogo",NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,2,NA,NA,NA,NA,NA,NA
"223","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2018/04/12/c30228fd68db0c7f81326317ddc62ba6_FORMATO.png",74074,27,"SPO","lat","Nulo",0,3.55,0,2.17,"Sport",1,27,4,8,17,NA,2,38,9,NA,NA,NA,2,4,NA,2,NA,NA
"224","Guilherme Costa Machado Silveira","guilherme-costa","Guilherme Costa","https://s.glbimg.com/es/sde/f/2018/03/21/4f92ef0e30740bc3960607bec48d3c00_FORMATO.png",74081,27,"VIT","mei","Nulo",0,2.27,0,0.72,"Vitória",NA,8,1,1,10,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"225","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2018/05/04/5049d8a52c5a5f82e57248ab2ff94218_FORMATO.png",73992,27,"FLA","lat","Nulo",0,12.53,0,4.86,"Flamengo",2,16,7,6,27,NA,NA,29,24,NA,NA,NA,12,2,NA,1,NA,NA
"226","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,27,"PAL","mei","Nulo",0,7.86,0,3.22,"Palmeiras",NA,5,2,2,6,NA,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Walisson Moreira Farias Maia","walisson-maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2018/03/21/24015c9080aa3347098cfb88e90348e8_FORMATO.png",73991,27,"VIT","zag","Nulo",0,5.06,0,3.25,"Vitória",NA,2,NA,NA,1,NA,NA,5,7,NA,NA,NA,NA,1,NA,NA,NA,NA
"228","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,27,"BAH","ata","Nulo",0,7.92,0,3.11,"Bahia",NA,18,4,8,23,1,3,17,8,NA,NA,NA,NA,NA,NA,2,NA,NA
"229","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,27,"SAN","ata","Dúvida",1,8.26,0.13,3.62,"Santos",4,14,2,1,6,NA,1,9,8,NA,NA,NA,NA,3,NA,3,NA,NA
"230","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,27,"BOT","zag","Nulo",0,4.23,0,3.12,"Botafogo",NA,3,NA,NA,1,NA,NA,3,5,NA,NA,NA,2,NA,NA,NA,NA,NA
"231","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,27,"INT","ata","Provável",-0.1,5.16,-0.53,3.55,"Internacional",NA,29,16,15,38,1,5,52,26,NA,NA,NA,NA,4,1,7,NA,NA
"232","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/08/14/11a728603cfca7e8c71e3fadccee1148_FORMATO.png",75295,27,"INT","ata","Suspenso",0,11.23,0,3.9,"Internacional",1,9,3,5,10,NA,1,4,3,NA,NA,NA,NA,NA,NA,2,NA,NA
"233","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,27,"GRE","lat","Nulo",0,6.27,0,3.9,"Grêmio",NA,3,1,3,5,NA,NA,7,5,NA,NA,NA,2,NA,NA,1,NA,NA
"234","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2018/05/23/600ec8ed7ab3b2e4b459743279ec4d6a_FORMATO.png",78248,27,"SAN","zag","Provável",5.7,6.44,0.62,4.25,"Santos",NA,20,6,5,8,1,1,26,15,NA,NA,NA,10,4,NA,1,NA,NA
"235","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,27,"SAN","ata","Nulo",0,5.11,0,0.85,"Santos",NA,4,NA,1,5,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Hernán Barcos","barcos","Barcos","https://s.glbimg.com/es/sde/f/2018/07/15/014627951a9b920652b82877cae3a55e_FORMATO.png",78379,27,"CRU","ata","Nulo",0,6.82,0,1.89,"Cruzeiro",1,12,4,6,6,NA,1,14,6,NA,NA,NA,NA,1,NA,3,NA,1
"237","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,27,"INT","ata","Nulo",0,3.83,0,3.75,"Internacional",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2018/05/04/f71b2fc3dc540b79567e4897bc155101_FORMATO.png",78086,27,"FLA","gol","Provável",4.4,3.87,0.17,0.6,"Flamengo",NA,NA,NA,NA,2,NA,NA,4,NA,3,NA,6,1,NA,NA,NA,NA,NA
"239","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,27,"FLA","ata","Dúvida",2.5,14.05,0.64,4.66,"Flamengo",NA,21,13,11,12,1,1,37,24,NA,NA,NA,NA,2,NA,1,NA,NA
"240","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,27,"FLA","ata","Provável",0,6.5,0,2.41,"Flamengo",1,5,1,8,1,1,1,8,5,NA,NA,NA,NA,NA,NA,5,NA,NA
"241","André Luiz Barretto Silva Lima","andre-lima","André Lima","https://s.glbimg.com/es/sde/f/2018/03/21/d5bd90b5cbee9c67c4fe5a21cfdfe5f3_FORMATO.png",68893,27,"VIT","ata","Nulo",0,4.12,0.06,0.79,"Vitória",NA,32,6,3,24,NA,2,21,5,NA,NA,NA,NA,3,NA,5,NA,NA
"242","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,27,"BAH","zag","Suspenso",2,2.65,-0.04,1.59,"Bahia",NA,9,NA,NA,5,NA,1,8,6,NA,NA,NA,1,3,NA,1,NA,NA
"243","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2018/05/04/7eaa4c1c2e6b64b02a95ce12d0d027c4_FORMATO.png",78478,27,"FLA","mei","Provável",4.8,4.84,-0.2,2.62,"Flamengo",1,16,2,3,5,NA,1,19,20,NA,NA,NA,NA,1,NA,1,NA,NA
"244","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,27,"SAN","mei","Nulo",0,9.3,0,3.18,"Santos",NA,26,17,14,19,1,1,45,23,NA,NA,NA,NA,3,NA,NA,NA,NA
"245","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,27,"FLA","lat","Nulo",6.5,14.3,0.33,6.41,"Flamengo",3,27,4,2,25,NA,1,83,66,NA,NA,NA,12,4,NA,1,NA,NA
"246","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2018/04/12/b854b95f8d49d62715ce163bf535b942_FORMATO.png",78497,27,"CEA","lat","Nulo",-2,4.42,-1.21,2.74,"Ceará",NA,6,NA,NA,13,NA,NA,14,8,NA,NA,NA,5,2,NA,NA,NA,NA
"247","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,27,"VAS","lat","Provável",0.7,7.51,-0.2,2.67,"Vasco",NA,11,2,4,9,NA,1,35,18,NA,NA,NA,1,1,NA,NA,NA,NA
"248","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,27,"CEA","ata","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2018/05/25/d1aa684a9cd6db81f6b731e89f9ae993_FORMATO.png",78577,27,"CEA","mei","Nulo",0.5,4.4,-0.33,2,"Ceará",1,14,4,6,9,NA,NA,27,18,NA,NA,NA,NA,1,NA,2,NA,NA
"250","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/08/22/8ff8975422f0d4acefd5a6051912fad9_FORMATO.png",78850,27,"SAO","lat","Provável",1.3,11.54,-0.15,5.68,"São Paulo",1,33,12,22,22,NA,2,70,39,NA,NA,NA,7,3,NA,1,NA,NA
"251","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2018/07/09/c423c8ca4d7c6cdc1082532652fa4d73_FORMATO.png",78654,27,"CEA","zag","Nulo",0,5.26,0,3.68,"Ceará",NA,6,NA,NA,NA,NA,NA,3,2,NA,NA,NA,5,1,NA,NA,NA,NA
"252","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,27,"BAH","gol","Provável",0,2.09,0,1.16,"Bahia",NA,2,NA,NA,2,NA,NA,7,1,13,1,17,4,2,1,NA,1,NA
"253","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,27,"PAR","gol","Provável",3.7,4.45,-0.23,2.1,"Paraná",NA,NA,NA,NA,4,NA,NA,2,NA,22,NA,18,NA,2,NA,NA,NA,NA
"254","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,27,"GRE","mei","Contundido",0,3.67,0,0.83,"Grêmio",NA,23,5,11,21,NA,NA,48,22,NA,NA,NA,NA,9,NA,2,NA,NA
"255","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2018/09/03/366221777b27d47b3dd23d5c81443e9c_FORMATO.png",78856,27,"SPO","mei","Provável",-0.9,3.12,-0.82,1.85,"Sport",NA,14,NA,1,6,NA,NA,13,11,NA,NA,NA,NA,1,NA,NA,NA,NA
"256","Bryan Silva Garcia","bryan","Bryan","https://s.glbimg.com/es/sde/f/2018/03/21/a8f3ed5f7b584d647a494bae8c83e9f0_FORMATO.png",78632,27,"VIT","lat","Nulo",0,4.9,0,0.91,"Vitória",1,10,NA,3,11,NA,NA,25,2,NA,NA,NA,2,1,1,NA,NA,NA
"257","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,27,"PAL","mei","Nulo",0,8.06,0,4.39,"Palmeiras",NA,41,2,3,17,1,1,24,55,NA,NA,NA,NA,2,NA,1,NA,NA
"258","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,27,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",NA,3,1,2,1,NA,1,4,2,NA,NA,NA,NA,3,NA,NA,NA,NA
"259","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,27,"INT","mei","Provável",2.2,10.93,0.37,3.89,"Internacional",1,60,4,2,25,NA,1,39,80,NA,NA,NA,NA,8,NA,2,NA,NA
"260","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,27,"COR","mei","Provável",3.9,12.02,-0.64,4.39,"Corinthians",NA,40,2,4,25,NA,1,40,72,NA,NA,NA,NA,5,NA,NA,NA,NA
"261","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,27,"SAN","zag","Provável",5.5,3.83,0.51,1.88,"Santos",NA,7,NA,1,4,NA,NA,8,5,NA,NA,NA,2,2,NA,2,NA,NA
"262","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,27,"CHA","ata","Provável",1.8,7.28,-1.02,3.8,"Chapecoense",NA,34,11,19,30,2,6,11,17,NA,NA,NA,NA,4,1,12,NA,NA
"263","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,27,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
