"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","G","CV","FD","FT","GC","I","A","DD","GS","DP","PP"
"187","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,31,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"188","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,31,"GRE","mei","Nulo",0,4.44,0,2.57,"Grêmio",NA,NA,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,31,"GRE","lat","Nulo",0,14.54,0,5.52,"Grêmio",3,26,NA,24,42,36,14,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"190","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,31,"AME","lat","Provável",0.7,8.05,-0.15,4.42,"América-MG",3,13,8,15,23,25,6,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA
"191","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,31,"CEA","gol","Provável",0.7,11.46,-1.12,5.84,"Ceará",3,1,2,9,12,1,9,1,NA,NA,NA,NA,NA,NA,55,29,NA,NA
"192","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,31,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,31,"COR","lat","Provável",4,6.42,0.24,2.11,"Corinthians",1,35,6,15,57,16,3,1,NA,6,1,1,2,1,NA,NA,NA,NA
"194","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,31,"CEA","ata","Provável",9.7,6.97,1.56,4.45,"Ceará",1,19,12,22,26,8,NA,2,NA,8,2,NA,3,2,NA,NA,NA,NA
"195","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,31,"PAL","gol","Nulo",0,11.78,0,4.33,"Palmeiras",2,NA,NA,NA,11,NA,5,NA,1,NA,NA,NA,NA,NA,24,11,NA,NA
"196","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,31,"ATL","gol","Nulo",4,1.99,0.19,1.7,"Atlético-PR",NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA
"197","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,31,"CEA","zag","Provável",9.5,9.51,1.05,3.92,"Ceará",6,14,6,8,20,41,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"198","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,31,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"199","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,31,"PAL","mei","Nulo",1.2,6.92,-0.94,2.88,"Palmeiras",NA,5,2,7,8,4,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"200","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,31,"BOT","mei","Provável",2.7,10.18,0.3,4.39,"Botafogo",5,28,15,37,69,45,NA,6,NA,6,NA,NA,2,3,NA,NA,NA,1
"201","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,31,"CEA","lat","Dúvida",0.2,5.31,0.32,4.59,"Ceará",6,27,5,34,35,28,6,1,1,NA,1,NA,1,4,NA,NA,NA,NA
"202","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,31,"PAR","gol","Nulo",0,7.57,0,5.23,"Paraná",NA,1,NA,1,5,NA,4,NA,NA,NA,NA,NA,NA,NA,18,11,1,NA
"203","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,31,"SAO","zag","Nulo",0,9.96,0,3.18,"São Paulo",1,5,3,1,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,31,"PAR","mei","Contundido",0,5.09,0,2.98,"Paraná",5,25,9,33,14,29,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"205","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,31,"SAO","zag","Provável",12.4,12.05,0.81,4.31,"São Paulo",7,36,4,17,23,30,11,2,NA,5,1,NA,6,NA,NA,NA,NA,NA
"206","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,31,"SPO","mei","Provável",8.9,7.43,2.1,2.68,"Sport",2,22,11,44,58,20,NA,4,NA,7,1,NA,3,2,NA,2,NA,1
"207","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,31,"CHA","mei","Provável",-1.2,6.61,-0.45,1.72,"Chapecoense",4,37,7,20,112,38,NA,2,NA,3,1,NA,NA,2,NA,NA,NA,NA
"208","Diego Vicente Aguirre Camblor","diego-aguirre","Diego Aguirre","https://s.glbimg.com/es/sde/f/2018/05/26/dcbc37c3f6682ed7f7fe61f97e02ff48_FORMATO.png",73766,31,"SAO","tec","Provável",5.95,12.91,0.19,4.55,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/09/27/711f775d92f04e0e3e7030700985dae7_FORMATO.png",73936,31,"VAS","mei","Nulo",0,7.14,0,2.43,"Vasco",3,35,3,17,52,52,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA
"210","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,31,"BOT","mei","Nulo",0,3.16,0,1.32,"Botafogo",1,2,3,6,11,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"211","Bruno da Silva Peres","bruno-peres","Bruno Peres","https://s.glbimg.com/es/sde/f/2018/08/21/069947a89a5c7a8dcdc37798d30597f0_FORMATO.png",73962,31,"SAO","lat","Provável",8.5,10.69,1.63,4.18,"São Paulo",3,19,3,10,23,22,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,31,"VIT","ata","Provável",0.5,2.2,0.65,0.07,"Vitória",1,6,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"213","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,31,"FLA","ata","Nulo",1.7,4.1,0.5,0.98,"Flamengo",2,10,2,2,12,7,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA
"214","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,31,"PAR","zag","Provável",0.7,2.7,-0.18,1.09,"Paraná",7,25,6,17,19,23,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"215","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2018/05/23/3ee08dfe1559a120f4dcd89514b80775_FORMATO.png",73974,31,"SAN","mei","Provável",5,8.16,0.98,2.57,"Santos",9,31,3,22,31,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","René Ferreira dos Santos","rene","René","https://s.glbimg.com/es/sde/f/2018/07/23/d6322968c7c6cca6de55d8c4fbb4c086_FORMATO.png",73978,31,"PAR","zag","Nulo",0,4.54,0,2.39,"Paraná",3,12,3,11,29,32,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"217","Luis Eduardo Barros Cavalcanti","dado-cavalcanti","Dado Cavalcanti","https://s.glbimg.com/es/sde/f/2018/10/19/67657a12a492438b83870a193414419d_FORMATO.png",73975,31,"PAR","tec","Provável",0.36,6.07,-0.58,0.06,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Walisson Moreira Farias Maia","walisson-maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2018/03/21/24015c9080aa3347098cfb88e90348e8_FORMATO.png",73991,31,"VIT","zag","Nulo",0,5.06,0,3.25,"Vitória",1,2,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2018/05/04/5049d8a52c5a5f82e57248ab2ff94218_FORMATO.png",73992,31,"FLA","lat","Nulo",0,12.98,0,4.87,"Flamengo",2,16,6,27,29,24,13,NA,NA,7,NA,NA,1,2,NA,NA,NA,NA
"220","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2018/04/12/c30228fd68db0c7f81326317ddc62ba6_FORMATO.png",74074,31,"SPO","lat","Provável",5,4.82,-1.84,3.33,"Sport",5,31,15,19,45,17,2,3,NA,6,NA,NA,2,1,NA,NA,NA,NA
"221","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,31,"INT","ata","Contundido",0,5,0,3.28,"Internacional",4,31,15,40,52,26,NA,5,1,16,1,NA,7,NA,NA,NA,NA,NA
"222","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,31,"SAN","ata","Nulo",1.6,8.13,0.35,2.87,"Santos",4,16,2,11,15,13,NA,1,NA,2,NA,NA,4,4,NA,NA,NA,NA
"223","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,31,"BAH","ata","Provável",1.1,7.71,-1.11,2.96,"Bahia",NA,22,10,28,19,8,NA,4,NA,4,1,NA,2,NA,NA,NA,NA,NA
"224","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/08/14/11a728603cfca7e8c71e3fadccee1148_FORMATO.png",75295,31,"INT","ata","Suspenso",0,11.23,0,3.9,"Internacional",NA,9,5,10,4,3,NA,1,NA,3,NA,NA,2,1,NA,NA,NA,NA
"225","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2018/05/17/841f78d103e083bd0e8af280fcb5ffe8_FORMATO.png",74061,31,"BOT","gol","Contundido",0,14.65,0,8.05,"Botafogo",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA
"226","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,31,"BAH","mei","Provável",1.2,6.48,-1.6,3.91,"Bahia",7,16,3,40,45,29,NA,3,NA,14,NA,NA,3,4,NA,NA,NA,NA
"227","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,31,"BOT","zag","Nulo",0,4.23,0,3.12,"Botafogo",NA,3,NA,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Guilherme Costa Machado Silveira","guilherme-costa","Guilherme Costa","https://s.glbimg.com/es/sde/f/2018/03/21/4f92ef0e30740bc3960607bec48d3c00_FORMATO.png",74081,31,"VIT","mei","Contundido",0,2.27,0,0.72,"Vitória",1,8,1,10,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"229","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,31,"SAN","ata","Nulo",0,4.78,-0.33,0.78,"Santos",NA,4,1,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2018/05/04/f71b2fc3dc540b79567e4897bc155101_FORMATO.png",78086,31,"FLA","gol","Provável",-2,3.43,-1.52,3.8,"Flamengo",1,NA,NA,2,8,NA,4,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA
"231","Hernán Barcos","barcos","Barcos","https://s.glbimg.com/es/sde/f/2018/10/18/731df10308e961dc0c7161cfb7ffe9a1_FORMATO.png",78379,31,"CRU","ata","Provável",0,6.49,0,1.7,"Cruzeiro",1,12,6,6,18,6,NA,1,NA,5,NA,NA,3,1,NA,NA,NA,1
"232","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,31,"GRE","lat","Provável",8.9,7.04,1.45,4.16,"Grêmio",NA,4,5,6,12,8,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA
"233","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,31,"GRE","mei","Contundido",0,3.67,0,0.83,"Grêmio",9,23,11,21,48,22,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA
"234","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,31,"BAH","zag","Nulo",0,3.23,0,2.08,"Bahia",3,9,1,5,9,6,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"235","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,31,"FLA","ata","Provável",-0.9,7.55,-2.63,4.5,"Flamengo",NA,6,11,6,13,8,NA,4,NA,3,1,NA,5,2,NA,NA,NA,NA
"236","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2018/05/23/600ec8ed7ab3b2e4b459743279ec4d6a_FORMATO.png",78248,31,"SAN","zag","Provável",0,5.4,0,4.11,"Santos",6,27,6,11,29,19,12,1,NA,6,1,NA,1,NA,NA,NA,NA,NA
"237","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,31,"FLA","ata","Dúvida",2.1,14.97,-2.5,5.91,"Flamengo",2,31,18,18,56,32,NA,2,NA,13,1,NA,2,4,NA,NA,NA,NA
"238","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2018/05/04/7eaa4c1c2e6b64b02a95ce12d0d027c4_FORMATO.png",78478,31,"FLA","mei","Provável",0.9,4.37,-0.41,2.59,"Flamengo",2,23,7,7,26,29,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA
"239","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2018/10/19/8a44176e1762a76e629f97a6512af491_FORMATO.png",78497,31,"CEA","lat","Dúvida",0,4.42,0,2.74,"Ceará",2,6,NA,13,14,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,31,"FLA","lat","Provável",7.9,15.19,0.71,7.01,"Flamengo",5,31,3,31,98,78,15,2,NA,5,NA,NA,1,4,NA,NA,NA,NA
"241","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,31,"CEA","ata","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,31,"SAN","mei","Nulo",0,9.3,0,3.18,"Santos",3,26,14,19,45,23,NA,1,NA,17,1,NA,NA,NA,NA,NA,NA,NA
"243","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,31,"COR","mei","Nulo",0,12,0,4.17,"Corinthians",6,43,5,28,43,76,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"244","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,31,"BAH","gol","Provável",-1,3.31,-1.4,2.3,"Bahia",2,2,NA,3,8,1,6,NA,1,NA,NA,1,NA,NA,21,21,1,NA
"245","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2018/05/25/d1aa684a9cd6db81f6b731e89f9ae993_FORMATO.png",78577,31,"CEA","mei","Dúvida",0,4.61,0,2.09,"Ceará",1,14,6,9,31,20,NA,NA,NA,7,NA,NA,2,1,NA,NA,NA,NA
"246","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2018/07/09/c423c8ca4d7c6cdc1082532652fa4d73_FORMATO.png",78654,31,"CEA","zag","Nulo",0,5.88,0,4.28,"Ceará",1,6,NA,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/08/22/8ff8975422f0d4acefd5a6051912fad9_FORMATO.png",78850,31,"SAO","lat","Provável",10.7,13.22,0.93,5.75,"São Paulo",3,39,25,26,88,48,9,2,NA,12,NA,NA,1,2,NA,NA,NA,NA
"248","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,31,"INT","mei","Suspenso",1,10.47,0.15,3.41,"Internacional",9,66,2,26,42,85,NA,1,NA,4,NA,NA,2,1,NA,NA,NA,NA
"249","Luiz Otávio da Silva Santos","luiz-otavio","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2018/05/24/e8b83c81c541dabe3a815f0473d550fa_FORMATO.png",86863,31,"CHA","zag","Nulo",0,4.05,0,1.37,"Chapecoense",1,3,1,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,31,"SPO","ata","Nulo",0,8.14,-0.28,2.96,"Sport",NA,26,22,44,28,13,NA,2,1,14,NA,NA,9,2,NA,NA,NA,NA
"251","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/05/17/76f9aa43f58c549a5956db25ad0804f3_FORMATO.png",80080,31,"BOT","ata","Provável",6.3,5.9,0.96,1.91,"Botafogo",2,19,6,25,16,9,NA,2,NA,6,NA,NA,3,NA,NA,NA,NA,NA
"252","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,31,"PAL","mei","Nulo",2.8,8.24,-0.17,4.33,"Palmeiras",4,48,4,21,28,64,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,NA
"253","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2018/09/03/366221777b27d47b3dd23d5c81443e9c_FORMATO.png",78856,31,"SPO","mei","Provável",3.5,4.35,0.36,2.3,"Sport",1,18,2,7,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,31,"PAR","gol","Provável",-3,3.19,0.27,1.29,"Paraná",2,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,31,NA,NA
"255","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,31,"SAN","zag","Dúvida",0,3.47,0,2.91,"Santos",3,10,2,7,11,9,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"256","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,31,"CHA","ata","Provável",0.8,7.02,-0.53,3.38,"Chapecoense",4,39,24,35,14,18,NA,6,1,12,2,NA,15,NA,NA,NA,NA,NA
"257","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,31,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,31,"VIT","gol","Nulo",0,2,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Fabiano da Silva Souza","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/09/04/dd622172f30483dda8563ef9249cdae1_FORMATO.png",79244,31,"VIT","lat","Provável",1.6,6.32,-0.55,3.9,"Vitória",2,20,1,5,32,17,2,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"260","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,31,"BAH","zag","Nulo",0,10.1,0,4.1,"Bahia",3,25,9,15,38,26,5,2,NA,5,NA,NA,2,NA,NA,NA,NA,NA
"261","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,31,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",3,3,2,1,4,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"262","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,31,"INT","zag","Provável",4,17.73,0.08,6.76,"Internacional",9,35,4,29,50,80,13,2,1,3,NA,NA,2,2,NA,NA,NA,NA
"263","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,31,"CEA","ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,31,"CHA","zag","Nulo",0,4.32,0,1.1,"Chapecoense",NA,6,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,31,"CRU","ata","Suspenso",0,1.74,0,1.05,"Cruzeiro",4,27,10,18,5,4,NA,2,NA,1,NA,NA,7,NA,NA,NA,NA,NA
"266","Joeliton Lima Santos","mansur","Mansur","https://s.glbimg.com/es/sde/f/2018/03/21/58740180fa39ea528e64aa42ba67215c_FORMATO.png",79553,31,"PAR","lat","Nulo",0.8,3.55,0.11,0.58,"Paraná",3,25,4,9,45,11,3,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA
"267","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,31,"CRU","mei","Nulo",6.8,5.9,1.01,2.48,"Cruzeiro",4,30,10,21,39,39,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
