"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"207","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2018/07/11/458954576596e510c2e5c6668d407c5b_FORMATO.png",81776,34,"ATL","mei","Contundido",0,3.37,0,1.56,"Atlético-PR",NA,NA,7,NA,6,NA,1,4,NA,6,1,NA,1,NA,NA,NA,NA,NA
"208","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,34,"PAR","ata","Nulo",-6,6.94,-1.72,2.91,"Paraná",NA,NA,59,NA,78,NA,NA,33,1,27,2,18,23,NA,3,1,1,NA
"209","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,34,"BAH","mei","Suspenso",4.1,8.7,0,2.89,"Bahia",NA,NA,11,NA,40,NA,3,69,NA,64,6,5,10,NA,NA,NA,NA,NA
"210","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,34,"CEA","ata","Contundido",0,6.97,0,4.45,"Ceará",NA,NA,22,NA,26,NA,2,19,3,8,1,8,12,NA,2,NA,2,NA
"211","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,34,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,34,"FLA","mei","Provável",8.3,10.59,1.63,3.54,"Flamengo",NA,NA,10,NA,38,NA,1,49,NA,88,5,3,5,NA,NA,3,NA,NA
"213","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,34,"CEA","mei","Nulo",0,6.05,0,3.52,"Ceará",NA,NA,9,NA,38,NA,NA,19,NA,29,NA,5,7,NA,NA,NA,NA,NA
"214","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,34,"VAS","mei","Provável",7.5,7.91,-0.23,2.85,"Vasco",NA,NA,24,NA,44,NA,2,19,1,15,5,5,5,NA,3,NA,2,NA
"215","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,34,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2018/08/29/0bedcd75702ef7ed90afd2825f1f57c9_FORMATO.jpeg",71882,34,"CEA","gol","Nulo",0,3.23,0,5.5,"Ceará",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,34,"GRE","mei","Dúvida",0.4,4.24,-1.65,4.37,"Grêmio",NA,NA,4,NA,18,NA,1,7,NA,21,NA,NA,2,1,NA,NA,NA,NA
"218","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,34,"ATL","gol","Nulo",0,1.85,0,1.95,"Atlético-PR",6,NA,NA,6,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"219","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,34,"CEA","gol","Provável",5,12.19,0.06,5.79,"Ceará",63,NA,9,33,12,9,NA,1,NA,1,3,NA,2,NA,1,NA,NA,NA
"220","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,34,"PAL","gol","Nulo",0,11.78,0,4.33,"Palmeiras",24,NA,NA,11,11,5,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
"221","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,34,"BOT","mei","Provável",0,9.39,0,4.48,"Botafogo",NA,NA,41,NA,73,NA,3,34,3,47,6,7,16,NA,7,NA,1,1
"222","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,34,"COR","lat","Provável",8.6,7.13,1.61,2.29,"Corinthians",NA,NA,19,NA,61,3,1,41,3,20,1,8,8,1,1,NA,1,NA
"223","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,34,"CEA","zag","Provável",0.9,8.15,-0.55,3.73,"Ceará",NA,NA,8,NA,22,8,1,19,NA,48,7,1,6,NA,1,NA,NA,NA
"224","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,34,"AME","lat","Nulo",2,8.22,-0.26,4.17,"América-MG",NA,NA,15,NA,38,6,NA,14,3,30,3,5,12,NA,3,NA,NA,NA
"225","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,34,"GRE","zag","Nulo",0,9.43,0,4.6,"Grêmio",NA,NA,12,NA,27,12,NA,24,NA,30,3,2,2,NA,1,NA,NA,NA
"226","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,34,"CEA","tec","Provável",2.7,8.26,-0.24,4.06,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png",70360,34,"SAN","ata","Nulo",0,6.84,-0.61,2.05,"Santos",NA,NA,25,NA,31,NA,3,18,9,13,1,4,9,NA,1,NA,1,NA
"228","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,34,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,34,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,34,"CEA","lat","Provável",-0.1,5.11,0.1,4.06,"Ceará",NA,NA,37,NA,39,6,4,31,1,29,7,NA,6,NA,1,1,1,NA
"231","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,34,"SPO","mei","Provável",0,6.13,0,2.89,"Sport",NA,NA,52,2,63,NA,2,23,3,21,3,8,12,NA,5,NA,1,1
"232","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,34,"PAR","gol","Provável",0,7.57,0,5.23,"Paraná",18,1,1,11,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,34,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,NA,5,NA,4,NA,NA,12,NA,9,NA,NA,2,NA,NA,NA,NA,NA
"234","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,34,"SPO","ata","Nulo",1.7,8.29,-0.22,2.79,"Sport",NA,NA,49,NA,30,NA,2,26,9,14,NA,14,23,NA,2,1,NA,NA
"235","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,34,"SAO","zag","Provável",1.7,10.28,0.35,4,"São Paulo",NA,NA,19,NA,24,11,NA,38,6,35,8,5,4,NA,2,NA,1,NA
"236","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/09/27/1efc38e38866055fe84ec680c96da256_FORMATO.png",73635,34,"VAS","ata","Nulo",1.3,2.56,0.15,0.44,"Vasco",NA,NA,11,NA,9,NA,NA,1,1,NA,1,NA,3,NA,NA,NA,NA,NA
"237","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,34,"SAO","zag","Nulo",0,9.96,0,3.18,"São Paulo",NA,NA,1,NA,5,2,NA,5,NA,6,1,NA,3,NA,NA,NA,NA,NA
"238","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,34,"PAR","mei","Provável",0,5.09,0,2.98,"Paraná",NA,NA,33,NA,14,NA,1,25,NA,29,5,2,9,NA,NA,NA,NA,NA
"239","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,34,"VIT","ata","Nulo",0,2.4,0,0.43,"Vitória",NA,NA,1,NA,1,NA,NA,6,NA,1,1,1,1,NA,1,1,NA,NA
"240","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,34,"CHA","mei","Provável",1.8,7.25,-1.47,2.08,"Chapecoense",NA,NA,20,NA,124,NA,3,38,2,46,4,4,10,NA,2,NA,1,NA
"241","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,34,"BOT","mei","Nulo",0,3.16,0,1.32,"Botafogo",NA,NA,6,NA,11,NA,NA,2,NA,3,1,NA,3,NA,NA,NA,1,NA
"242","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,34,"FLA","ata","Nulo",0,3.91,0,0.94,"Flamengo",NA,NA,2,NA,13,NA,1,10,1,7,2,4,3,NA,NA,NA,NA,NA
"243","Rodrigo Figueiredo de Carvalho","rodrigo-figueiredo","Rodrigo Figueiredo","https://s.glbimg.com/es/sde/f/2017/04/20/bef317b8404e13356cc3277dae40f4c9_FORMATO.png",96832,34,"COR","mei","Nulo",0,1.51,0,-0.1,"Corinthians",NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Emerson Aparecido Leite de Souza Junior","emerson","Emerson","https://s.glbimg.com/es/sde/f/2018/05/02/e6ac5064048c2847351bacf000cd76bd_FORMATO.png",96870,34,"ATL","lat","Suspenso",1.4,5.33,0.66,3.2,"Atlético-MG",NA,NA,39,NA,57,6,NA,47,NA,34,6,4,4,NA,1,NA,NA,NA
"245","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2018/08/03/f380d4813f712ab88644cb0ed0972599_FORMATO.png",80536,34,"CHA","ata","Nulo",0,4.22,0,3.9,"Chapecoense",NA,NA,16,NA,5,NA,NA,6,NA,8,1,3,3,NA,NA,NA,NA,NA
"246","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2018/05/23/5475c0938368ee4b155ff28fbba435d6_FORMATO.png",96966,34,"SAN","ata","Dúvida",1.8,2.63,0.25,0.75,"Santos",NA,NA,6,NA,5,NA,1,5,NA,2,1,NA,3,NA,NA,NA,NA,NA
"247","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,34,"GRE","lat","Provável",0.9,14.03,-0.32,5.17,"Grêmio",NA,NA,27,NA,50,15,NA,29,2,40,3,1,1,NA,NA,NA,NA,NA
"248","Wesley Dias Claudino","wesley-dias","Wesley Dias","https://s.glbimg.com/es/sde/f/2018/03/21/bd01b16a7f9c3c1d4858cc8ada530b69_FORMATO.png",97154,34,"PAR","mei","Dúvida",0.5,1.05,-0.8,0.7,"Paraná",NA,NA,13,NA,18,NA,NA,15,1,11,1,NA,1,NA,NA,NA,NA,NA
"249","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2018/04/09/cb32c36884710a73aa2671bf0998c170_FORMATO.png",97133,34,"INT","lat","Nulo",0,4.07,0,4.5,"Internacional",NA,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Guilherme Mantuan","mantuan","Mantuan","https://s.glbimg.com/es/sde/f/2018/05/18/53d5b5f3442929a93b052228d4f4dd8f_FORMATO.png",97315,34,"COR","lat","Nulo",0,5.11,0,3.76,"Corinthians",NA,NA,24,NA,41,3,NA,23,1,33,1,NA,3,NA,NA,NA,NA,NA
"251","Gabriel Vinícius de Oliveira Furtado","gabriel-furtado","Gabriel Furtado","https://s.glbimg.com/es/sde/f/2017/06/23/b6f602ff015eb0fd2e4305c2b8361284_FORMATO.jpeg",97322,34,"PAL","mei","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","José Ricardo Barbosa Ribeiro Drumond","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/05/07/66c84fb19bfc8dcb826762a661f9205d_FORMATO.png",97317,34,"AME","mei","Provável",4.2,2.15,0.2,1.58,"América-MG",NA,NA,8,NA,24,NA,NA,26,NA,26,2,NA,6,NA,NA,NA,NA,NA
"253","Luiz Gustavo Tavares Conde","luiz-gustavo","Luiz Gustavo","https://s.glbimg.com/es/sde/f/2018/09/27/b551a9e8e890e361540470d7d707da03_FORMATO.png",80573,34,"VAS","zag","Provável",0,5.77,0,2.83,"Vasco",NA,NA,26,NA,52,5,NA,22,1,41,5,1,8,1,NA,NA,NA,NA
"254","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2018/11/14/3ec50920828e79b36c365cf8acb0905d_FORMATO.png",97321,34,"PAR","mei","Provável",-0.5,1.22,0.08,-0.77,"Paraná",NA,NA,2,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"255","Luiz Henrique Pachu Lira","pachu","Pachu","https://s.glbimg.com/es/sde/f/2018/05/17/24cdb04412dd6d812b54821d4a8054bf_FORMATO.png",97352,34,"BOT","ata","Nulo",0,2.55,0,2.7,"Botafogo",NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"256","Murilo Cerqueira Paim","murilo","Murilo","https://s.glbimg.com/es/sde/f/2018/05/07/e153f69f7bac5d6410218a2a59787c11_FORMATO.png",97653,34,"CRU","zag","Contundido",0,6.28,0,1.67,"Cruzeiro",NA,NA,1,NA,15,2,NA,12,NA,8,2,2,2,NA,NA,NA,1,NA
"257","Shaylon Kallyson Cardoso","shaylon","Shaylon","https://s.glbimg.com/es/sde/f/2018/08/22/8dada340d3eace63bb678a5ac94eaaff_FORMATO.png",97520,34,"SAO","mei","Nulo",3.8,3.41,0.46,1.55,"São Paulo",NA,NA,2,NA,12,NA,NA,6,1,4,1,NA,2,NA,2,NA,NA,NA
"258","Marcos Vinícius Silva Rocha Calazans","marcos-calazans","Marcos Calazans","https://s.glbimg.com/es/sde/f/2018/09/20/a0f7f5a4cab2aadb8015e478a8433dfc_FORMATO.png",97452,34,"FLU","ata","Nulo",0,2.77,0,2.7,"Fluminense",NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"259","Luis Henrique Lima Ferreira","luis-henrique","Luis Henrique","https://s.glbimg.com/es/sde/f/2018/06/05/f468a62494928820ad0f8123756afdf3_FORMATO.png",97459,34,"AME","zag","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2018/09/20/757d419d1040c909be357a50fb4f34b8_FORMATO.png",97528,34,"FLU","zag","Nulo",0,2.75,0,1.38,"Fluminense",NA,NA,2,NA,6,1,NA,6,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"261","Joriwinnyson Santos dos Anjos Rodrigues","jori","Jori","https://s.glbimg.com/es/sde/f/2018/05/07/74ebf6f155bba3965e6fbdd4d47886ed_FORMATO.png",97453,34,"AME","gol","Contundido",0,8.8,0,1.48,"América-MG",10,NA,1,12,9,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Tomás Gustavo Andrade","tomas-andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2018/05/07/efc79595752a6acffda52ff4455cbc32_FORMATO.png",97619,34,"ATL","mei","Nulo",0,6.09,0,3.98,"Atlético-MG",NA,NA,6,NA,31,NA,2,7,NA,20,1,7,5,NA,3,NA,1,NA
"263","Willean Bernardo Willemen","lepu","Lepu","https://s.glbimg.com/es/sde/f/2018/06/05/664e239f7dce6e6497a82d094f42723a_FORMATO.png",97522,34,"BAH","mei","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Roger Ibañez da Silva","ibanez","Ibañez","https://s.glbimg.com/es/sde/f/2018/09/20/69ed2b738cbaf148777b6d868df813c9_FORMATO.png",97803,34,"FLU","zag","Contundido",0,4.46,0,2.64,"Fluminense",NA,NA,10,NA,31,4,NA,9,NA,18,3,2,3,NA,NA,NA,NA,NA
"265","Hiago Correa Silveira Cena","hiago","Hiago","https://s.glbimg.com/es/sde/f/2018/05/24/290a6f9eadad6684596a861f850734aa_FORMATO.png",97535,34,"CHA","zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Matheus Alessandro dos Santos Pereira","matheus-alessandro","Matheus Alessandro","https://s.glbimg.com/es/sde/f/2018/05/18/28524541dbc99ed7fa6cadc1531e6cf9_FORMATO.png",97527,34,"FLU","ata","Nulo",0,3.53,0,1.65,"Fluminense",NA,NA,36,NA,16,NA,1,12,3,14,4,5,11,NA,NA,1,1,NA
"267","Erick de Arruda Serafim","erick","Erick","https://s.glbimg.com/es/sde/f/2018/06/28/c1426d2e4418dfcc0731f1ddf753c5bf_FORMATO.png",97810,34,"VIT","ata","Provável",5.6,7.8,-0.09,5.2,"Vitória",NA,NA,36,NA,50,NA,2,10,2,24,3,14,13,NA,2,NA,1,NA
"268","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2018/03/23/0487d5333c622c87e5ad477567b7ee36_FORMATO.png",97867,34,"SPO","zag","Nulo",0,1.96,0,-0.27,"Sport",NA,NA,1,NA,13,NA,NA,3,NA,3,1,NA,1,NA,NA,NA,NA,NA
"269","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,34,"INT","lat","Provável",8.6,12.28,0.34,4.52,"Internacional",NA,NA,13,NA,82,14,1,43,3,74,7,3,7,NA,NA,NA,NA,NA
"270","Lucas de Souza Ventura","nonoca","Nonoca","https://s.glbimg.com/es/sde/f/2018/04/09/f994b05e8cd6aee16ab81f7cc4871c16_FORMATO.png",97856,34,"SPO","mei","Nulo",0,3.06,0,2.43,"Sport",NA,NA,4,NA,6,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"271","Jhemerson Guimarães Gaigher","jhemerson","Jhemerson","https://s.glbimg.com/es/sde/f/2018/03/21/4352f97cb92d8c89a85442b0da6b66fb_FORMATO.png",97863,34,"VIT","mei","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Erick Martins Ferreira Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2018/05/07/88672601deeb050de20d1c18b8a04c9e_FORMATO.png",97930,34,"AME","gol","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/05/04/26a67180b8114a860a9e6f9c54cdebd4_FORMATO.png",100065,34,"FLA","ata","Nulo",0,1.98,0,0.86,"Flamengo",NA,NA,3,NA,4,NA,NA,7,2,4,NA,3,3,NA,NA,NA,NA,NA
"274","Rafael Santos de Sousa","rafael","Rafael","https://s.glbimg.com/es/sde/f/2017/04/24/db3ab616836bf6fcfa76a2dd7846986b_FORMATO.png",97902,34,"FLA","zag","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Vitor Eduardo da Silva Matos","vitao","Vitão","https://s.glbimg.com/es/sde/f/2017/12/02/4d449cbc6b7323b7652ea2ab5c68e8aa_FORMATO.png",97900,34,"PAL","zag","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Rafael Lucas Cardoso Santos","rafael-santos","Rafael Santos",NA,97907,34,"CRU","lat","Nulo",0,1.53,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Jean Lucas Figueiredo","jean-lucas","Jean Lucas","https://s.glbimg.com/es/sde/f/2018/11/14/b0bfffeab1fda23ee0be0cdb5d9e9793_FORMATO.png",97987,34,"PAR","mei","Nulo",0,0.91,0,-2.5,"Paraná",NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"278","Felipe Guilherme Moreira Bernardo","felipinho","Felipinho","https://s.glbimg.com/es/sde/f/2018/06/05/c3642a3c616e9a283af3bfee7f2dee6b_FORMATO.png",97931,34,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2018/10/25/40d3735d7bceaa3cdfc7c248a522f4f5_FORMATO.png",97994,34,"COR","mei","Nulo",0,3,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Caio Felipe dos Santos Silva","caio","Caio","https://s.glbimg.com/es/sde/f/2017/02/14/a6f6b29df8097bacd2fc794872711c70_FORMATO.png",98035,34,"SPO","lat","Nulo",0,1,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Tiago Retzlaff Nunes","tiago-nunes","Tiago Nunes","https://s.glbimg.com/es/sde/f/2018/06/28/b5606c7af78b7724cc8806c65fce3f1e_FORMATO.png",98057,34,"ATL","tec","Provável",4.51,10.9,-0.26,4.55,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Marcos Vinícius da Silva Santos","marcos-vinicius","Marcos Vinícius ","https://s.glbimg.com/es/sde/f/2018/05/17/5821104539e471cb543e8668646b2c01_FORMATO.png",97969,34,"CHA","lat","Nulo",0,2.14,0,3.4,"Chapecoense",NA,NA,2,NA,2,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"283","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,34,"SPO","gol","Provável",11,6.45,0.66,5.58,"Sport",11,NA,2,6,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Álvaro Vieira de Oliveira","alvaro","Álvaro","https://s.glbimg.com/es/sde/f/2018/07/20/a7d42e8d9df250812649327ffc9742f8_FORMATO.png",98097,34,"INT","ata","Nulo",0,1,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Rodrigo Alves da Cruz","rodrigo-alves","Rodrigo Alves","https://s.glbimg.com/es/sde/f/2018/08/05/62200f085be5b3ab15f13e3e72be04e7_FORMATO.png",98184,34,"BAH","ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2018/05/17/9790a9eb14c2629004e401eb258e2505_FORMATO.png",99903,34,"BOT","ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
