"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","CV","FF","I","FD","DD","GS","DP","A","FT","GC","PP"
"207","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,36,"SAN","lat","Provável",4.9,10.91,0.77,4.85,"Santos",5,22,14,3,70,52,12,NA,5,5,6,NA,NA,NA,NA,NA,NA,NA
"208","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,36,"VAS","lat","Provável",15.3,19.59,1.94,6.93,"Vasco",3,20,98,10,62,26,6,1,26,9,26,NA,NA,NA,2,2,NA,NA
"209","Luis Manuel Seijas Gunther","seijas","Seijas","https://s.glbimg.com/es/sde/f/2018/04/20/91a8e5439b7ee43f7646d5a702d383cb_FORMATO.png",70742,36,"INT","mei","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2018/03/20/5302f545b04fee129a787fd002b3ca0f_FORMATO.png",70666,36,"COR","zag","Nulo",0,5.47,0,2.47,"Corinthians",NA,1,1,NA,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Nadson da Silva Almeida","nadson","Nadson","https://s.glbimg.com/es/sde/f/2018/07/13/57fe46961f3ba57ecb2e3e6368babd92_FORMATO.png",80140,36,"PAR","mei","Nulo",0,2.38,0,2.23,"Paraná",1,9,26,NA,36,13,NA,NA,5,1,8,NA,NA,NA,NA,1,NA,NA
"212","Marcos Junio Lima dos Santos","marcos-junior","Marcos Junior","https://s.glbimg.com/es/sde/f/2018/09/20/ff2dc345ff18c0761a0ddbd4e2edef76_FORMATO.png",80188,36,"FLU","ata","Nulo",0.9,6.21,0,2.52,"Fluminense",NA,12,32,2,34,14,NA,NA,7,8,10,NA,NA,NA,3,NA,NA,NA
"213","Fillipe Soutto Mayor Nogueira Ferreira","fillipe-soutto","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2018/03/21/0daa49ddeceb2e945617b2f9a0df22b9_FORMATO.png",70581,36,"VIT","mei","Nulo",1.7,3.05,0.06,0.14,"Vitória",1,10,4,NA,9,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"214","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2018/08/22/4263f96a54ea57b00b989a04f50f6ec3_FORMATO.png",70784,36,"SAO","ata","Contundido",0,11.21,0,5.03,"São Paulo",5,18,33,1,36,36,NA,NA,12,5,8,NA,NA,NA,5,NA,NA,NA
"215","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2018/05/25/e26f5033484f9b036cf9109ee7829470_FORMATO.png",70925,36,"CEA","mei","Nulo",0,4.23,0,1.94,"Ceará",1,13,4,2,18,5,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA
"216","Matheus Caldeira Vidotto de Oliveira","matheus-vidotto","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,36,"COR","gol","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2018/03/21/e56086be050e46bbe8c085917b5255c1_FORMATO.png",70934,36,"BAH","zag","Nulo",0,3.15,0,1.37,"Bahia",NA,6,1,NA,4,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2018/07/05/1283cc320b56be7f4661388346c1aeba_FORMATO.png",80287,36,"FLU","ata","Provável",1.7,5.83,0.04,3.35,"Fluminense",2,16,23,3,23,10,NA,NA,10,6,10,NA,NA,NA,1,NA,NA,NA
"219","Rhayner Santos Nascimento","rhayner","Rhayner","https://s.glbimg.com/es/sde/f/2018/03/21/1c75f0c2bcf179c6d2dbb10dd5f8535f_FORMATO.png",70874,36,"VIT","ata","Provável",0.6,7.79,-0.54,2.61,"Vitória",7,33,35,1,50,35,NA,1,10,NA,12,NA,NA,NA,1,1,NA,NA
"220","Gilsivan Soares da Silva ","ivan","Ivan","https://s.glbimg.com/es/sde/f/2018/05/24/1c2dd303026c2e02bbed35cfb1595918_FORMATO.png",80326,36,"CHA","gol","Nulo",0,1.21,0,-2,"Chapecoense",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2018/05/23/94f8a60d067a1f1b2253bc082aaa653e_FORMATO.png",70986,36,"SAN","mei","Nulo",0,7.97,0,2.18,"Santos",2,9,12,NA,3,13,NA,NA,4,1,2,NA,NA,NA,1,NA,NA,NA
"222","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2018/05/18/579600b8688378c79b2d26c49843ed6e_FORMATO.png",80318,36,"CRU","lat","Suspenso",8.1,4.96,0.47,2.59,"Cruzeiro",6,25,18,NA,28,21,5,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA
"223","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,36,"FLU","lat","Contundido",0,9.49,0,6.68,"Fluminense",3,20,17,3,41,34,6,1,7,1,4,NA,NA,NA,2,NA,NA,NA
"224","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,36,"GRE","lat","Nulo",0,6.48,0,4.26,"Grêmio",NA,5,7,NA,12,8,2,NA,5,1,1,NA,NA,NA,2,NA,NA,NA
"225","Edson Felipe da Cruz","edson","Edson","https://s.glbimg.com/es/sde/f/2018/03/21/4e079be2718f82735191cef518c39bb2_FORMATO.png",80370,36,"BAH","mei","Nulo",0,5.82,0,3.52,"Bahia",NA,3,7,NA,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,36,"PAL","mei","Nulo",5.8,11.51,0.71,4.64,"Palmeiras",6,63,37,8,51,56,NA,NA,15,NA,5,NA,NA,NA,3,1,NA,NA
"227","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,36,"CRU","mei","Nulo",0,5.74,0,2.93,"Cruzeiro",8,24,20,NA,39,52,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"228","Sidney Aparecido Ramos da Silva","sidao","Sidão","https://s.glbimg.com/es/sde/f/2018/08/22/f344ae872d2199f6428ab6885294b3ce_FORMATO.png",70222,36,"SAO","gol","Nulo",0,10.37,0,3.18,"São Paulo",3,NA,1,NA,22,NA,11,NA,NA,NA,NA,31,25,NA,NA,NA,NA,NA
"229","Wesley Pacheco Gomes","wesley-pacheco","Wesley Pacheco","https://s.glbimg.com/es/sde/f/2018/08/03/ea270ab009fd58368038d269b29192ba_FORMATO.png",71121,36,"AME","ata","Nulo",0,2.38,0,0.88,"América-MG",1,4,4,NA,2,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"230","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,36,"SAN","mei","Nulo",0,10.68,0,1.66,"Santos",NA,3,6,NA,12,3,NA,NA,2,2,3,NA,NA,NA,2,NA,NA,NA
"231","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2018/08/03/f380d4813f712ab88644cb0ed0972599_FORMATO.png",80536,36,"CHA","ata","Nulo",0,4.22,0,3.9,"Chapecoense",1,6,16,NA,5,8,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA
"232","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,36,"BAH","mei","Nulo",0,4.54,0,1.94,"Bahia",4,15,13,4,66,12,NA,NA,23,3,11,NA,NA,NA,1,NA,NA,1
"233","Norberto Pereira Marinho Neto","norberto","Norberto ","https://s.glbimg.com/es/sde/f/2018/05/07/f4e6cde34ab5662df2e3a0a657c5c30b_FORMATO.png",80374,36,"AME","lat","Provável",-0.4,9.31,-0.94,3.7,"América-MG",5,27,17,NA,30,39,4,NA,1,2,5,NA,NA,NA,2,NA,NA,NA
"234","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,36,"CHA","lat","Nulo",0,4.33,-0.83,2.2,"Chapecoense",1,4,10,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Alexander Baumjohann","alex-baumjohann","Alex Baumjohann","https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png",71389,36,"VIT","mei","Nulo",0,1.65,0,-0.1,"Vitória",NA,5,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"236","Luiz Gustavo Tavares Conde","luiz-gustavo","Luiz Gustavo","https://s.glbimg.com/es/sde/f/2018/09/27/b551a9e8e890e361540470d7d707da03_FORMATO.png",80573,36,"VAS","zag","Provável",5.5,5.44,-0.33,2.94,"Vasco",6,23,29,NA,57,43,6,NA,8,1,1,NA,NA,NA,NA,NA,1,NA
"237","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2018/06/01/b5bd22d1ec76e9e69427e3be73aadced_FORMATO.png",80393,36,"CEA","mei","Nulo",0,3.32,0,1.84,"Ceará",1,10,12,NA,21,18,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Glauco Tadeu Chaves","glauco","Glauco","https://s.glbimg.com/es/sde/f/2018/05/07/1fe49ae80180a4b6e896021ef63976ff_FORMATO.png",84555,36,"AME","gol","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2018/05/08/8c609625e5588e4ad1fdcd2a6c478284_FORMATO.png",71479,36,"ATL","mei","Nulo",5.4,4.95,0.55,1.3,"Atlético-PR",4,24,6,NA,54,38,NA,1,4,4,5,NA,NA,NA,1,NA,NA,NA
"240","Fernando José da Cunha Neto","fernando-neto","Fernando Neto","https://s.glbimg.com/es/sde/f/2018/09/18/76d312b906b38b6d19ba0876493c1a51_FORMATO.png",80667,36,"FLU","mei","Nulo",2.7,2.26,0.16,2.45,"Fluminense",1,2,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/05/08/b49a52f81f691127e1693a8fc8a73d1b_FORMATO.png",71571,36,"VAS","gol","Dúvida",8,7.39,1.96,3.21,"Vasco",1,NA,1,NA,3,NA,3,NA,NA,NA,NA,17,16,1,NA,NA,NA,NA
"242","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2018/03/01/8596087ee3b876941e59b282b29cfcb2_FORMATO.png",80583,36,"PAL","mei","Provável",2.3,8.11,0.3,3.11,"Palmeiras",8,54,47,5,70,45,NA,NA,14,5,5,NA,NA,NA,3,1,NA,NA
"243","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,36,"PAL","zag","Nulo",20,8.68,1.01,5.8,"Palmeiras",6,19,14,2,29,32,11,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"244","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,36,"PAL","gol","Provável",5,8.83,0.65,3.97,"Palmeiras",1,NA,1,NA,11,NA,11,NA,NA,NA,NA,19,12,NA,NA,NA,NA,NA
"245","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png",71549,36,"VAS","ata","Provável",3.7,5.69,-0.3,2.04,"Vasco",1,8,15,1,17,6,NA,NA,4,NA,5,NA,NA,NA,2,NA,NA,NA
"246","Gabriel Rybar Blos","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/18/d0b143443c7fe342de877afaff95bb91_FORMATO.png",71572,36,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,36,"GRE","zag","Provável",0.9,15.3,-1.65,7.09,"Grêmio",2,12,8,2,31,56,8,NA,7,1,4,NA,NA,NA,NA,NA,NA,NA
"248","Maximiliano Lélis Rodrigues","max","Max","https://s.glbimg.com/es/sde/f/2018/04/12/1bea2ecbf982db610ebf063ccfac89ff_FORMATO.png",80895,36,"SPO","zag","Contundido",0,1.78,0,1.2,"Sport",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Johnath Marlone Azevedo da Silva","marlone","Marlone","https://s.glbimg.com/es/sde/f/2018/05/24/5d4936df04558a01a5eb71077e02edd5_FORMATO.png",80944,36,"SPO","mei","Nulo",-0.3,7.75,-0.28,2.45,"Sport",1,7,34,2,73,13,NA,NA,19,2,12,NA,NA,NA,3,NA,NA,NA
"250","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,36,"FLA","mei","Provável",-0.8,9.16,-0.9,3.41,"Flamengo",5,54,11,NA,40,92,NA,3,5,NA,3,NA,NA,NA,1,NA,NA,NA
"251","Federico Mancuello","mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2018/05/07/0f1aad8b26fa5e7442bde1e17cfc4dfb_FORMATO.png",71066,36,"CRU","mei","Nulo",0,3.04,0,1.54,"Cruzeiro",1,19,15,1,22,17,NA,2,8,2,6,NA,NA,NA,1,NA,NA,NA
"252","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2018/08/29/ccbb091bbf9cc1637cc7e4a75a9b5d9f_FORMATO.png",81091,36,"SPO","mei","Provável",2.9,6.19,0.32,4.71,"Sport",5,28,20,2,28,41,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"253","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2018/08/03/5d359eca3a79a4be9605f9758a7d0144_FORMATO.png",71684,36,"PAL","zag","Nulo",6.2,11.01,0.2,5.97,"Palmeiras",3,12,13,2,19,17,9,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA
"254","Renato Vieira Rodrigues","renatinho","Renatinho","https://s.glbimg.com/es/sde/f/2018/03/20/612e75f9bc41ddd0a161e522aaee90ef_FORMATO.png",80395,36,"BOT","mei","Nulo",0.5,4.3,0.07,1.64,"Botafogo",2,7,16,NA,17,15,NA,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA
"255","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_FORMATO.png",81150,36,"PAL","lat","Nulo",18.5,9.45,1.75,5.44,"Palmeiras",3,22,9,NA,25,36,11,NA,1,3,NA,NA,NA,NA,2,NA,NA,NA
"256","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2018/07/24/34d35d4978723d245bf40e3566ce3e86_FORMATO.png",71787,36,"CEA","ata","Contundido",0,6.97,0,4.45,"Ceará",1,19,22,2,26,8,NA,NA,12,3,8,NA,NA,NA,2,2,NA,NA
"257","Oswaldo José Henríquez Bocanegra","oswaldo-henriquez","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2018/09/27/93bdf7db4666448d0da5432a29006d5f_FORMATO.png",81241,36,"VAS","zag","Nulo",6,5.09,0.75,1.78,"Vasco",1,5,3,NA,10,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"258","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,36,"SAN","mei","Nulo",0,8.27,0,2.9,"Santos",4,27,21,1,46,23,NA,NA,14,NA,17,NA,NA,NA,NA,1,NA,NA
"259","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,36,"PAR","ata","Nulo",0,6.94,0,2.91,"Paraná",2,33,59,3,78,27,NA,1,23,1,18,NA,NA,NA,NA,1,NA,NA
"260","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,36,"BAH","mei","Provável",8.8,9.5,0.8,3.12,"Bahia",7,71,12,NA,43,68,NA,NA,10,NA,6,NA,NA,NA,4,NA,NA,NA
"261","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2018/07/24/c9cda271bd6eed85cf205a243d3d2912_FORMATO.png",81677,36,"SAN","mei","Provável",0,10.85,0,4.3,"Santos",2,21,35,3,55,11,NA,NA,9,2,4,NA,NA,NA,3,1,NA,NA
"262","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,36,"GRE","gol","Nulo",0,4.52,0,8,"Grêmio",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"263","Vinícius Freitas Ribeiro","vinicius-freitas","Vinícius Freitas","https://s.glbimg.com/es/sde/f/2018/03/02/3a7c7444601af167011a0fbe974ab8d6_FORMATO.png",81537,36,"CHA","lat","Contundido",0,3.74,0,3.08,"Chapecoense",1,1,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"264","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2018/08/29/0bedcd75702ef7ed90afd2825f1f57c9_FORMATO.jpeg",71882,36,"CEA","gol","Nulo",0,3.23,0,5.5,"Ceará",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2018/05/07/2952d9583a363deaf38934dd9c4cd382_FORMATO.png",81682,36,"ATL","mei","Provável",15.8,12.82,0.66,4.47,"Atlético-MG",1,24,12,7,129,25,NA,NA,35,NA,18,NA,NA,NA,6,1,NA,NA
"266","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,36,"VAS","mei","Provável",2.5,7.05,0.79,2.55,"Vasco",5,27,24,3,52,19,NA,NA,5,1,5,NA,NA,NA,2,2,NA,NA
"267","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2018/08/10/b8ba1096a40cd0240eba8996df2c1bfe_FORMATO.png",81770,36,"BAH","ata","Provável",1.4,4.51,-1.03,0.78,"Bahia",2,2,2,1,9,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"268","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2018/07/11/458954576596e510c2e5c6668d407c5b_FORMATO.png",81776,36,"ATL","mei","Contundido",0,3.37,0,1.56,"Atlético-PR",1,4,7,NA,6,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"269","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,36,"GRE","mei","Dúvida",2.4,4.58,0.03,3.85,"Grêmio",NA,9,5,NA,22,25,NA,NA,3,1,NA,NA,NA,NA,1,NA,1,NA
"270","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2018/05/07/ed2c39f18fe6fdbf2db79d29a7d46eae_FORMATO.png",81881,36,"AME","gol","Provável",-2.3,5.87,0.13,2.95,"América-MG",1,NA,2,NA,25,NA,7,NA,NA,NA,NA,37,34,1,NA,NA,NA,NA
"271","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,36,"GRE","mei","Dúvida",-1,6.67,-2.08,3.18,"Grêmio",2,13,42,1,39,17,NA,NA,8,2,9,NA,NA,NA,3,NA,NA,NA
"272","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,36,"CEA","mei","Provável",12.6,7.44,1.43,4.28,"Ceará",NA,28,12,1,44,35,NA,NA,10,NA,7,NA,NA,NA,NA,NA,NA,NA
"273","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2018/06/26/a77b90cda4d9d26c34f44befcf3a4f6d_FORMATO.png",72142,36,"COR","lat","Nulo",0.1,5.91,-0.89,2.34,"Corinthians",2,46,20,1,66,24,4,NA,8,3,8,NA,NA,NA,1,1,1,NA
"274","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2018/03/21/ffe95cb4c3f0bed01a941972e52ec9ed_FORMATO.png",81798,36,"INT","ata","Nulo",-1.3,3.39,-0.08,1.12,"Internacional",3,17,24,1,26,10,NA,NA,4,2,3,NA,NA,NA,2,1,NA,1
"275","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2018/05/07/074f3b8960ae6ea7711fa17be1c27cac_FORMATO.png",86797,36,"CRU","ata","Nulo",2,6.61,0.19,2.44,"Cruzeiro",1,45,46,4,23,17,NA,NA,19,8,10,NA,NA,NA,1,NA,NA,1
"276","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,36,"AME","lat","Nulo",0,7.85,0,3.98,"América-MG",3,14,15,3,39,30,6,NA,12,3,5,NA,NA,NA,NA,NA,NA,NA
"277","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,36,"GRE","lat","Provável",-0.2,13.77,-0.96,4.94,"Grêmio",3,34,29,NA,56,42,16,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
"278","Osman de Menezes Venâncio Junior","osman","Osman","https://s.glbimg.com/es/sde/f/2018/05/24/3d7f1fd9657bef546dec60dda0555868_FORMATO.png",81898,36,"CHA","ata","Nulo",0,3.27,0,1.25,"Chapecoense",2,9,10,1,17,6,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA
"279","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,36,"BOT","mei","Nulo",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","José Henrique da Silva Dourado","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2018/05/04/d9413dcc3e693b62854a22d1a1f58501_FORMATO.png",81905,36,"FLA","ata","Nulo",0,9.16,0,1.75,"Flamengo",6,36,30,6,14,5,NA,1,9,8,2,NA,NA,NA,NA,NA,NA,NA
"281","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,36,"CEA","gol","Provável",5,12.31,-0.5,5.83,"Ceará",3,1,9,1,12,1,11,NA,2,NA,NA,64,33,NA,NA,NA,NA,NA
"282","Andrés Lorenzo Ríos","andres-rios","Andrés Ríos","https://s.glbimg.com/es/sde/f/2018/09/27/342168a972e60f06f0487b203e892011_FORMATO.png",81684,36,"VAS","ata","Nulo",0,7.18,0,2.96,"Vasco",4,50,48,6,47,19,NA,NA,11,3,10,NA,NA,NA,1,1,NA,1
"283","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,36,"CEA","zag","Provável",11.3,9.94,1.2,4,"Ceará",8,21,8,1,24,53,10,NA,8,NA,1,NA,NA,NA,1,NA,NA,NA
"284","Adilson dos Anjos Oliveira","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/07/a121caba22a2560ebe0698009aa2a45f_FORMATO.png",82381,36,"AME","mei","Provável",1.7,8.17,-0.28,2.96,"América-MG",4,52,30,3,82,69,NA,NA,8,1,4,NA,NA,NA,NA,NA,NA,NA
"285","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2016/06/28/6718cfa08984f2f134397fad39f6472a_FORMATO.jpeg",81951,36,"FLU","lat","Nulo",-1.1,4.04,-1.25,3.74,"Fluminense",NA,9,8,NA,11,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","José Rafael Vivian","ze-rafael","Zé Rafael ","https://s.glbimg.com/es/sde/f/2018/05/12/09a8cb904cc431ca446de5378e6cde58_FORMATO.png",82455,36,"BAH","mei","Provável",8.4,19.3,-0.64,6.76,"Bahia",6,64,93,4,69,70,NA,NA,38,5,27,NA,NA,NA,3,3,NA,NA
"287","Thales Natanael Lira de Matos","thales","Thales ","https://s.glbimg.com/es/sde/f/2018/04/09/2db919a21f74604ec39c31b47a427a70_FORMATO.png",82626,36,"INT","zag","Nulo",0,4,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
