"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","SG","FS","FC","RB","FT","PE","A","CA","FD","FF","I","G","CV","DD","DP","GS","GC","PP"
"210","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,21,"BAH","mei","Nulo",0,5.32,0,-0.5,"Bahia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,21,"AME","mei","Nulo",0,2.42,0,0.67,"América-MG",NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,21,"SAN","mei","Nulo",0,6.43,0,1.66,"Santos",NA,9,4,7,NA,18,NA,1,2,2,2,1,NA,NA,NA,NA,NA,NA
"213","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,21,"FLA","mei","Provável",8.7,10.91,-0.6,4.72,"Flamengo",NA,52,26,26,NA,62,1,5,3,13,7,4,NA,NA,NA,NA,NA,NA
"214","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,21,"CRU","lat","Provável",0,6.89,0,1.85,"Cruzeiro",3,7,10,12,NA,28,NA,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"215","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,21,"ATL","ata","Provável",0.5,11.73,-0.74,6.65,"Atlético-MG",NA,21,29,8,1,31,6,2,20,21,15,9,NA,NA,NA,NA,NA,NA
"216","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,21,"BOT","mei","Nulo",-2,2.32,-0.59,-1.25,"Botafogo",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,21,"AME","tec","Provável",3.93,9.21,-0.05,3.86,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,21,"SPO","gol","Provável",4.4,7.15,0.94,1.05,"Sport",2,1,1,NA,NA,7,NA,3,NA,NA,NA,NA,NA,22,1,29,NA,NA
"219","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,21,"SAO","mei","Suspenso",3.2,10.67,-0.91,5.06,"São Paulo",NA,41,19,15,2,61,2,6,7,14,3,8,NA,NA,NA,NA,NA,NA
"220","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,21,"COR","ata","Nulo",0,6.09,0,3.16,"Corinthians",NA,4,5,4,NA,3,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"221","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,21,"VIT","tec","Provável",6.49,8.86,0.94,3.57,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,21,"SPO","ata","Nulo",-0.5,3.59,-0.05,2.07,"Sport",NA,15,13,10,NA,20,1,1,9,8,6,1,NA,NA,NA,NA,NA,NA
"223","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,21,"GRE","tec","Provável",1,14.53,-0.15,4.77,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,21,"PAL","ata","Provável",0.5,11.3,-0.93,6.18,"Palmeiras",NA,23,30,16,3,11,2,2,10,10,6,7,NA,NA,NA,NA,NA,NA
"225","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,21,"CRU","lat","Provável",6,10.65,1.16,5.2,"Cruzeiro",5,14,19,42,NA,49,1,2,NA,5,6,NA,NA,NA,NA,NA,NA,NA
"226","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,21,"ATL","lat","Nulo",-0.5,4.5,-1.5,-0.5,"Atlético-PR",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,21,"COR","gol","Dúvida",8,11.43,0.95,5.06,"Corinthians",6,1,1,1,NA,9,NA,3,NA,NA,NA,NA,NA,21,NA,10,NA,NA
"228","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,21,"SPO","zag","Provável",1,4.09,0.27,1.49,"Sport",3,7,10,13,NA,9,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,21,"PAL","tec","Provável",7.25,14.27,0.78,6.77,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,21,"COR","lat","Suspenso",8.4,11.21,0.67,4.11,"Corinthians",4,13,12,19,NA,45,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"231","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,21,"FLA","zag","Dúvida",0,6.97,-1.6,3.96,"Flamengo",3,2,1,7,NA,5,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
"232","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,21,"CHA","mei","Provável",1.9,4.26,0.41,1.72,"Chapecoense",NA,5,20,21,NA,15,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
"233","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,21,"BAH","lat","Nulo",0,3.44,0,1.11,"Bahia",1,7,13,9,NA,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,21,"ATL","mei","Nulo",0,7.99,0,1.96,"Atlético-PR",NA,15,12,7,NA,28,NA,3,2,7,NA,2,NA,NA,NA,NA,NA,NA
"235","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,21,"CHA","zag","Contundido",1,7.64,-0.26,3.04,"Chapecoense",5,14,22,26,1,12,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"236","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/04/09/258482949eb7622bf48b8c8e13189cae_FORMATO.png",49674,21,"VAS","lat","Nulo",0,3.47,0,0,"Vasco",NA,3,2,2,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,21,"FLU","gol","Provável",-0.8,4.71,-0.88,2.8,"Fluminense",6,3,NA,1,NA,14,NA,1,NA,NA,NA,NA,NA,28,NA,26,NA,NA
"238","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,21,"ATL","mei","Nulo",0,6.64,0,3.28,"Atlético-MG",NA,16,17,30,NA,19,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,21,"CHA","mei","Nulo",0,6.92,0,4.13,"Chapecoense",NA,30,20,27,NA,20,NA,2,2,5,NA,2,NA,NA,NA,NA,NA,NA
"240","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,21,"SAO","mei","Dúvida",0,8.8,0,3.83,"São Paulo",NA,13,35,51,NA,25,NA,7,4,7,2,1,NA,NA,NA,NA,NA,NA
"241","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,21,"SAO","mei","Contundido",-1.7,10.42,-0.28,4.45,"São Paulo",NA,44,27,12,NA,50,6,5,6,7,8,5,NA,NA,NA,NA,NA,NA
"242","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,21,"AME","mei","Dúvida",10.1,4.23,1.71,1.46,"América-MG",NA,6,15,13,NA,24,NA,2,4,3,NA,1,NA,NA,NA,NA,NA,NA
"243","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,21,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",NA,8,3,5,NA,11,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"244","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,21,"FLU","ata","Provável",0.9,3.93,-0.64,0.92,"Fluminense",NA,NA,6,3,NA,4,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,NA
"245","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,21,"GRE","lat","Nulo",-0.2,2.34,-0.69,0.58,"Grêmio",1,4,14,7,NA,11,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"246","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,21,"CRU","zag","Provável",0,8.25,0,3.2,"Cruzeiro",5,4,16,23,NA,11,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA
"247","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/04/09/f2c6c8bfe27315c6e7bd65079343b249_FORMATO.png",50408,21,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",1,4,5,6,NA,9,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"248","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,21,"AME","mei","Provável",3.9,1.7,0.11,-0.08,"América-MG",NA,12,14,8,NA,16,1,2,NA,3,1,NA,2,NA,NA,NA,NA,NA
"249","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,21,"CHA","lat","Provável",2.8,6.07,0.5,3.35,"Chapecoense",3,9,13,20,NA,34,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"250","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,21,"COR","zag","Provável",13,11.42,2.49,3.6,"Corinthians",8,13,9,11,NA,11,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"251","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,21,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",1,NA,3,5,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,21,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",1,6,2,7,NA,8,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"253","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,21,"CEA","mei","Nulo",0,3.85,-1.15,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,21,"AME","mei","Provável",2.2,1.79,0.47,0.08,"América-MG",NA,12,23,19,NA,39,NA,5,2,3,NA,NA,1,NA,NA,NA,NA,NA
"255","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,21,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,21,"FLA","zag","Provável",1.3,14.99,-0.99,6.07,"Flamengo",6,14,5,11,NA,5,NA,NA,2,6,NA,2,NA,NA,NA,NA,NA,NA
"257","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,21,"COR","gol","Dúvida",5,8.82,-1.29,7.02,"Corinthians",3,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,7,NA,NA
"258","Antonio Eduardo Pereira dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/03/21/a2e4671774fb12a3492ed292aad6f617_FORMATO.png",51792,21,"VIT","zag","Nulo",0,2.18,0,0.99,"Vitória",3,5,25,15,NA,10,NA,8,3,4,3,NA,NA,NA,NA,NA,NA,NA
"259","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,21,"SAO","zag","Provável",6.9,8.86,1.07,4.87,"São Paulo",5,6,17,28,NA,16,NA,4,3,4,NA,1,1,NA,NA,NA,NA,NA
"260","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,21,"CEA","zag","Provável",0.2,5.55,-1.32,4.65,"Ceará",6,4,9,17,NA,12,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA
"261","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,21,"ATL","gol","Provável",0.4,10.2,-1.99,3.1,"Atlético-MG",5,2,NA,NA,NA,17,NA,2,NA,NA,NA,NA,NA,34,NA,27,NA,NA
"262","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,21,"COR","mei","Provável",2.3,7.23,0.45,1.44,"Corinthians",NA,2,2,6,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"263","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,21,"BOT","lat","Nulo",5.3,7.84,1.04,3.59,"Botafogo",2,24,14,20,NA,32,NA,4,2,2,NA,1,NA,NA,NA,NA,NA,NA
"264","Éverton Augusto de Barros Ribeiro","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png",51772,21,"FLA","mei","Provável",18.6,9.48,3.59,5.01,"Flamengo",NA,34,28,30,NA,59,4,4,8,14,NA,4,1,NA,NA,NA,NA,NA
"265","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,21,"BOT","lat","Nulo",0,3.36,0,2,"Botafogo",2,1,3,5,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,21,"ATL","mei","Provável",2.7,5.94,-0.52,2.42,"Atlético-MG",NA,16,21,21,NA,32,3,6,3,8,5,2,NA,NA,NA,NA,NA,NA
"267","Renan Henrique Oliveira Vieira","renan-oliveira","Renan Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b77d3968ee48567370aabffeb805c67f_FORMATO.png",60822,21,"AME","mei","Nulo",0,2.33,0,-1.9,"América-MG",NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,21,"CRU","zag","Provável",0.1,10.56,-0.41,5.64,"Cruzeiro",5,15,15,33,NA,27,NA,4,5,6,1,2,NA,NA,NA,NA,NA,NA
"269","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,21,"CEA","ata","Nulo",1,4.92,-0.02,2.04,"Ceará",NA,19,16,11,NA,32,2,NA,4,5,1,1,NA,NA,NA,NA,NA,NA
"270","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,21,"AME","ata","Dúvida",0,10.81,0,3.16,"América-MG",NA,19,19,13,NA,21,3,3,1,9,4,1,1,NA,NA,NA,NA,NA
"271","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,21,"AME","ata","Nulo",2.4,6.05,0.07,1.52,"América-MG",NA,9,6,6,1,32,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA
"272","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,21,"INT","lat","Nulo",0,4.17,0,-1.2,"Internacional",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2018/04/20/b37498cecb36eacf3be0170a1d99bd3d_FORMATO.png",61149,21,"INT","ata","Contundido",0,8.41,0,3.91,"Internacional",NA,29,13,13,1,20,3,3,5,9,NA,1,NA,NA,NA,NA,NA,NA
"274","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,21,"ATL","lat","Nulo",0,4.14,0,1.66,"Atlético-MG",2,3,25,19,NA,40,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA
"275","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/07/13/19610200497a0a011b67ab0cb2f99d0b_FORMATO.png",61985,21,"FLU","mei","Contundido",0,3.01,0,1.25,"Fluminense",NA,4,4,7,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2018/03/21/3a5a3365b94f222144190fe55a5d56f7_FORMATO.png",62023,21,"INT","mei","Nulo",-0.3,4.88,-0.47,0.05,"Internacional",NA,8,1,2,NA,19,NA,NA,1,5,1,NA,1,NA,NA,NA,NA,NA
"277","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,21,"INT","mei","Nulo",0.5,3.85,-0.09,2.83,"Internacional",NA,3,6,2,NA,11,2,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA
"278","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2018/07/01/5fac5fd0f63dc1ff4b6c80d6765e6c04_FORMATO.png",61188,21,"BAH","ata","Nulo",0,13.07,0,7.25,"Bahia",NA,13,4,5,NA,8,NA,NA,1,10,NA,4,NA,NA,NA,NA,NA,NA
"279","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2018/08/21/8168274098fd8c821729681da346e325_FORMATO.png",62024,21,"SAO","lat","Nulo",0,5.7,0,4.45,"São Paulo",3,4,5,7,NA,7,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"280","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,21,"SAN","gol","Provável",8.5,15.41,0.29,3.38,"Santos",6,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,26,NA,22,NA,NA
"281","Wallyson Ricardo Maciel Monteiro","wallyson","Wallyson","https://s.glbimg.com/es/sde/f/2018/07/16/901eb351baf6774200546a4cb812d2a7_FORMATO.png",62127,21,"VIT","ata","Nulo",0,9.24,0,3.57,"Vitória",NA,13,7,10,1,29,3,2,6,10,2,2,NA,NA,NA,NA,NA,NA
"282","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,21,"CRU","mei","Provável",-0.6,5.31,-0.29,1.92,"Cruzeiro",NA,18,23,21,NA,51,3,5,2,8,2,1,NA,NA,NA,NA,NA,NA
"283","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,21,"PAL","lat","Nulo",5.8,6.38,0.35,2.93,"Palmeiras",4,3,8,3,1,7,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,1
"284","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2018/05/04/4531c11cdf54bdb520247afb817f4dd1_FORMATO.png",62086,21,"FLA","lat","Nulo",0,3.99,0,4.08,"Flamengo",2,4,1,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2018/05/18/528786142cfbdf2221caa974ac75720e_FORMATO.png",60859,21,"GRE","ata","Nulo",0,2.28,0,1.01,"Grêmio",NA,12,11,3,NA,23,1,1,2,4,1,1,NA,NA,NA,NA,NA,1
"286","Marcelo de Oliveira Santos","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/07/05/01edbc76fc669fabaedd576160699382_FORMATO.png",62136,21,"FLU","tec","Provável",1.4,10.12,-0.57,3.75,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2018/07/27/66258debb61166bf3d552593e8934529_FORMATO.png",62129,21,"ATL","mei","Provável",-0.4,2.65,-0.89,1.88,"Atlético-PR",NA,1,13,12,NA,13,NA,2,2,3,NA,1,NA,NA,NA,NA,NA,NA
"288","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,21,"PAL","mei","Provável",5.1,6.17,0.59,2.33,"Palmeiras",NA,17,21,27,1,35,NA,4,4,5,NA,1,NA,NA,NA,NA,NA,NA
"289","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/04/09/d76608c4a8a334165ef8611858ab2432_FORMATO.png",62974,21,"VAS","zag","Contundido",0,5.87,0,2.35,"Vasco",1,5,8,9,NA,9,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,NA
"290","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2018/03/21/4447e0929a366fd4391a8f2df378f705_FORMATO.png",63058,21,"VIT","mei","Nulo",0.3,4.44,-0.39,2.69,"Vitória",NA,3,10,18,NA,7,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA
