"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","CV","FD","FT","GC","I","G","A","DD","GS","DP","PP"
"185","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2018/03/05/105c1b01950d04f72d197c2b080b62c2_FORMATO.png",70116,17,"SPO","mei","Provável",8.1,10.39,0.98,4.85,"Sport",1,23,19,15,53,34,NA,NA,13,NA,NA,1,1,2,NA,NA,NA,NA
"186","Fillipe Soutto Mayor Nogueira Ferreira","fillipe-soutto","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2018/03/21/0daa49ddeceb2e945617b2f9a0df22b9_FORMATO.png",70581,17,"VIT","mei","Provável",-1.8,2.99,-0.46,-0.25,"Vitória",1,10,NA,3,8,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,17,"PAL","ata","Nulo",0,14.98,0,4.59,"Palmeiras",5,12,6,46,39,12,NA,1,11,NA,NA,2,3,3,NA,NA,NA,NA
"188","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_FORMATO.jpeg",63013,17,"PAL","lat","Nulo",0,12.25,0,5.63,"Palmeiras",4,29,NA,14,61,51,4,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA
"189","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,17,"SAN","lat","Provável",4.7,9.64,1.05,3.84,"Santos",1,8,1,3,25,21,3,NA,4,NA,NA,4,1,NA,NA,NA,NA,NA
"190","Luis Manuel Seijas Gunther","seijas","Seijas","https://s.glbimg.com/es/sde/f/2018/04/20/91a8e5439b7ee43f7646d5a702d383cb_FORMATO.png",70742,17,"INT","mei","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Rhayner Santos Nascimento","rhayner","Rhayner","https://s.glbimg.com/es/sde/f/2018/03/21/1c75f0c2bcf179c6d2dbb10dd5f8535f_FORMATO.png",70874,17,"VIT","ata","Contundido",0,8.58,0,3.25,"Vitória",4,24,6,20,26,20,NA,NA,9,1,NA,NA,NA,1,NA,NA,NA,NA
"192","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2018/03/20/5302f545b04fee129a787fd002b3ca0f_FORMATO.png",70666,17,"COR","zag","Provável",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2018/06/26/eb77544d357fee2145df2f9d52c619d1_FORMATO.png",70784,17,"SAO","ata","Provável",12,10.3,1.84,6.5,"São Paulo",1,5,3,7,7,10,NA,NA,1,NA,NA,2,1,2,NA,NA,NA,NA
"194","Mário Rogério Reis Micale ","rogerio-micale","Rogério Micale","https://s.glbimg.com/es/sde/f/2018/03/21/b716462900fb6d306d797525d21c94c2_FORMATO.png",70526,17,"PAR","tec","Provável",1.94,6.87,0.09,3.14,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,17,"BAH","zag","Nulo",0,2,0,-0.45,"Bahia",1,3,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,17,"FLA","ata","Dúvida",1.7,7.85,-1.91,4.38,"Flamengo",NA,2,5,1,6,3,NA,NA,1,1,NA,3,1,1,NA,NA,NA,NA
"197","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/20/32e84c4039d121a904d169b4a6a4ad1d_FORMATO.png",69177,17,"FLU","lat","Nulo",0.2,3.27,-0.69,1.54,"Fluminense",4,12,1,8,7,8,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA
"198","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,17,"CEA","tec","Provável",3.78,7.28,-0.01,4.03,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,17,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,12,2,5,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,17,"GRE","zag","Contundido",5.2,10.48,0.94,5.24,"Grêmio",1,17,2,8,17,17,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"201","Hernán Barcos","barcos","Barcos","https://s.glbimg.com/es/sde/f/2018/07/15/014627951a9b920652b82877cae3a55e_FORMATO.png",78379,17,"CRU","ata","Nulo",0,7.42,0,2.55,"Cruzeiro",NA,5,3,3,8,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1
"202","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,17,"CEA","lat","Nulo",0,4.03,0,1.5,"Ceará",3,13,1,14,16,5,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA
"203","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,17,"CEA","ata","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,17,"SAN","mei","Nulo",0,10.02,0,3.75,"Santos",3,23,14,17,43,22,NA,NA,16,1,NA,NA,1,NA,NA,NA,NA,NA
"205","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,17,"FLA","ata","Dúvida",5.2,13.47,-1.53,5.2,"Flamengo",NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2018/05/08/cf32acce95d925ec92b7e084202c7e06_FORMATO.png",69138,17,"ATL","ata","Suspenso",-0.9,9.5,-2.39,3.98,"Atlético-PR",3,31,16,11,16,21,NA,NA,8,NA,NA,13,4,1,NA,NA,NA,NA
"207","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2018/05/25/d1aa684a9cd6db81f6b731e89f9ae993_FORMATO.png",78577,17,"CEA","mei","Nulo",0,4.65,0,1.72,"Ceará",NA,11,3,8,20,12,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"208","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,17,"FLA","lat","Suspenso",1.9,13.01,-0.26,6.26,"Flamengo",3,20,2,16,58,44,9,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA
"209","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2018/07/09/c423c8ca4d7c6cdc1082532652fa4d73_FORMATO.png",78654,17,"CEA","zag","Nulo",1.7,4.76,-0.2,3.63,"Ceará",1,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,17,"BAH","gol","Contundido",0,3.4,0,0.87,"Bahia",2,1,NA,2,6,NA,3,NA,NA,NA,1,NA,NA,NA,9,15,1,NA
"211","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,17,"GRE","mei","Nulo",0,3.94,0,0.27,"Grêmio",6,15,5,16,22,11,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"212","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,17,"COR","mei","Provável",0,12.81,0,4.93,"Corinthians",5,30,4,21,28,53,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"213","Bryan Silva Garcia","bryan","Bryan","https://s.glbimg.com/es/sde/f/2018/03/21/a8f3ed5f7b584d647a494bae8c83e9f0_FORMATO.png",78632,17,"VIT","lat","Provável",-0.7,5.07,0.26,0.35,"Vitória",1,9,1,9,18,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"214","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/05/26/c262791e94df94c4a25cc800029ae88e_FORMATO.png",78850,17,"SAO","lat","Provável",2.9,11.29,-1.17,5.79,"São Paulo",2,23,9,12,38,21,5,NA,5,NA,NA,1,2,1,NA,NA,NA,NA
"215","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,17,"VIT","gol","Nulo",0,2,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,17,"PAL","mei","Provável",-1.7,6.88,-0.23,3.55,"Palmeiras",2,16,NA,10,9,22,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"217","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2018/03/21/bb96e12d42dead8632e9cf0a06183eec_FORMATO.png",78866,17,"PAR","ata","Nulo",0,1.64,0,2.43,"Paraná",2,11,6,8,9,1,NA,NA,NA,2,NA,5,1,1,NA,NA,NA,NA
"218","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,17,"INT","mei","Provável",4.2,10.52,0.7,3.02,"Internacional",7,43,1,17,22,50,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"219","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,17,"PAR","gol","Nulo",0,7.57,0,5.23,"Paraná",NA,1,NA,1,5,NA,4,NA,NA,NA,NA,NA,NA,NA,18,11,1,NA
"220","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,17,"SAN","zag","Provável",2.3,3.34,0.63,0.25,"Santos",2,4,NA,1,5,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"221","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,17,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"222","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,17,"CHA","ata","Provável",0,6.14,0,2.31,"Chapecoense",1,23,9,18,8,11,NA,1,5,1,NA,9,2,NA,NA,NA,NA,NA
"223","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,17,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,17,"PAR","gol","Provável",-2,2.98,-1.2,-0.5,"Paraná",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
"225","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/04/09/a194ce2c097d00d462468c507706916a_FORMATO.png",73635,17,"VAS","ata","Contundido",0,2.99,0,0.1,"Vasco",1,1,2,8,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"226","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,17,"SPO","mei","Provável",5.5,6.89,0.82,3.11,"Sport",1,10,8,24,29,14,NA,NA,5,NA,NA,2,2,1,NA,NA,NA,NA
"227","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png",70360,17,"SAN","ata","Contundido",0,7.4,0,2.13,"Santos",1,16,7,19,23,11,NA,NA,1,1,NA,8,NA,3,NA,NA,NA,NA
"228","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,17,"SPO","ata","Provável",0,8.63,0,3.32,"Sport",NA,12,14,25,16,4,NA,NA,8,NA,NA,6,2,1,NA,NA,NA,NA
"229","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,17,"CRU","ata","Contundido",0,2.31,0,0.83,"Cruzeiro",3,19,6,17,4,4,NA,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA
"230","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,17,"BAH","zag","Provável",2.8,7.92,0.21,3.57,"Bahia",2,23,8,12,21,17,3,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA
"231","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,17,"PAR","mei","Provável",0.2,4.59,-0.24,2.63,"Paraná",5,19,5,26,9,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2017/08/23/21ca677e7d6a57d1dfb2b66e74d782f4_FORMATO.png",73620,17,"SAO","zag","Nulo",3.5,10.52,-0.99,4.4,"São Paulo",3,15,1,4,12,18,5,NA,1,1,NA,3,1,NA,NA,NA,NA,NA
"233","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,17,"CRU","mei","Nulo",0,4.69,0,1.98,"Cruzeiro",3,22,6,12,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Lucas Daniel Romero","lucas-romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2018/05/07/5afee43c79c6ee5a180385ef4550fd6c_FORMATO.png",84558,17,"CRU","mei","Nulo",2.4,5.06,0.37,2.18,"Cruzeiro",1,18,2,11,26,24,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"235","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,17,"PAR","mei","Nulo",0,4.68,0,1.57,"Paraná",2,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"236","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,17,"PAL","zag","Nulo",0,8.58,0,2.88,"Palmeiras",4,13,3,5,17,10,4,NA,3,2,NA,1,1,NA,NA,NA,NA,NA
"237","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/03/21/80a060ad2737a4abce46a048d853c93e_FORMATO.png",79887,17,"INT","lat","Provável",4,8.73,-0.69,3.97,"Internacional",2,8,3,1,29,13,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"238","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,17,"INT","zag","Dúvida",5.3,18.3,-0.76,7.97,"Internacional",5,18,1,13,29,53,8,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
"239","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,17,"CHA","zag","Nulo",0,3.8,0,0,"Chapecoense",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Odair Souza ","nenen","Nenén","https://s.glbimg.com/es/sde/f/2018/05/24/42f440f0883376df8bb747b658bbc47d_FORMATO.png",79892,17,"CHA","mei","Nulo",0,2.08,0,0.1,"Chapecoense",NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/05/17/76f9aa43f58c549a5956db25ad0804f3_FORMATO.png",80080,17,"BOT","ata","Nulo",0,4.76,0,2.09,"Botafogo",1,6,4,14,7,2,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA
"242","Matheus Mancini","matheus-mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2018/05/07/6f7e5971bc24d9767f330971e875d599_FORMATO.png",80124,17,"ATL","zag","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,17,"AME","zag","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,17,"CEA","ata","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2018/05/23/94f8a60d067a1f1b2253bc082aaa653e_FORMATO.png",70986,17,"SAN","mei","Nulo",0,8.14,0,2.29,"Santos",2,9,4,10,3,13,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA
"246","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2018/05/25/e26f5033484f9b036cf9109ee7829470_FORMATO.png",70925,17,"CEA","mei","Contundido",0,4.23,0,1.94,"Ceará",1,13,5,4,18,5,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA
"247","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2018/03/21/e56086be050e46bbe8c085917b5255c1_FORMATO.png",70934,17,"BAH","zag","Nulo",0,4,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Javier Arley Reina Calvo","reina","Reina","https://s.glbimg.com/es/sde/f/2018/05/25/644b3e996f44835c5c708d4d081cf8d7_FORMATO.png",70118,17,"CEA","mei","Nulo",-0.8,1.36,0.09,-0.31,"Ceará",1,8,NA,4,9,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,17,"PAL","mei","Nulo",0.7,11.27,-2.27,6.52,"Palmeiras",3,40,9,25,34,40,NA,NA,1,1,NA,NA,5,2,NA,NA,NA,NA
"250","Francisco Jackson Menezes da Costa","jackson-caucaia","Jackson Caucaia","https://s.glbimg.com/es/sde/f/2018/05/25/a10dec2af40e8217db1a00b9de476961_FORMATO.png",70162,17,"CEA","mei","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,17,"CHA","mei","Nulo",2.8,7.99,0.47,2.66,"Chapecoense",2,18,4,13,65,26,NA,NA,2,1,NA,NA,2,1,NA,NA,NA,NA
"252","Federico Mancuello","mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2018/05/07/0f1aad8b26fa5e7442bde1e17cfc4dfb_FORMATO.png",71066,17,"CRU","mei","Provável",6,3.58,1.42,0.75,"Cruzeiro",NA,11,4,5,13,6,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,17,"SAN","mei","Nulo",0,15,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Wesley Pacheco Gomes","wesley-pacheco","Wesley Pacheco","https://s.glbimg.com/es/sde/f/2018/08/03/ea270ab009fd58368038d269b29192ba_FORMATO.png",71121,17,"AME","ata","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,17,"BOT","mei","Nulo",0,3.8,0,1.67,"Botafogo",1,2,3,5,9,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"256","Diego Vicente Aguirre Camblor","diego-aguirre","Diego Aguirre","https://s.glbimg.com/es/sde/f/2018/05/26/dcbc37c3f6682ed7f7fe61f97e02ff48_FORMATO.png",73766,17,"SAO","tec","Provável",3.79,12.27,-0.42,5.01,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Alexander Baumjohann","alex-baumjohann","Alex Baumjohann","https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png",71389,17,"VIT","mei","Nulo",0,1.65,0,-0.1,"Vitória",NA,5,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2018/03/21/ee24f88a02643b2d857cc1e13777af46_FORMATO.png",71162,17,"BAH","mei","Provável",-0.2,4.81,0.15,1.77,"Bahia",2,10,16,7,41,7,NA,NA,8,NA,NA,1,2,NA,NA,NA,NA,1
"259","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,17,"SAO","zag","Nulo",0,12.76,0,6.55,"São Paulo",NA,2,NA,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png",71549,17,"VAS","ata","Nulo",0.5,5.65,0.2,2.01,"Vasco",1,4,1,5,9,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"261","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/05/08/b49a52f81f691127e1693a8fc8a73d1b_FORMATO.png",71571,17,"VAS","gol","Nulo",0,6.38,0,1.12,"Vasco",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
"262","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,17,"PAR","zag","Provável",-0.4,2.92,-0.17,1.96,"Paraná",3,14,5,10,12,16,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"263","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/04/09/849b6dffedf69d16c97188a32027f6a9_FORMATO.png",73936,17,"VAS","mei","Provável",3.4,8.2,0.91,3.27,"Vasco",1,23,2,12,38,42,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"264","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,17,"FLA","ata","Nulo",-0.3,4.33,-0.27,1.8,"Flamengo",2,6,1,1,7,7,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA
