"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","GC","I","PI","SG","DD","DP","GS","CV","PP"
"196","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,23,265,"ata","Nulo",8.5,6.08,1.14,2.66,13,"265",1,1,7,12,6,5,15,NA,3,NA,3,67,NA,NA,NA,NA,NA,1
"197","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,23,373,"zag","Provável",4.2,5.41,-0.61,2.22,14,"373",NA,5,19,22,1,3,7,NA,1,NA,NA,20,4,NA,NA,NA,NA,NA
"198","Jemerson de Jesus Nascimento","jemerson","Jemerson","https://s.glbimg.com/es/sde/f/2020/11/06/e198e31fd420c974a4af352bc0fd0a4d_FORMATO.png",84263,23,264,"zag","Nulo",0,7,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2020/03/06/88d17bd8903f1e821665cdd49c0bf7d9_FORMATO.png",84339,23,356,"lat","Nulo",0,4.52,0,2.62,13,"356",NA,3,13,19,2,2,8,NA,2,NA,2,64,4,NA,NA,NA,NA,NA
"200","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,23,356,"gol","Nulo",0,3.76,0,11.4,1,"356",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,21,1,2,NA,NA,NA,NA
"201","Raul Prata","raul-prata","Raul Prata","https://s.glbimg.com/es/sde/f/2020/02/27/9cee4ad663339179015a63de55e0cde2_FORMATO.png",84855,23,292,"lat","Nulo",0,5.56,0,6.85,2,"292",NA,NA,4,1,NA,NA,2,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA
"202","Maurício Nogueira Barbieri","mauricio-barbieri","Maurício Barbieri","https://s.glbimg.com/es/sde/f/2020/09/04/e02bb39b647e439b21dc457b3d833853_FORMATO.png",82792,23,280,"tec","Provável",4.72,7.54,0.09,3.34,15,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,23,264,"mei","Nulo",0,9.75,0,2.65,10,"264",1,5,12,15,9,9,30,2,NA,NA,1,65,NA,NA,NA,NA,1,NA
"204","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,23,266,"lat","Nulo",0,2.28,0,0.23,14,"266",1,4,21,37,2,3,2,NA,1,NA,1,195,3,NA,NA,NA,1,NA
"205","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,23,264,"mei","Nulo",0,4.78,0,1.09,12,"264",1,2,12,14,2,4,11,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
"206","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png",86391,23,292,"lat","Suspenso",0,7.63,0,2.11,13,"292",NA,2,34,12,1,3,21,NA,NA,NA,NA,107,1,NA,NA,NA,1,NA
"207","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,23,373,"mei","Nulo",-0.3,1.6,-0.24,0.92,4,"373",NA,NA,1,3,1,1,1,1,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
"208","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,23,290,"gol","Nulo",0,0.77,0,-3.45,2,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,1,NA,3,NA,NA
"209","Vinicius Silvestre da Costa","vinicius-silvestre","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png",85083,23,275,"gol","Nulo",0,3,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Roberto Pimenta Vinagre Filho","betinho","Betinho","https://s.glbimg.com/es/sde/f/2020/02/27/d7282d39e0f03cd1978cb07173ea3ead_FORMATO.png",82876,23,292,"mei","Nulo",0,4.89,0,2,10,"292",1,3,30,22,NA,3,10,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA
"211","Rafael Forster","rafael-forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2020/07/25/45f0a542e4a96e80e8787fdca06ccec8_FORMATO.png",82764,23,263,"zag","Nulo",0,3.83,0,1.04,14,"263",NA,2,11,13,1,5,11,NA,NA,NA,NA,65,3,NA,NA,NA,1,NA
"212","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,23,263,"lat","Nulo",0,9.65,0,4.64,15,"263",1,NA,42,14,5,3,13,NA,2,NA,NA,121,3,NA,NA,NA,NA,1
"213","Marcos da Silva França","keno","Keno","https://s.glbimg.com/es/sde/f/2020/08/31/1c7eb530ff0944a5fb26c266c76aac9c_FORMATO.png",86485,23,282,"ata","Nulo",0,14.93,0,7.37,20,"282",3,4,28,25,21,25,30,4,10,NA,17,188,NA,NA,NA,NA,NA,NA
"214","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,23,277,"gol","Nulo",0,7.19,0,3.71,18,"Santos",NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,112,3,27,NA,21,NA,NA
"215","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,23,276,"lat","Provável",-0.4,3.72,-0.48,1.49,14,"276",1,2,14,9,NA,1,13,NA,NA,NA,NA,69,2,NA,NA,NA,NA,NA
"216","Lucas Vinícius Gonçalves Silva","lucao-do-break","Lucão do Break","https://s.glbimg.com/es/sde/f/2020/08/26/327d8ca1e3d966621e0b1f2489f9b43a_FORMATO.jpeg",83199,23,290,"ata","Nulo",0,1.92,0,-2,1,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Rafael Thyere de Albuquerque Marques","rafael-thyere","Rafael Thyere","https://s.glbimg.com/es/sde/f/2020/02/27/cd5877e8c279581d18c1826dd364a279_FORMATO.png",83048,23,292,"zag","Nulo",0,4.25,0,5.2,2,"292",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA
"218","Jonathan Francisco Lemos","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2020/08/18/63c72daeb92b49638ecf5505f27b7806_FORMATO.png",86713,23,294,"lat","Nulo",0,4.82,0,3.24,12,"Coritiba",NA,1,27,7,1,2,7,1,NA,NA,1,64,3,NA,NA,NA,NA,NA
"219","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/09/12/e3f2361fc0584d13ce3b65e8673cf1e6_FORMATO.png",86264,23,373,"lat","Nulo",0,3.54,0,1.99,8,"373",NA,1,9,6,1,3,8,NA,NA,NA,1,52,2,NA,NA,NA,NA,NA
"220","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,23,276,"mei","Nulo",1.1,7.44,-0.31,2.28,17,"276",NA,2,22,12,6,8,22,NA,1,NA,NA,58,NA,NA,NA,NA,NA,NA
"221","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,23,264,"mei","Nulo",0,7.38,0,2.33,12,"264",1,1,13,10,3,6,12,1,1,NA,NA,84,NA,NA,NA,NA,NA,NA
"222","Ronaldo Henrique Ferreira da Silva","ronaldo-henrique","Ronaldo Henrique","https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png",85149,23,292,"mei","Nulo",-0.6,2.51,-0.22,0.34,10,"292",NA,2,11,11,NA,1,6,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
"223","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,23,280,"mei","Nulo",0,4.86,0,1.96,18,"280",1,8,48,52,3,10,22,NA,1,NA,NA,63,NA,NA,NA,NA,NA,NA
"224","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,23,373,"mei","Provável",-2.2,2.95,-0.07,0.76,13,"373",1,2,10,6,4,2,17,NA,NA,NA,NA,79,NA,NA,NA,NA,1,NA
"225","Guilherme Antonio Arana Lopes","guilherme-arana","Guilherme Arana","https://s.glbimg.com/es/sde/f/2020/08/31/cf251bf07d0350a8081b6b0e7bfb7950_FORMATO.png",87228,23,282,"lat","Nulo",0,16.51,0,5.06,21,"282",3,3,35,25,15,15,17,NA,3,NA,1,225,7,NA,NA,NA,NA,NA
"226","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,23,284,"mei","Nulo",0,5.17,0,2.11,11,"284",NA,1,12,8,3,5,8,NA,1,NA,NA,24,NA,NA,NA,NA,NA,NA
"227","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,23,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,5,NA,3,NA,NA
"228","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/11/18/2e97acab2ac95708854691c5e1effc73_FORMATO.png",86143,23,356,"zag","Nulo",0,3.36,0,1.2,1,"356",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"229","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,23,282,"mei","Nulo",0,10.02,0,4.23,13,"282",1,NA,17,6,7,6,7,NA,3,NA,2,36,NA,NA,NA,NA,NA,NA
"230","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,23,282,"mei","Nulo",0,10.93,0,3.48,14,"282",2,1,16,20,7,9,16,1,2,NA,2,70,NA,NA,NA,NA,NA,NA
"231","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,23,280,"ata","Nulo",0,2.49,0,0.28,13,"280",NA,NA,6,9,3,7,8,NA,NA,NA,2,51,NA,NA,NA,NA,1,NA
"232","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,23,293,"mei","Nulo",0,2,0,0.82,14,"293",NA,2,20,16,1,2,10,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA
"233","Sidcley Ferreira Pereira","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2020/03/02/d76b28f383366667813428ea01aaab63_FORMATO.png",86764,23,264,"lat","Nulo",0,6.17,0,2.03,8,"264",NA,NA,12,4,1,1,9,NA,NA,NA,1,47,1,NA,NA,NA,NA,NA
"234","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,23,293,"zag","Provável",0.7,5.01,-1.33,3.46,14,"293",NA,1,27,7,1,2,9,NA,NA,NA,NA,53,5,NA,NA,NA,NA,NA
"235","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,23,284,"lat","Nulo",0,6,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Carlos Vinícius Santos de Jesus","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2020/08/17/5391bf0dc50dad3b0f7d2b294c2e38ad_FORMATO.png",87273,23,267,"mei","Nulo",3.5,4.21,0.42,1.42,13,"267",1,NA,11,10,1,7,12,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA
"237","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,23,277,"ata","Contundido",0,5.16,0,2.95,4,"Santos",NA,NA,8,7,2,2,11,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA
"238","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,23,373,"mei","Provável",-0.2,2.69,-0.86,1.35,11,"373",NA,1,24,16,2,5,6,NA,NA,NA,1,29,NA,NA,NA,NA,1,NA
"239","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,23,276,"mei","Nulo",0.3,7.07,-0.61,2.71,16,"276",1,2,11,6,7,9,20,NA,2,NA,2,63,NA,NA,NA,NA,NA,NA
"240","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,23,277,"ata","Nulo",8.3,7.82,1.39,3.41,15,"Santos",3,5,7,10,7,12,29,NA,3,NA,3,109,NA,NA,NA,NA,NA,NA
"241","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,23,265,"lat","Nulo",0,6.03,0,2.67,6,"265",NA,1,5,3,NA,4,NA,NA,1,NA,NA,17,1,NA,NA,NA,NA,NA
"242","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,23,284,"zag","Nulo",0,10.7,0,4.34,7,"284",NA,4,24,23,2,2,9,NA,NA,NA,NA,26,4,NA,NA,NA,NA,NA
"243","Gabriel Boschilia","boschilia","Boschilia","https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png",86841,23,285,"mei","Contundido",0,8.45,0,3.81,13,"285",1,2,40,24,9,5,14,NA,1,NA,NA,92,NA,NA,NA,NA,NA,NA
"244","João Paulo da Silva Alves","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2020/11/17/9fdf11f57baeb28d97181c41f210d7a5_FORMATO.png",86770,23,356,"mei","Nulo",0,7,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,23,373,"mei","Provável",1,2.87,-0.28,1.11,17,"373",1,2,7,20,2,11,28,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA
"246","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2020/07/21/6ad752ca6185d76358f944dab95130fd_FORMATO.png",87863,23,262,"mei","Nulo",0,19.17,0,6.78,11,"Flamengo",3,NA,18,11,8,9,13,1,4,NA,NA,111,NA,NA,NA,NA,NA,NA
"247","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2020/02/28/4d5c465a6fd405b025d4ca76e81d24a1_FORMATO.png",86972,23,275,"zag","Nulo",5.4,3.97,0.78,2.32,4,"275",NA,1,4,3,NA,NA,2,NA,NA,NA,NA,22,2,NA,NA,NA,NA,NA
"248","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,23,282,"zag","Nulo",0,9.77,0,3.08,17,"282",1,5,36,28,4,10,1,1,NA,NA,NA,111,6,NA,NA,NA,NA,NA
"249","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2020/07/28/10421e422ea8a27f59d89f98423c8dab_FORMATO.png",88423,23,280,"lat","Provável",7,9.37,0.28,2.63,20,"280",NA,2,61,42,2,7,20,NA,NA,NA,1,207,4,NA,NA,NA,NA,NA
"250","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,23,356,"lat","Contundido",0,6.72,0,2.74,17,"356",1,1,12,14,3,2,14,NA,1,NA,2,57,6,NA,NA,NA,1,NA
"251","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2020/10/29/46f07bfe5b86d16343f64516421ab810_FORMATO.png",86859,23,263,"mei","Nulo",0,3.81,0,2.6,4,"263",NA,NA,8,2,NA,3,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"252","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,23,275,"mei","Nulo",5.7,6.34,-0.25,1.86,12,"275",2,2,7,8,7,6,8,1,NA,NA,NA,70,NA,NA,NA,NA,NA,NA
"253","Douglas Baggio de Oliveira Costa","douglas-baggio","Douglas Baggio","https://s.glbimg.com/es/sde/f/2020/08/18/1b11ac648b9f3aacd312e40873a191f0_FORMATO.png",88072,23,290,"ata","Contundido",0,4.42,0,2.34,12,"290",NA,NA,17,12,4,5,19,1,NA,NA,1,38,NA,NA,NA,NA,NA,NA
"254","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,23,276,"ata","Nulo",0,2.82,0,0.25,4,"276",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"255","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,23,282,"zag","Nulo",0,7.19,0,3.9,2,"282",NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"256","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,23,266,"mei","Contundido",0,3.81,0,2.04,16,"266",NA,2,27,20,3,6,19,NA,1,NA,1,57,NA,NA,NA,NA,NA,NA
"257","Alan Pereira Empereur","alan-empereur","Alan Empereur","https://s.glbimg.com/es/sde/f/2020/11/09/0f9a49104e8f171fcf62eecc85255e66_FORMATO.png",88033,23,275,"zag","Nulo",4.9,6.08,0.08,4.9,1,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"258","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2020/07/19/41ce77506da0f68a1af80fc131b3ce50_FORMATO.png",89226,23,292,"zag","Provável",0.8,5.94,-0.21,2.27,20,"292",NA,4,26,22,2,6,13,NA,3,NA,NA,140,3,NA,NA,NA,NA,NA
"259","Luan Polli Gomes","luan-polli","Luan Polli ","https://s.glbimg.com/es/sde/f/2020/02/27/bd93895c12a44bedff2c8516452fc868_FORMATO.png",88916,23,292,"gol","Provável",-8.9,2.87,-2.58,1.21,15,"292",NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,189,4,17,NA,23,NA,NA
"260","Marcos Vinicius Serrato","marcos-serrato","Marcos Serrato","https://s.glbimg.com/es/sde/f/2020/09/23/0572f6d3ff5c4a259bb808efddb9cfda_FORMATO.png",88307,23,292,"mei","Nulo",0,2.3,0,-0.1,1,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"261","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,23,262,"mei","Nulo",0,9.59,0,2.98,17,"Flamengo",1,5,35,36,6,9,65,NA,NA,NA,2,73,NA,NA,NA,NA,NA,NA
"262","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,23,373,"mei","Nulo",0,7.77,0,2.07,19,"373",1,4,20,29,3,13,37,NA,2,NA,6,87,NA,NA,NA,NA,NA,NA
"263","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,23,354,"lat","Provável",3.5,8.18,0.61,3.55,17,"354",2,1,45,25,NA,3,21,NA,NA,NA,NA,130,5,NA,NA,NA,1,NA
"264","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,23,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",2,4,39,26,2,3,7,1,NA,NA,NA,66,NA,NA,NA,NA,NA,NA
"265","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2020/08/11/87b4fea563db3d41db70885180069dfb_FORMATO.png",89883,23,266,"mei","Nulo",0,11.12,0,4.12,19,"266",NA,3,64,23,4,10,34,NA,1,NA,NA,58,NA,NA,NA,NA,NA,NA
"266","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2020/08/31/3e81a4b7346c3b3aec5a43ccf3aa2197_FORMATO.png",89493,23,282,"zag","Nulo",0,12.18,0,3.18,16,"282",1,1,18,16,1,1,14,1,1,NA,NA,71,5,NA,NA,NA,NA,NA
"267","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/c6deeaacd987fda728f5e5cb9a7d733c_FORMATO.png",90285,23,262,"ata","Nulo",0,14.49,0,4.88,15,"Flamengo",3,7,15,26,8,9,38,3,5,NA,4,86,NA,NA,NA,NA,NA,1
"268","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,23,356,"mei","Nulo",0,2.57,0,0.66,15,"356",NA,1,17,19,1,2,8,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
"269","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,23,354,"ata","Nulo",0.9,5.39,-0.17,2.14,15,"354",1,3,22,10,3,7,20,NA,1,NA,1,56,NA,NA,NA,NA,1,NA
"270","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,23,294,"mei","Nulo",0,3.99,0,1.85,17,"Coritiba",NA,2,34,29,NA,5,37,NA,NA,NA,1,60,NA,NA,NA,NA,NA,NA
"271","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,23,282,"ata","Nulo",0,6.52,0,3.68,17,"282",4,2,7,14,5,17,18,3,3,NA,7,116,NA,NA,NA,NA,NA,NA
"272","Jadson Cristiano Silva de Morais","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/11/11/9cd8c17f449c11311b6d55fdc1c818b4_FORMATO.png",90428,23,267,"zag","Nulo",0,4.92,0,3.65,2,"267",NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"273","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,23,285,"lat","Contundido",0,10.51,0,3.39,14,"285",2,1,33,31,1,5,4,NA,NA,NA,2,141,6,NA,NA,NA,NA,NA
"274","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,23,356,"ata","Nulo",0,5.5,0,2.71,19,"356",2,4,16,41,2,13,23,NA,5,NA,7,67,NA,NA,NA,NA,NA,NA
"275","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,23,265,"lat","Nulo",0,4.26,0,-0.8,1,"265",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"276","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,23,266,"mei","Nulo",0,2.19,0,1.14,10,"266",NA,3,19,15,3,3,6,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA
"277","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,23,263,"gol","Nulo",0,1.04,0,-2.8,1,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA
