"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","A","DD","GS","SG","FT","PP","CV","DP","GC"
"188","Eduardo Jesús Vargas Rojas","vargas","Vargas","https://s.glbimg.com/es/sde/f/2020/11/09/cb8b9463d4eb0ae15c7d51da96d5d3ac_FORMATO.png",69102,29,282,"ata","Provável",4,9.04,0.04,3.92,5,"282",1,3,2,2,4,6,1,5,25,1,NA,NA,NA,1,NA,NA,NA,NA
"189","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,29,354,"gol","Nulo",0,5.77,0,2.65,22,"354",2,NA,1,NA,NA,2,NA,NA,181,NA,29,33,6,NA,NA,NA,NA,NA
"190","Kawan Gabriel da Silva","kawan","Kawan","https://s.glbimg.com/es/sde/f/2019/09/08/a8fc75a1bedde47f33857a4a2b460b64_FORMATO.png",106219,29,293,"mei","Nulo",0,0.72,0,-2.6,1,"293",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Leonardo Javier Realpe Montaño","realpe","Realpe","https://s.glbimg.com/es/sde/f/2020/07/28/b2e83687d1e3ee5357f4fde25603a389_FORMATO.png",106299,29,280,"zag","Nulo",0,2.74,0,0.97,6,"280",1,9,1,NA,1,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,29,277,"zag","Provável",9,7.14,0.85,2.51,23,"Santos",2,37,8,1,4,22,NA,NA,119,1,NA,NA,5,NA,NA,1,NA,NA
"193","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,29,264,"mei","Nulo",0,6.64,0,2.82,11,"264",2,5,2,4,4,19,2,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Raul Prata","raul-prata","Raul Prata","https://s.glbimg.com/es/sde/f/2020/02/27/9cee4ad663339179015a63de55e0cde2_FORMATO.png",84855,29,292,"lat","Provável",-0.4,4.38,-0.95,3.44,7,"292",1,9,4,1,NA,2,NA,NA,31,NA,NA,NA,4,NA,NA,NA,NA,NA
"195","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,29,277,"zag","Nulo",0,7.4,0,2.2,15,"Santos",6,32,23,4,4,7,1,2,90,1,NA,NA,2,NA,NA,NA,NA,NA
"196","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,29,267,"lat","Provável",13.5,8.26,1.4,2.67,19,"267",6,46,35,2,NA,19,NA,3,110,1,NA,NA,6,NA,NA,NA,NA,NA
"197","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,29,266,"gol","Provável",0,1.91,0,1.35,8,"266",NA,NA,NA,NA,NA,1,NA,NA,77,1,7,10,1,NA,NA,NA,NA,NA
"198","Saulo Rodrigues da Silva","saulo-mineiro","Saulo Mineiro","https://s.glbimg.com/es/sde/f/2020/09/24/6ceba057ce17022449326aff9d66b9c0_FORMATO.png",98274,29,354,"ata","Nulo",-0.1,2.91,-0.2,2.1,9,"354",1,5,17,1,4,5,2,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA
"199","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,29,265,"mei","Nulo",0,3.78,0,2.13,14,"265",4,39,27,1,5,14,NA,NA,48,1,NA,NA,NA,NA,NA,NA,NA,NA
"200","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2020/02/27/d6d33f8f9a956799465c508d4d9e4263_FORMATO.png",69051,29,285,"gol","Contundido",0,4.43,0,1.4,1,"285",1,NA,NA,NA,NA,1,NA,NA,11,NA,1,1,NA,NA,NA,NA,NA,NA
"201","Gabriel Martins Rodrigues","rodrigues","Rodrigues","https://s.glbimg.com/es/sde/f/2020/07/19/37d941ad25a0ec00d5342f5f5f70df7f_FORMATO.png",106322,29,290,"lat","Nulo",0,2.23,0,2.9,3,"290",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA
"202","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,29,277,"gol","Suspenso",9.5,8.16,2.6,3.35,20,"Santos",3,NA,1,NA,NA,3,NA,NA,140,NA,29,25,4,NA,NA,NA,NA,NA
"203","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,29,277,"mei","Provável",8.7,5.11,1.71,1.81,18,"Santos",6,40,33,1,3,17,2,2,109,1,NA,NA,NA,NA,NA,NA,NA,NA
"204","Leonardo Alves Chú Franco","leo-chu","Léo Chú","https://s.glbimg.com/es/sde/f/2020/03/02/485559baefe71f75a76a1d43fe678c8e_FORMATO.png",106820,29,354,"ata","Provável",10.1,4.54,1.6,4.47,12,"354",2,25,10,2,7,12,1,7,58,5,NA,NA,NA,NA,NA,NA,NA,NA
"205","Leandro Miguel Fernández","leandro-fernandez","Leandro Fernández","https://s.glbimg.com/es/sde/f/2020/09/04/82a78869a31f588ee0291f918d0ad936_FORMATO.png",93303,29,285,"ata","Nulo",0,5.98,0,1.5,7,"285",2,2,6,4,9,7,NA,4,30,1,NA,NA,NA,NA,NA,NA,NA,NA
"206","Vivaldo Borges dos Santos Neto","neto-borges","Neto Borges","https://s.glbimg.com/es/sde/f/2020/08/17/41d8394a0ac3ed1a3309fad199f7520d_FORMATO.png",106411,29,267,"lat","Nulo",0,4.88,0,2.98,15,"267",3,31,17,3,2,14,NA,1,86,1,NA,NA,4,NA,NA,NA,NA,NA
"207","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,29,280,"mei","Provável",8.3,5.43,1.03,2.34,22,"280",8,53,53,3,14,25,2,NA,73,1,NA,NA,NA,NA,NA,NA,NA,NA
"208","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,29,267,"mei","Nulo",10,7.31,1.5,3.19,19,"267",6,62,41,6,4,31,1,NA,77,2,NA,NA,NA,NA,NA,1,NA,NA
"209","Carlos Eugenio Júnior Tavares dos Santos","junior-tavares","Júnior Tavares","https://s.glbimg.com/es/sde/f/2020/11/13/367591fd75a306390b5722859941a1c2_FORMATO.png",89343,29,292,"lat","Provável",-1.3,4.71,-1.43,3.34,12,"292",NA,16,10,2,5,21,NA,1,73,NA,NA,NA,4,NA,NA,NA,NA,NA
"210","Vinicius Silvestre da Costa","vinicius-silvestre","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png",85083,29,275,"gol","Nulo",0,3,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,29,282,"mei","Provável",11.2,12.65,-0.77,4.57,18,"282",2,20,24,10,12,24,5,2,103,2,NA,NA,NA,2,NA,NA,NA,NA
"212","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,29,264,"mei","Nulo",0,6.35,0,1.65,13,"264",2,15,14,2,4,12,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA
"213","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/11/18/2e97acab2ac95708854691c5e1effc73_FORMATO.png",86143,29,356,"zag","Nulo",5.2,3.9,0.67,2.53,3,"356",NA,3,1,NA,NA,2,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA
"214","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,29,294,"mei","Nulo",0,3.84,0,1.46,20,"Coritiba",4,38,35,NA,5,40,NA,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Bruno Nunes de Barros","bruno-tubarao","Bruno Tubarão","https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png",93637,29,280,"mei","Nulo",0.1,3.49,-0.15,2.39,21,"280",3,33,16,5,12,13,1,2,91,1,NA,NA,NA,2,NA,NA,NA,NA
"216","Igor Marques Paciência Cardoso","igor-formiga","Igor Formiga","https://s.glbimg.com/es/sde/f/2020/09/15/7f27f40ad90d38e340989d3076982f60_FORMATO.png",106708,29,264,"lat","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Ronaldo Henrique Ferreira da Silva","ronaldo-henrique","Ronaldo Henrique","https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png",85149,29,292,"mei","Nulo",0,2.52,0,0.49,15,"292",3,18,19,NA,4,12,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,29,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",4,39,26,2,3,7,NA,NA,66,2,NA,NA,NA,1,NA,NA,NA,NA
"219","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,29,265,"mei","Nulo",1.8,4.49,0.09,2.13,20,"265",3,11,17,4,5,30,3,NA,95,2,NA,NA,NA,1,NA,1,NA,NA
"220","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,29,276,"lat","Nulo",-0.2,3.58,-0.19,1.33,16,"276",2,14,10,NA,2,15,NA,NA,78,1,NA,NA,2,NA,NA,NA,NA,NA
"221","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/09/12/e3f2361fc0584d13ce3b65e8673cf1e6_FORMATO.png",86264,29,373,"lat","Provável",5.6,4.46,-0.29,2.75,11,"373",1,16,9,1,4,11,NA,2,82,1,NA,NA,3,NA,NA,NA,NA,NA
"222","Mauricio Aníbal Isla Isla","isla","Isla","https://s.glbimg.com/es/sde/f/2020/08/28/bfa17ba766cfaa70d4c11c51304fc336_FORMATO.png",69345,29,262,"lat","Provável",4.4,9.01,0.1,3.54,19,"Flamengo",4,42,23,NA,2,12,1,6,129,5,NA,NA,4,NA,NA,NA,NA,NA
"223","Diego Churín Puyo","churin","Churín","https://s.glbimg.com/es/sde/f/2020/10/26/a511db6b41f5552de55575d62a217d3c_FORMATO.png",98289,29,284,"ata","Nulo",2.7,9.08,0.31,3.33,10,"284",NA,9,13,NA,4,15,2,2,29,1,NA,NA,NA,1,NA,NA,NA,NA
"224","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,29,293,"mei","Provável",0,8.44,0,1.93,17,"293",3,12,22,8,12,27,1,8,108,2,NA,NA,NA,2,1,NA,NA,NA
"225","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2020/08/31/3e81a4b7346c3b3aec5a43ccf3aa2197_FORMATO.png",89493,29,282,"zag","Nulo",0,11.61,0,3.07,18,"282",2,20,18,1,1,16,1,NA,76,1,NA,NA,6,1,NA,NA,NA,NA
"226","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,29,263,"gol","Nulo",0,1.04,0,-2.8,1,"263",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"227","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,29,373,"mei","Provável",0,4.7,0,1.8,20,"373",3,34,24,9,13,16,NA,NA,120,1,NA,NA,NA,1,NA,1,NA,NA
"228","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2020/08/31/521385a7bf21af42afb472eabe1fbec0_FORMATO.png",70360,29,282,"ata","Nulo",1.2,7.72,-1.31,3.48,21,"282",1,12,16,10,8,22,5,2,65,2,NA,NA,NA,1,1,NA,NA,NA
"229","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,29,293,"zag","Provável",6,6.77,-0.12,3.27,20,"293",3,21,16,2,10,20,1,NA,100,1,NA,NA,9,NA,NA,1,NA,1
"230","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,29,284,"lat","Nulo",10.1,8.2,1.39,3.34,9,"284",1,12,6,2,2,4,NA,NA,79,2,NA,NA,3,NA,NA,NA,NA,NA
"231","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,29,263,"ata","Nulo",1.2,6.74,-0.36,1.65,19,"263",NA,12,15,6,10,16,1,4,74,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","Matheus Rezende Assis","rezende","Rezende","https://s.glbimg.com/es/sde/f/2020/08/26/906a80a770a2e18eff41f8425cbd887a_FORMATO.jpeg",93798,29,290,"mei","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,29,280,"ata","Dúvida",2,2.39,0.27,0.32,17,"280",1,10,18,5,10,11,NA,2,71,NA,NA,NA,NA,NA,NA,1,NA,NA
"234","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,29,267,"zag","Contundido",0,6.91,0,2.57,14,"267",2,21,10,1,4,7,NA,NA,39,NA,NA,NA,4,NA,NA,NA,NA,NA
"235","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,29,267,"zag","Provável",4.9,12.41,-0.68,3.01,19,"267",2,39,22,1,1,18,NA,NA,80,NA,NA,NA,6,NA,NA,NA,NA,NA
"236","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,29,292,"mei","Nulo",0,3.47,0,0.67,6,"292",NA,7,6,NA,NA,3,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,29,276,"ata","Dúvida",-3.1,6.19,-0.86,1.46,19,"276",2,12,25,5,17,14,1,8,34,1,NA,NA,NA,NA,NA,NA,NA,NA
"238","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,29,262,"gol","Dúvida",0,9.26,0,1.86,9,"Flamengo",NA,NA,NA,NA,NA,3,NA,NA,38,NA,9,11,2,NA,NA,1,NA,NA
"239","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,29,276,"ata","Provável",4.8,7.14,0.88,5.41,20,"276",4,12,16,15,16,31,8,5,35,1,NA,NA,NA,1,NA,NA,NA,NA
"240","Breno Henrique Vasconcelos Lopes","breno-lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2020/11/11/302a126478ca4f8021cea45f7b024205_FORMATO.png",93988,29,275,"ata","Nulo",4.5,3.8,0.29,1.23,7,"275",NA,4,4,1,1,3,NA,2,19,NA,NA,NA,NA,2,NA,NA,NA,NA
"241","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,29,293,"mei","Nulo",-0.2,3.69,-0.22,-0.1,2,"293",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Luan Patrick Wiedthauper","luan-patrick","Luan Patrick","https://s.glbimg.com/es/sde/f/2020/02/28/28c6a5315c325c2abe37899978a526e9_FORMATO.png",106835,29,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,29,263,"gol","Provável",2,5.02,0.71,0.65,17,"263",2,1,1,NA,NA,1,NA,NA,99,NA,17,28,1,NA,NA,NA,1,NA
"244","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,29,266,"zag","Provável",0,4.72,0,2.7,7,"266",2,8,7,1,3,3,NA,NA,17,1,NA,NA,2,NA,NA,NA,NA,NA
"245","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,29,264,"zag","Nulo",0,5.6,0,2.74,7,"264",NA,6,5,1,NA,1,NA,NA,10,NA,NA,NA,4,NA,NA,1,NA,NA
"246","Marcos Antônio Cândido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2020/08/17/36ea552764f49b731d549f23f44aee4d_FORMATO.png",93893,29,267,"mei","Nulo",0,3.25,-0.02,1.84,17,"267",NA,27,14,NA,2,18,NA,NA,43,1,NA,NA,NA,NA,NA,NA,NA,NA
"247","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,29,275,"zag","Nulo",0,7.76,0,3.73,8,"275",3,24,9,NA,1,8,NA,NA,35,NA,NA,NA,3,NA,NA,NA,NA,NA
"248","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,29,294,"mei","Contundido",0,4.88,0,1.16,5,"Coritiba",1,9,9,1,2,11,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,29,277,"mei","Provável",-0.1,7.29,-1.17,2.61,25,"Santos",4,55,33,5,8,43,1,2,113,1,NA,NA,NA,NA,NA,NA,NA,NA
"250","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2020/03/09/7526bffb5ffcf8710f171fa2fbd3284a_FORMATO.png",94044,29,277,"gol","Nulo",0,2.25,0,3.45,6,"Santos",NA,NA,NA,NA,NA,3,NA,NA,38,NA,8,7,1,NA,NA,NA,NA,NA
"251","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,29,276,"mei","Nulo",-2.1,6.49,-0.52,1.27,13,"276",4,10,14,5,4,15,1,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Caio Alan Tem Catem Gonçalves","caio","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,29,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,29,262,"lat","Provável",-0.2,6.18,-0.36,3.7,20,"Flamengo",5,61,32,2,1,22,2,1,186,2,NA,NA,4,1,NA,NA,NA,1
"254","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,29,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,29,276,"mei","Provável",2.9,3.85,0.46,1.18,24,"276",2,16,28,9,6,26,1,2,105,1,NA,NA,NA,NA,NA,NA,NA,NA
"256","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,29,262,"mei","Provável",1.6,5.23,0.09,2,17,"Flamengo",4,16,18,2,4,34,1,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA
"257","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,29,282,"mei","Nulo",0,2,0,-1.77,4,"282",2,4,3,NA,1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA
"258","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,29,284,"mei","Nulo",0,2.32,0,0.15,2,"284",NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,29,262,"ata","Nulo",0,3.78,0,1.88,12,"Flamengo",1,4,2,8,NA,1,1,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"260","César Ignacio Pinares Tamayo","pinares","Pinares","https://s.glbimg.com/es/sde/f/2020/11/09/b3356c651dec1138df6cbc163f286172_FORMATO.png",100107,29,284,"mei","Nulo",0.8,6.51,-0.13,3.38,5,"284",NA,1,2,1,3,5,1,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA
"261","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,29,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",1,2,3,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,29,294,"ata","Provável",1.7,5.77,-0.13,0.67,9,"Coritiba",1,3,9,4,2,4,NA,1,14,NA,NA,NA,NA,1,NA,NA,NA,NA
"263","Felipe dos Reis Pereira Vizeu do Carmo","felipe-vizeu","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2020/10/20/cb08a5c10db57cbbec091e022d47de94_FORMATO.png",94138,29,354,"ata","Nulo",0,5.94,0,2.43,4,"354",NA,NA,3,1,1,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,29,263,"ata","Nulo",0,1.85,0,1.5,1,"263",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,29,266,"mei","Nulo",0,13.16,0,5.03,20,"266",2,21,10,9,19,36,8,NA,206,1,NA,NA,NA,NA,1,NA,NA,NA
"266","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,29,263,"zag","Provável",2.4,5.37,0.36,2.34,25,"263",4,39,22,3,5,27,NA,NA,74,1,NA,NA,4,NA,NA,NA,NA,NA
"267","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,29,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,NA,1,NA,NA,12,NA,2,5,NA,NA,NA,NA,NA,NA
"268","Mariano Ferreira Filho","mariano","Mariano","https://s.glbimg.com/es/sde/f/2020/08/31/50061e6cc612276277686e788cb0ac4c_FORMATO.png",38877,29,282,"lat","Nulo",0,7.98,0,2.64,7,"282",1,18,8,1,NA,5,NA,NA,72,1,NA,NA,1,NA,NA,NA,NA,NA
"269","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2020/08/11/60b97b20e537fed275de66e23aafd5d9_FORMATO.png",100652,29,285,"ata","Dúvida",0,4.98,0,3.72,14,"285",3,6,23,8,6,11,6,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
