"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","PI","SG","FD","FS","DD","GS","FF","G","I","FT","CV","GC","DP","PP"
"180","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,6,264,"mei","Nulo",-0.9,10.4,-3.6,-0.9,1,"Corinthians",NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Leonardo Silva Gomes","leo-gomes","Léo Gomes","https://s.glbimg.com/es/sde/f/2020/01/21/3e0e71a35bbe2b295b386c4161ad312c_FORMATO.png",101585,6,293,"mei","Nulo",0,1,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Tiago Rodrigues dos Reis","tiago-reis","Tiago Reis","https://s.glbimg.com/es/sde/f/2020/08/17/56fc3022ea629539acd59c11ddc86063_FORMATO.png",104678,6,267,"ata","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2020/08/17/3d3e902dd30a64a2547b7ab9c97128db_FORMATO.png",70116,6,267,"mei","Provável",0.8,10.24,-0.11,5.84,5,"Vasco",NA,1,14,17,25,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA
"184","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,6,276,"zag","Nulo",0,10.07,0,2.47,4,"São Paulo",NA,1,1,2,10,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,6,292,"ata","Nulo",0,2.91,0,2.03,3,"Sport",NA,NA,1,2,19,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"186","Jan Carlos Hurtado Anchico","hurtado","Hurtado","https://s.glbimg.com/es/sde/f/2020/08/28/46b9f37333e23a02a705e65db3c9aeb3_FORMATO.png",105301,6,280,"ata","Nulo",2.7,2.96,-0.04,2.7,1,"Bragantino",NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,6,277,"ata","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,6,354,"tec","Provável",6.87,8.34,0.57,3.9,6,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,6,282,"zag","Provável",0,7.48,0,2.87,3,"Atlético-MG",NA,NA,5,2,19,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,6,265,"ata","Provável",-0.5,5.58,-0.69,2.54,5,"Bahia",NA,1,6,6,35,NA,2,9,NA,NA,1,1,1,NA,NA,NA,NA,NA
"191","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,6,276,"lat","Provável",3.6,5.65,-0.09,2.62,4,"São Paulo",NA,1,8,10,24,1,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"192","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,6,263,"mei","Nulo",-0.1,5.29,-1.71,-0.1,1,"Botafogo",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/07/16/ffc4af32dd75bc4d8408ae4b52303e1a_FORMATO.png",68928,6,282,"gol","Provável",0,8.2,0,1.72,5,"Atlético-MG",NA,NA,NA,NA,34,2,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA
"194","Fredy Alejandro Guarín Vásquez","guarin","Guarín","https://s.glbimg.com/es/sde/f/2019/09/27/2711e527895fb7ccdf64fbd1167a6a6d_FORMATO.png",71233,6,267,"mei","Nulo",0,11,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/02/28/7b09893ee3434ec5909a9303dca5ff95_FORMATO.png",85931,6,282,"mei","Nulo",0,12.7,0,5.94,5,"Atlético-MG",NA,1,9,9,45,NA,6,10,NA,NA,5,2,1,NA,NA,NA,NA,NA
"196","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,6,282,"tec","Provável",0,13.16,0,4.54,5,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Ronald dos Santos Lopes","ronald","Ronald","https://s.glbimg.com/es/sde/f/2020/08/11/efc2759a4d0d9b526fb58356150c1655_FORMATO.png",100969,6,356,"mei","Nulo",0,2.07,0,1.9,1,"Fortaleza",NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,6,282,"gol","Nulo",0,10,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,6,276,"mei","Provável",8.9,9.84,-0.16,8.9,1,"São Paulo",NA,NA,1,2,9,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"200","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,6,282,"mei","Contundido",0,10.94,0,6.7,2,"Atlético-MG",NA,NA,6,2,6,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA
"201","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2020/03/09/7526bffb5ffcf8710f171fa2fbd3284a_FORMATO.png",94044,6,277,"gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,6,284,"mei","Provável",0,5.3,0,0.1,1,"Grêmio",NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"203","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/08/11/a28703527589f89ea81cc09c82960ed6_FORMATO.png",62104,6,284,"mei","Nulo",0,6,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2020/08/17/cd4f9206b4c3308452f5560028e465e8_FORMATO.png",94068,6,267,"ata","Nulo",-0.6,4.18,0.08,1.43,3,"Vasco",NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"205","Luis Phelipe de Souza Figueiredo","luis-phelipe","Luis Phelipe","https://s.glbimg.com/es/sde/f/2020/08/28/603f9c40a4384779d4bf795d27336987_FORMATO.png",104500,6,280,"ata","Nulo",0.4,4.64,-0.3,3.77,3,"Bragantino",NA,1,5,1,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"206","Vivaldo Borges dos Santos Neto","neto-borges","Neto Borges","https://s.glbimg.com/es/sde/f/2020/08/17/41d8394a0ac3ed1a3309fad199f7520d_FORMATO.png",106411,6,267,"lat","Nulo",0,4.43,0,3.95,2,"Vasco",NA,NA,2,1,6,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/07/19/fa58aa2e91ac2afc5024dc90dd3e74ca_FORMATO.png",98672,6,282,"ata","Provável",0,4.6,0,1.46,5,"Atlético-MG",NA,NA,2,3,23,NA,3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"208","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,6,276,"mei","Nulo",-0.2,3.83,-0.57,0.87,3,"São Paulo",NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"209","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/55a296e48362f1dadadc5b9b1316f50d_FORMATO.png",87393,6,282,"zag","Nulo",0,7.83,0,2.8,1,"Atlético-MG",NA,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,6,276,"mei","Nulo",1.5,4.52,-0.23,1,4,"São Paulo",NA,1,8,6,25,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"211","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2020/02/28/8770cf398ed3dd9915d0b1bbd4d13262_FORMATO.png",96652,6,282,"mei","Provável",0,6.99,0,2,5,"Atlético-MG",NA,1,13,10,35,NA,1,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"212","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png",102598,6,276,"ata","Nulo",0,3.4,0,1.15,2,"São Paulo",NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,6,276,"lat","Provável",0.9,3.71,-0.61,2.13,3,"São Paulo",NA,NA,1,2,16,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,6,292,"ata","Nulo",-0.6,1.7,-0.22,-0.22,6,"Sport",NA,2,1,3,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/02/28/c2ccc891f0bac76a05c0d1cd18cede6c_FORMATO.png",97898,6,282,"lat","Nulo",0,2.97,0,-0.1,1,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,6,276,"zag","Contundido",0,4,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,6,265,"mei","Dúvida",0,3.72,0,-0.1,1,"Bahia",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,6,267,"gol","Provável",-0.3,8.68,-1.89,4.24,5,"Vasco",NA,NA,NA,NA,43,3,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"219","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png",101319,6,282,"lat","Nulo",0,13.18,0,6.17,4,"Atlético-MG",1,1,12,4,26,2,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"220","Gabriel Bernard Conceição da Silva","gabriel-bernard","Gabriel Bernard","",109618,6,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,6,292,"mei","Provável",3,11.86,0.28,3.23,6,"Sport",NA,NA,3,6,22,NA,1,12,NA,NA,8,1,NA,NA,NA,NA,NA,NA
"222","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,6,267,"ata","Provável",0.5,11.07,-0.28,5.2,5,"Vasco",NA,NA,1,3,12,NA,3,1,NA,NA,2,3,4,NA,NA,NA,NA,NA
"223","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/07/21/f18263366884c75c205afbd2591c28b7_FORMATO.png",101717,6,282,"ata","Nulo",0,11.25,0,6.14,5,"Atlético-MG",NA,NA,6,5,8,NA,6,2,NA,NA,1,2,NA,1,NA,NA,NA,NA
"224","Bruno da Silva Costa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2020/07/16/22ba4b897e968cd7dbb56980e24ac623_FORMATO.png",101422,6,282,"ata","Nulo",0,1.68,0,0.75,2,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"225","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,6,267,"lat","Provável",1.2,7.74,-1.32,4.15,2,"Vasco",NA,NA,4,4,9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/02/28/57f65d42b296ab52f9bd8d9270f9ff73_FORMATO.png",106843,6,282,"mei","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Gustavo Henric da Silva","gustavo-mosquito","Gustavo Mosquito","https://s.glbimg.com/es/sde/f/2020/08/20/81a5c782b9fc85b4c16836aa362f34b8_FORMATO.png",97450,6,264,"ata","Nulo",1.2,3.01,0.21,4.3,3,"Corinthians",NA,NA,1,1,6,NA,2,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"228","Franco Rodrigo Fragapane","fragapane","Fragapane","https://s.glbimg.com/es/sde/f/2020/08/13/6d413c7af901ddd4a2d29351eab858a8_FORMATO.png",79262,6,356,"ata","Nulo",0.4,1.83,-0.19,0.37,3,"Fortaleza",NA,NA,2,2,4,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"229","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,6,267,"lat","Provável",-1,6.89,-1.12,3.44,5,"Vasco",NA,2,14,12,28,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,6,265,"gol","Provável",1.7,2.65,0.34,0.93,3,"Bahia",NA,NA,NA,NA,17,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA
"231","Fabio Augusto Luciano da Silva","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/18/1e267a7ff59ae5084d7ab501dbd5b9b7_FORMATO.png",101729,6,293,"ata","Nulo",0,1,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,6,267,"mei","Provável",3.3,8.9,0.22,4.08,5,"Vasco",NA,1,21,7,42,NA,1,12,NA,NA,3,NA,1,NA,NA,NA,NA,NA
"233","Gustavo Henrique Santos","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/16/16c2244142496297f68b7e500836bf2b_FORMATO.png",107963,6,282,"zag","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Mauricio Aníbal Isla Isla","isla","Isla","https://s.glbimg.com/es/sde/f/2020/08/28/bfa17ba766cfaa70d4c11c51304fc336_FORMATO.png",69345,6,262,"lat","Provável",2.8,8.44,-1.56,2.8,1,"Flamengo",NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Vitor João Batista Santos","vitao","Vitão","https://s.glbimg.com/es/sde/f/2020/08/19/8d89e0782d31ffe143e665f63aca12a9_FORMATO.png",109318,6,354,"zag","Nulo",0,1,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2020/07/23/5ace39f85dd3b6decabc7e92c380e9cf_FORMATO.png",62033,6,265,"ata","Nulo",0,5.01,0,1.8,1,"Bahia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"237","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,6,265,"zag","Nulo",0,6.33,0,3.78,4,"Bahia",NA,NA,2,1,19,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"238","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/07/16/aac07f2ce09e67e2e4045cc55b578243_FORMATO.png",97425,6,282,"zag","Nulo",0,8.99,0,7.4,1,"Atlético-MG",NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Leonardo de Souza Sena","leo-sena","Léo Sena","https://s.glbimg.com/es/sde/f/2020/07/21/5c525ae0e40e4c2cd21dff0c86bebaec_FORMATO.png",90572,6,282,"mei","Nulo",0,6.21,0,0.8,1,"Atlético-MG",NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,6,265,"lat","Provável",3.2,8.67,0.52,3.78,4,"Bahia",NA,NA,12,2,37,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"241","Rodrigo dos Santos de Freitas","rodrigo-freitas","Rodrigo Freitas","https://s.glbimg.com/es/sde/f/2019/03/26/c82451e325c04a87780194f586a25229_FORMATO.png",103261,6,276,"zag","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2019/05/28/31576151f911825460540e32249a6735_FORMATO.png",89493,6,282,"zag","Nulo",0,12.24,0,5.9,3,"Atlético-MG",NA,NA,6,3,13,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"243","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,6,276,"mei","Provável",2.9,8.32,0.05,2.82,5,"São Paulo",NA,1,8,1,17,NA,3,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"244","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,6,276,"mei","Nulo",0,6.58,0,0.75,2,"São Paulo",NA,1,1,1,14,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"245","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,6,276,"mei","Nulo",1.2,3.34,0.02,-0.14,5,"São Paulo",NA,1,2,8,11,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,6,282,"zag","Provável",0,10.77,0,4.48,5,"Atlético-MG",NA,1,14,6,20,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA
"247","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,6,282,"mei","Nulo",0,6,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,6,265,"ata","Nulo",-0.6,4.25,-0.49,0.83,3,"Bahia",NA,NA,2,1,8,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"249","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2019/03/28/290762becedf23c80b831f923f4b7b33_FORMATO.png",71787,6,354,"mei","Nulo",0,3,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/07/23/dddef028f9e20a0ee451b41e0d30b74b_FORMATO.png",86143,6,265,"zag","Nulo",0,4,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,6,265,"ata","Provável",2.6,8.86,0.3,4.74,5,"Bahia",1,NA,7,3,35,NA,4,14,NA,NA,3,NA,1,1,NA,NA,NA,NA
"252","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,6,265,"gol","Contundido",0,9.99,0,4.6,3,"Bahia",NA,NA,NA,NA,22,1,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"253","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/02/28/5db2e42db98f2ac9bc8d90e9636d8f9a_FORMATO.png",80129,6,265,"mei","Dúvida",0,3.25,0,0.8,1,"Bahia",NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Chrigor Flores Moraes","chrigor","Chrigor","https://s.glbimg.com/es/sde/f/2020/08/28/123262c1e7129d7e89de9867393d1cc5_FORMATO.png",101398,6,280,"ata","Provável",2.4,2.25,0.25,2.4,1,"Bragantino",NA,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,6,265,"lat","Nulo",0,4.96,0,1,4,"Bahia",NA,1,2,3,11,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"256","Lucas Braga Ribeiro","lucas-braga","Lucas Braga","https://s.glbimg.com/es/sde/f/2020/08/20/647949d36ebae12053e632bfe95815d5_FORMATO.png",99119,6,277,"ata","Nulo",0.1,2.57,-0.4,2.17,3,"Santos",1,1,3,4,6,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"257","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,6,265,"lat","Nulo",0,4.26,0,-0.8,1,"Bahia",NA,NA,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2019/04/29/8982a435477e1d2bde62d75552c4bbfe_FORMATO.png",79437,6,265,"tec","Provável",1.67,7.83,-0.05,3.25,5,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Jorge Amorim de Oliveira Campos","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/08/27/f22f05d7c543a983042fbf2a8ce0a64a_FORMATO.png",70323,6,294,"tec","Provável",6.28,6.72,1.64,6.28,1,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
