"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","G","PI","CV","FD","SG","FT","I","A","DD","DP","GS","GC","PP"
"187","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,16,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"188","Yuri de Oliveira","yuri-de-oliveira","Yuri de Oliveira","https://s.glbimg.com/es/sde/f/2020/09/24/44a977be355ae4ac44c218ce35daa72a_FORMATO.png",110190,16,262,"mei","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Dhouglas Francisco de Souza Rodrigues","dhouglas","Dhouglas","https://s.glbimg.com/es/sde/f/2020/09/25/1818bb4633cf442d563554d960f49f84_FORMATO.png",110207,16,262,"mei","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Gustavo Cascardo de Assis","cascardo","Cascardo","https://s.glbimg.com/es/sde/f/2020/09/25/8da2a9ebf1fe26a94626114c196697ed_FORMATO.png",90587,16,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Lázaro Vinicius Marques","lazaro","Lázaro","https://s.glbimg.com/es/sde/f/2020/09/24/37e5fc1f9ead239d4e673aadc291e8db_FORMATO.png",110193,16,262,"ata","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Paulo Victor da Costa Miranda Alves","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2020/02/27/74ddc254a8569f1942f11d75089de911_FORMATO.png",107373,16,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Wisney Junio Dias Carvalho","wisney","Wisney","https://s.glbimg.com/es/sde/f/2020/09/28/7243d21ae835744deba15dbddfbc769b_FORMATO.png",107374,16,266,"lat","Nulo",0,2.64,0,2.45,2,"266",NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"194","Higor Gabriel Fernandes Alves","higor","Higor","https://s.glbimg.com/es/sde/f/2020/09/28/d5b189fb235bef5c9a534ba19078842e_FORMATO.png",107371,16,266,"zag","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Christian Henrique Mora De Oliveira Silva","christian","Christian","https://s.glbimg.com/es/sde/f/2020/09/28/0003493891d36cb8e16cf815e5da38e0_FORMATO.png",110210,16,266,"ata","Nulo",0,0.78,0,0,1,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Arthur Henrique Bittencourt","arthur","Arthur","https://s.glbimg.com/es/sde/f/2019/01/25/5f0f0047f511d254fd9d18a7ef986daa_FORMATO.png",101173,16,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Wendel Lessa de Macedo Gonçalves","wendel","Wendel","https://s.glbimg.com/es/sde/f/2020/09/30/efbf80afd762b35124cdf263fd02a3a2_FORMATO.png",107519,16,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2020/10/01/2033beab4b12f85b4a6055fd75aa9f20_FORMATO.jpeg",62137,16,290,"tec","Provável",0,5.57,0,2.54,3,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Igor Morais Carvalho","igor","Igor","https://s.glbimg.com/es/sde/f/2020/09/29/76f776e501b44c536be796644b94eb72_FORMATO.png",105887,16,264,"zag","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Wesley Júnior da Silva Araújo","wesley","Wesley ","https://s.glbimg.com/es/sde/f/2020/09/30/5911c3e28dfb5530484694fb16c8fe5a_FORMATO.png",107517,16,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Romildo Del Piage de Souza","romildo","Romildo","https://s.glbimg.com/es/sde/f/2020/09/30/adfe338d662135f7233e4762688716a1_FORMATO.png",107972,16,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Andrew da Silva Ventura","andrew","Andrew","https://s.glbimg.com/es/sde/f/2019/03/28/6bb49f946fbf4eb4e9fa370948141d04_FORMATO.png",103183,16,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","João Victor Vaz Lopes Pinto","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/09/30/3709478ac932eba7f079543c8389eafb_FORMATO.png",110235,16,263,"ata","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Elivelton Guedes Alves da Silva","elivelton","Elivelton ","https://s.glbimg.com/es/sde/f/2020/09/30/3afdcde41a6b5186c650158eb6ddb9d2_FORMATO.png",107515,16,263,"lat","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2020/10/13/4e771210e49b104092cac2a09476bbd1_FORMATO.png",61149,16,266,"ata","Nulo",0,5,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Maxuel De Cassio Da Silva","maxuel","Maxuel","https://s.glbimg.com/es/sde/f/2020/09/30/e21c14cf8d77c6d7a5369d7d2005ea25_FORMATO.png",110236,16,263,"ata","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Mattheus Andrade Gama de Oliveira","mattheus","Mattheus","https://s.glbimg.com/es/sde/f/2020/09/30/38d8d1bd4dd6f381d7dcabac2692be19_FORMATO.png",79023,16,294,"mei","Nulo",1.2,3.44,-0.56,1.2,1,"Coritiba",NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","João Victor da Silva Oliveira","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/10/03/701361ee8fe98c13dfbdf112d1761765_FORMATO.png",110258,16,293,"lat","Nulo",1,1.06,0.06,1,1,"293",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Pablo Thiago Ferreira Thomaz","pablo-thomaz","Pablo Thomaz","https://s.glbimg.com/es/sde/f/2020/09/30/a7b22d74d41827304b8a71b4c57641d3_FORMATO.png",102797,16,294,"ata","Nulo",0,0.78,0,-0.1,2,"Coritiba",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Denilson Rodrigues Roldão","denilson","Denilson","https://s.glbimg.com/es/sde/f/2020/10/04/0e3d68c778426e447bda7cfe1987508c_FORMATO.png",104025,16,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Sebastián Enrique Salazar Beltrán","salazar","Salazar","https://s.glbimg.com/es/sde/f/2020/10/01/d9e923eb01b5966eb5e072a26be58679_FORMATO.png",91415,16,290,"mei","Nulo",0,4,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Marcelo José de Lima Filho","marcelinho","Marcelinho","https://s.glbimg.com/es/sde/f/2020/10/03/18c5e5dc5570b698fb18bae1dbb03cff_FORMATO.png",107238,16,275,"ata","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Bruno Amorim Lazaroni","bruno-lazaroni","Bruno Lazaroni","https://s.glbimg.com/es/sde/f/2020/10/01/f7eee1479a48b3dba9d84bf2a20a0d56_FORMATO.png",102887,16,263,"tec","Provável",1.65,8.38,-0.3,2.9,4,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2018/05/24/681f1987afa6a94cda5e9a9f643a0bc5_FORMATO.png",102299,16,292,"ata","Nulo",9.2,4.41,2.41,9.2,1,"292",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2020/10/06/1e5d2511be625adda18aa1b5728bdabb_FORMATO.png",71549,16,263,"ata","Nulo",-0.4,2.98,-1.02,-0.4,1,"263",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2020/10/01/9e64684a0ef33c9f748f305214999641_FORMATO.png",78497,16,373,"lat","Nulo",0,3.08,0,-0.1,1,"373",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,16,373,"mei","Nulo",0,1.8,0,0.5,1,"373",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Alexandre Grasseli de Souza","alexandre-grasseli","Alexandre Grasseli","https://s.glbimg.com/es/sde/f/2020/10/08/3351608c84bab6ff980d027915b9d217_FORMATO.png",83423,16,267,"tec","Provável",0,8.64,0,2.82,1,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Helerson Mateus do Nascimento","helerson","Helerson","https://s.glbimg.com/es/sde/f/2019/03/22/4f209e6f74df9776da75f4a35ed2b28f_FORMATO.png",101073,16,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Eber Henrique Ferreira de Bessa","eber-bessa","Éber Bessa","https://s.glbimg.com/es/sde/f/2020/10/09/d0b4288d6ca77be73b69212249656293_FORMATO.png",73624,16,263,"mei","Nulo",0,3,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/10/08/9ecaaf3e38f88ba70257b2b3159c437e_FORMATO.png",38311,16,292,"mei","Nulo",0,5,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Laércio Soldá","laercio","Laércio","https://s.glbimg.com/es/sde/f/2020/10/13/cc2746f464476a7f9908dbc251d225ff_FORMATO.png",82564,16,277,"zag","Provável",1.3,2.51,0.22,0.6,2,"Santos",NA,2,3,1,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,16,293,"mei","Nulo",0,5,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Gustavo Mantuan","gustavo-mantuan","Gustavo Mantuan","https://s.glbimg.com/es/sde/f/2020/10/06/5747ef4308b1b0b58fbf4534b72b3b56_FORMATO.png",110270,16,264,"mei","Nulo",0,2.84,0,1.85,2,"264",NA,4,4,1,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Carlos Eugenio Júnior Tavares dos Santos","junior-tavares","Júnior Tavares","https://s.glbimg.com/es/sde/f/2020/10/09/45ac731da14d9716fff8ab38539a5972_FORMATO.png",89343,16,292,"lat","Nulo",1.3,2.8,-0.2,1.3,1,"292",NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,16,264,"zag","Provável",5,4.92,0.92,5,1,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"227","Robson de Souza","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/10/12/18d558560a3581cd74b3839c8b30dac1_FORMATO.png",38246,16,277,"ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Igor Torres da Silva","igor-torres","Igor Torres","https://s.glbimg.com/es/sde/f/2020/10/10/b0c390139a46baf2733ea71660d5e9bd_FORMATO.png",110303,16,356,"ata","Nulo",0,1,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Wesley Pionteck Souza","wesley-pionteck","Wesley Pionteck","https://s.glbimg.com/es/sde/f/2020/08/07/70b200dbf6703aca6b5eee4008dbcad6_FORMATO.png",93376,16,280,"ata","Nulo",0,1.69,0,0.7,1,"280",NA,1,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Andrey Lopes","andrey-lopes","Andrey Lopes","https://s.glbimg.com/es/sde/f/2019/12/03/afd8569f4b5b945379b9a4b859a00f5d_FORMATO.png",106736,16,275,"tec","Provável",0,10.64,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Eduardo do Nascimento Souza","eduardo-souza","Eduardo Souza","https://s.glbimg.com/es/sde/f/2020/01/23/11f4eedb0f90a14284645acc283b8cf5_FORMATO.png",88406,16,373,"tec","Provável",4.55,7.75,0.5,4.55,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Leonardo Roque Albano Gil","leonardo-gil","Leonardo Gil","https://s.glbimg.com/es/sde/f/2020/10/12/ab7cd9d031fc89501e7058cd3a924a01_FORMATO.png",102506,16,267,"mei","Nulo",0,5,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2020/10/15/8571e76629ffb7e843fd684de0865360_FORMATO.png",80363,16,290,"mei","Nulo",0,5,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","José Roberto Assunção de Araújo Filho","ze-roberto","Zé Roberto","https://s.glbimg.com/es/sde/f/2020/09/24/92e625f2f61fcc7b47312d5c8e899f76_FORMATO.png",80076,16,373,"ata","Provável",-2.1,2.42,-0.92,-0.58,4,"373",1,1,10,4,5,NA,22,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"235","André Trindade da Costa Neto","andre","André","https://s.glbimg.com/es/sde/f/2020/08/11/8470af121134d1416824bede8711b287_FORMATO.png",107498,16,266,"mei","Nulo",0,0.76,0,-2.7,1,"266",1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Jan Carlos Hurtado Anchico","hurtado","Hurtado","https://s.glbimg.com/es/sde/f/2020/08/28/46b9f37333e23a02a705e65db3c9aeb3_FORMATO.png",105301,16,280,"ata","Nulo",0,1.92,-0.03,0.03,8,"280",NA,2,6,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,16,293,"mei","Nulo",0,10.16,0,4.42,8,"293",NA,15,7,5,13,2,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,16,373,"mei","Nulo",0,6.15,0,2.69,12,"373",NA,8,4,7,7,1,31,NA,4,NA,1,1,1,NA,NA,NA,NA,NA
"239","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,16,373,"mei","Provável",0.8,2.82,-0.2,1.12,5,"373",NA,5,2,3,2,NA,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"240","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,16,262,"mei","Provável",-1.7,7.39,-0.93,1.54,14,"Flamengo",2,30,16,6,5,NA,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,16,293,"ata","Provável",1.4,6.3,-1.11,5.15,10,"293",2,5,18,9,17,5,35,NA,9,NA,NA,7,NA,NA,NA,NA,NA,NA
"242","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,16,373,"gol","Provável",8.4,9.68,0.8,4.21,14,"373",1,NA,1,NA,2,1,107,NA,1,4,NA,NA,NA,19,NA,17,NA,NA
"243","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,16,373,"mei","Dúvida",0.5,2.85,-0.9,1.32,10,"373",NA,4,8,6,9,NA,24,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"244","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,16,373,"ata","Nulo",-1.2,5.84,-0.45,1.57,14,"373",2,10,14,7,4,2,17,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA
"245","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,16,373,"mei","Provável",-1.8,4.77,-1.54,1.53,12,"373",1,23,18,8,8,NA,80,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"246","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,16,373,"zag","Nulo",0,5.04,0,2.72,9,"373",3,15,13,1,6,1,11,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"247","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,16,373,"zag","Provável",6.9,4.74,1.5,1.37,14,"373",1,8,14,1,9,NA,63,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"248","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,16,373,"ata","Nulo",0.5,2.26,-0.2,0.82,5,"373",NA,2,3,3,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,16,373,"zag","Nulo",0,2.87,0,2.35,7,"373",1,5,8,NA,5,1,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"250","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,16,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,16,373,"mei","Nulo",0,2.38,0,0.3,1,"373",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,16,373,"lat","Nulo",5.1,7.84,0.09,3.24,15,"373",NA,27,17,7,8,NA,161,NA,6,4,NA,1,2,NA,NA,NA,NA,NA
"253","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,16,373,"gol","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,16,373,"lat","Provável",7.9,5.55,1.18,2.88,14,"373",1,34,14,3,15,NA,116,1,2,4,NA,1,NA,NA,NA,NA,NA,NA
"255","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,16,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,16,373,"lat","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,16,373,"zag","Provável",6,3.51,0.58,2.26,10,"373",4,21,10,1,6,NA,42,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"258","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,16,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,16,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Odair Marciano de Oliveira Filho","odair","Odair","",108745,16,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,16,373,"mei","Nulo",0,1.23,0,-0.43,3,"373",1,2,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,16,293,"zag","Provável",-0.6,5.09,-0.2,2.03,9,"293",3,11,9,3,10,NA,46,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"263","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,16,293,"ata","Nulo",0.7,3.36,0,0.57,6,"293",NA,1,1,2,2,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,16,293,"lat","Nulo",0,9.64,0,3.07,8,"293",2,8,4,NA,4,NA,45,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"265","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,16,293,"lat","Nulo",0,3.41,0,-0.12,4,"293",1,4,9,NA,2,NA,35,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"266","Danilo Alves da Silva","danilo","Danilo","",107981,16,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,16,293,"mei","Nulo",0,3.07,0,-0.24,5,"293",1,1,5,1,1,NA,15,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"268","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,16,293,"gol","Nulo",1.5,9.01,0.28,5.35,4,"293",NA,NA,NA,NA,NA,NA,26,NA,NA,2,NA,NA,NA,5,NA,3,NA,NA
