"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FS","PI","SG","FD","FF","FT","G","I","PP","DD","GS","GC","DP","CV"
"183","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6604f523718cb7a1b17424add935b9b8_FORMATO.png",83257,18,262,"ata","Contundido",0,13.46,0,6.96,9,"Flamengo",NA,2,4,3,10,55,NA,11,15,1,5,7,NA,NA,NA,NA,NA,NA
"184","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,18,262,"mei","Suspenso",-0.6,7.29,-0.23,1.29,16,"Flamengo",NA,3,31,17,6,57,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2020/10/01/9e64684a0ef33c9f748f305214999641_FORMATO.png",78497,18,373,"lat","Nulo",0.8,2.87,0.1,0.17,3,"373",NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,18,276,"lat","Nulo",0,4.8,0,2.06,10,"276",1,1,10,7,11,52,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Marcos Guilherme de Almeida Santos Matos","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png",83266,18,285,"mei","Provável",2.4,3.26,0.25,0.51,15,"285",NA,1,11,17,7,32,NA,2,5,1,NA,5,NA,NA,NA,NA,NA,NA
"188","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,18,280,"mei","Provável",2.2,4.27,-1.52,1.9,16,"280",NA,8,45,46,21,57,NA,3,10,NA,1,NA,NA,NA,NA,NA,NA,NA
"189","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,18,264,"mei","Provável",0,10.73,0,3.89,7,"264",1,3,7,8,21,52,NA,8,6,2,NA,1,NA,NA,NA,NA,NA,NA
"190","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,18,266,"gol","Nulo",0,0.77,0,-1.3,3,"266",1,NA,NA,NA,1,34,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"191","Ronaldo Henrique Ferreira da Silva","ronaldo-henrique","Ronaldo Henrique","https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png",85149,18,292,"mei","Nulo",0.4,2.87,0.03,0.54,8,"292",NA,2,11,9,5,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,18,285,"mei","Provável",12.5,13.15,1.75,5.14,16,"285",2,1,40,26,28,76,NA,6,6,2,3,2,NA,NA,NA,NA,NA,NA
"193","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,18,265,"zag","Provável",0,3.83,0,0.42,6,"265",NA,1,3,5,2,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,18,277,"ata","Contundido",0,5.16,0,2.95,4,"Santos",NA,NA,8,7,11,7,NA,2,2,NA,NA,3,NA,NA,NA,NA,NA,NA
"195","Gabriel Boschilia","boschilia","Boschilia","https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png",86841,18,285,"mei","Nulo",0,8.45,0,3.81,13,"285",1,2,40,24,14,92,NA,9,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"196","Roberto Pimenta Vinagre Filho","betinho","Betinho","https://s.glbimg.com/es/sde/f/2020/02/27/d7282d39e0f03cd1978cb07173ea3ead_FORMATO.png",82876,18,292,"mei","Contundido",0,4.89,0,2,10,"292",1,3,30,22,10,54,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Vinicius Silvestre da Costa","vinicius-silvestre","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png",85083,18,275,"gol","Nulo",0,3,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","José Joaquim de Carvalho","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/08/26/44eafed43db0f7d9f5ef802ee7efa7aa_FORMATO.jpeg",94976,18,290,"ata","Nulo",0,0.75,0,-1.07,3,"290",NA,1,1,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"199","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2020/10/20/b1c01f38bddf4e54ae2b51d649a3dd2e_FORMATO.png",80363,18,290,"mei","Provável",4.7,5.53,1.16,2.85,2,"290",NA,NA,8,3,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2020/07/30/cc647d1f9a8818aedd430516d1d61f68_FORMATO.png",83772,18,294,"ata","Dúvida",0,6.05,0,1.9,9,"Coritiba",1,1,12,10,10,31,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,18,282,"mei","Nulo",0,11.54,0,3.87,12,"282",2,1,14,20,15,67,NA,7,9,1,2,2,NA,NA,NA,NA,NA,NA
"202","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,18,284,"mei","Provável",4.5,5.46,0.61,2.05,9,"284",NA,1,9,8,8,22,NA,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"203","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,18,284,"mei","Contundido",0,11.51,0,5.76,13,"284",4,1,18,12,35,109,NA,13,17,1,1,4,NA,NA,NA,NA,NA,NA
"204","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,18,265,"ata","Nulo",0,5.7,0,2.12,12,"265",NA,3,13,9,16,76,NA,3,5,NA,2,2,NA,NA,NA,NA,NA,NA
"205","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,18,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,26,2,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"206","Rafael Thyere de Albuquerque Marques","rafael-thyere","Rafael Thyere","https://s.glbimg.com/es/sde/f/2020/02/27/cd5877e8c279581d18c1826dd364a279_FORMATO.png",83048,18,292,"zag","Nulo",5.5,4.14,0.14,5.5,1,"292",NA,NA,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2020/02/28/4d5c465a6fd405b025d4ca76e81d24a1_FORMATO.png",86972,18,275,"zag","Nulo",0,3.14,0,0.1,1,"275",NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,18,277,"gol","Provável",9.5,8.93,1.47,3.89,16,"Santos",NA,1,NA,NA,2,96,3,NA,NA,NA,NA,NA,NA,24,19,NA,NA,NA
"209","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,18,262,"zag","Nulo",0,5.06,0,2.46,9,"Flamengo",NA,1,15,14,7,43,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"210","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,18,356,"gol","Provável",0,3.76,0,11.4,1,"356",NA,NA,NA,NA,1,21,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"211","Guilherme Parede Pinheiro","guilherme-parede","Guilherme Parede","https://s.glbimg.com/es/sde/f/2020/08/17/5ca1dfd17b9c403e5ff3ea06b70cda86_FORMATO.png",83438,18,267,"ata","Nulo",0,1.64,0,-0.36,9,"267",NA,2,2,3,3,19,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"212","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/07/23/dddef028f9e20a0ee451b41e0d30b74b_FORMATO.png",86143,18,265,"zag","Nulo",0,4,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,18,264,"mei","Nulo",0,5.7,0,1.49,10,"264",1,1,10,11,10,32,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Lucas Vinícius Gonçalves Silva","lucao-do-break","Lucão do Break","https://s.glbimg.com/es/sde/f/2020/08/26/327d8ca1e3d966621e0b1f2489f9b43a_FORMATO.jpeg",83199,18,290,"ata","Nulo",0,1.92,0,-2,1,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,18,293,"zag","Nulo",2.7,4.97,0.2,3.02,10,"293",NA,1,21,5,3,35,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,18,280,"ata","Nulo",0,2.2,-0.04,0.18,11,"280",NA,NA,4,9,8,47,NA,3,7,NA,NA,2,NA,NA,NA,NA,NA,1
"217","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,18,354,"mei","Provável",1.5,12.54,-0.53,5.31,16,"354",3,2,53,28,34,100,NA,8,13,1,1,6,NA,NA,NA,NA,NA,NA
"218","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,18,265,"ata","Provável",0,5.05,0,2.33,11,"265",1,1,7,11,14,64,NA,5,5,NA,2,3,1,NA,NA,NA,NA,NA
"219","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/09/12/e3f2361fc0584d13ce3b65e8673cf1e6_FORMATO.png",86264,18,373,"lat","Nulo",0.1,3.57,-0.86,2.82,5,"373",NA,NA,6,5,6,35,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"220","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,18,282,"mei","Provável",0.8,9.98,-0.21,4.91,10,"282",1,NA,15,6,6,30,NA,5,4,NA,3,2,NA,NA,NA,NA,NA,NA
"221","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,18,276,"mei","Provável",0,7.23,0,1.92,14,"276",NA,2,18,10,20,48,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,18,373,"mei","Nulo",0,3.02,0,1.01,12,"373",1,1,9,4,17,77,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1
"223","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2020/03/06/88d17bd8903f1e821665cdd49c0bf7d9_FORMATO.png",84339,18,356,"lat","Suspenso",0,5.06,0,3.07,11,"356",NA,3,11,15,7,54,4,2,1,NA,2,2,NA,NA,NA,NA,NA,NA
"224","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,18,276,"mei","Nulo",0,6.8,0,2.8,11,"276",NA,2,8,4,15,46,NA,4,7,NA,2,1,NA,NA,NA,NA,NA,NA
"225","Jonathan Francisco Lemos","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2020/08/18/63c72daeb92b49638ecf5505f27b7806_FORMATO.png",86713,18,294,"lat","Nulo",0,5.55,0,3.29,10,"Coritiba",NA,1,19,6,7,49,3,1,2,1,NA,1,NA,NA,NA,NA,NA,NA
"226","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2020/03/09/dcd863bb1e191c65dfdeac7713a01704_FORMATO.png",81677,18,277,"mei","Contundido",0,5.65,0,1.66,12,"Santos",1,1,15,11,18,98,NA,6,7,NA,NA,1,1,NA,NA,NA,NA,NA
"227","Guilherme Antonio Arana Lopes","guilherme-arana","Guilherme Arana","https://s.glbimg.com/es/sde/f/2020/08/31/cf251bf07d0350a8081b6b0e7bfb7950_FORMATO.png",87228,18,282,"lat","Provável",6.8,17.01,0.74,4.96,17,"282",2,1,27,21,13,179,6,12,14,NA,2,1,NA,NA,NA,NA,NA,NA
"228","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,18,290,"ata","Provável",2.1,2.75,-0.02,1.7,10,"290",2,1,8,8,13,54,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA
"229","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,18,277,"ata","Provável",0.3,6.66,-1.36,3.26,12,"Santos",2,4,6,6,25,90,NA,7,9,NA,2,2,NA,NA,NA,NA,NA,NA
"230","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,18,263,"lat","Provável",0,10.89,0,5.85,11,"263",NA,NA,37,9,10,101,3,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"231","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png",81682,18,264,"mei","Nulo",0,9.55,0,0.98,5,"264",NA,NA,1,1,3,13,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"232","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,18,266,"lat","Provável",-2.9,2.34,-2.27,0.17,10,"266",1,3,12,27,1,136,2,2,3,NA,1,1,NA,NA,NA,NA,NA,1
"233","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,18,263,"mei","Provável",0,6.79,0,2.73,11,"263",1,NA,12,17,14,87,NA,8,7,NA,1,NA,NA,NA,NA,NA,NA,NA
"234","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png",86391,18,292,"lat","Contundido",0,8.5,0,2.19,10,"292",NA,NA,26,6,16,77,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1
"235","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,18,284,"zag","Nulo",0,10.7,0,4.34,7,"284",NA,4,24,23,9,26,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,18,266,"zag","Provável",9.9,6.82,1.03,3.01,16,"266",NA,2,25,13,25,74,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"237","Sidcley Ferreira Pereira","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2020/03/02/d76b28f383366667813428ea01aaab63_FORMATO.png",86764,18,264,"lat","Nulo",0,6.17,0,2.03,8,"264",NA,NA,12,4,9,47,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"238","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,18,264,"mei","Nulo",0,7.45,0,2.74,8,"264",1,1,7,7,7,51,NA,3,3,1,1,NA,NA,NA,NA,NA,NA,NA
"239","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,18,293,"mei","Nulo",0.7,2.06,-0.22,0.78,12,"293",NA,2,17,15,10,39,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,18,276,"ata","Nulo",0,2.95,0,0.33,3,"276",NA,NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,18,285,"lat","Nulo",-0.5,9.95,-0.89,3.42,13,"285",2,1,29,31,3,126,6,1,5,NA,NA,2,NA,NA,NA,NA,NA,NA
"242","Carlos Eduardo Soares Mota","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/27/3e68131e760ca1e4bc68e176dfd5b5ec_FORMATO.png",90416,18,292,"gol","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2020/07/21/6ad752ca6185d76358f944dab95130fd_FORMATO.png",87863,18,262,"mei","Dúvida",0,18.58,0,6.36,9,"Flamengo",2,NA,16,10,10,97,NA,7,7,1,3,NA,NA,NA,NA,NA,NA,NA
"244","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,18,265,"lat","Nulo",0,4.83,0,1.1,5,"265",NA,1,3,3,NA,14,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/14/ef0f723350847206c410a0cdec3e8afe_FORMATO.png",90715,18,284,"ata","Provável",1.3,4.89,0.18,1.45,11,"284",NA,1,6,10,8,32,NA,3,3,NA,2,2,NA,NA,NA,NA,NA,1
"246","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,18,354,"lat","Dúvida",0,8.71,0,4.17,13,"354",2,NA,34,18,17,100,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"247","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,18,373,"mei","Nulo",0,1.81,0,0.18,6,"373",NA,NA,6,3,2,13,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1
"248","Carlos Vinícius Santos de Jesus","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2020/08/17/5391bf0dc50dad3b0f7d2b294c2e38ad_FORMATO.png",87273,18,267,"mei","Dúvida",0,3.83,0,1.63,10,"267",1,NA,10,8,7,42,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/c6deeaacd987fda728f5e5cb9a7d733c_FORMATO.png",90285,18,262,"ata","Provável",0,12.55,0,4.02,11,"Flamengo",3,6,10,21,28,62,NA,4,5,1,3,4,NA,NA,NA,NA,NA,NA
"250","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,18,356,"lat","Provável",0,7.7,0,3.29,14,"356",1,1,12,10,10,47,6,2,1,NA,1,1,NA,NA,NA,NA,NA,1
"251","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,18,356,"ata","Provável",0,6.44,0,2.2,15,"356",1,3,14,31,16,55,NA,2,12,NA,3,6,NA,NA,NA,NA,NA,NA
"252","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,18,266,"mei","Dúvida",0,3.72,0,1.94,14,"266",NA,1,18,15,17,49,NA,3,5,NA,1,1,NA,NA,NA,NA,NA,NA
"253","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,18,373,"gol","Provável",-2.1,8.01,-1.29,3.85,16,"373",NA,1,NA,1,5,135,4,1,NA,NA,1,NA,NA,22,21,NA,NA,NA
"254","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,18,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,18,373,"mei","Nulo",2.1,3.04,0.5,1.18,12,"373",1,1,6,10,12,27,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,18,266,"mei","Dúvida",1.2,1.68,-0.12,0.97,8,"266",NA,3,14,11,4,27,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,18,280,"zag","Nulo",0,0.93,0,-0.4,4,"280",NA,1,8,5,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"258","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,18,282,"zag","Nulo",0,7.83,0,2.8,1,"282",NA,1,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,18,354,"zag","Contundido",0,4.13,0,-0.3,1,"354",NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,18,262,"ata","Nulo",0,3.82,0,1.33,3,"Flamengo",1,NA,1,2,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,18,275,"mei","Nulo",-1.8,5.06,-0.84,0.85,9,"275",1,2,1,6,6,44,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Eduardo do Nascimento Souza","eduardo-souza","Eduardo Souza","https://s.glbimg.com/es/sde/f/2020/01/23/11f4eedb0f90a14284645acc283b8cf5_FORMATO.png",88406,18,373,"tec","Provável",2.13,7.6,-0.09,3.04,3,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,18,265,"gol","Nulo",0,3.77,0,7.9,2,"265",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
