"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","G","GC","PI","SG","I","DD","GS","FT","DP","PP"
"202","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,32,354,"mei","Nulo",0,2.66,0,1.21,15,"354",3,2,NA,4,12,NA,2,4,1,NA,25,NA,NA,NA,NA,NA,NA,NA
"203","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/11/12/7baefdcac45915f2d98c0f57b44e3198_FORMATO.png",97898,32,294,"lat","Nulo",0,3.48,0,1.65,12,"Coritiba",NA,2,NA,14,11,2,3,14,NA,NA,100,3,3,NA,NA,NA,NA,NA
"204","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,32,354,"mei","Provável",8.1,12.21,-2.36,7.07,24,"354",8,3,NA,11,16,23,29,20,12,NA,208,NA,4,NA,NA,1,NA,1
"205","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,32,354,"ata","Nulo",0,5.26,0,1.85,17,"354",1,3,1,22,12,3,7,21,1,NA,58,NA,1,NA,NA,NA,NA,NA
"206","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,32,354,"mei","Nulo",0,3.18,0,0.33,7,"354",1,NA,NA,2,5,NA,1,2,NA,NA,25,NA,3,NA,NA,NA,NA,NA
"207","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,32,265,"gol","Nulo",0,0.82,0,-1.04,5,"265",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,37,NA,NA,5,11,NA,NA,NA
"208","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,32,354,"lat","Provável",-0.1,7.94,-0.04,3.29,25,"354",2,3,1,61,31,NA,3,29,NA,NA,193,8,NA,NA,NA,NA,NA,NA
"209","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,32,282,"mei","Nulo",0,2.43,0,-1.16,5,"282",NA,2,1,5,3,NA,1,1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"210","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,32,354,"lat","Provável",-2,5.86,-1.16,3.18,24,"354",3,5,1,43,31,3,5,33,1,NA,221,8,2,NA,NA,NA,NA,NA
"211","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,32,354,"zag","Provável",0.6,4.93,-0.73,2.64,24,"354",NA,7,1,45,28,1,3,6,1,NA,66,8,NA,NA,NA,1,NA,NA
"212","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,32,354,"zag","Nulo",0,4.17,0,2.28,7,"354",NA,NA,NA,2,2,NA,NA,2,NA,NA,10,3,NA,NA,NA,NA,NA,NA
"213","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,32,354,"mei","Suspenso",-1.4,6.18,-0.35,2.53,26,"354",2,6,NA,62,43,5,8,17,2,NA,98,NA,NA,NA,NA,NA,NA,NA
"214","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,32,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,32,354,"mei","Nulo",0,2.38,0,0.5,10,"354",NA,1,NA,9,5,2,1,1,NA,NA,57,NA,1,NA,NA,1,NA,NA
"216","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2020/10/15/788a514811d1b7fe6bc8f3cb4078b1b4_FORMATO.png",62033,32,290,"ata","Provável",10.8,6.59,1.77,3.07,15,"290",NA,3,NA,11,14,5,12,19,4,NA,60,NA,6,NA,NA,NA,NA,NA
"217","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,32,354,"gol","Provável",1,3.67,-0.39,2.48,9,"354",NA,1,NA,NA,NA,NA,NA,4,NA,NA,97,4,NA,7,8,NA,NA,NA
"218","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,32,354,"zag","Provável",3.1,6.87,-0.48,3.37,23,"354",NA,6,NA,43,18,2,6,18,1,NA,105,8,2,NA,NA,1,NA,NA
"219","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,32,354,"zag","Nulo",0,3.07,0,2.85,6,"354",NA,1,NA,8,2,1,2,1,1,NA,42,1,NA,NA,NA,NA,NA,NA
"220","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,32,354,"mei","Nulo",0,1.61,0.05,0.06,9,"354",NA,3,NA,7,12,NA,3,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"221","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,32,354,"mei","Provável",9.9,7.59,-0.46,3.69,25,"354",2,5,NA,39,26,5,5,37,6,NA,82,NA,4,NA,NA,NA,NA,NA
"222","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,32,265,"gol","Provável",3.1,9.32,-0.01,3.39,21,"265",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,103,4,NA,29,28,NA,NA,NA
"223","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,32,354,"mei","Provável",0.7,4.16,-0.22,2.12,26,"354",NA,3,NA,57,11,3,7,17,NA,NA,79,NA,NA,NA,NA,NA,NA,NA
"224","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,32,264,"mei","Dúvida",0,2.78,0,0.75,13,"264",NA,2,NA,19,19,2,1,2,NA,NA,30,NA,NA,NA,NA,1,NA,NA
"225","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,32,276,"lat","Provável",1.4,6.11,0.2,2.46,15,"276",1,2,NA,24,10,3,2,10,NA,NA,83,3,NA,NA,NA,NA,NA,NA
"226","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,32,354,"ata","Nulo",0,1.16,0,0.48,4,"354",NA,NA,NA,2,5,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"227","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,32,293,"mei","Provável",-1.1,2.44,-0.95,1.81,22,"293",1,4,NA,50,33,1,5,24,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"228","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,32,264,"zag","Contundido",0,6.45,0,2.83,10,"264",NA,1,1,10,15,6,2,4,2,NA,39,2,NA,NA,NA,NA,NA,NA
"229","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,32,264,"mei","Nulo",5.3,5.52,0.11,2.69,19,"264",1,5,NA,62,27,1,2,22,NA,NA,91,NA,NA,NA,NA,1,NA,NA
"230","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,32,264,"mei","Nulo",0,4.97,0,1.52,14,"264",2,2,NA,15,14,2,4,12,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
"231","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,32,265,"ata","Nulo",0,4.53,0,2.09,17,"265",1,2,NA,10,16,6,9,16,3,NA,85,NA,3,NA,NA,NA,NA,1
"232","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,32,293,"zag","Provável",0.4,5.32,-0.74,3.21,22,"293",NA,1,NA,35,11,1,4,15,NA,NA,90,8,NA,NA,NA,NA,NA,NA
"233","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,32,265,"lat","Nulo",1.7,7.43,0.34,3.27,17,"265",2,2,NA,40,16,3,5,21,NA,NA,150,3,1,NA,NA,NA,NA,NA
"234","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,32,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,32,264,"mei","Nulo",0.6,5.54,-2.26,3.65,13,"264",NA,2,NA,7,3,10,5,19,3,NA,26,NA,2,NA,NA,NA,NA,NA
"236","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,32,373,"ata","Provável",3.3,5.96,-0.13,2.91,26,"373",4,1,NA,25,22,8,16,28,3,NA,153,NA,3,NA,NA,NA,NA,NA
"237","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,32,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,32,354,"lat","Nulo",0,3.07,0,1.69,7,"354",NA,3,NA,14,11,NA,2,10,NA,NA,63,2,2,NA,NA,NA,NA,NA
"239","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,32,264,"mei","Nulo",0,5.18,0,2.26,13,"264",NA,NA,NA,25,12,3,3,15,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
"240","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,32,264,"ata","Nulo",-1.1,3.74,-0.33,2.18,7,"264",NA,1,NA,5,6,2,5,5,1,NA,16,NA,NA,NA,NA,NA,NA,NA
"241","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,32,264,"lat","Contundido",0,5.07,0,3.19,14,"264",2,1,NA,21,15,2,3,8,NA,NA,106,5,NA,NA,NA,NA,NA,NA
"242","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,32,264,"zag","Nulo",-0.5,2.04,-1.31,1.29,9,"264",NA,3,1,10,8,1,NA,1,NA,NA,51,4,NA,NA,NA,NA,NA,NA
"243","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,32,294,"mei","Provável",2.4,5.73,0.85,1.37,6,"Coritiba",NA,1,NA,10,9,1,2,15,NA,NA,51,NA,1,NA,NA,NA,NA,NA
"244","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,32,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,32,356,"ata","Provável",0.8,5.88,0.07,2.19,27,"356",3,2,NA,28,14,7,14,21,1,NA,125,NA,4,NA,NA,1,NA,NA
"246","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,32,265,"lat","Nulo",0,4.31,0,2.07,8,"265",NA,1,NA,5,3,1,4,NA,1,NA,24,1,NA,NA,NA,NA,NA,NA
"247","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,32,264,"mei","Nulo",2.7,6.33,-0.09,2.44,19,"264",1,7,NA,51,37,7,8,16,1,NA,135,NA,1,NA,NA,2,NA,NA
"248","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,32,264,"ata","Nulo",0,1.96,0,3.7,4,"264",NA,1,NA,1,4,2,2,2,2,NA,12,NA,4,NA,NA,NA,NA,NA
"249","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/11/18/2e97acab2ac95708854691c5e1effc73_FORMATO.png",86143,32,356,"zag","Dúvida",0,2.66,0,1.17,4,"356",NA,1,NA,3,4,NA,NA,4,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"250","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,32,265,"mei","Nulo",0,4.49,0,2.13,20,"265",2,3,1,11,17,4,5,30,3,NA,95,NA,NA,NA,NA,1,NA,NA
"251","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,32,265,"ata","Provável",0.7,5.28,-0.84,1.77,24,"265",2,4,NA,20,16,7,9,29,2,NA,155,NA,4,NA,NA,NA,NA,NA
"252","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,32,294,"zag","Nulo",0,4.81,0,2.05,12,"Coritiba",NA,2,NA,17,6,NA,2,4,NA,NA,61,3,2,NA,NA,1,NA,NA
"253","Eduardo de Souza Barroca","eduardo-barroca","Eduardo Barroca","https://s.glbimg.com/es/sde/f/2020/11/27/ed4e21aa1eae057a8185a802e380bbcf_FORMATO.png",77774,32,263,"tec","Nulo",0.75,3.98,-0.14,1.78,13,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,32,294,"zag","Provável",0.1,2.35,0.09,0.42,4,"Coritiba",NA,1,NA,1,3,NA,NA,1,NA,NA,13,1,NA,NA,NA,NA,NA,NA
"255","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,32,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,NA,NA,3,1,1,2,6,NA,NA,20,1,1,NA,NA,NA,NA,NA
"256","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,32,294,"zag","Nulo",0,8.73,0,3.96,28,"Coritiba",NA,2,NA,52,11,NA,5,26,4,1,138,8,2,NA,NA,1,NA,1
"257","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,32,294,"ata","Provável",0,9.47,0,4.09,28,"Coritiba",1,6,1,31,51,13,28,50,8,NA,132,NA,15,NA,NA,5,NA,NA
"258","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,32,265,"mei","Dúvida",3.4,3.87,0.22,2.24,16,"265",1,4,NA,46,28,1,5,14,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
"259","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,32,294,"mei","Nulo",0,3.84,0,1.46,20,"Coritiba",NA,4,NA,38,35,NA,5,40,NA,NA,68,NA,1,NA,NA,NA,NA,NA
"260","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,32,266,"gol","Provável",3.9,1.82,1.04,1.18,11,"266",1,NA,NA,NA,NA,NA,NA,1,NA,NA,95,3,NA,7,13,NA,NA,NA
"261","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,32,266,"lat","Nulo",0,5.11,0,2.94,17,"266",3,5,NA,35,39,1,7,30,NA,NA,113,4,2,NA,NA,NA,NA,NA
"262","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,32,266,"ata","Nulo",8.2,5.53,0.61,2.74,21,"266",2,6,NA,16,14,1,8,36,4,NA,61,NA,2,NA,NA,NA,NA,NA
"263","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,32,266,"ata","Provável",0,4.13,0,2.21,17,"266",2,5,NA,4,24,4,3,30,4,NA,66,NA,4,NA,NA,NA,NA,NA
"264","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,32,294,"ata","Nulo",0,1.03,0,0.3,5,"Coritiba",NA,1,NA,9,10,NA,1,2,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"265","Cléber Bomfim de Jesus","cleber","Cléber","https://s.glbimg.com/es/sde/f/2020/07/16/715ecd8cb7718372d50406be7b2b10d9_FORMATO.png",104125,32,354,"ata","Provável",3.3,10.97,0.73,3.08,29,"354",1,1,NA,32,67,13,21,36,6,NA,90,NA,10,NA,NA,1,NA,NA
"266","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,32,266,"zag","Provável",6,7.12,0.66,3.09,23,"266",NA,NA,NA,34,17,1,6,14,2,NA,122,6,3,NA,NA,NA,NA,NA
"267","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,32,266,"mei","Provável",0,5.09,-0.08,1.65,19,"266",2,2,1,42,33,4,4,19,NA,1,64,NA,3,NA,NA,NA,NA,NA
"268","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,32,266,"zag","Nulo",5,5.86,0.42,3.36,10,"266",1,2,NA,10,8,1,7,4,NA,NA,22,4,NA,NA,NA,NA,NA,NA
"269","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,32,266,"mei","Nulo",0,1.97,0,0.76,13,"266",NA,4,NA,24,24,4,3,6,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
"270","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,32,266,"gol","Nulo",0,4.62,0,2.36,19,"266",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,140,4,NA,19,20,NA,NA,NA
"271","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,32,266,"lat","Provável",8,10.24,0.13,4.75,15,"266",4,1,NA,61,19,5,1,13,NA,NA,210,2,1,NA,NA,NA,NA,NA
"272","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,32,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,32,266,"mei","Suspenso",5.3,5.01,1.05,2.58,22,"266",NA,6,NA,49,32,5,8,33,2,NA,81,NA,2,NA,NA,NA,NA,NA
"274","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,32,266,"mei","Contundido",0,3.86,0,1.65,17,"266",2,3,NA,16,8,2,4,8,1,NA,54,NA,NA,NA,NA,NA,NA,NA
"275","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,32,266,"mei","Nulo",0,7.01,0,3.39,22,"266",NA,5,NA,34,32,9,18,68,1,NA,93,NA,1,NA,NA,3,NA,NA
"276","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,32,266,"zag","Provável",8.8,6.92,1.47,3.41,21,"266",NA,3,NA,38,15,NA,4,32,2,NA,84,4,NA,NA,NA,NA,NA,NA
"277","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,32,266,"ata","Nulo",0,4.26,0,2.04,19,"266",1,1,1,15,12,2,5,15,3,NA,44,NA,4,NA,NA,NA,NA,NA
"278","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,32,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,32,266,"ata","Nulo",0,1.97,0,0.34,19,"266",NA,3,NA,6,21,6,4,10,1,NA,33,NA,7,NA,NA,NA,NA,NA
"280","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,32,356,"zag","Provável",-0.5,3.48,-1.06,1.84,17,"356",NA,5,NA,19,19,2,3,15,NA,NA,55,5,NA,NA,NA,NA,NA,NA
"281","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,32,356,"mei","Nulo",-0.1,2.42,0,-0.33,7,"356",NA,2,NA,2,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"282","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,32,356,"zag","Suspenso",-3.2,2.58,-1.34,1.78,25,"356",NA,5,NA,26,32,2,3,13,NA,NA,104,9,3,NA,NA,NA,NA,NA
"283","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,32,264,"ata","Nulo",0,9.93,-1.25,2.94,17,"264",1,NA,NA,NA,14,8,6,20,5,NA,75,NA,8,NA,NA,1,NA,1
