"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","G","I","PI","DD","DP","GS","SG","CV","FT","GC","PP"
"196","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,21,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,NA,3,1,1,2,6,NA,1,20,NA,NA,NA,1,NA,NA,NA,NA
"197","Matheus Bonifácio Saldanha Marinho","saldanha","Saldanha","https://s.glbimg.com/es/sde/f/2020/07/16/61b9f7b4e75ec5b35b48d42b3b848e54_FORMATO.png",107088,21,265,"ata","Nulo",0,1.97,0,1.05,12,"265",NA,1,2,5,1,8,5,1,3,15,NA,NA,NA,NA,NA,NA,NA,NA
"198","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,21,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,21,293,"zag","Provável",7.5,5.92,1.09,3.27,12,"293",NA,1,23,5,NA,2,7,NA,NA,43,NA,NA,NA,4,NA,NA,NA,NA
"200","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,21,282,"ata","Nulo",0,3.9,0,1.48,10,"282",1,NA,11,13,1,4,5,NA,3,31,NA,NA,NA,NA,NA,1,NA,NA
"201","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,21,265,"ata","Nulo",-0.5,5.05,-0.14,1.68,15,"265",NA,3,13,10,3,6,18,2,2,92,NA,NA,NA,NA,NA,NA,NA,NA
"202","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,21,264,"mei","Nulo",-0.6,4.94,-0.76,1.3,11,"264",1,1,10,12,2,4,10,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
"203","Luiz Otávio Alves Marcolino","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/03/01/c0d9bec2c3fec7a81266729603ed2582_FORMATO.png",94269,21,263,"mei","Nulo",0,1.7,0,0.42,13,"263",NA,NA,5,8,3,1,3,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"204","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,21,264,"ata","Provável",-0.1,4.2,-0.14,3.08,5,"264",NA,NA,3,5,2,5,4,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"205","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,21,263,"lat","Nulo",0,3.2,0,3.15,2,"263",NA,1,4,1,NA,NA,1,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA
"206","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,21,263,"ata","Provável",8.1,9.37,1.27,4.43,18,"263",1,5,24,44,8,9,48,6,8,81,NA,NA,NA,NA,NA,2,NA,NA
"207","Sidcley Ferreira Pereira","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2020/03/02/d76b28f383366667813428ea01aaab63_FORMATO.png",86764,21,264,"lat","Nulo",0,6.17,0,2.03,8,"264",NA,NA,12,4,1,1,9,NA,1,47,NA,NA,NA,1,NA,NA,NA,NA
"208","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,21,263,"ata","Nulo",1,6.91,0,1.6,12,"263",1,NA,6,13,2,5,10,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
"209","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,21,293,"mei","Nulo",0,2,-0.37,0.82,14,"293",NA,2,20,16,1,2,10,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA
"210","Rhuan Silveira Castro","rhuan","Rhuan","https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png",102958,21,263,"ata","Nulo",-0.1,2.97,-0.47,2.2,15,"263",1,NA,7,4,5,9,22,NA,2,32,NA,NA,NA,NA,NA,1,NA,NA
"211","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,21,294,"ata","Provável",-2.1,8.99,-0.89,5.09,20,"Coritiba",1,4,25,34,10,25,41,6,11,100,NA,NA,NA,NA,NA,4,NA,NA
"212","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,21,294,"mei","Provável",3.5,4.68,0.03,2.01,16,"Coritiba",NA,1,34,27,NA,5,32,NA,1,58,NA,NA,NA,NA,NA,NA,NA,NA
"213","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,21,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2020/08/11/87b4fea563db3d41db70885180069dfb_FORMATO.png",89883,21,266,"mei","Provável",1.6,11.12,-0.53,4.12,19,"266",NA,3,64,23,4,10,34,1,NA,58,NA,NA,NA,NA,NA,NA,NA,NA
"215","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,21,373,"ata","Provável",4.1,5.78,0.69,3.07,16,"373",3,1,21,14,6,9,19,1,NA,97,NA,NA,NA,NA,NA,NA,NA,NA
"216","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,21,266,"ata","Nulo",0,3.4,0,2.1,12,"266",2,3,1,14,4,2,20,2,2,42,NA,NA,NA,NA,NA,NA,NA,NA
"217","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/01/21/85aa563c123a60bd623ab6053d632f1d_FORMATO.png",73515,21,294,"mei","Dúvida",0,3.9,0,0.76,8,"Coritiba",NA,NA,6,5,NA,1,9,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
"218","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,21,356,"mei","Provável",2.5,5.23,-0.44,2.31,17,"356",NA,5,48,27,1,4,29,1,NA,70,NA,NA,NA,NA,1,NA,NA,NA
"219","Patrick de Oliveira Vieira","patrick-vieira","Patrick Vieira","https://s.glbimg.com/es/sde/f/2020/03/02/1b0ea475d6d2bdd4a6d337fb781b4752_FORMATO.png",78635,21,294,"lat","Nulo",0,4.64,0,1.55,4,"Coritiba",NA,1,5,5,2,1,3,NA,1,35,NA,NA,NA,1,NA,NA,NA,NA
"220","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,21,354,"mei","Provável",0,10.73,0,6.7,14,"354",3,1,11,10,15,21,8,6,3,134,NA,NA,NA,NA,NA,1,NA,NA
"221","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,21,290,"ata","Provável",1.9,2.81,0.03,1.72,12,"290",2,2,11,10,1,5,18,NA,3,71,NA,NA,NA,NA,NA,1,NA,NA
"222","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,21,263,"ata","Contundido",0,2.33,0,0.05,2,"263",NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"223","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,21,356,"zag","Contundido",0,1.67,0,1.38,9,"356",NA,3,5,6,NA,2,3,NA,NA,17,NA,NA,NA,4,1,NA,NA,NA
"224","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,21,354,"mei","Nulo",0,3.19,0,0.57,6,"354",1,NA,2,3,NA,1,2,NA,3,24,NA,NA,NA,NA,NA,NA,NA,NA
"225","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,21,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,21,264,"mei","Nulo",0,5.32,0,2.19,9,"264",NA,2,4,1,3,3,16,1,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"227","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,21,266,"ata","Provável",6.6,3.31,1.04,0.83,12,"266",NA,1,4,15,5,3,9,1,6,25,NA,NA,NA,NA,NA,NA,NA,NA
"228","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,21,264,"mei","Nulo",0.4,5.18,-0.02,2.26,13,"264",NA,NA,25,12,3,3,15,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,21,354,"zag","Provável",0.5,4.29,0.33,1.91,15,"354",NA,6,27,23,1,1,4,1,NA,50,NA,NA,NA,4,1,1,NA,NA
"230","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,21,356,"ata","Nulo",0.8,2.41,-0.18,-0.27,3,"356",NA,NA,NA,2,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"231","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,21,294,"ata","Nulo",0,1.1,0,-0.07,4,"Coritiba",NA,2,3,5,NA,NA,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"232","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,21,266,"zag","Provável",0.2,5.83,-0.86,3.33,19,"266",NA,2,33,14,NA,4,29,2,NA,77,NA,NA,NA,3,NA,NA,NA,NA
"233","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,21,266,"zag","Nulo",0,5.46,0,5.15,2,"266",1,NA,NA,2,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
"234","Roberto Pimenta Vinagre Filho","betinho","Betinho","https://s.glbimg.com/es/sde/f/2020/02/27/d7282d39e0f03cd1978cb07173ea3ead_FORMATO.png",82876,21,292,"mei","Nulo",0,4.89,0,2,10,"292",1,3,30,22,NA,3,10,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA
"235","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,21,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2020/03/06/88d17bd8903f1e821665cdd49c0bf7d9_FORMATO.png",84339,21,356,"lat","Nulo",0,4.06,0,2.69,12,"356",NA,3,11,18,2,1,8,2,2,59,NA,NA,NA,4,NA,NA,NA,NA
"237","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,21,266,"mei","Provável",-1.2,6,-0.56,2.84,16,"266",NA,5,26,23,5,12,50,1,1,71,NA,NA,NA,NA,NA,NA,NA,NA
"238","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,21,266,"mei","Provável",2.6,5.79,-0.28,2.06,14,"266",2,1,39,27,3,3,12,NA,2,58,NA,NA,NA,NA,1,NA,1,NA
"239","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2020/03/06/e4bf45811b6c858824a076c5f69c6ae0_FORMATO.png",84523,21,356,"ata","Provável",2,8.47,-0.76,2.94,19,"356",NA,2,15,10,7,10,43,2,2,60,NA,NA,NA,NA,NA,1,NA,NA
"240","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,21,266,"mei","Nulo",0,1.41,0,0.81,9,"266",NA,3,14,12,3,3,4,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
"241","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,21,294,"zag","Provável",-0.3,0.78,-0.01,-0.14,13,"Coritiba",NA,5,7,16,1,1,6,NA,NA,58,NA,NA,NA,3,1,NA,NA,NA
"242","Odair Hellmann","odair-hellmann","Odair Hellmann","https://s.glbimg.com/es/sde/f/2020/09/15/51596ac5f41f3ef6fbc80c02fc7ab63e_FORMATO.png",92273,21,266,"tec","Provável",2.55,9.49,-0.07,3.51,21,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,21,356,"gol","Nulo",0,3.76,0,11.4,1,"356",NA,NA,NA,NA,NA,NA,1,NA,NA,21,2,NA,NA,1,NA,NA,NA,NA
"244","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,21,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,21,266,"ata","Nulo",-0.4,4.97,-0.21,1.25,17,"266",1,NA,11,6,NA,5,2,1,1,44,NA,NA,NA,NA,NA,NA,NA,NA
"246","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,21,266,"lat","Nulo",0,9.3,0,4.22,11,"266",2,NA,43,14,5,1,6,NA,NA,143,NA,NA,NA,1,NA,NA,NA,NA
"247","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,21,264,"ata","Provável",6.1,3.02,1.07,5.17,3,"264",NA,1,1,4,2,2,2,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA
"248","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,21,356,"mei","Nulo",0.4,1.12,-0.04,-0.17,8,"356",NA,1,1,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"249","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,21,263,"mei","Provável",1.5,6.31,0.35,3.04,18,"263",NA,5,26,22,4,10,28,4,2,82,NA,NA,NA,NA,NA,NA,NA,NA
"250","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,21,266,"zag","Nulo",0,5.6,0,4.09,9,"266",NA,3,17,9,1,3,6,2,NA,23,NA,NA,NA,2,NA,NA,NA,NA
"251","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,21,264,"lat","Provável",-0.7,3.99,-0.36,2.72,11,"264",2,1,20,14,2,3,8,NA,NA,99,NA,NA,NA,2,NA,NA,NA,NA
"252","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,21,266,"ata","Nulo",1.4,3.84,0.32,2.09,12,"266",1,NA,11,8,2,3,10,1,3,34,NA,NA,NA,NA,NA,NA,NA,NA
"253","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,21,263,"ata","Nulo",0,2.43,0,0,4,"263",NA,1,1,4,1,1,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"254","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,21,264,"zag","Nulo",0,1.43,0,-1.65,4,"264",NA,2,1,3,NA,NA,1,NA,NA,26,NA,NA,NA,1,1,NA,NA,NA
"255","Lucas Vinícius Gonçalves Silva","lucao-do-break","Lucão do Break","https://s.glbimg.com/es/sde/f/2020/08/26/327d8ca1e3d966621e0b1f2489f9b43a_FORMATO.jpeg",83199,21,290,"ata","Nulo",0,1.92,0,-2,1,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,21,356,"lat","Nulo",-0.2,6.72,-0.08,2.74,17,"356",1,1,12,14,3,2,14,1,2,57,NA,NA,NA,6,1,NA,NA,NA
"257","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,21,266,"ata","Provável",2.6,4.24,0.27,2.42,13,"266",1,5,12,7,1,3,24,2,1,32,NA,NA,NA,NA,NA,NA,NA,NA
"258","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/10/16/a6f8687af7ab25654568d0b1f3d32841_FORMATO.png",68696,21,356,"ata","Provável",0.4,2.17,-1.83,2.05,8,"356",NA,1,8,8,2,1,9,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"259","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,21,266,"gol","Provável",4.3,5.78,-0.17,2.64,18,"266",NA,NA,NA,NA,NA,NA,6,NA,NA,134,19,NA,19,4,NA,NA,NA,NA
"260","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,21,294,"zag","Provável",-0.1,7.8,-2.12,4.06,20,"Coritiba",NA,1,31,7,NA,5,17,4,2,107,NA,NA,NA,5,NA,1,1,NA
"261","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,21,290,"gol","Nulo",0,0.77,0,-3.45,2,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,29,1,NA,3,NA,NA,NA,NA,NA
"262","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,21,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,21,266,"mei","Nulo",0,4.47,0,2.15,14,"266",2,2,16,7,2,3,7,1,NA,47,NA,NA,NA,NA,NA,NA,NA,NA
"264","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,21,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,21,354,"lat","Nulo",0,2.99,0,1.44,8,"354",NA,1,10,9,1,NA,5,1,1,62,NA,NA,NA,1,1,1,NA,NA
"266","William Matheus da Silva","william-matheus","William Matheus","https://s.glbimg.com/es/sde/f/2020/03/02/909543d62f7ce5eb46d841074c60bdb6_FORMATO.png",62130,21,294,"lat","Provável",4.9,6.06,0.3,2.7,20,"Coritiba",3,2,22,19,1,6,23,1,5,178,NA,NA,NA,5,NA,NA,NA,NA
"267","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,21,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,21,266,"zag","Provável",1.1,5.97,-0.06,2.69,15,"266",NA,NA,20,7,1,3,11,1,2,74,NA,NA,NA,3,NA,NA,NA,NA
"269","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2020/03/02/d39e2efa4d8440e5313bc3b78a139e22_FORMATO.png",68938,21,294,"mei","Provável",4.5,8.36,-1.85,6.19,15,"Coritiba",4,1,29,10,3,4,37,4,1,89,NA,NA,NA,NA,NA,1,NA,NA
"270","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,21,356,"ata","Provável",7.1,5.45,0.53,2.52,18,"356",2,3,15,38,2,13,21,4,7,64,NA,NA,NA,NA,NA,NA,NA,NA
"271","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,21,266,"lat","Provável",0.8,4.01,-0.21,2.35,15,"266",3,5,27,36,1,5,24,NA,2,100,NA,NA,NA,3,NA,NA,NA,NA
"272","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,21,356,"ata","Nulo",0,6.17,0,2.53,18,"356",2,2,20,8,6,9,14,1,2,81,NA,NA,NA,NA,NA,1,NA,NA
"273","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,21,356,"mei","Nulo",-0.7,2.52,-0.25,0.72,14,"356",NA,1,16,16,1,2,7,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
"274","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,21,294,"mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,21,266,"zag","Nulo",0,3,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,21,294,"zag","Nulo",0,4.64,0,1.92,6,"Coritiba",NA,NA,9,2,NA,NA,3,NA,NA,30,NA,NA,NA,1,NA,NA,NA,NA
"277","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/10/28/bc1aa1e9e309d904fee8aa101a3494aa_FORMATO.png",91772,21,290,"zag","Provável",0.4,3.72,-0.04,2.68,11,"290",NA,1,19,6,3,4,4,1,NA,63,NA,NA,NA,2,1,NA,NA,NA
