"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","G","I","A","FT","DP","GC","PP"
"190","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,28,266,"zag","Nulo",0,5.45,0,3.14,20,"266",NA,NA,30,NA,82,3,3,35,15,NA,4,2,NA,NA,NA,NA,NA,NA
"191","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2020/09/01/c6c4761a2d57001c8a08954dca2c76c0_FORMATO.png",91260,28,276,"gol","Contundido",0,1.1,0,-2,0,"276",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,28,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,28,265,"lat","Provável",1.3,7.53,-0.03,2.39,20,"265",NA,NA,16,NA,172,2,2,45,20,4,2,NA,1,2,NA,NA,NA,NA
"194","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,28,276,"zag","Provável",0,8.53,0,3.17,9,"276",NA,NA,5,NA,28,3,2,9,11,4,2,1,NA,NA,NA,NA,NA,NA
"195","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,28,264,"mei","Nulo",0,3.29,0,0.74,12,"264",NA,NA,2,NA,22,NA,2,17,16,1,1,NA,NA,NA,1,NA,NA,NA
"196","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,28,356,"mei","Provável",0.3,5.03,-0.67,2.42,22,"356",1,NA,40,NA,91,NA,6,61,35,2,7,1,NA,NA,NA,NA,NA,NA
"197","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,28,284,"zag","Provável",2.9,9.72,1.01,3.58,10,"284",1,NA,14,NA,35,5,4,28,25,2,3,NA,NA,NA,NA,NA,NA,NA
"198","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,28,293,"ata","Suspenso",8.3,8.34,1.44,4.71,22,"293",NA,NA,34,NA,79,NA,3,14,41,15,18,9,16,1,2,NA,NA,NA
"199","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,28,284,"zag","Nulo",0,1.94,0,0.74,9,"284",NA,NA,3,NA,43,2,2,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,28,262,"ata","Nulo",0.5,5.41,0.39,4.05,21,"Flamengo",NA,NA,22,NA,42,NA,1,5,21,17,8,8,4,1,NA,NA,NA,2
"201","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,28,354,"zag","Nulo",0,3.07,0,2.85,6,"354",NA,NA,1,NA,42,1,1,8,2,1,2,1,NA,NA,NA,NA,NA,NA
"202","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png",91607,28,275,"ata","Dúvida",0,10.91,0,3.49,16,"275",NA,NA,25,NA,67,NA,2,20,31,10,12,4,8,NA,NA,NA,NA,NA
"203","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,28,354,"gol","Provável",-4.3,2.48,-1.46,0.9,5,"354",NA,2,3,5,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,28,356,"lat","Provável",0.1,5.93,-0.64,2.58,17,"356",NA,NA,18,NA,103,7,2,25,24,NA,2,NA,1,NA,NA,NA,NA,NA
"205","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2020/02/27/af95f24d59281d8062c7bb367417bce2_FORMATO.png",91664,28,292,"zag","Provável",7.5,4.56,1.31,1.39,25,"292",NA,NA,18,NA,91,6,6,29,35,2,7,NA,1,NA,1,NA,1,NA
"206","Ricardo Ribeiro de Lima","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/25/003e596752a82b34bc103220faa3125d_FORMATO.png",68832,28,292,"mei","Nulo",0,3.22,0,1.51,21,"292",NA,NA,31,NA,50,NA,3,30,21,6,2,NA,2,NA,NA,NA,NA,NA
"207","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,28,276,"mei","Provável",0.8,7,0.01,2.25,20,"276",NA,NA,22,NA,78,NA,2,13,7,8,9,2,3,1,NA,NA,NA,NA
"208","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,28,264,"mei","Nulo",0,6.2,0,2.34,17,"264",NA,NA,16,NA,119,NA,6,42,33,5,7,1,1,1,2,NA,NA,NA
"209","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,28,292,"lat","Provável",4.6,8.87,0.41,3.03,26,"292",1,NA,31,NA,236,5,2,41,35,3,14,1,6,5,1,NA,NA,NA
"210","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,28,282,"zag","Nulo",0,7.32,0,3.25,4,"282",NA,NA,NA,NA,3,3,2,4,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"211","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,28,277,"lat","Provável",0,5.76,0,3.51,19,"Santos",NA,NA,13,NA,129,2,2,13,10,4,1,4,3,4,1,NA,NA,NA
"212","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2020/02/27/dab4d223e4d736b3877f27a6b24a7a0e_FORMATO.png",63289,28,285,"mei","Suspenso",7.7,9.5,0.31,3.22,24,"285",NA,NA,30,NA,176,NA,6,42,37,7,12,3,3,5,1,NA,NA,NA
"213","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,28,265,"mei","Nulo",3.7,3.78,-0.4,2.13,14,"265",NA,NA,14,NA,48,NA,4,39,27,1,5,NA,NA,1,NA,NA,NA,NA
"214","Claudio Luiz Rodrigues Parisi Leonel","claudinho","Claudinho","https://s.glbimg.com/es/sde/f/2020/07/28/552853b4ec9d01e9cfe52d7863da96fd_FORMATO.png",92630,28,280,"ata","Provável",17.2,16.27,2.76,5.66,24,"280",NA,NA,35,NA,229,NA,3,40,22,20,23,9,4,2,NA,NA,NA,1
"215","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,28,266,"mei","Nulo",8.2,5.24,0.39,2.52,19,"266",NA,NA,26,NA,65,NA,4,37,26,4,7,2,2,NA,NA,NA,NA,NA
"216","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,28,265,"mei","Nulo",0,13.69,0,4.14,16,"265",NA,NA,29,NA,88,NA,2,12,12,10,10,4,3,1,1,NA,NA,NA
"217","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,28,280,"zag","Provável",-0.2,3.97,-0.11,2.31,20,"280",NA,NA,11,NA,51,5,2,28,27,1,5,NA,NA,1,NA,NA,NA,NA
"218","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,28,264,"ata","Nulo",0,4.2,0,3.08,5,"264",NA,NA,4,NA,15,NA,NA,3,5,2,5,1,NA,NA,NA,NA,NA,NA
"219","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2020/11/17/b1766906a83be062261db4d6584d9d49_FORMATO.png",68834,28,373,"mei","Nulo",0,4.1,0,0.1,2,"373",NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,28,276,"lat","Provável",3.4,13.73,-0.52,4.96,21,"276",NA,NA,20,NA,264,6,3,39,24,10,7,4,NA,4,NA,NA,NA,NA
"221","Matheus Isaías dos Santos","matheus-jussa","Matheus Jussa","https://s.glbimg.com/es/sde/f/2020/07/20/b6025d70931dcc81ed6357f0201f65e9_FORMATO.png",91689,28,285,"zag","Nulo",0,2.32,0,0.9,2,"285",NA,NA,1,NA,12,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2020/02/27/887c825f63637b345d17570bf49d66fa_FORMATO.png",63354,28,285,"zag","Provável",6.6,7.54,0.08,3.96,17,"285",1,NA,25,NA,30,8,3,25,12,1,1,1,NA,NA,NA,NA,NA,NA
"223","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2020/10/13/4e771210e49b104092cac2a09476bbd1_FORMATO.png",61149,28,266,"ata","Nulo",0.8,4.47,-0.2,2.47,7,"266",NA,NA,9,NA,16,NA,NA,8,6,2,NA,1,2,NA,NA,NA,NA,NA
"224","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,28,284,"mei","Nulo",2.8,5.11,0.28,1.74,16,"284",NA,NA,8,NA,27,NA,1,18,11,3,6,1,1,NA,NA,NA,NA,NA
"225","Roberson de Arruda Alves","roberson","Roberson","https://s.glbimg.com/es/sde/f/2020/11/19/a5b8dd2097e33dc8b83c68a99a5ec143_FORMATO.png",68835,28,373,"ata","Nulo",0.2,4.6,-0.32,3.35,4,"373",NA,NA,3,NA,6,NA,NA,3,3,NA,NA,1,NA,NA,1,NA,NA,NA
"226","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,28,276,"ata","Nulo",0,2.65,-0.17,0.2,5,"276",NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"227","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,28,262,"gol","Nulo",0,3.38,0,1.2,4,"Flamengo",NA,NA,NA,2,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Alan Pereira Empereur","alan-empereur","Alan Empereur","https://s.glbimg.com/es/sde/f/2020/11/09/0f9a49104e8f171fcf62eecc85255e66_FORMATO.png",88033,28,275,"zag","Provável",0,7.14,0,4.18,4,"275",NA,NA,2,NA,8,3,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,28,264,"mei","Nulo",0,6.64,0,2.82,11,"264",NA,NA,19,NA,20,NA,2,5,2,4,4,2,1,NA,NA,NA,NA,NA
"230","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2020/07/21/6ad752ca6185d76358f944dab95130fd_FORMATO.png",87863,28,262,"mei","Provável",16.3,19.05,2.14,6.35,16,"Flamengo",NA,NA,19,NA,157,NA,NA,24,11,11,13,5,NA,4,2,NA,NA,NA
"231","Leandro Miguel Fernández","leandro-fernandez","Leandro Fernández","https://s.glbimg.com/es/sde/f/2020/09/04/82a78869a31f588ee0291f918d0ad936_FORMATO.png",93303,28,285,"ata","Nulo",0.8,5.98,-0.47,1.5,7,"285",NA,NA,7,NA,30,NA,2,2,6,4,9,NA,4,1,NA,NA,NA,NA
"232","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2020/02/27/79ca1f19561511f316107b776b58d2e4_FORMATO.png",78856,28,292,"mei","Provável",0.2,4.18,-0.61,1.83,16,"292",NA,NA,14,NA,21,NA,4,36,31,NA,5,1,NA,NA,NA,NA,NA,NA
"233","Bruno Nunes de Barros","bruno-tubarao","Bruno Tubarão","https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png",93637,28,280,"mei","Dúvida",0.7,3.64,-0.16,2.5,20,"280",NA,NA,12,NA,87,NA,3,33,16,5,12,1,2,1,2,NA,NA,NA
"234","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,28,280,"ata","Nulo",0,2.04,0,0.76,7,"280",NA,NA,6,NA,11,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"235","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2020/02/27/ff4cfd7c9d5ee3bf7c1f281c6a05c147_FORMATO.png",68872,28,285,"gol","Dúvida",8.2,9.44,1.03,0.85,27,"285",NA,13,3,25,304,11,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/c6deeaacd987fda728f5e5cb9a7d733c_FORMATO.png",90285,28,262,"ata","Provável",1.4,12.45,-0.76,5.34,20,"Flamengo",NA,NA,52,NA,119,NA,8,26,32,12,18,6,6,4,3,NA,NA,1
"237","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/10/16/a6f8687af7ab25654568d0b1f3d32841_FORMATO.png",68696,28,356,"ata","Nulo",0,2.48,0,2.22,12,"356",NA,NA,11,NA,24,NA,2,10,15,3,3,2,NA,NA,1,NA,NA,NA
"238","Douglas Baggio de Oliveira Costa","douglas-baggio","Douglas Baggio","https://s.glbimg.com/es/sde/f/2020/08/18/1b11ac648b9f3aacd312e40873a191f0_FORMATO.png",88072,28,290,"ata","Dúvida",1.3,4.37,-0.59,2.65,15,"290",NA,NA,24,NA,55,NA,NA,22,15,6,5,NA,1,1,1,NA,NA,NA
"239","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,28,373,"mei","Dúvida",0.9,2.81,0.15,0.97,21,"373",NA,NA,30,NA,56,NA,3,11,22,2,12,NA,NA,1,NA,NA,NA,NA
"240","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,28,265,"lat","Provável",0,7.61,0,3.6,15,"265",NA,NA,20,NA,141,3,2,38,16,3,5,NA,1,2,NA,NA,NA,NA
"241","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,28,275,"mei","Provável",0,5.58,0,1.89,15,"275",NA,NA,14,NA,94,NA,2,9,9,7,11,NA,NA,2,1,NA,NA,NA
"242","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,28,293,"zag","Nulo",0,5.9,0,2.1,7,"293",NA,NA,2,NA,27,3,2,6,6,NA,3,NA,NA,NA,NA,NA,NA,NA
"243","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,28,265,"mei","Nulo",0,3.4,0,1.84,13,"265",NA,NA,16,NA,38,NA,1,5,6,4,3,1,1,1,NA,NA,NA,NA
"244","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,28,277,"zag","Nulo",0,7.4,0,2.2,15,"Santos",NA,NA,7,NA,90,2,6,32,23,4,4,1,2,1,NA,NA,NA,NA
"245","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,28,265,"mei","Provável",1,4.4,0.11,2.15,19,"265",1,NA,28,NA,83,NA,3,9,17,4,5,3,NA,2,1,NA,NA,NA
"246","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,28,282,"zag","Provável",0,11.48,0,3.53,19,"282",NA,NA,2,NA,122,8,5,36,29,4,11,NA,NA,2,1,NA,NA,NA
"247","José Joaquim de Carvalho","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/08/26/44eafed43db0f7d9f5ef802ee7efa7aa_FORMATO.jpeg",94976,28,290,"ata","Nulo",0,0.75,0,-1.07,3,"290",NA,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"248","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,28,263,"lat","Nulo",-0.2,2.99,-0.23,1.66,9,"263",NA,NA,7,NA,56,2,2,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,28,373,"mei","Suspenso",-2.9,4.7,-0.85,1.8,20,"373",1,NA,16,NA,120,NA,3,34,24,9,13,NA,NA,1,1,NA,NA,NA
"250","Matheus Rezende Assis","rezende","Rezende","https://s.glbimg.com/es/sde/f/2020/08/26/906a80a770a2e18eff41f8425cbd887a_FORMATO.jpeg",93798,28,290,"mei","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,28,277,"mei","Provável",0,3.4,0,1.41,17,"Santos",NA,NA,15,NA,101,NA,6,39,32,1,3,1,2,1,NA,NA,NA,NA
"252","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/10/28/bc1aa1e9e309d904fee8aa101a3494aa_FORMATO.png",91772,28,290,"zag","Provável",0.6,4.36,-0.75,3.38,17,"290",1,NA,4,NA,96,6,1,27,13,4,7,1,NA,NA,1,NA,NA,NA
"253","Ramón Martínez López","ramon-martinez","Ramón Martínez","https://s.glbimg.com/es/sde/f/2020/09/10/3ec7fbe3fc53cbbd7d412caa63adc854_FORMATO.png",92155,28,294,"mei","Nulo",0,2.84,0,0.31,7,"Coritiba",NA,NA,3,NA,8,NA,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Jair Ventura","jair-ventura","Jair Ventura","https://s.glbimg.com/es/sde/f/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png",92180,28,292,"tec","Provável",5.51,7.57,0.76,3.02,22,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Everson Bispo Pereira","everson","Everson","https://s.glbimg.com/es/sde/f/2020/08/07/bcee43b5a9d7f2a59fe420a61e728ec9_FORMATO.png",91929,28,265,"zag","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,28,280,"zag","Nulo",0,8.85,0,3.13,26,"280",NA,NA,11,NA,116,5,3,46,15,2,7,3,NA,NA,1,NA,1,NA
"257","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2020/07/22/3146ee098c41caa4d1ed2022bd3dc17e_FORMATO.png",91888,28,263,"lat","Provável",-1,2.62,-0.45,1.25,20,"263",NA,NA,19,NA,267,2,2,43,22,3,1,NA,1,1,NA,NA,1,NA
"258","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,28,373,"lat","Nulo",4.9,7.71,0.71,2.9,24,"373",NA,NA,11,NA,265,7,NA,39,28,6,12,NA,2,3,NA,NA,NA,NA
"259","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,28,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Keiller da Silva Nunes","keiller","Keiller","https://s.glbimg.com/es/sde/f/2020/02/27/4d3e8df7f1ee40580d75e33e752dcff2_FORMATO.png",93834,28,285,"gol","Nulo",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png",92496,28,280,"mei","Provável",16.9,11.02,2.3,5.46,19,"280",NA,NA,49,NA,114,NA,1,78,32,1,5,2,1,2,NA,NA,NA,NA
"262","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,28,265,"zag","Provável",0,7.31,0,1.98,20,"265",1,NA,6,NA,74,2,2,32,5,2,4,1,1,NA,NA,NA,NA,NA
"263","Matheus Sousa de Jesus","matheus-jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2020/07/28/f6113500995af8a65418616d8f79fc39_FORMATO.png",95335,28,280,"mei","Nulo",0,4.03,0,0.95,11,"280",NA,NA,9,NA,43,NA,3,9,13,3,7,NA,1,1,NA,NA,NA,NA
"264","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png",93882,28,280,"gol","Provável",-4.5,0.78,0,-0.45,21,"280",NA,8,3,24,150,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,28,264,"zag","Nulo",0,6.93,0,3.27,20,"264",NA,NA,12,NA,80,7,2,31,16,1,2,1,1,1,1,NA,1,NA
"266","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,28,284,"gol","Nulo",0,6.36,0,4.33,6,"284",NA,5,NA,5,40,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"267","Ravanelli Ferreira dos Santos","ravanelli","Ravanelli","https://s.glbimg.com/es/sde/f/2020/09/05/08428ea1a04ba3d8819ad7117a72e492_FORMATO.png",92193,28,293,"mei","Nulo",0,3.76,0,2.21,11,"293",NA,NA,12,NA,38,NA,NA,4,9,3,5,1,2,1,1,NA,NA,NA
"268","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,28,356,"zag","Nulo",0,1.67,0,1.38,9,"356",1,NA,3,NA,17,4,3,5,6,NA,2,NA,NA,NA,NA,NA,NA,NA
"269","Jefferson Junio Antônio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2020/08/26/1b4ff7917a54d469be132fbe58592256_FORMATO.jpeg",95220,28,290,"lat","Provável",-1.5,5.01,-1.79,3.01,15,"290",1,NA,13,NA,119,6,1,28,13,NA,5,1,2,NA,NA,NA,1,NA
"270","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,28,266,"ata","Nulo",2.2,4.31,0.11,2.3,19,"266",NA,NA,33,NA,52,NA,6,16,13,1,7,3,2,1,NA,NA,NA,NA
"271","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2020/07/19/2277b33232bf3b6a9c2e569271b9f87d_FORMATO.png",95352,28,284,"lat","Contundido",0,10.1,0,5.19,17,"284",NA,NA,23,NA,164,8,1,49,27,3,7,1,1,NA,1,NA,NA,NA
