"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","I","PI","SG","G","DD","DP","GS","FT","GC","PP"
"186","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,35,263,"ata","Nulo",1.4,2.38,0.26,0.84,8,"263",NA,NA,NA,3,3,2,1,9,1,20,NA,NA,NA,NA,NA,NA,NA,NA
"187","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,35,354,"mei","Nulo",0,3,0,1.25,17,"354",3,2,NA,5,12,NA,2,9,NA,29,NA,1,NA,NA,NA,NA,NA,NA
"188","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,35,293,"mei","Contundido",0,4.18,0,2.03,17,"293",1,5,NA,42,36,7,13,5,NA,58,NA,NA,NA,NA,NA,NA,NA,NA
"189","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,35,293,"zag","Nulo",1.5,5.26,-0.63,2.07,10,"293",NA,1,NA,11,4,1,2,4,NA,11,3,NA,NA,NA,NA,NA,1,NA
"190","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,35,293,"ata","Nulo",0,3.08,0,0.93,11,"293",1,NA,NA,2,7,2,2,4,2,13,NA,NA,NA,NA,NA,1,NA,NA
"191","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,35,265,"mei","Nulo",9.6,2.81,1.36,1.32,14,"265",NA,1,NA,9,8,3,3,9,2,20,NA,1,NA,NA,NA,NA,NA,NA
"192","Gregore de Magalhães da Silva","gregore","Gregore","https://s.glbimg.com/es/sde/f/2020/07/23/d4779b1c4479f06f665d796b9eb346b7_FORMATO.png",95464,35,265,"mei","Provável",-1.2,4.98,-0.66,0.82,25,"265",2,10,1,68,80,5,8,19,NA,145,NA,NA,NA,NA,NA,NA,NA,NA
"193","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,35,263,"gol","Nulo",0,3.9,0,0.35,18,"263",NA,2,NA,1,2,NA,NA,1,NA,102,1,NA,17,1,30,NA,NA,NA
"194","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,35,263,"ata","Nulo",0,6.9,0,1.67,20,"263",1,NA,NA,12,15,7,11,16,4,74,NA,1,NA,NA,NA,NA,NA,NA
"195","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,35,265,"mei","Nulo",-0.2,1.98,-0.27,1.48,16,"265",NA,NA,NA,16,10,6,5,9,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
"196","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,35,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,35,293,"ata","Nulo",13.3,14.84,1.79,4.69,11,"293",1,1,NA,8,17,7,6,22,2,40,NA,3,NA,NA,NA,2,NA,NA
"198","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,35,354,"mei","Nulo",0,3.18,0,0.33,7,"354",1,NA,NA,2,5,NA,1,2,3,25,NA,NA,NA,NA,NA,NA,NA,NA
"199","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,35,354,"mei","Provável",0.3,11.01,-1.12,6.7,27,"354",9,3,NA,13,16,25,33,23,5,231,NA,12,NA,NA,NA,1,NA,1
"200","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,35,263,"ata","Nulo",-0.1,2.3,-0.23,1.05,10,"263",NA,1,NA,4,11,1,2,9,NA,13,NA,1,NA,NA,NA,NA,NA,NA
"201","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,35,354,"zag","Provável",-2.3,5.89,-0.8,3.08,25,"354",NA,7,NA,45,21,2,7,20,2,114,8,1,NA,NA,NA,1,NA,NA
"202","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,35,354,"ata","Nulo",0,5.11,0,1.77,18,"354",1,3,1,22,12,3,7,22,1,59,NA,1,NA,NA,NA,NA,NA,NA
"203","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,35,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,35,354,"zag","Provável",-0.2,3.37,0.02,1.68,9,"354",NA,NA,NA,4,6,NA,NA,2,NA,18,3,NA,NA,NA,NA,NA,NA,NA
"205","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,35,293,"zag","Nulo",0,3.19,0,1.18,8,"293",1,1,NA,5,9,1,1,4,NA,31,1,NA,NA,NA,NA,NA,NA,NA
"206","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,35,354,"gol","Provável",9.2,5.12,0.39,2.92,12,"354",NA,1,NA,NA,NA,NA,NA,4,NA,110,4,NA,13,NA,13,NA,NA,NA
"207","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,35,354,"mei","Nulo",0,1.61,0,0.06,9,"354",NA,3,NA,7,12,NA,3,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"208","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,35,354,"mei","Provável",5.6,5.39,-1.35,2.79,29,"354",NA,3,NA,72,15,3,8,21,NA,88,NA,1,NA,NA,NA,1,NA,NA
"209","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,35,293,"lat","Provável",8.8,10.89,0.47,4.01,29,"293",2,3,NA,52,35,6,10,12,1,267,12,3,NA,NA,NA,NA,NA,NA
"210","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,35,354,"lat","Provável",-1.7,5.83,-0.69,2.92,27,"354",3,6,1,49,35,3,5,39,2,245,8,1,NA,NA,NA,NA,NA,NA
"211","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,35,354,"zag","Nulo",0,2.75,0,2.39,7,"354",NA,1,NA,8,3,1,2,2,NA,46,1,1,NA,NA,NA,NA,NA,NA
"212","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,35,354,"zag","Dúvida",0,5.04,0,2.52,26,"354",NA,7,1,48,29,1,3,7,NA,72,8,1,NA,NA,NA,1,NA,NA
"213","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,35,263,"mei","Provável",5.6,6.62,0.93,2.34,28,"263",NA,7,NA,45,51,6,18,47,3,157,NA,4,NA,NA,NA,NA,NA,NA
"214","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,35,354,"lat","Nulo",0,2.56,0,2.24,9,"354",NA,3,NA,23,11,NA,3,11,2,82,2,NA,NA,NA,NA,NA,NA,NA
"215","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,35,354,"mei","Nulo",0,2.38,0,0.5,10,"354",NA,1,NA,9,5,2,1,1,1,57,NA,NA,NA,NA,NA,1,NA,NA
"216","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,35,354,"lat","Provável",-0.2,7.74,-0.2,3.16,26,"354",2,3,1,61,32,NA,4,30,NA,203,8,NA,NA,NA,NA,NA,NA,NA
"217","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,35,354,"mei","Provável",-1.4,12.1,-0.7,4.42,32,"354",3,3,NA,109,50,10,19,50,6,196,NA,2,NA,NA,NA,1,NA,NA
"218","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,35,264,"mei","Nulo",-0.6,5.76,-0.63,2.32,21,"264",1,7,NA,52,38,9,8,16,1,139,NA,1,NA,NA,NA,2,NA,NA
"219","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,35,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,NA,NA,3,1,1,2,6,1,20,1,NA,NA,NA,NA,NA,NA,NA
"220","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,35,354,"mei","Provável",1.3,6.21,-0.17,3.43,28,"354",2,5,NA,45,36,5,7,43,4,99,NA,6,NA,NA,NA,NA,NA,NA
"221","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,35,264,"mei","Dúvida",0,2.47,0,0.63,14,"264",NA,2,NA,19,22,2,2,2,NA,32,NA,NA,NA,NA,NA,1,NA,NA
"222","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,35,293,"lat","Nulo",-0.3,4.24,-0.7,2.5,17,"293",1,3,NA,26,18,1,3,4,NA,93,6,NA,NA,NA,NA,NA,NA,NA
"223","Cléber Bomfim de Jesus","cleber","Cléber","https://s.glbimg.com/es/sde/f/2020/07/16/715ecd8cb7718372d50406be7b2b10d9_FORMATO.png",104125,35,354,"ata","Provável",-0.9,10.09,-0.38,2.81,32,"354",1,1,NA,34,74,14,23,39,13,98,NA,6,NA,NA,NA,1,NA,NA
"224","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,35,354,"ata","Dúvida",3.6,1.4,0.24,1.1,5,"354",NA,NA,NA,5,5,NA,NA,9,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"225","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,35,293,"mei","Provável",0,2.98,0,1.82,24,"293",1,5,NA,57,37,1,6,26,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
"226","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,35,264,"ata","Nulo",-0.8,9.56,-0.28,2.6,19,"264",1,NA,NA,NA,15,9,6,20,8,87,NA,5,NA,NA,NA,1,NA,1
"227","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,35,264,"mei","Provável",0.8,5.16,-0.81,1.75,16,"264",2,2,NA,22,17,2,5,15,NA,53,NA,NA,NA,NA,NA,NA,NA,NA
"228","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,35,264,"gol","Nulo",0,6.52,0,7.17,3,"264",NA,2,NA,NA,NA,NA,NA,NA,NA,25,2,NA,4,NA,NA,NA,NA,NA
"229","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,35,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,35,264,"mei","Suspenso",6.7,5.85,0.68,2.89,21,"264",1,6,NA,67,31,1,3,24,NA,103,NA,1,NA,NA,NA,1,NA,NA
"231","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,35,293,"zag","Provável",3.2,5.96,-0.43,3.43,25,"293",NA,1,NA,42,16,1,4,19,NA,105,10,NA,NA,NA,NA,NA,NA,NA
"232","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,35,264,"zag","Contundido",0,6.45,0,2.83,10,"264",NA,1,1,10,15,6,2,4,NA,39,2,2,NA,NA,NA,NA,NA,NA
"233","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,35,373,"ata","Provável",0.9,5.65,-0.12,2.89,29,"373",5,1,NA,28,26,9,19,32,4,184,NA,3,NA,NA,NA,NA,NA,NA
"234","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,35,264,"mei","Nulo",0,5.18,0,2.26,13,"264",NA,NA,NA,25,12,3,3,15,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
"235","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,35,264,"mei","Suspenso",-2.1,4.95,-0.37,3.01,15,"264",NA,3,NA,8,6,10,5,20,2,30,NA,3,NA,NA,NA,NA,NA,NA
"236","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,35,264,"ata","Nulo",0,1.96,0,3.7,4,"264",NA,1,NA,1,4,2,2,2,4,12,NA,2,NA,NA,NA,NA,NA,NA
"237","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,35,264,"lat","Contundido",-0.1,4.29,-0.78,2.97,15,"264",2,1,NA,21,15,2,3,8,NA,107,5,NA,NA,NA,NA,NA,NA,NA
"238","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,35,294,"zag","Provável",0,2.3,0,0.5,6,"Coritiba",NA,1,NA,3,6,NA,1,2,NA,18,1,NA,NA,NA,NA,NA,NA,NA
"239","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,35,264,"zag","Provável",1.1,2.25,0.24,1.12,11,"264",NA,3,1,13,11,1,NA,1,NA,59,4,NA,NA,NA,NA,NA,NA,NA
"240","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,35,294,"mei","Suspenso",0,5.35,0,0.91,8,"Coritiba",NA,3,NA,12,13,1,2,23,1,60,NA,NA,NA,NA,NA,NA,NA,NA
"241","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,35,294,"zag","Nulo",0,8.73,0,3.96,28,"Coritiba",NA,2,NA,52,11,NA,5,26,2,138,8,4,NA,NA,NA,1,1,1
"242","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,35,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,35,264,"ata","Nulo",0,3.74,0,2.18,7,"264",NA,1,NA,5,6,2,5,5,NA,16,NA,1,NA,NA,NA,NA,NA,NA
"244","Heron Crespo da Silva","heron","Heron","https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg",105339,35,290,"zag","Provável",0,1.48,0,0.8,20,"290",1,6,NA,20,20,NA,1,11,1,79,3,NA,NA,NA,NA,NA,NA,NA
"245","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,35,266,"ata","Nulo",-0.3,3.44,-0.31,2.19,20,"266",2,5,NA,5,28,7,7,36,6,81,NA,4,NA,NA,NA,NA,NA,NA
"246","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,35,294,"ata","Nulo",0,9.47,0,4.09,28,"Coritiba",1,6,1,31,51,13,28,50,15,132,NA,8,NA,NA,NA,5,NA,NA
"247","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,35,266,"zag","Provável",6.3,6.12,0.26,3.63,11,"266",1,2,NA,11,8,1,7,5,NA,24,5,NA,NA,NA,NA,NA,NA,NA
"248","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,35,294,"zag","Suspenso",0,3.01,0,1.27,14,"Coritiba",NA,2,1,17,9,NA,2,4,2,65,3,NA,NA,NA,NA,1,NA,NA
"249","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,35,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,35,266,"mei","Nulo",0,4.99,0,1.43,21,"266",2,2,1,42,35,4,4,19,3,67,NA,NA,NA,NA,NA,NA,1,NA
"251","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,35,294,"mei","Nulo",0,3.84,0,1.46,20,"Coritiba",NA,4,NA,38,35,NA,5,40,1,68,NA,NA,NA,NA,NA,NA,NA,NA
"252","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,35,266,"lat","Provável",4,9.84,-0.88,5.05,18,"266",5,2,NA,67,22,6,1,13,2,247,5,NA,NA,NA,NA,NA,NA,NA
"253","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,35,266,"mei","Contundido",0,3.86,0,1.65,17,"266",2,3,NA,16,8,2,4,8,NA,54,NA,1,NA,NA,NA,NA,NA,NA
"254","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,35,266,"zag","Nulo",5.1,7.24,-0.37,3.44,26,"266",NA,NA,NA,39,18,1,6,14,3,132,9,2,NA,NA,NA,NA,NA,NA
"255","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,35,266,"mei","Provável",4,4.94,-0.18,2.76,24,"266",NA,6,NA,57,33,6,8,36,2,88,NA,2,NA,NA,NA,NA,NA,NA
"256","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,35,266,"gol","Nulo",0,4.62,0,2.36,19,"266",NA,NA,NA,NA,NA,NA,NA,6,NA,140,4,NA,19,NA,20,NA,NA,NA
"257","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,35,266,"mei","Nulo",0,1.97,0,0.76,13,"266",NA,4,NA,24,24,4,3,6,NA,43,NA,NA,NA,NA,NA,NA,NA,NA
"258","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,35,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,35,266,"lat","Nulo",0,5.44,0,3.15,18,"266",3,5,NA,37,39,1,7,30,2,115,5,NA,NA,NA,NA,NA,NA,NA
"260","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,35,266,"gol","Provável",3.8,2.3,-1.85,2.64,14,"266",1,NA,NA,NA,NA,NA,NA,1,NA,126,6,NA,10,NA,13,NA,NA,NA
"261","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,35,266,"ata","Nulo",0,5.53,0,2.74,21,"266",2,6,NA,16,14,1,8,36,2,61,NA,4,NA,NA,NA,NA,NA,NA
"262","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,35,266,"zag","Nulo",0,6.99,0,4.1,23,"266",NA,4,NA,44,18,NA,4,37,NA,86,6,3,NA,NA,NA,NA,NA,NA
"263","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,35,266,"ata","Nulo",0,5.7,0,2.58,23,"266",3,NA,NA,20,11,4,6,7,1,67,NA,3,NA,NA,NA,NA,NA,NA
"264","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,35,266,"zag","Provável",4.4,3.12,0.12,4.4,1,"266",NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"265","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,35,266,"ata","Nulo",1.9,2.65,0.1,0.75,13,"266",NA,1,NA,7,8,3,3,9,4,28,NA,NA,NA,NA,NA,1,NA,NA
"266","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,35,266,"ata","Nulo",0,1.97,0,0.34,19,"266",NA,3,NA,6,21,6,4,10,7,33,NA,1,NA,NA,NA,NA,NA,NA
"267","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,35,266,"ata","Nulo",-0.2,3.68,-0.17,1.84,22,"266",1,1,1,16,12,2,6,16,4,50,NA,3,NA,NA,NA,NA,NA,NA
"268","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,35,266,"mei","Nulo",2.1,6.77,0.17,3.23,24,"266",NA,5,NA,35,32,10,18,70,1,95,NA,1,NA,NA,NA,3,NA,NA
