"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","PI","DD","GS","SG","A","G","CV","GC","DP","I","FT","PP"
"205","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2020/03/06/e4bf45811b6c858824a076c5f69c6ae0_FORMATO.png",84523,24,356,"ata","Nulo",0,8.8,0,2.98,20,"356",2,16,10,8,11,45,63,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA
"206","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,24,263,"mei","Provável",4,7.34,0.37,2.74,16,"263",2,22,22,9,9,22,131,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA
"207","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,24,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,3,1,1,2,6,20,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"208","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,24,277,"zag","Provável",2.6,6.18,-0.71,2.14,21,"Santos",2,30,7,1,3,20,112,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA
"209","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,24,293,"mei","Nulo",-0.7,0.98,-0.19,-0.52,6,"293",2,3,4,NA,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Lucas Andrés Mugni","lucas-mugni","Lucas Mugni","https://s.glbimg.com/es/sde/f/2020/02/27/30e6367d1c02b5a0bdbbafbd7689f58b_FORMATO.png",81121,24,292,"mei","Provável",2,4.79,-0.09,2.98,19,"292",2,50,20,3,8,13,120,NA,NA,NA,2,1,NA,NA,NA,4,NA,NA
"211","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,24,265,"ata","Nulo",0.4,5.2,-0.4,1.73,17,"265",3,14,11,6,7,20,109,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA
"212","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,24,275,"mei","Nulo",0,6.34,0,1.86,12,"275",2,7,8,7,6,8,70,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA
"213","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png",81682,24,264,"mei","Nulo",0,9.34,0,1.17,6,"264",1,1,2,1,NA,3,17,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"214","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,24,285,"mei","Nulo",1.3,0.79,0.01,-0.11,9,"285",3,10,10,NA,3,5,44,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"215","Marcos Guilherme de Almeida Santos Matos","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png",83266,24,285,"mei","Provável",2.8,3.28,0.7,0.5,21,"285",2,12,21,3,6,9,43,NA,NA,NA,1,NA,NA,NA,NA,7,1,NA
"216","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,24,262,"zag","Provável",4.2,8.56,-0.36,2.92,10,"Flamengo",1,18,11,1,3,4,19,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"217","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,24,290,"ata","Nulo",0,2.77,0,1.7,13,"290",2,11,11,3,5,20,86,NA,NA,NA,2,NA,NA,NA,NA,3,1,NA
"218","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,24,267,"lat","Nulo",0,6.42,0,1.73,15,"267",5,35,26,2,NA,15,93,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
"219","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/11/18/2e97acab2ac95708854691c5e1effc73_FORMATO.png",86143,24,356,"zag","Nulo",0,3.36,0,1.2,1,"356",NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,24,277,"mei","Suspenso",6.2,8.33,1.29,2.43,22,"Santos",3,52,29,4,6,31,101,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA
"221","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,24,284,"mei","Contundido",0,11.51,0,5.76,13,"284",1,18,12,13,17,35,109,NA,NA,NA,4,1,NA,NA,NA,4,1,NA
"222","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,24,266,"gol","Dúvida",-2.3,0.79,-2.12,1.2,5,"266",NA,NA,NA,NA,NA,1,45,3,6,1,1,NA,NA,NA,NA,NA,NA,NA
"223","Raul Prata","raul-prata","Raul Prata","https://s.glbimg.com/es/sde/f/2020/02/27/9cee4ad663339179015a63de55e0cde2_FORMATO.png",84855,24,292,"lat","Nulo",0,5.56,0,6.85,2,"292",NA,4,1,NA,NA,2,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"224","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,24,293,"ata","Dúvida",0,4.57,0,2.37,11,"293",4,9,15,7,2,13,44,NA,NA,NA,2,1,NA,NA,NA,1,1,NA
"225","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,24,373,"ata","Provável",3.4,5.02,0.19,2.79,21,"373",2,21,25,10,10,38,135,NA,NA,NA,3,1,NA,NA,NA,1,2,NA
"226","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2020/03/09/73ed5ab3cb9b56aecea70945f57d3adf_FORMATO.png",73974,24,277,"mei","Provável",3.7,8.17,0.08,1.46,11,"Santos",2,31,18,NA,NA,16,49,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
"227","Juan Pablo Ramírez Velásquez","juan-ramirez","Juan Ramírez","https://s.glbimg.com/es/sde/f/2020/11/09/553d2db14c27c2687128bf0290f0347b_FORMATO.png",97062,24,265,"ata","Nulo",0,2,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Tadeu Antônio Ferreira","tadeu","Tadeu","https://s.glbimg.com/es/sde/f/2020/08/26/cf01a937d465c1d2b6417bf927da94c7_FORMATO.jpeg",82453,24,290,"gol","Provável",11.7,10.25,0.67,3.99,17,"290",NA,NA,1,1,NA,5,155,26,28,5,NA,NA,NA,NA,1,NA,NA,NA
"229","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,24,280,"ata","Provável",0.1,2.21,-0.28,0.27,14,"280",1,9,14,4,8,9,60,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA
"230","Luiz Otávio Alves Marcolino","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/03/01/c0d9bec2c3fec7a81266729603ed2582_FORMATO.png",94269,24,263,"mei","Nulo",-0.2,1.83,0.13,0.38,14,"263",NA,5,8,3,1,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Osman de Menezes Venâncio Junior","osman","Osman","https://s.glbimg.com/es/sde/f/2020/11/18/ca2aeafe986346def55b188fb4e765b1_FORMATO.png",81898,24,294,"ata","Nulo",-0.5,3.3,-0.73,0.7,2,"Coritiba",NA,3,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2020/03/09/ada4c949fbe8a7d69336cf1ccd4ad0e9_FORMATO.png",82455,24,275,"mei","Suspenso",2.5,9.7,0.46,2.83,18,"275",5,35,35,4,9,34,64,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA
"233","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,24,266,"lat","Provável",0,5.41,0,2.78,16,"266",5,31,38,1,6,26,105,NA,NA,4,3,NA,NA,NA,NA,2,NA,NA
"234","André Trindade da Costa Neto","andre","André","https://s.glbimg.com/es/sde/f/2020/08/11/8470af121134d1416824bede8711b287_FORMATO.png",107498,24,266,"mei","Nulo",0,0.79,-0.41,0.34,5,"266",2,8,5,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Juan de Dios Pintado Leines","pintado","Pintado","https://s.glbimg.com/es/sde/f/2020/08/26/3e23be2578176d19f8b8926b55cb8cfd_FORMATO.jpeg",107565,24,290,"lat","Nulo",0,2.61,0,2.14,11,"290",4,32,16,1,2,11,53,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"236","Vinicius Silvestre da Costa","vinicius-silvestre","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2020/02/28/c700e89cfd0aa09a1bc96945a20848f3_FORMATO.png",85083,24,275,"gol","Nulo",0,3,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/09/12/e3f2361fc0584d13ce3b65e8673cf1e6_FORMATO.png",86264,24,373,"lat","Nulo",0,3.54,0,1.99,8,"373",1,9,6,1,3,8,52,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"238","Alan Pereira Empereur","alan-empereur","Alan Empereur","https://s.glbimg.com/es/sde/f/2020/11/09/0f9a49104e8f171fcf62eecc85255e66_FORMATO.png",88033,24,275,"zag","Nulo",1.8,5.86,-0.22,3.35,2,"275",NA,2,1,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"239","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png",86391,24,292,"lat","Provável",6.6,8.94,1.31,2.43,14,"292",3,41,15,1,3,28,111,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"240","Alexandre de Almeida da Silva Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/03/13/7c86524fe7de88fe7eaf75ee5df21eb2_FORMATO.png",107677,24,267,"mei","Nulo",2.5,3.04,0.45,1.77,6,"267",NA,5,NA,NA,1,3,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"241","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2020/02/27/001cd019cd767eafa0c877ae4f8a27ab_FORMATO.png",73992,24,285,"lat","Nulo",3,4.85,-0.34,2.18,11,"285",2,25,18,2,1,16,92,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"242","Ronaldo Henrique Ferreira da Silva","ronaldo-henrique","Ronaldo Henrique","https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png",85149,24,292,"mei","Provável",1.2,2.86,0.35,0.42,11,"292",2,11,12,NA,3,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","David Sousa Albino","david-sousa","David Sousa","https://s.glbimg.com/es/sde/f/2020/07/20/89a6c2853815cf3c62e0743e90ba3ee3_FORMATO.png",107509,24,263,"zag","Nulo",0,1.1,0,0.38,5,"263",NA,3,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,24,354,"mei","Contundido",0,2.05,0,0.43,6,"354",3,7,8,NA,3,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Elivelton Guedes Alves da Silva","elivelton","Elivelton ","https://s.glbimg.com/es/sde/f/2020/09/30/3afdcde41a6b5186c650158eb6ddb9d2_FORMATO.png",107515,24,263,"lat","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,24,277,"gol","Nulo",0,7.19,0,3.71,18,"Santos",2,NA,NA,NA,NA,2,112,27,21,3,NA,NA,NA,NA,NA,NA,NA,NA
"247","Douglas Baggio de Oliveira Costa","douglas-baggio","Douglas Baggio","https://s.glbimg.com/es/sde/f/2020/08/18/1b11ac648b9f3aacd312e40873a191f0_FORMATO.png",88072,24,290,"ata","Contundido",0,4.42,0,2.34,12,"290",NA,17,12,4,5,19,38,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"248","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,24,263,"lat","Provável",2.4,9.96,0.31,4.5,16,"263",NA,49,16,5,4,16,130,NA,NA,3,1,2,1,NA,NA,NA,NA,1
"249","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,24,264,"mei","Provável",0,4.78,0,1.09,12,"264",2,12,14,2,4,11,40,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"250","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png",91607,24,275,"ata","Provável",0,11.77,0,3.16,15,"275",2,20,31,10,12,23,66,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA
"251","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2020/10/05/eba17da38b8f96bc0a8b648fa5aa7acc_FORMATO.png",94509,24,275,"mei","Provável",11.3,10.69,-0.67,5.52,14,"275",1,13,16,5,11,23,81,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"252","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,24,282,"zag","Provável",0,9.77,0,3.08,17,"282",5,36,28,4,10,1,111,NA,NA,6,1,NA,NA,NA,NA,NA,1,NA
"253","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,24,263,"ata","Nulo",0.4,8.08,-0.15,4.04,20,"263",5,25,46,8,9,51,85,NA,NA,NA,1,6,NA,NA,NA,8,2,NA
"254","Sebastião Ênio Santos de Almeida","enio","Ênio","https://s.glbimg.com/es/sde/f/2020/08/07/85303901d1593584e115c63637418564_FORMATO.png",107516,24,263,"mei","Nulo",0,1,0,1,1,"263",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2020/02/27/af95f24d59281d8062c7bb367417bce2_FORMATO.png",91664,24,292,"zag","Provável",0,3.03,0,1.09,21,"292",6,24,27,2,6,14,78,NA,NA,4,NA,NA,NA,1,NA,NA,1,NA
"256","Wesley Júnior da Silva Araújo","wesley","Wesley ","https://s.glbimg.com/es/sde/f/2020/09/30/5911c3e28dfb5530484694fb16c8fe5a_FORMATO.png",107517,24,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Emerson Fabiano Kerber Júnior","emerson-junior","Emerson Júnior","https://s.glbimg.com/es/sde/f/2020/11/24/761d9353281e11362a025a163d079687_FORMATO.png",107740,24,285,"gol","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Marcos Vinicius Serrato","marcos-serrato","Marcos Serrato","https://s.glbimg.com/es/sde/f/2020/09/23/0572f6d3ff5c4a259bb808efddb9cfda_FORMATO.png",88307,24,292,"mei","Nulo",0,2.3,0,-0.1,1,"292",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Marcos da Silva França","keno","Keno","https://s.glbimg.com/es/sde/f/2020/08/31/1c7eb530ff0944a5fb26c266c76aac9c_FORMATO.png",86485,24,282,"ata","Provável",6.3,14.47,-0.46,7.32,21,"282",4,29,26,22,26,31,195,NA,NA,NA,4,10,NA,NA,NA,19,4,NA
"260","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,24,280,"mei","Nulo",0,4.86,0,1.96,18,"280",8,48,52,3,10,22,63,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"261","Lucas Henrique Mazetti","mazetti","Mazetti","https://s.glbimg.com/es/sde/f/2020/07/20/26ac5244263f4361626dec1a58304e3e_FORMATO.png",107741,24,285,"lat","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,24,276,"lat","Nulo",0,3.72,0,1.49,14,"276",2,14,9,NA,1,13,69,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"263","Wendel Lessa de Macedo Gonçalves","wendel","Wendel","https://s.glbimg.com/es/sde/f/2020/09/30/efbf80afd762b35124cdf263fd02a3a2_FORMATO.png",107519,24,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,24,373,"mei","Provável",3,3.32,0.45,1.22,18,"373",2,10,20,2,12,28,50,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"265","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,24,262,"mei","Provável",7.7,10.33,0.74,3.24,18,"Flamengo",5,37,38,6,9,69,76,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
"266","Tiago Barbosa Figueiredo","tiago-barbosa","Tiago Barbosa","https://s.glbimg.com/es/sde/f/2020/07/20/48e64443c43ff43fa1a705b9c5ee4534_FORMATO.png",107742,24,285,"zag","Nulo",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Matheus Sousa Pereira","pereira","Pereira","https://s.glbimg.com/es/sde/f/2020/11/13/9dbc967183974e31afd1cefae91b83a9_FORMATO.png",97711,24,373,"zag","Nulo",0,4.67,0,5.65,2,"373",NA,1,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"268","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,24,294,"lat","Nulo",0,2.68,0,2.26,11,"Coritiba",NA,20,16,1,2,10,44,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA
"269","Geilson Cerqueira Almeida","geilson","Geilson","https://s.glbimg.com/es/sde/f/2020/09/13/5207c4706aaf2d2b36e55db1e5a4a7ae_FORMATO.png",107882,24,356,"mei","Nulo",0,1,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,24,266,"zag","Nulo",0,5.83,0,3.33,19,"266",2,33,14,NA,4,29,77,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"271","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,24,373,"zag","Nulo",0,3,0,2.82,9,"373",2,7,9,NA,1,7,34,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"272","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,24,294,"ata","Nulo",0,1.29,0,-0.55,2,"Coritiba",NA,1,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,24,262,"ata","Dúvida",-0.1,5.17,-0.62,4.21,17,"Flamengo",1,4,18,14,8,18,35,NA,NA,NA,NA,7,NA,NA,NA,4,NA,1
"274","Gabriel Boschilia","boschilia","Boschilia","https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png",86841,24,285,"mei","Contundido",0,8.45,0,3.81,13,"285",2,40,24,9,5,14,92,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"275","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,24,282,"mei","Nulo",6.4,11.84,0.91,3.67,15,"282",2,17,21,7,9,18,81,NA,NA,NA,2,3,NA,NA,NA,2,1,NA
"276","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,24,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,NA,26,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"277","Pedro Henrique Nunes Silva","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2020/08/03/ab4d9a5eefa053f8078426da8a7517ee_FORMATO.png",107541,24,292,"zag","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,24,265,"mei","Nulo",0,3.34,0,1.84,12,"265",1,5,6,3,2,16,36,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA
"279","Caio Vidal Rocha","caio","Caio","https://s.glbimg.com/es/sde/f/2020/07/20/e986424fc26888b6bd9ec0673a9a6b5d_FORMATO.png",107745,24,285,"ata","Nulo",0,2.19,0,3,1,"285",NA,2,2,NA,NA,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,24,265,"lat","Nulo",0,4.26,0,-0.8,1,"265",NA,1,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Gustavo Henric da Silva","gustavo-mosquito","Gustavo Mosquito","https://s.glbimg.com/es/sde/f/2020/08/20/81a5c782b9fc85b4c16836aa362f34b8_FORMATO.png",97450,24,264,"ata","Nulo",0,2.87,0,1.6,12,"264",NA,7,8,2,4,12,34,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"282","Carlos Eduardo da Silva Rodrigues Lima","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/07/20/e4dbbf8866206bb1c0611baf30621efc_FORMATO.png",107756,24,285,"zag","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,24,373,"mei","Nulo",0,2.95,0,0.76,13,"373",2,10,6,4,2,17,79,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"284","César Coelho Campos Júnior","cesinha","Cesinha","https://s.glbimg.com/es/sde/f/2020/11/05/e2a81a7381cac3a02c6d73e7ba2e403c_FORMATO.png",107746,24,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2020/10/29/46f07bfe5b86d16343f64516421ab810_FORMATO.png",86859,24,263,"mei","Provável",0.1,3.39,-0.42,2.1,5,"263",NA,9,4,NA,3,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,24,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
