"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DD","GS","PI","A","CA","DS","FC","FF","FS","FD","G","I","SG","CV","FT","GC","PP","DP"
"180","Wesley Pionteck Souza","wesley","Wesley","https://s.glbimg.com/es/sde/f/2020/08/07/70b200dbf6703aca6b5eee4008dbcad6_FORMATO.png",93376,4,280,"ata","Contundido",0,2,0,0,0,"Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png",78851,4,354,"gol","Nulo",0,4,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png",80393,4,354,"mei","Provável",5,3.35,1.46,1.1,4,"Ceará",NA,NA,11,NA,2,9,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Marcos Vinícius Sousa Natividade","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/02/27/636794bd55317612f53a95fc4663618f_FORMATO.png",102292,4,292,"ata","Provável",4.5,5.19,0.7,3.07,4,"Sport",NA,NA,26,NA,1,8,6,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,4,354,"zag","Nulo",2,5.1,-0.9,2,1,"Ceará",NA,NA,5,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2019/08/16/8e3c5ccebdf6654eccebf07bede22004_FORMATO.png",96340,4,354,"mei","Nulo",-1.3,4.43,-1.02,1.07,3,"Ceará",NA,NA,12,NA,2,4,2,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"186","Giovanni Piccolomo","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2020/03/02/1f3f60104216f17477b2f31c3b23ac5e_FORMATO.png",79432,4,294,"mei","Nulo",0,4,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png",84428,4,354,"mei","Provável",6.3,10.91,0.88,5.65,4,"Ceará",NA,NA,23,1,1,17,10,5,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"188","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/07/21/d0dbee75f24d198e08b3add287282760_FORMATO.png",39656,4,282,"mei","Dúvida",0.3,3.27,-0.39,0.82,4,"Atlético-MG",NA,NA,17,NA,NA,2,4,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"189","Thiago Ferreira Lopes","thiago-lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2020/03/03/b788fe92546ae0ee21f6330f4aa7ad45_FORMATO.png",92225,4,294,"mei","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,4,373,"ata","Nulo",1.3,2.25,0.03,0.65,2,"Atlético-GO",NA,NA,2,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Gabriel Santos Cordeiro Lacerda","gabriel-lacerda","Gabriel Lacerda","https://s.glbimg.com/es/sde/f/2020/07/21/3dc2061d37b1f85d9dd8d9dd72cb35de_FORMATO.png",108176,4,354,"zag","Provável",0,0.74,0,-0.65,2,"Ceará",NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,4,284,"zag","Provável",1.3,10.56,-0.9,3.97,3,"Grêmio",NA,NA,9,NA,2,9,11,1,5,NA,NA,NA,2,NA,NA,NA,NA,NA
"193","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,4,294,"mei","Nulo",0,2.39,0,-0.13,3,"Coritiba",NA,NA,12,NA,2,7,10,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,4,294,"ata","Nulo",2.5,2.17,0.21,1.1,2,"Coritiba",NA,NA,3,NA,1,3,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,4,354,"ata","Nulo",0,6,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2020/07/19/2277b33232bf3b6a9c2e569271b9f87d_FORMATO.png",95352,4,284,"lat","Provável",0.2,6.91,-0.93,2.43,4,"Grêmio",NA,NA,50,NA,1,8,11,NA,6,1,NA,NA,2,NA,NA,NA,NA,NA
"197","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,4,294,"lat","Nulo",0,0.78,0,0.1,1,"Coritiba",NA,NA,2,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,4,284,"mei","Nulo",4.3,13.81,-0.61,6.9,2,"Grêmio",NA,NA,14,NA,NA,6,2,5,4,1,NA,NA,NA,NA,1,NA,NA,NA
"199","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,4,354,"zag","Contundido",0,4.13,0,-0.3,1,"Ceará",NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2020/03/02/f90b7a44cb9268d4fc3db1a3eee935fe_FORMATO.png",82939,4,294,"mei","Nulo",0,2.83,0,-0.27,3,"Coritiba",NA,NA,13,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,4,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,4,264,"lat","Provável",1.5,11.69,-3.31,1.5,1,"Corinthians",NA,NA,12,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"203","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,4,354,"mei","Provável",0,2.23,0,0.4,2,"Ceará",NA,NA,3,NA,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2019/05/30/7d4922940f5a9f9151b4ed1421f520e9_FORMATO.png",88669,4,354,"ata","Provável",0.8,5.78,-0.84,3.7,2,"Ceará",NA,NA,12,1,2,3,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"205","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,4,294,"zag","Nulo",0,0.74,0,-3.2,2,"Coritiba",NA,NA,9,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Rafael Navarro Leal","rafael-navarro","Rafael Navarro","https://s.glbimg.com/es/sde/f/2020/07/20/893ac0fe6c55a42b91ef4744f6ca7d4b_FORMATO.png",105770,4,263,"ata","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,4,280,"ata","Nulo",0,3,0,0,0,"Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,4,354,"lat","Provável",3.1,6.49,0.52,2.03,3,"Ceará",NA,NA,24,NA,NA,10,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,4,294,"mei","Provável",1.7,1.44,0.46,0.73,3,"Coritiba",NA,NA,6,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,4,266,"mei","Nulo",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2020/08/11/d3bc0d5856387f3aab09b5c23bc2f805_FORMATO.png",105612,4,266,"mei","Nulo",0,2.39,0,0.3,1,"Fluminense",NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,4,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,4,294,"mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,4,354,"mei","Contundido",1.3,4.94,-0.12,1.92,4,"Ceará",NA,NA,16,NA,NA,10,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,4,294,"zag","Provável",1,3.74,0.12,1.25,4,"Coritiba",NA,NA,25,NA,NA,5,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"216","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2018/05/07/51441cf2ec940cdfbdef8dd0ee853621_FORMATO.png",83004,4,282,"mei","Nulo",0,14,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,4,356,"ata","Nulo",0,4,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Igor Jesus Maciel da Cruz","igor-jesus","Igor Jesus","https://s.glbimg.com/es/sde/f/2020/03/03/c8f7399669dc0f941ccc95229f9e768f_FORMATO.png",104528,4,294,"ata","Nulo",2.9,2.02,0.76,0.6,4,"Coritiba",NA,NA,14,NA,NA,2,5,1,10,NA,NA,3,NA,NA,NA,NA,NA,NA
"219","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,4,282,"mei","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,4,266,"ata","Contundido",0,2.7,0,-1.1,2,"Fluminense",NA,NA,7,NA,1,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,4,266,"zag","Nulo",0,6,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,4,294,"ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,4,266,"mei","Nulo",-1.3,3.28,-0.73,-0.3,3,"Fluminense",NA,NA,4,NA,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/02/28/7b09893ee3434ec5909a9303dca5ff95_FORMATO.png",85931,4,282,"mei","Provável",2.4,13.25,-0.16,7.18,4,"Atlético-MG",NA,NA,30,NA,1,8,5,4,7,5,2,1,NA,NA,NA,NA,NA,NA
"225","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,4,294,"ata","Provável",2.8,5.35,0.41,2.4,4,"Coritiba",NA,NA,20,NA,NA,2,1,3,11,1,NA,4,NA,NA,1,NA,NA,NA
"226","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/07/16/ffc4af32dd75bc4d8408ae4b52303e1a_FORMATO.png",68928,4,282,"gol","Provável",4,9.79,0.14,2.75,4,"Atlético-MG",3,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"227","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,4,266,"ata","Nulo",0,2.64,0,-0.27,3,"Fluminense",NA,NA,3,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,4,266,"zag","Nulo",0,5,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,4,285,"mei","Nulo",0.7,0.75,0.03,-0.6,2,"Internacional",NA,NA,18,NA,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,4,282,"mei","Contundido",0,10.94,0,6.7,2,"Atlético-MG",NA,NA,6,NA,NA,6,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA
"231","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,4,266,"gol","Provável",-1,1.86,-0.27,-1.62,4,"Fluminense",2,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/55a296e48362f1dadadc5b9b1316f50d_FORMATO.png",87393,4,282,"zag","Nulo",0,7.83,0,2.8,1,"Atlético-MG",NA,NA,2,NA,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"233","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,4,266,"lat","Nulo",5.4,4.51,1.08,2.75,4,"Fluminense",NA,NA,28,1,2,11,11,2,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"234","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,4,266,"zag","Provável",1.1,5.91,-0.43,2.62,4,"Fluminense",NA,NA,23,NA,NA,11,2,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"235","Carlos Eduardo Soares Mota","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/27/3e68131e760ca1e4bc68e176dfd5b5ec_FORMATO.png",90416,4,292,"gol","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,4,354,"lat","Nulo",0,3.59,0,3.1,1,"Ceará",NA,NA,12,NA,NA,5,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"237","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,4,266,"ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,4,264,"gol","Nulo",0,7,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,4,266,"lat","Provável",7.4,9.75,1.4,5.35,4,"Fluminense",NA,NA,50,NA,NA,23,4,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"240","Edilson Borba de Aquino","orinho","Orinho","https://s.glbimg.com/es/sde/f/2020/08/11/15687cfb7561b9508632e075138d3bfc_FORMATO.png",95542,4,266,"lat","Nulo",0,4,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2020/07/21/bfd90faeec9d1f1103e6bcc353b87e20_FORMATO.png",69161,4,264,"ata","Nulo",0,9,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2020/07/22/3146ee098c41caa4d1ed2022bd3dc17e_FORMATO.png",91888,4,263,"lat","Nulo",0,2.48,0,0.6,1,"Botafogo",NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,4,264,"mei","Nulo",0.4,3.43,-0.11,-0.05,2,"Corinthians",NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Paulo Henrique Pereira da Silva","paulinho-boia","Paulinho Bóia","https://s.glbimg.com/es/sde/f/2020/07/21/b835e53eaf060e493f1fdd092c0174c6_FORMATO.png",100333,4,276,"ata","Nulo",0,4.4,0,3.55,2,"São Paulo",NA,NA,14,NA,NA,2,3,1,6,1,NA,NA,NA,NA,1,NA,NA,NA
"245","Rafael Luiz Santos da Costa","rafael-luiz","Rafael Luiz","https://s.glbimg.com/es/sde/f/2020/07/19/a88b7f46bea579ce4e3acb60e6279a37_FORMATO.png",107543,4,292,"lat","Nulo",0,1.43,0,0.4,2,"Sport",NA,NA,2,NA,1,4,5,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"246","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,4,276,"ata","Nulo",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,4,264,"zag","Provável",2.5,5.53,-0.27,3.3,3,"Corinthians",NA,NA,8,NA,NA,4,3,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"248","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2020/07/21/e063b0d6307468bf5a905f24f53404ff_FORMATO.png",102352,4,264,"mei","Provável",9.1,9.42,2.44,7.67,3,"Corinthians",NA,NA,22,2,1,4,3,1,7,2,1,NA,NA,NA,NA,NA,NA,NA
"249","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,4,264,"mei","Dúvida",10.1,5.43,2.85,2.77,3,"Corinthians",NA,NA,17,1,2,11,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Maxwell Lima Santos Silva","maxwell","Maxwell","https://s.glbimg.com/es/sde/f/2020/02/27/6dd964a64713673b192cdf5819becdb7_FORMATO.png",107092,4,292,"ata","Nulo",0,2.54,0,1.5,1,"Sport",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,4,266,"gol","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2019/09/16/2327d03ce998da8f704c560f545dd528_FORMATO.png",86444,4,266,"ata","Contundido",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Luciano Batista da Silva Junior","luciano-juba","Luciano Juba","https://s.glbimg.com/es/sde/f/2020/02/27/31b914c6b9a40f145d57b7006f20116e_FORMATO.png",107093,4,292,"lat","Provável",-1.2,0.75,0.01,-1,2,"Sport",NA,NA,20,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,4,266,"mei","Nulo",0,2.94,0,-0.07,3,"Fluminense",NA,NA,10,NA,NA,1,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,4,292,"zag","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2020/08/11/87b4fea563db3d41db70885180069dfb_FORMATO.png",89883,4,266,"mei","Provável",4.8,10.37,0.65,5.1,4,"Fluminense",NA,NA,17,NA,1,20,4,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"257","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,4,354,"ata","Nulo",4.2,8.16,0.74,3.92,4,"Ceará",NA,NA,11,NA,NA,10,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"258","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2019/05/07/16dd4157b1d7457f46c1c3f0e15cfc70_FORMATO.png",104459,4,354,"ata","Nulo",0,0.74,0,-0.4,2,"Ceará",NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
