"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","FC","FD","FS","G","GS","PI","SG","DS","FF","DP","I","A","CV","FT","GC","PP"
"185","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/03/02/2da2700754fb23a9fcc3cbbe28cf447b_FORMATO.png",68696,12,354,"ata","Nulo",0,1.92,0,0.45,4,"354",NA,NA,2,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"186","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,12,354,"mei","Provável",7.9,10,0.45,6.26,9,"354",1,NA,7,8,5,4,NA,84,NA,5,12,NA,3,2,NA,1,NA,NA
"187","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,12,265,"zag","Provável",0.7,5.72,-0.01,2.21,8,"265",NA,NA,4,3,1,1,NA,30,1,4,2,NA,NA,NA,NA,NA,NA,NA
"188","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,12,354,"mei","Nulo",-0.5,2.66,-1.4,2.03,4,"354",NA,NA,6,NA,1,1,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"189","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,12,354,"zag","Provável",3.3,4.86,1,2.25,10,"354",4,NA,13,NA,1,1,NA,33,3,16,1,NA,NA,NA,NA,NA,NA,NA
"190","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,12,265,"lat","Provável",0,7.9,0,2.51,8,"265",2,NA,8,1,5,NA,NA,64,1,25,1,NA,NA,NA,NA,NA,NA,NA
"191","Gustavo Henrique Santos","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/08/31/a66028d14e1ccfc443e22f7adb4afb0e_FORMATO.png",107963,12,282,"zag","Nulo",0,2,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png",97425,12,282,"zag","Nulo",0.8,7.71,-0.93,4.4,3,"282",NA,NA,NA,NA,1,NA,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"193","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/08/31/0c2bdf1145561ae501a551002dc8ca43_FORMATO.png",97898,12,282,"lat","Nulo",0,2.68,0,1.07,3,"282",NA,NA,1,2,2,NA,NA,10,NA,1,1,NA,1,NA,NA,NA,NA,NA
"194","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,12,354,"lat","Provável",6,6.79,0.49,3.09,11,"354",2,NA,19,1,19,NA,NA,118,4,22,2,NA,NA,2,1,NA,NA,NA
"195","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,12,265,"gol","Nulo",0,0.76,0,-1.23,4,"265",NA,4,NA,NA,1,NA,9,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,12,356,"ata","Nulo",0,2.59,0,-0.8,2,"356",NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"197","Luis Otavio Bonilha de Oliveira Santos","nene-bonilha","Nenê Bonilha","https://s.glbimg.com/es/sde/f/2020/03/06/40e51b15a020287ac0c09403de6a9214_FORMATO.png",73608,12,356,"mei","Nulo",0,3,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,12,354,"mei","Dúvida",-1,3.23,-0.31,-0.12,4,"354",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"199","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2020/07/21/5dcf880865714624f3dd33ea666f3d81_FORMATO.png",93108,12,264,"mei","Provável",0,6.52,0,2.17,6,"264",1,NA,1,2,8,1,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"200","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,12,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,12,356,"lat","Nulo",0,6.93,0,4.74,5,"356",NA,NA,3,NA,3,NA,NA,63,2,12,NA,NA,NA,1,NA,1,NA,NA
"202","Luiz Henrique Araújo Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/06/809a25003f6761d3bf3ea7e524986c59_FORMATO.png",101595,12,356,"mei","Nulo",0,1.66,0,0.5,1,"356",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"203","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,12,354,"mei","Provável",7.5,13.41,1.12,5.47,12,"354",2,NA,22,8,30,NA,NA,69,NA,41,8,NA,5,3,NA,1,NA,NA
"204","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,12,356,"ata","Provável",0.4,2.92,0.07,0.6,12,"356",2,NA,28,NA,13,NA,NA,41,NA,13,9,NA,5,1,NA,NA,NA,NA
"205","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,12,265,"mei","Nulo",0,3.66,0,1.3,3,"265",NA,NA,2,NA,2,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"206","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,12,264,"mei","Provável",0,4.19,0,1.97,7,"264",3,NA,12,NA,8,NA,NA,28,NA,18,2,NA,NA,1,NA,NA,NA,NA
"207","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/10/15/60ddd8a6a2f680e46493c59c99af16c4_FORMATO.png",70944,12,275,"mei","Provável",0,6.58,0,0.38,10,"275",1,NA,13,2,5,NA,NA,33,NA,8,4,NA,1,NA,NA,NA,NA,NA
"208","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,12,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,12,285,"mei","Nulo",0,10.18,0,3.85,10,"285",NA,NA,17,5,14,1,NA,54,NA,19,3,NA,2,1,NA,2,NA,NA
"210","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,12,354,"mei","Nulo",0,3.38,0,1.66,8,"354",2,NA,4,1,6,NA,NA,19,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
"211","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,12,354,"ata","Dúvida",0,5.9,0,1.99,8,"354",2,NA,6,3,14,NA,NA,42,NA,13,5,NA,1,1,1,NA,NA,NA
"212","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,12,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,12,266,"mei","Provável",2.4,5.35,0.38,1.36,5,"266",NA,NA,9,NA,3,NA,NA,22,NA,17,NA,NA,NA,NA,1,NA,NA,NA
"214","José Rogério de Oliveira Melo","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2020/08/31/ef8bbe5f855514c0e2f7ff55805eed3e_FORMATO.png",73540,12,292,"ata","Nulo",0,4.36,0,2.23,3,"292",1,NA,2,NA,5,NA,NA,8,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"215","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,12,285,"ata","Contundido",0,20.81,0,11.2,3,"285",NA,NA,7,1,5,3,NA,15,NA,2,3,NA,3,1,NA,1,NA,NA
"216","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,12,265,"lat","Provável",1.4,7.24,-0.45,3.26,7,"265",1,NA,7,2,6,NA,NA,72,1,19,2,NA,1,1,NA,NA,NA,NA
"217","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,12,354,"lat","Provável",7.6,8.81,0.8,3.81,10,"354",NA,NA,16,NA,14,NA,NA,79,4,22,NA,NA,NA,2,1,NA,NA,NA
"218","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png",101319,12,282,"lat","Provável",5,13.63,1.02,5.47,9,"282",1,NA,9,2,13,NA,NA,65,4,23,3,NA,NA,1,NA,1,NA,NA
"219","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,12,275,"ata","Provável",0,10.8,0,4.21,9,"275",1,NA,12,1,11,4,NA,18,NA,5,5,NA,NA,NA,NA,NA,NA,NA
"220","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,12,285,"lat","Provável",4.5,11.39,0.91,3.86,11,"285",1,NA,28,1,2,NA,NA,117,6,25,5,NA,2,2,NA,NA,NA,NA
"221","Gabriel Fortes Chaves","gabriel-pec","Gabriel Pec","https://s.glbimg.com/es/sde/f/2020/08/17/5af9923a34a978a056a214d243306c33_FORMATO.png",106199,12,267,"mei","Nulo",0,2.88,0,1.43,3,"267",1,NA,5,1,5,NA,NA,7,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"222","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,12,282,"ata","Provável",8.1,6.32,0.76,2.62,11,"282",1,NA,10,5,10,1,NA,57,NA,4,7,NA,6,2,NA,2,NA,NA
"223","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,12,266,"mei","Provável",11,8.38,1.92,3.85,11,"266",2,NA,17,4,40,1,NA,49,NA,22,7,NA,1,NA,NA,NA,NA,NA
"224","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,12,266,"ata","Nulo",0,5.33,0,1.13,11,"266",NA,NA,3,NA,1,NA,NA,33,NA,9,4,NA,1,1,NA,NA,NA,NA
"225","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,12,282,"ata","Nulo",-0.5,9.57,-0.64,3.33,9,"282",NA,NA,10,7,2,2,NA,10,NA,6,2,NA,NA,NA,NA,1,NA,NA
"226","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,12,265,"mei","Nulo",0,3.93,0,1.77,8,"265",1,NA,8,NA,10,1,NA,22,NA,7,3,NA,NA,NA,NA,NA,NA,NA
"227","Eduardo Germán Coudet","eduardo-coudet","Eduardo Coudet","https://s.glbimg.com/es/sde/f/2020/07/19/4514b24c3a8147be213e4e8d4297a97c_FORMATO.png",94853,12,285,"tec","Provável",2.84,12.27,0.46,3.85,12,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,12,275,"zag","Provável",0,5.93,0,-0.8,1,"275",1,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"229","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,12,275,"ata","Dúvida",0,9.77,0,3.37,10,"275",NA,NA,8,3,8,2,NA,16,NA,2,7,NA,4,2,NA,NA,NA,NA
"230","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2020/07/21/7e91aeb17ccdb9585d3febb0d345e0a4_FORMATO.png",80664,12,264,"lat","Nulo",0,4.76,0,2.7,4,"264",NA,NA,1,1,6,NA,NA,20,1,3,2,NA,1,NA,NA,NA,NA,NA
"231","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,12,294,"zag","Provável",1.8,7.68,-0.47,4.29,12,"Coritiba",NA,NA,4,NA,11,3,NA,71,3,17,2,NA,1,NA,NA,1,1,NA
"232","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,12,266,"ata","Provável",6,4.52,1.28,2.14,10,"266",3,NA,6,1,19,1,NA,22,NA,7,3,NA,1,1,NA,NA,NA,NA
"233","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,12,264,"mei","Provável",0,6.73,0,2.69,8,"264",2,NA,13,1,5,1,NA,39,NA,21,4,NA,NA,NA,NA,NA,NA,NA
"234","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,12,354,"zag","Contundido",0,4.13,0,-0.3,1,"354",NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,12,265,"mei","Nulo",1.9,3.6,0.14,2.92,6,"265",NA,NA,3,1,6,1,NA,10,NA,2,1,NA,NA,1,NA,NA,NA,NA
"236","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,12,356,"mei","Provável",1.4,5.37,-1.16,2.76,11,"356",3,NA,16,1,22,1,NA,52,NA,27,3,NA,NA,NA,NA,NA,NA,NA
"237","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,12,266,"mei","Nulo",8,5.4,1.25,1.84,9,"266",2,NA,6,NA,5,1,NA,23,NA,8,3,NA,NA,1,NA,NA,NA,NA
"238","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,12,277,"ata","Provável",9.7,24.72,1.46,10.75,12,"Santos",1,NA,14,10,62,7,NA,63,NA,15,17,NA,7,4,NA,NA,NA,NA
"239","Gregore de Magalhães da Silva","gregore","Gregore","https://s.glbimg.com/es/sde/f/2020/07/23/d4779b1c4479f06f665d796b9eb346b7_FORMATO.png",95464,12,265,"mei","Provável",-0.5,5.45,-0.24,0.04,7,"265",4,NA,20,NA,2,NA,NA,31,NA,23,3,NA,NA,NA,1,NA,NA,NA
"240","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,12,354,"ata","Nulo",0,6,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,12,265,"ata","Provável",-0.4,8.9,-0.53,3.93,10,"265",NA,NA,5,6,26,1,NA,65,NA,10,5,NA,4,1,NA,1,NA,NA
"242","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,12,266,"ata","Contundido",0,3.31,0,1.43,3,"266",NA,NA,2,NA,1,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"243","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2020/03/02/39d250a4d190bffff7e9fbf0111d822b_FORMATO.png",94297,12,354,"mei","Contundido",0,2.05,0,0.43,6,"354",3,NA,8,NA,8,NA,NA,8,NA,7,3,NA,NA,NA,NA,NA,NA,NA
"244","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,12,293,"mei","Nulo",0,2.27,0,0.56,7,"293",1,NA,9,1,4,NA,NA,26,NA,9,1,NA,NA,NA,NA,NA,NA,NA
"245","Víctor Danilo Cantillo Jiménez","cantillo","Cantillo","https://s.glbimg.com/es/sde/f/2020/03/02/73fc67e78e28d846205cc92aff55d6e7_FORMATO.png",85315,12,264,"mei","Nulo",0,5.66,0,1.52,9,"264",1,NA,8,2,9,NA,NA,26,NA,8,3,NA,NA,1,NA,NA,NA,NA
"246","Sidcley Ferreira Pereira","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2020/03/02/d76b28f383366667813428ea01aaab63_FORMATO.png",86764,12,264,"lat","Nulo",0,6.58,0,2.28,7,"264",NA,NA,4,1,9,NA,NA,40,1,11,1,NA,1,NA,NA,NA,NA,NA
"247","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,12,266,"zag","Contundido",0,4.91,0,4.05,4,"266",1,NA,5,NA,2,1,NA,9,1,6,2,NA,NA,NA,NA,NA,NA,NA
"248","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,12,277,"ata","Provável",1.7,6.98,-0.13,3.02,10,"Santos",3,NA,5,7,18,1,NA,79,NA,5,9,NA,2,2,NA,NA,NA,NA
"249","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,12,263,"ata","Nulo",0,3,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,12,265,"mei","Nulo",0,1.41,0,0.9,4,"265",NA,NA,2,1,4,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"251","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,12,266,"gol","Provável",8,5.6,1.43,2.22,9,"266",NA,9,NA,NA,NA,NA,9,80,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,12,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,12,356,"ata","Provável",4,6.19,0.52,2.48,12,"356",2,NA,7,4,8,1,NA,62,NA,14,7,NA,2,1,NA,1,NA,NA
"254","Charles Rigon Mattos","charles","Charles","https://s.glbimg.com/es/sde/f/2020/03/02/2f897ea65a1bd1db59318a12e5c6d367_FORMATO.png",96342,12,354,"mei","Provável",10.4,8.27,2.21,3.57,12,"354",2,NA,22,1,8,2,NA,56,NA,34,4,NA,NA,1,NA,NA,NA,NA
"255","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,12,354,"mei","Nulo",0,4.83,0,1.63,8,"354",3,NA,6,2,11,1,NA,23,NA,9,NA,NA,1,NA,NA,NA,NA,NA
"256","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,12,263,"ata","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,12,277,"zag","Nulo",0,8.29,0,2.4,9,"Santos",4,NA,14,2,2,1,NA,52,2,18,3,NA,NA,NA,NA,NA,NA,NA
"258","Igor Jesus Maciel da Cruz","igor-jesus","Igor Jesus","https://s.glbimg.com/es/sde/f/2020/03/03/c8f7399669dc0f941ccc95229f9e768f_FORMATO.png",104528,12,294,"ata","Nulo",0,1.9,0,0.92,10,"Coritiba",NA,NA,13,2,23,NA,NA,29,NA,8,4,NA,3,NA,1,NA,NA,NA
"259","Caio Alexandre Souza e Silva","caio-alexandre","Caio Alexandre","https://s.glbimg.com/es/sde/f/2020/07/20/29f9587aac296561c6706ec75204ca92_FORMATO.png",106323,12,263,"mei","Dúvida",0,4.71,0.22,1.49,10,"263",5,NA,13,NA,18,1,NA,43,NA,16,4,NA,1,NA,NA,NA,NA,NA
"260","Luccas Claro dos Santos","luccas-claro","Luccas Claro","https://s.glbimg.com/es/sde/f/2020/08/11/1062c554fc9540ac0e4184be2cd0a557_FORMATO.png",73465,12,266,"zag","Nulo",0,5.33,0,1.77,10,"266",NA,NA,4,NA,7,NA,NA,55,1,16,2,NA,2,NA,NA,NA,NA,NA
"261","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,12,266,"lat","Provável",10.6,5.11,2.12,3.12,6,"266",3,NA,14,1,12,NA,NA,41,1,12,2,NA,NA,2,NA,NA,NA,NA
"262","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,12,277,"lat","Provável",-0.3,11.3,-0.91,5.25,11,"Santos",4,NA,14,2,14,2,NA,82,3,35,7,NA,NA,NA,NA,NA,NA,NA
"263","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,12,356,"zag","Nulo",0,2.72,0,1.6,9,"356",2,NA,6,NA,3,NA,NA,17,4,5,2,NA,NA,NA,1,NA,NA,NA
"264","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,12,265,"mei","Nulo",0,1.42,0,-0.5,1,"265",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,12,265,"gol","Provável",5.5,9.74,0.62,4.18,5,"265",NA,6,NA,NA,2,NA,3,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,12,263,"ata","Nulo",0,3,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
