"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","CA","SG","DD","GS","A","CV","FT","DP","GC","PP"
"179","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,9,265,"ata","Provável",2.2,9.67,0.25,4.82,8,"Bahia",9,5,6,5,23,1,3,52,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"180","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,9,262,"zag","Dúvida",-0.2,8.92,-0.41,2.78,9,"Flamengo",18,9,1,3,3,NA,NA,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"181","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png",97425,9,282,"zag","Nulo",0,8.64,0,6.2,2,"Atlético-MG",2,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"182","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,9,262,"lat","Dúvida",8.8,6.56,1.84,3.12,8,"Flamengo",17,10,2,1,11,1,1,62,1,2,NA,NA,NA,NA,NA,NA,1,NA
"183","Gustavo Henrique Santos","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/08/31/a66028d14e1ccfc443e22f7adb4afb0e_FORMATO.png",107963,9,282,"zag","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,9,282,"ata","Nulo",-0.7,3.47,0.24,0.32,8,"Atlético-MG",2,7,3,2,7,NA,4,36,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"185","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,9,262,"ata","Dúvida",2.6,6.14,0.2,1.33,6,"Flamengo",4,5,1,6,5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Wanderley Monteiro dos Santos Júnior","wanderley","Wanderley","https://s.glbimg.com/es/sde/f/2020/03/02/adc66f01748817e502445b3f068f8106_FORMATO.png",38449,9,294,"ata","Nulo",0,3.26,0,0.5,1,"Coritiba",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,9,280,"ata","Dúvida",0,4.92,-1.03,1.87,6,"Bragantino",2,2,3,3,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"188","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/10/15/60ddd8a6a2f680e46493c59c99af16c4_FORMATO.png",70944,9,275,"mei","Nulo",-0.1,6.65,-0.6,0.3,8,"Palmeiras",7,12,2,3,4,NA,1,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,9,264,"mei","Nulo",1.2,5.28,0.05,2.07,7,"Corinthians",16,9,1,1,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,9,294,"gol","Provável",-3.3,8.47,-1.04,4.51,9,"Coritiba",1,NA,NA,NA,2,NA,NA,84,NA,2,13,11,NA,NA,NA,1,NA,NA
"191","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,9,262,"ata","Nulo",0,3.14,0,0.2,2,"Flamengo",NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Bruno da Silva Costa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2020/08/31/e7352c3473a9982692873241b541f584_FORMATO.png",101422,9,282,"ata","Nulo",0,1.68,0,0.75,2,"Atlético-MG",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,9,294,"zag","Suspenso",-6,0.77,0,-0.99,7,"Coritiba",4,10,NA,NA,NA,NA,NA,29,4,2,NA,NA,NA,1,NA,NA,NA,NA
"194","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png",101319,9,282,"lat","Provável",0,14.56,0,6.63,6,"Atlético-MG",14,6,2,2,6,NA,NA,42,1,4,NA,NA,1,NA,1,NA,NA,NA
"195","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,9,265,"gol","Nulo",0,0.76,0,-1.23,4,"Bahia",NA,NA,NA,NA,1,NA,NA,34,NA,NA,4,9,NA,NA,NA,NA,NA,NA
"196","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/03/03/c3634cab50166de94d02500e557e0be7_FORMATO.png",101727,9,262,"lat","Dúvida",0.9,2.21,-0.54,2.4,3,"Flamengo",3,2,2,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"197","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,9,262,"mei","Provável",1.5,8.41,-0.3,1.86,9,"Flamengo",19,10,1,5,5,NA,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,9,262,"lat","Dúvida",0,5.28,0,2.9,3,"Flamengo",8,1,NA,NA,1,NA,NA,23,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"199","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,9,264,"zag","Provável",0,3.18,0,0.5,1,"Corinthians",1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,9,265,"zag","Provável",2,6.19,0.28,2.88,6,"Bahia",4,2,2,1,1,1,NA,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"201","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,9,282,"ata","Provável",0.3,10.21,-0.08,3.81,8,"Atlético-MG",6,9,7,2,2,2,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"202","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,9,280,"zag","Nulo",0,2.78,0.08,0.28,4,"Bragantino",3,6,1,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,9,282,"mei","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,9,264,"ata","Nulo",0,2,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,9,265,"gol","Nulo",0,9.99,0,4.6,3,"Bahia",NA,NA,NA,NA,2,NA,NA,22,NA,1,3,1,NA,NA,NA,NA,NA,NA
"206","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,9,262,"gol","Nulo",0,5.09,0,3,3,"Flamengo",NA,NA,NA,NA,NA,NA,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"207","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,9,262,"mei","Dúvida",1.8,4.69,0.3,0.02,6,"Flamengo",3,10,NA,NA,15,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,9,264,"gol","Nulo",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,9,262,"gol","Contundido",0,10.72,0,2.22,5,"Flamengo",NA,NA,NA,NA,2,NA,NA,19,NA,1,6,6,NA,1,NA,NA,NA,NA
"210","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,9,265,"mei","Nulo",0.5,3.35,-0.63,3.63,4,"Bahia",1,1,NA,NA,3,1,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"211","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,9,265,"lat","Provável",-2.6,7.85,-1.16,2.97,7,"Bahia",24,6,1,1,5,NA,NA,57,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"212","Gustavo Bonatto Barreto","barreto","Barreto","https://s.glbimg.com/es/sde/f/2020/07/28/e95902a65fad3f184265acdc8e406087_FORMATO.png",89224,9,280,"mei","Nulo",0,3.64,0,0.55,2,"Bragantino",2,2,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2020/07/28/add64224dcac666b23e193bb0505d8a5_FORMATO.png",62024,9,280,"lat","Provável",-2.5,2.92,-0.9,0.96,8,"Bragantino",19,11,1,6,7,NA,1,108,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,9,262,"zag","Provável",0,4.99,0,2.2,6,"Flamengo",10,9,2,1,5,NA,NA,30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"215","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2020/07/28/e7ad33aff8b2ab2890e6f1e782d86362_FORMATO.png",101715,9,280,"ata","Dúvida",0.4,9.85,-0.74,5.5,7,"Bragantino",4,4,3,6,9,3,3,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"216","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,9,280,"zag","Provável",1.4,7.04,0.16,2.44,9,"Bragantino",17,8,1,2,6,1,NA,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Gregore de Magalhães da Silva","gregore","Gregore","https://s.glbimg.com/es/sde/f/2020/07/23/d4779b1c4479f06f665d796b9eb346b7_FORMATO.png",95464,9,265,"mei","Suspenso",-1.5,5.69,-0.28,0.13,6,"Bahia",21,16,NA,3,2,NA,NA,26,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"218","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,9,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,9,356,"ata","Provável",10.3,9.63,2.45,4.61,9,"Fortaleza",1,10,4,2,11,4,3,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"220","Artur Victor Guimarães","artur","Artur","https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png",95799,9,280,"ata","Provável",5.5,12.74,0.84,3.06,9,"Bragantino",7,8,5,10,25,NA,2,80,1,NA,NA,NA,2,NA,1,NA,NA,1
"221","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,9,262,"lat","Contundido",0,4.17,0,3.55,2,"Flamengo",4,6,NA,1,7,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"222","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,9,265,"mei","Provável",-0.2,3.95,-0.04,2.01,7,"Bahia",6,7,NA,2,8,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,9,356,"gol","Provável",4.7,3.64,0.71,1.76,9,"Fortaleza",2,NA,NA,NA,2,NA,NA,102,NA,3,6,8,NA,NA,NA,NA,NA,NA
"224","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,9,265,"lat","Provável",0,7.38,0,3.52,5,"Bahia",13,7,2,1,4,NA,NA,51,1,1,NA,NA,1,NA,NA,NA,NA,NA
"225","Matheus Sousa de Jesus","matheus-jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2020/07/28/f6113500995af8a65418616d8f79fc39_FORMATO.png",95335,9,280,"mei","Nulo",1.1,4.69,0.16,0.98,8,"Bragantino",7,13,3,6,7,NA,NA,36,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"226","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/02/28/5db2e42db98f2ac9bc8d90e9636d8f9a_FORMATO.png",80129,9,265,"mei","Nulo",0.5,2.86,-0.16,0.87,3,"Bahia",1,1,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,9,265,"mei","Nulo",0,1.41,0,0.9,4,"Bahia",1,2,1,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,9,280,"zag","Nulo",0,0.93,0,-0.4,4,"Bragantino",8,5,NA,NA,2,NA,NA,11,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"229","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2020/07/28/0e53aa2f143ac0e5e0db6e7dbe0fce14_FORMATO.png",72007,9,280,"mei","Nulo",0,2.92,-0.2,0.13,3,"Bragantino",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Robson José Brilhante Martins","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/07/28/24d96e13fa7243a3ebaa5bf8a94bcdfd_FORMATO.png",97461,9,280,"ata","Nulo",0,2.47,0,1.98,4,"Bragantino",3,2,NA,1,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"231","Giovanni Piccolomo","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2020/03/02/1f3f60104216f17477b2f31c3b23ac5e_FORMATO.png",79432,9,294,"mei","Nulo",0,3.51,0,1.9,1,"Coritiba",NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,9,262,"mei","Suspenso",0.2,9.07,-0.33,1.98,7,"Flamengo",17,18,NA,4,22,NA,NA,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2020/03/02/f90b7a44cb9268d4fc3db1a3eee935fe_FORMATO.png",82939,9,294,"mei","Nulo",0,2.83,0,-0.27,3,"Coritiba",2,1,NA,NA,2,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,9,266,"zag","Nulo",0,6,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,9,266,"zag","Provável",8.6,6.24,1.21,5.43,3,"Fluminense",6,5,NA,2,2,1,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"236","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,9,294,"zag","Provável",0.8,4.62,-0.67,2.1,5,"Coritiba",8,2,NA,NA,2,NA,NA,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"237","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,9,294,"mei","Dúvida",0.9,2.41,0.14,0.43,3,"Coritiba",2,3,NA,2,4,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,9,265,"ata","Dúvida",-0.1,5.45,-0.52,1.91,8,"Bahia",10,8,2,3,10,1,2,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,9,284,"tec","Provável",7.75,13.06,1.27,4.28,8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2019/09/27/75459ae60b5baaac5178846f60fbfbed_FORMATO.png",97341,9,356,"tec","Provável",3.57,6.83,0.39,2.89,9,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,9,266,"lat","Dúvida",5.2,11,0.57,5,9,"Fluminense",40,12,3,1,6,NA,NA,113,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"242","Ignácio da Silva Oliveira","ignacio","Ignácio","https://s.glbimg.com/es/sde/f/2020/07/23/0308ff1c9b877ec30d7af71867c8e6f1_FORMATO.png",103523,9,265,"zag","Nulo",0,2,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Rafael Vaz dos Santos","rafael-vaz","Rafael Vaz","https://s.glbimg.com/es/sde/f/2020/09/07/ac19d461237bd560ac6487aadd79a6da_FORMATO.png",73421,9,290,"zag","Suspenso",-4,5.7,-1.26,1.98,7,"Goiás",8,7,4,5,5,1,NA,59,2,1,NA,NA,NA,1,NA,NA,NA,NA
"244","Alex Alves de Lima","alex-alves","Alex Alves","https://s.glbimg.com/es/sde/f/2020/07/28/c80f00efef87f9644b9d9da2529b614c_FORMATO.png",77861,9,280,"gol","Nulo",0,1,0,0,0,"Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,9,262,"mei","Provável",2.6,5.44,0.27,1.17,4,"Flamengo",8,7,1,NA,2,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,9,266,"mei","Nulo",0,3.81,0,1.03,6,"Fluminense",5,4,NA,1,5,NA,NA,11,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"247","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,9,266,"mei","Nulo",0,4.67,0,-0.4,2,"Fluminense",6,4,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"248","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,9,294,"zag","Provável",5.1,7.81,0.88,4.6,9,"Coritiba",12,4,NA,2,7,3,1,52,NA,2,NA,NA,NA,NA,1,NA,1,NA
"249","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2020/03/02/5908e5d1c3f4f989e8bc1b27ccb7c65d_FORMATO.png",73281,9,294,"mei","Nulo",0,1.6,0,-0.7,3,"Coritiba",4,5,NA,1,2,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"250","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2020/03/02/7e3f655d162981305619e91d2d72d345_FORMATO.png",50361,9,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/01/21/85aa563c123a60bd623ab6053d632f1d_FORMATO.png",73515,9,294,"mei","Contundido",0,5.15,0,2.1,1,"Coritiba",2,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,9,290,"ata","Provável",7.9,6.65,1.6,1.7,3,"Goiás",1,14,1,3,4,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,9,356,"ata","Nulo",1,4.72,0.01,3.02,8,"Fortaleza",6,9,2,6,10,1,2,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"254","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,9,265,"ata","Nulo",-0.8,4.5,-1.36,1.88,5,"Bahia",2,3,NA,1,5,1,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,9,294,"ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,9,266,"mei","Provável",-0.1,11.65,-0.94,5.11,8,"Fluminense",6,5,4,7,18,3,NA,90,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"257","Patrick de Oliveira Vieira","patrick-vieira","Patrick Vieira","https://s.glbimg.com/es/sde/f/2020/03/02/1b0ea475d6d2bdd4a6d337fb781b4752_FORMATO.png",78635,9,294,"lat","Nulo",0,4.64,0,1.55,4,"Coritiba",5,5,2,1,3,NA,1,35,1,1,NA,NA,NA,NA,NA,NA,NA,NA
