"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","FT","G","I","A","GC","DP","PP"
"208","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,38,356,"zag","Provável",0.4,3.16,-0.44,1.8,30,"356",NA,NA,13,NA,122,10,6,30,38,3,7,1,NA,3,NA,NA,NA,NA
"209","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2020/07/21/b276604c0e1e29e568198903791fe791_FORMATO.png",105584,38,264,"lat","Contundido",0,4.29,0,2.97,15,"264",NA,NA,8,NA,107,5,1,21,15,2,3,NA,NA,NA,2,NA,NA,NA
"210","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6007b8a8c3569c3a81dae7a64a598076_FORMATO.png",78605,38,264,"mei","Nulo",0,5.92,0,3.05,22,"264",NA,NA,27,NA,109,NA,6,73,32,1,3,1,1,NA,1,NA,NA,NA
"211","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,38,356,"lat","Nulo",0.6,5.75,-0.24,2.04,24,"356",NA,NA,28,NA,156,9,3,33,36,NA,3,NA,NA,2,NA,1,NA,NA
"212","Alexandre de Almeida da Silva Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/03/13/7c86524fe7de88fe7eaf75ee5df21eb2_FORMATO.png",107677,38,267,"mei","Dúvida",0.6,2.85,-0.04,1.55,17,"267",NA,NA,15,NA,52,NA,1,19,12,2,7,NA,NA,NA,1,NA,NA,NA
"213","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,38,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,38,264,"ata","Nulo",0,3.74,0,2.18,7,"264",NA,NA,5,NA,16,NA,1,5,6,2,5,NA,1,NA,NA,NA,NA,NA
"215","Robson dos Santos Fernandes","robson","Robson","https://s.glbimg.com/es/sde/f/2020/03/03/3700b19f9f2175c58973de0b8f5daa31_FORMATO.png",84817,38,294,"ata","Nulo",0,9.81,0,3.98,30,"Coritiba",1,NA,55,NA,142,NA,7,34,54,14,32,5,8,16,1,NA,NA,NA
"216","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,38,356,"zag","Nulo",0,3.01,0,1.57,18,"356",NA,NA,15,NA,56,5,6,19,21,2,3,NA,NA,NA,NA,NA,NA,NA
"217","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,38,294,"mei","Nulo",0,5.35,0,0.91,8,"Coritiba",NA,NA,23,NA,60,NA,3,12,13,1,2,NA,NA,1,NA,NA,NA,NA
"218","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,38,294,"zag","Nulo",0,7.79,0,3.81,29,"Coritiba",NA,NA,26,NA,141,8,2,52,11,NA,5,1,4,2,NA,1,NA,1
"219","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,38,266,"ata","Provável",12,5.39,2.32,2.44,22,"266",NA,NA,37,NA,87,NA,6,5,31,9,7,1,5,6,2,NA,NA,NA
"220","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,38,356,"zag","Nulo",0,2.77,0,2.1,5,"356",1,NA,2,NA,10,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,38,356,"mei","Provável",6.9,5.08,0.51,2.57,28,"356",2,NA,42,NA,231,NA,6,58,47,8,21,NA,3,NA,3,NA,NA,1
"222","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,38,356,"lat","Provável",0.6,6.12,-0.15,2.75,24,"356",NA,NA,10,NA,244,8,2,33,16,3,4,1,NA,1,3,NA,NA,NA
"223","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,38,294,"ata","Provável",-3.6,0.77,-0.21,-0.32,8,"Coritiba",NA,NA,2,NA,41,NA,2,15,14,NA,2,NA,NA,NA,NA,1,NA,NA
"224","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2020/03/03/0eb35b8cc0b12eac97e71658567b4cf9_FORMATO.png",89285,38,294,"mei","Nulo",0,3.84,0,1.46,20,"Coritiba",NA,NA,40,NA,68,NA,4,38,35,NA,5,NA,NA,1,NA,NA,NA,NA
"225","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,38,266,"zag","Provável",16.5,7.87,1.75,4.7,12,"266",NA,NA,6,NA,29,6,2,15,9,1,7,NA,1,NA,1,NA,NA,NA
"226","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,38,266,"mei","Nulo",0,1.31,0,0.63,14,"266",NA,NA,6,NA,43,NA,4,24,26,4,3,NA,NA,NA,NA,NA,NA,NA
"227","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,38,356,"mei","Suspenso",0,4.81,0,2,30,"356",2,NA,52,NA,127,NA,10,82,47,3,8,NA,1,NA,NA,NA,NA,NA
"228","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,38,356,"zag","Provável",0,1.74,0,1.32,14,"356",1,NA,5,NA,24,5,3,8,12,NA,3,NA,NA,NA,NA,NA,NA,NA
"229","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2020/08/11/672deb726c86fbc4b3c7a16153f7ec70_FORMATO.png",91708,38,266,"zag","Suspenso",0,5.59,0,3.86,25,"266",1,NA,40,NA,90,6,5,51,20,1,5,NA,3,NA,NA,NA,NA,NA
"230","Luiz Henrique Araújo Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/06/809a25003f6761d3bf3ea7e524986c59_FORMATO.png",101595,38,356,"mei","Provável",-0.2,1.59,0.13,1.92,7,"356",NA,NA,9,NA,17,NA,1,3,4,NA,2,NA,NA,NA,2,NA,NA,NA
"231","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,38,266,"lat","Suspenso",0,9.4,0,5.38,20,"266",NA,NA,16,NA,271,5,3,78,25,6,1,NA,NA,2,7,NA,NA,NA
"232","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2020/08/26/5756a4bae1a6bb1e484099d7ea94222d_FORMATO.jpeg",71604,38,290,"zag","Provável",-1.1,6.09,-1.91,3.46,26,"290",NA,NA,19,NA,50,10,4,46,22,1,5,NA,1,NA,NA,1,NA,NA
"233","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2020/08/31/f7dd32a701b0a6198b97fcfb050814fa_FORMATO.png",86444,38,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,38,294,"zag","Nulo",0,1.58,0,-0.16,7,"Coritiba",NA,NA,2,NA,24,1,2,3,9,NA,1,NA,NA,NA,NA,NA,NA,NA
"235","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2020/03/06/88d17bd8903f1e821665cdd49c0bf7d9_FORMATO.png",84339,38,356,"lat","Provável",0,4.3,0,2.19,20,"356",NA,NA,12,NA,90,6,4,18,26,2,3,NA,2,2,NA,NA,NA,NA
"236","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,38,356,"ata","Nulo",0,2.15,0,-0.08,6,"356",NA,NA,2,NA,5,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"237","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,38,284,"zag","Nulo",0,8.88,0,3.47,21,"284",1,NA,7,NA,86,6,2,39,15,2,5,1,2,NA,NA,NA,NA,NA
"238","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,38,284,"mei","Provável",3,5.08,0.22,1.66,15,"284",NA,NA,17,NA,50,NA,1,15,17,3,3,NA,1,4,1,NA,NA,NA
"239","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,38,290,"gol","Contundido",0,2.48,0,0.88,6,"290",NA,3,1,6,82,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,38,266,"mei","Provável",0,5.05,0,1.32,23,"266",1,NA,19,NA,68,NA,2,43,36,4,4,NA,NA,3,2,1,NA,NA
"241","Matheus dos Santos Miranda","miranda","Miranda","https://s.glbimg.com/es/sde/f/2020/08/17/1cbd279a52f1e6ab977c059e6068442a_FORMATO.png",101720,38,267,"zag","Nulo",0,3.34,0,1.56,17,"267",NA,NA,11,NA,91,2,1,30,18,NA,1,NA,NA,NA,NA,NA,NA,NA
"242","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,38,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,38,356,"gol","Contundido",0,3.76,0,11.4,1,"356",NA,2,1,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,38,356,"mei","Nulo",0.7,2.42,0.08,-0.19,9,"356",NA,NA,2,NA,5,NA,3,6,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"245","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,38,284,"zag","Nulo",0,3.36,0,1.8,14,"284",NA,NA,9,NA,61,4,4,16,21,1,NA,NA,1,NA,NA,NA,NA,NA
"246","José Romário Silva de Souza","romarinho","Romarinho","https://s.glbimg.com/es/sde/f/2020/03/06/e4bf45811b6c858824a076c5f69c6ae0_FORMATO.png",84523,38,356,"ata","Provável",1,8.13,-0.22,2.97,30,"356",NA,NA,64,NA,104,NA,3,23,18,10,17,1,4,2,NA,NA,NA,NA
"247","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,38,284,"gol","Nulo",0,7.65,0,4.79,10,"284",NA,10,2,8,71,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"248","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png",100742,38,284,"mei","Nulo",0,6.05,0,1.98,26,"284",1,NA,54,NA,119,NA,6,42,42,5,7,NA,2,NA,1,NA,NA,NA
"249","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,38,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,38,276,"lat","Suspenso",0,3.07,0,1.11,18,"276",NA,NA,15,NA,86,2,3,16,11,NA,2,NA,NA,NA,1,NA,NA,NA
"251","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,38,356,"lat","Suspenso",0,6.69,0,2.72,30,"356",1,NA,28,NA,125,10,3,29,26,5,9,NA,1,3,1,NA,NA,NA
"252","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,38,266,"mei","Provável",0.7,4.42,-0.14,2.65,27,"266",NA,NA,41,NA,101,NA,7,65,38,6,9,NA,2,2,NA,NA,NA,NA
"253","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,38,284,"lat","Provável",1.8,8.85,0.11,2.78,23,"284",1,NA,25,NA,156,8,2,47,27,1,3,NA,NA,2,NA,NA,NA,NA
"254","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,38,266,"zag","Nulo",0,3.12,0,4.4,1,"266",NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,38,276,"mei","Provável",-0.8,7.05,-0.43,2.26,28,"276",1,NA,33,NA,84,NA,4,28,25,7,16,NA,4,1,NA,NA,NA,NA
"256","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,38,356,"ata","Provável",1.5,5.23,-0.14,3.01,31,"356",NA,NA,34,NA,126,NA,4,34,53,9,19,NA,7,15,3,NA,NA,NA
"257","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2020/08/18/3ca611370a41964d7e12a7d04a9474aa_FORMATO.png",80287,38,276,"ata","Provável",10.4,11.15,1.81,6.3,27,"276",NA,NA,48,NA,116,NA,5,31,35,9,18,1,16,6,1,NA,NA,1
"258","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,38,284,"mei","Nulo",0,10.38,0,4.43,22,"284",NA,NA,65,NA,185,NA,3,26,27,18,24,1,2,6,4,NA,NA,NA
"259","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,38,284,"mei","Provável",0.3,4.85,-1.18,1.96,24,"284",NA,NA,11,NA,46,NA,1,23,16,4,12,1,2,1,NA,NA,NA,NA
"260","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,38,276,"mei","Nulo",0,7.18,0,2.09,26,"276",NA,NA,29,NA,101,NA,2,14,10,10,13,1,2,3,1,NA,NA,NA
"261","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,38,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,38,276,"mei","Nulo",0,3.56,0.14,1.31,31,"276",NA,NA,33,NA,143,NA,4,22,35,11,9,NA,1,4,3,NA,NA,NA
"263","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,38,284,"mei","Provável",0,3.97,0.29,1.34,21,"284",NA,NA,9,NA,67,NA,4,36,20,1,4,NA,1,NA,NA,NA,NA,NA
"264","Miguel Ferreira Damasceno","miguel-figueira","Miguel Figueira","https://s.glbimg.com/es/sde/f/2020/08/26/3fa464ee6de9c64f2d753dc0dc419801_FORMATO.jpeg",102565,38,290,"mei","Provável",3.8,2.48,0.14,1.64,20,"290",NA,NA,30,NA,58,NA,4,21,32,4,8,1,1,1,1,NA,NA,NA
"265","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/10/28/bc1aa1e9e309d904fee8aa101a3494aa_FORMATO.png",91772,38,290,"zag","Provável",3.1,5.17,-0.2,3.43,26,"290",1,NA,7,NA,154,8,1,42,19,5,10,2,2,1,NA,NA,NA,NA
"266","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png",91201,38,284,"ata","Nulo",0,14,0,5.78,29,"284",NA,NA,59,NA,125,NA,1,39,12,8,15,1,9,4,5,NA,NA,NA
"267","Breno Washington Rodrigues da Silva","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/26/d2737704a379be01e8864b8345b30982_FORMATO.jpeg",106083,38,290,"mei","Provável",0.8,3.89,0.3,1.56,25,"290",1,NA,31,NA,69,NA,8,66,52,3,6,1,NA,NA,NA,NA,NA,NA
"268","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,38,265,"zag","Nulo",0,6.34,0,2.82,5,"265",NA,NA,2,NA,5,1,1,4,6,NA,2,NA,1,NA,NA,NA,NA,NA
"269","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,38,266,"ata","Nulo",0,2.35,0,0.7,14,"266",NA,NA,9,NA,28,NA,1,7,8,3,3,1,NA,4,NA,NA,NA,NA
"270","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,38,292,"mei","Provável",2.6,5.29,-0.9,2.81,28,"292",NA,NA,17,NA,194,NA,3,14,11,13,14,1,6,2,2,NA,NA,NA
"271","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,38,276,"mei","Provável",-0.7,3.01,-0.54,0.78,24,"276",NA,NA,13,NA,67,NA,5,40,34,2,4,NA,NA,NA,NA,NA,NA,NA
"272","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,38,266,"ata","Nulo",0,5.53,0,2.74,21,"266",NA,NA,36,NA,61,NA,6,16,14,1,8,NA,4,2,2,NA,NA,NA
"273","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,38,266,"mei","Nulo",-0.1,6.25,-0.29,2.89,27,"266",NA,NA,73,NA,102,NA,5,35,33,10,18,3,1,1,NA,NA,NA,NA
"274","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,38,266,"mei","Nulo",0,3.86,0,1.65,17,"266",NA,NA,8,NA,54,NA,3,16,8,2,4,NA,1,NA,2,NA,NA,NA
"275","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,38,356,"mei","Nulo",0,0.79,0,0.19,17,"356",NA,NA,11,NA,22,NA,2,5,12,1,3,1,NA,3,NA,NA,NA,NA
"276","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,38,266,"ata","Nulo",0,5.7,0,2.58,23,"266",NA,NA,7,NA,67,NA,NA,20,11,4,6,NA,3,1,3,NA,NA,NA
"277","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2020/11/20/7c0d041c984aed2ad0bddb5980390af3_FORMATO.png",102598,38,280,"ata","Nulo",0,5.24,0,3.97,12,"280",NA,NA,7,NA,51,NA,4,23,14,4,3,1,2,NA,3,NA,NA,NA
"278","Heron Crespo da Silva","heron","Heron","https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg",105339,38,290,"zag","Nulo",0,2.12,0,1.17,22,"290",NA,NA,13,NA,86,5,7,21,22,NA,3,NA,NA,1,1,NA,NA,NA
"279","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2020/07/19/35677798312c58c5cc2c64f41b79a8dc_FORMATO.png",79701,38,284,"mei","Nulo",0,5.54,0,2.08,30,"284",NA,NA,38,NA,106,NA,6,43,26,7,15,1,1,NA,1,NA,NA,NA
"280","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/10/03/58aa0eddfe8c9c684344f4231a233ddf_FORMATO.png",71631,38,275,"gol","Nulo",0,7.74,0,2.61,25,"275",NA,19,2,22,205,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,38,284,"mei","Nulo",0,3.13,0,0.57,15,"284",NA,NA,4,NA,49,NA,1,13,11,3,3,NA,NA,NA,NA,NA,NA,NA
"282","Lucas Rafael Araújo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,38,275,"mei","Provável",6,5.45,0.83,1.83,26,"275",NA,NA,34,NA,173,NA,6,43,32,5,9,1,1,3,2,NA,NA,NA
"283","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2020/08/26/defba11bfc1c0574154c40932f23aefd_FORMATO.jpeg",102563,38,290,"mei","Nulo",0,3,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,38,285,"lat","Nulo",0,2.38,0,1.13,14,"285",1,NA,6,NA,134,3,1,22,20,1,NA,NA,NA,NA,1,NA,NA,NA
"285","Guilherme da Silva Azevedo","guilherme-azevedo","Guilherme Azevedo","https://s.glbimg.com/es/sde/f/2020/07/19/756f7ee69aa8fccdfd44fbbf534a60a0_FORMATO.png",105837,38,284,"ata","Nulo",-0.1,1.32,-0.37,1.3,9,"284",NA,NA,8,NA,8,NA,NA,6,2,2,2,NA,NA,1,NA,NA,NA,NA
"286","Iago Pereira Mendonça","iago-mendonca","Iago Mendonça","https://s.glbimg.com/es/sde/f/2020/03/06/fbe3c389c73e71007b15dec8b347a229_FORMATO.png",105278,38,290,"zag","Nulo",0,1.93,0,2.42,9,"290",NA,NA,NA,NA,22,4,3,12,12,2,2,NA,NA,NA,NA,NA,NA,NA
"287","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,38,356,"ata","Nulo",1.9,5.86,0.08,1.98,33,"356",NA,NA,27,NA,145,NA,2,30,18,9,16,1,1,4,4,NA,NA,1
"288","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/03/09/f29c869ccdfaa407340b9047dbf761fa_FORMATO.jpeg",80692,38,275,"zag","Suspenso",0,5.11,0,2.48,23,"275",NA,NA,15,NA,81,9,6,36,17,NA,4,NA,NA,2,NA,1,NA,NA
"289","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,38,284,"lat","Nulo",0,6,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,38,276,"zag","Contundido",0,4,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
